FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,AP1967PC35,,,,,,,
2,KL1967PC493,,,,,,,
3,UP1967PC425,,,,,,,
4,GJ1967PC117,,,,,,,
5,MH1967PC259,,,,,,,
6,RJ1967PC340,Father,Mukut Behari Lal Bhargava,"Member of Parliament (Lok Sabha), Member of Constituent Assembly of India","1952–1967 (Lok Sabha), 1946–1950 (Constituent Assembly)",Ajmer,Ajmer,Rajasthan
7,UP1967PC378,,,,,,,
8,MH1967PC241,,,,,,,
9,UP1967PC428,,,,,,,
10,WB1967PC454,Paternal Grandfather,Behari Lal Gupta,"Dewan of Baroda (Princely State Prime Minister, equivalent to a top political office in the princely state era)",circa 1880s–early 1900s,Baroda (Princely State),Vadodara,Gujarat
11,WB1967PC454,Spouse's Stepson,Nafisa Ali,"Contested Lok Sabha as Indian National Congress candidate (Lucknow, 2004; South Kolkata, 2009)","2004, 2009","Lucknow (2004), South Kolkata (2009)","Lucknow, Kolkata","Uttar Pradesh, West Bengal"
12,UP1967PC408,Father,Lal Bahadur Shastri,"Prime Minister of India, Member of Lok Sabha (Allahabad), Minister of Home Affairs, Minister of External Affairs, Minister of Railways","Prime Minister (1964–1966), MP Allahabad (1952–1966)",Allahabad,Allahabad,Uttar Pradesh
13,UP1967PC408,Brother,Anil Shastri,Member of Parliament (Lok Sabha),1989–1991,Varanasi,Varanasi,Uttar Pradesh
14,UP1967PC408,Brother,Sunil Shastri,"Member of Legislative Assembly (Uttar Pradesh), Minister, BJP leader",Elected 1980s; Minister 1990s,Unknown,Unknown,Uttar Pradesh
15,UP1967PC355,,,,,,,
16,RJ1967PC336,,,,,,,
17,AP1967PC09,,,,,,,
18,HR1967PC133,,,,,,,
19,KL1967PC491,Spouse,Suseela Gopalan,"Member of Lok Sabha (1967-70, 1980-84, 1991-96), Minister for Industries and Social Welfare, Kerala (1996-2001), Member of Kerala Legislative Assembly (Ambalapuzha-CPI(M)), Member of CPI(M) Central Committee and Kerala State Secretariat","1967-1970, 1980-1984, 1991-1996 (Lok Sabha); 1996-2001 (Minister); Other terms in Legislature as listed","Ambalapuzha (Assembly and Lok Sabha), Alappuzha (Lok Sabha)",Alappuzha,Kerala
20,UP1967PC376,,,,,,,
21,MH1967PC242,,,,,,,
22,GJ1967PC114,,,,,,,
23,PB1967PC320,,,,,,,
24,UP1967PC358,,,,,,,
25,AP1967PC06,,,,,,,
26,GJ1967PC126,Self,N.R. Mahida,"Member of Parliament, 4th Lok Sabha",1967-1971,Anand,Anand,Gujarat
27,AP1967PC25,,,,,,,
28,JK1967PC144,,,,,,,
29,AN1967PC497,,,,,,,
30,OR1967PC316,,,,,,,
31,UP1967PC362,Spouse,Savitri Shyam,"Member of Parliament, Lok Sabha",1967–1977,Aonla,Bareilly,Uttar Pradesh
32,WB1967PC463,Father,Sarat Chandra Bose,"Member of Legislative Assembly (Bengal), Leader in All India Forward Bloc & Indian Independence Activist",1936–1947,Various (including Calcutta),Kolkata,West Bengal
33,WB1967PC463,Uncle,Subhas Chandra Bose,"President of Indian National Congress (1938–1939), Founder of All India Forward Bloc, Head of Azad Hind Government",1920s–1945,Not applicable (national leadership roles),Multiple (national level influence),West Bengal/India
34,WB1967PC463,Son,Chandra Kumar Bose,"Elected Vice President, West Bengal BJP; Contested Lok Sabha elections (2016, 2019)","2016, 2019 (elections) – 2016 onward (party leadership)","Kolkata Dakshin (2016), Kolkata Uttar (2019)",Kolkata,West Bengal
35,BR1967PC75,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
36,WB1967PC473,,,,,,,
37,BR1967PC95,,,,,,,
38,MH1967PC254,,,,,,,
39,WB1967PC472,,,,,,,
40,AS1967PC44,Wife's Uncle (Uncle-in-law),Brington B Lyngdoh,"Chief Minister, Member of Legislative Assembly (Meghalaya)","1983-1991 (multiple terms as Chief Minister), MLA from 1970s onwards",Shillong,East Khasi Hills,Meghalaya
41,UP1967PC397,,,,,,,
42,KL1967PC480,,,,,,,
43,BR1967PC56,,,,,,,
44,KA1967PC294,,,,,,,
45,UP1967PC433,Son,Sompal Shastri,"Member of Parliament (Lok Sabha), Minister of Agriculture, Member Planning Commission, Vice Chairman State Planning Board (Madhya Pradesh)","1998-1999 (Lok Sabha MP), multiple years in Planning Commission/ministries",Baghpat,Baghpat,Uttar Pradesh
46,UP1967PC383,Spouse,Shakuntala Nayar,"Member of Lok Sabha (Kaiserganj, 1967, 1971, Bharatiya Jana Sangh), Member of Uttar Pradesh Legislative Assembly (1962-1967), Member of Lok Sabha (Faizabad, 1952, Hindu Mahasabha)","Lok Sabha: 1952 (Faizabad), 1967, 1971 (Kaiserganj); MLA: 1962-1967","Kaiserganj (LS 1967, 1971), Faizabad (LS 1952), Unknown (Assembly)","Bahraich (Kaiserganj), Faizabad",Uttar Pradesh
47,MP1967PC167,,,,,,,
48,OR1967PC298,,,,,,,
49,UP1967PC395,,,,,,,
50,UP1967PC384,,,,,,,
51,WB1967PC442,,,,,,,
52,GJ1967PC121,,,,,,,
53,UP1967PC411,,,,,,,
54,KA1967PC279,Grandson,Kengal Shreepada Renu,"Contested for Member of Parliament, Lok Sabha",2019,Bangalore Rural,Bangalore Rural,Karnataka
55,BR1967PC82,,,,,,,
56,WB1967PC470,,,,,,,
57,UP1967PC389,,,,,,,
58,RJ1967PC344,,,,,,,
59,UP1967PC381,,,,,,,
60,MH1967PC263,Daughter,Nirmalatai Shankarrao Thokal,Member of Maharashtra Legislative Assembly,1972,Solapur City South,Solapur,Maharashtra
61,MH1967PC263,Daughter,Kalavati Jadhav Bhosale,"Spouse of Babasaheb Bhosale, Chief Minister of Maharashtra",Babasaheb Bhosale: 1982-1983,Not Applicable,Not Applicable,Maharashtra
62,MH1967PC263,Son-in-law,Babasaheb Bhosale,"Chief Minister of Maharashtra, Member of Legislative Assembly","1980-1985 (MLA), 1982-1983 (Chief Minister)",Notably elected from Daund (for MLA),Pune,Maharashtra
63,JK1967PC142,Son,Aga Syed Ruhullah Mehdi,"Member of Parliament (Lok Sabha), Member of Jammu and Kashmir Legislative Assembly, Cabinet Minister (J&K)","2002–2018 (MLA), 2009–2015 (Cabinet Minister), 2024–present (MP)","Srinagar (Lok Sabha), Budgam (Assembly)",Budgam,Jammu & Kashmir
64,JK1967PC142,Extended family (Nephew),Aga Syed Mehmood,"MLA, Minister in J&K Government, NC Candidate for Budgam By-election","Multiple terms, most recently 2025 By-election",Budgam,Budgam,Jammu & Kashmir
