SourcesID,UID,url
1,AP1984PC35,https://en.wikipedia.org/wiki/C._Madhava_Reddy
2,AP1984PC35,https://www.wikiwand.com/en/articles/C._Madhava_Reddy
3,AP1984PC35,https://en.bharatpedia.org/wiki/C._Madhava_Reddy
4,AP1984PC35,https://peoplepill.com/i/c-madhava-reddy
5,AP1984PC35,https://www.wikiwand.com/en/articles/List_of_political_families_of_Andhra_Pradesh_and_Telangana
6,KL1984PC17,https://ml.wikipedia.org/wiki/%E0%B4%95%E0%B5%86._%E0%B4%95%E0%B5%81%E0%B4%9E%E0%B5%8D%E0%B4%9E%E0%B4%AE%E0%B5%8D%E0%B4%AA%E0%B5%81
7,KL1984PC17,http://www.niyamasabha.org/codes/members/m331.htm
8,KL1984PC17,https://www.wikidata.org/wiki/Q16137258
9,UP1984PC73,https://www.jagran.com/uttar-pradesh/agra-city-former-mp-nihal-singh-jain-passed-away-booth-management-handled-in-rajiv-gandhi-election-23447375.html
10,UP1984PC73,https://navbharattimes.indiatimes.com/state/uttar-pradesh/agra/up-agra-news-former-mp-nihal-singh-jain-passed-away/articleshow/101152350.cms
11,UP1984PC73,https://www.livehindustan.com/uttar-pradesh/agra/story-former-mp-nihal-singh-merged-with-panchtatva-8337449.html
12,GJ1984PC10,https://en.wikipedia.org/wiki/Haroobhai_Mehta
13,GJ1984PC10,https://www.latestly.com/elections/loksabha-elections/1984-85/gujarat/ahmedabad/haroobhai-mehta/
14,GJ1984PC10,https://en.bharatpedia.org/wiki/Haroobhai_Mehta
15,GJ1984PC10,https://eparlib.sansad.in/bitstream/123456789/717234/1/3543.pdf
16,MH1984PC39,https://electionpandit.com/candidate/shankarrao_yashwantrao_gadakh
17,MH1984PC39,https://sarkarnama.esakal.com/maharashtra/paschim-maharashtra/the-third-generation-of-gadakhs-became-active-politics-and-educational-responsibility-aa84
18,RJ1984PC12,https://en.wikipedia.org/wiki/Vishnu_Kumar_Modi
19,RJ1984PC12,https://rajasthanlink.com/VanuDetails/ajmer/assembly-10/57904/vishnu-modi-mla
20,UP1984PC27,https://loksabha.nic.in/writereaddata/biodata_1_12/3160.htm
21,MH1984PC19,https://en.wikipedia.org/wiki/Madhusudan_Vairale
22,MH1984PC19,https://www.dnaindia.com/bollywood/report-meet-actress-kiran-vairale-daughter-of-famous-politician-who-worked-with-rishi-kapoor-anil-kapoor-quit-acting-for-love-left-india-started-business-after-marrying-nephew-dilip-kumar-of-3133427
23,MH1984PC19,https://www.india.com/entertainment/meet-rishi-kapoors-heroine-whose-father-was-a-politician-quit-films-after-marrying-nephew-of-left-india-now-runs-her-own-business-her-name-is-kiran-vairale-7625538/
24,UP1984PC76,https://www.jatland.com/home/Usharani_Tomar
25,UP1984PC56,https://economictimes.indiatimes.com/magazines/panache/web-stories/a-look-at-jaya-and-amitabh-bachchans-political-journey-assets-worth-rs-1578/slideshow/107687184.cms
26,UP1984PC56,https://en.wikipedia.org/wiki/Jaya_Bachchan
27,UP1984PC56,https://thesquirrels.in/politics/bacchanalia-rollercoaster-politics-of-the-bachchan-family-6847975
28,KL1984PC15,https://en.wikipedia.org/wiki/Vakkom_Purushothaman
29,KL1984PC15,https://grokipedia.com/page/Vakkom_Purushothaman
30,KL1984PC15,https://english.mathrubhumi.com/news/kerala/senior-congress-leader-vakkom-purushothaman-passes-away-3a7e0a5f
31,KL1984PC15,https://www.newindianexpress.com/kerala/2023/Aug/01/vakkom-purushothaman-an-architect-of-landmark-legislations-2600609.html
32,KL1984PC15,https://www.thestatesman.com/india/former-governor-vakkom-purushothaman-passes-away-1503206777.html
33,KL1984PC15,https://www.wikiwand.com/en/articles/Vakkom_Purushothaman
34,KL1984PC15,https://timesofindia.indiatimes.com/city/thiruvananthapuram/veteran-cong-leader-vakkom-purushothaman-passes-away/articleshow/102293397.cms
35,UP1984PC03,https://www.elections.in/political-leaders/harish-rawat.html
36,UP1984PC03,https://starsunfolded.com/harish-rawat/
37,UP1984PC03,https://peoplepill.com/i/harish-chandra-singh-rawat-1
38,UP1984PC03,https://www.electiontak.in/lok-sabha-1980/uttar-pradesh/harish-chandra-singh-almora-results-320419
39,UP1984PC03,https://www.latestly.com/elections/loksabha-elections/1984-85/uttar-pradesh/almora/harish-chandra-singh/
40,RJ1984PC08,https://zeenews.india.com/hindi/india/rajasthan/alwar/ramsingh-yadav-became-mp-from-alwar-for-two-consecutive-terms/1824617
41,RJ1984PC08,https://zeenews.india.com/hindi/india/rajasthan/alwar/alwar-news-dead-body-of-former-mp-ramsingh-yadav-merged-in-five-elements/1816018
42,RJ1984PC08,https://www.bhaskar.com/local/rajasthan/alwar/bhiwadi/video/former-alwar-mp-ramsingh-yadav-passed-away-131657733.html
43,RJ1984PC08,https://www.hindustantimes.com/elections/lok-sabha/candidates/ram-singh-yadev-GERJ30122
44,RJ1984PC08,https://en.wikipedia.org/wiki/Alwar_Lok_Sabha_constituency
45,AP1984PC09,https://www.hindustantimes.com/elections/lok-sabha/candidates/aithabathula-jogeswara-venkata-butchi-maheswara-rao-AEAP20395
46,AP1984PC09,https://myneta.info/ls2014/candidate.php?candidate_id=8158
47,AP1984PC09,https://www.myvotemyindia.in/elections/lok-sabha-14/amalapuram/inc/aithabathula-jogeswara-venkata-butchi-maheswara-rao
48,AP1984PC09,https://resultuniversity.com/election/amalapuram-lok-sabha
49,AP1984PC09,https://www.wikidata.org/wiki/Q63995312
50,HR1984PC01,https://en.wikipedia.org/wiki/Ram_Prakash_Chaudhary_(Indian_politician)
51,HR1984PC01,https://www.lokmattimes.com/topics/ram-prakash-chaudhary/
52,HR1984PC01,https://en.bharatpedia.org/wiki/Ram_Prakash_Chaudhary
53,UP1984PC25,https://en.wikipedia.org/wiki/Nehru%E2%80%93Gandhi_family
54,UP1984PC25,https://starsunfolded.com/family-tree-of-nehru-gandhi-family/
55,UP1984PC25,https://nehruportal.nic.in/family-tree-details
56,UP1984PC25,https://economictimes.indiatimes.com/magazines/panache/gandhis-thackerays-yadavs-sons-who-followed-their-family-in-politics/the-gandhis/slideshow/69143976.cms
57,UP1984PC25,https://timesofindia.indiatimes.com/india/another-gandhi-enters-parliament-the-legacy-of-nehru-gandhi-family-in-indian-politics-priyanka-gandhi-indira-gandhi-rahul-sanjay-rajeev-jawahar-lal/articleshow/115701998.cms
58,MH1984PC21,https://sansad.in/ls/members/biography/5115?from=members
59,MH1984PC21,https://www.hindustantimes.com/elections/lok-sabha/candidates/choudhary-ushatai-prakash-GEMH27021
60,MH1984PC21,https://www.latestly.com/elections/loksabha-elections/1984-85/maharashtra/amravati/choudhary-ushatai-prakash/
61,GJ1984PC07,https://www.latestly.com/elections/loksabha-elections/1984-85/gujarat/amreli/
62,GJ1984PC07,https://resultuniversity.com/election/amreli-lok-sabha
63,GJ1984PC07,https://www.hindustantimes.com/elections/lok-sabha/candidates/navinchandra-ravani-AEGJ130
64,PB1984PC02,https://www.tribuneindia.com/news/punjab/congress-veteran-and-six-time-former-amritsar-mp-rl-bhatia-dies-of-covid-at-100-6456/
65,UP1984PC06,https://en.wikipedia.org/wiki/Ram_Pal_Singh
66,UP1984PC06,https://www.latestly.com/elections/loksabha-elections/1984-85/uttar-pradesh/amroha/ram-pal-singh/
67,AP1984PC06,https://en.bharatpedia.org/wiki/P._Appalanarasimham
68,AP1984PC06,https://en-academic.com/dic.nsf/enwiki/11872438
69,AP1984PC06,https://alchetron.com/P-Appalanarasimham
70,GJ1984PC20,https://en.wikipedia.org/wiki/Ishwarbhai_Chavda
71,GJ1984PC20,https://en.wikipedia.org/wiki/Madhav_Singh_Solanki
72,GJ1984PC20,https://en.wikipedia.org/wiki/Bharatsinh_Solanki
73,GJ1984PC20,https://wikimore.private.coffee/wiki/en/wiki/Ishwarbhai_Chavda
74,AP1984PC25,https://www.hindustantimes.com/elections/lok-sabha/candidates/devineni-narayana-swamy-GEAP30637
75,JK1984PC03,https://en.wikipedia.org/wiki/Begum_Akbar_Jehan_Abdullah
76,JK1984PC03,https://frontline.thehindu.com/books/granddaughters-defence/article6464596.ece
77,JK1984PC03,https://grokipedia.com/page/Begum_Akbar_Jehan_Abdullah
78,JK1984PC03,https://theindianmuslims.com/encyclopedia/begum-akbar-jehan-abdulla/
79,AN1984PC01,https://en.wikipedia.org/wiki/Manoranjan_Bhakta
80,AN1984PC01,https://eci.gov.in/files/file/2835-andaman-nicobar-islands-2014/
81,UP1984PC11,https://www.tv9hindi.com/knowledge/kalyan-singh-family-in-politics-son-rajveer-singh-is-mp-and-kalyan-singh-grandson-sandeep-singh-is-education-minister-in-cm-yogi-cabinet-790474.html
82,UP1984PC11,https://www.aajtak.in/india/uttar-pradesh/story/kalyan-singh-death-family-politics-son-rajveer-singh-grandson-sandeep-singh-minister-ntc-1313971-2021-08-22
83,UP1984PC11,https://hindi.asianetnews.com/gallery/uttar-pradesh/uttar-pradesh-news-former-chief-minister-kalyan-singh-family-in-politics-son-rajveer-singh-grandson-sandeep-singh-qy8b2e/photoshow-lzepnp
84,TN1984PC06,https://en.wikipedia.org/wiki/R._Jeevarathinam
85,TN1984PC06,https://en.bharatpedia.org/wiki/R._Jeevarathinam
86,TN1984PC06,https://www.wikidata.org/wiki/Q7273741
87,TN1984PC06,https://peoplepill.com/i/r-jeevarathinam/
88,WB1984PC28,https://en.wikipedia.org/wiki/Anil_Basu
89,WB1984PC28,https://mail.myneta.info/loksabha2004/candidate.php?candidate_id=5087
90,WB1984PC28,https://prabook.com/web/anil.basu/303774
91,WB1984PC28,https://dbpedia.org/page/Anil_Basu
92,BR1984PC22,https://en.wikipedia.org/wiki/Dumar_Lal_Baitha
93,BR1984PC22,https://www.wikiwand.com/en/Dumar_Lal_Baitha
94,BR1984PC22,https://dbpedia.org/page/Dumar_Lal_Baitha
95,BR1984PC36,https://en.wikipedia.org/wiki/Bali_Ram_Bhagat
96,BR1984PC36,https://kids.kiddle.co/Bali_Ram_Bhagat
97,BR1984PC36,https://dspstg.sansad.in/getFile/lssapi/MemberProfile/biodata_1_12/614.htm?source=memberls
98,BR1984PC36,https://sansad.in/uploads/06092021_163355_1021206200_1_3d0c28db53.pdf
99,AR1984PC01,https://en.wikipedia.org/wiki/Prem_Khandu_Thungan
100,AR1984PC01,https://www.latestly.com/elections/loksabha-elections/1984-85/arunachal-pradesh/arunachal-west/p-k-thangon/
101,AR1984PC01,https://arunachal24.in/arunachal-pradesh-legislative-assembly-celebrates-50-years-of-democratic-legacy/
102,AR1984PC01,https://www.hindustantimes.com/elections/lok-sabha/candidates/p-k-thangon-GEAR82169
103,WB1984PC38,https://myneta.info/westbengal2011/candidate.php?candidate_id=1163
104,WB1984PC38,https://en.wikipedia.org/wiki/Ananda_Gopal_Mukherjee
105,WB1984PC38,https://www.wikiwand.com/en/articles/Ananda_Gopal_Mukherjee
106,OR1984PC10,https://en.wikipedia.org/wiki/Somnath_Rath
107,OR1984PC10,https://www.newindianexpress.com/states/odisha/2013/Oct/08/ex-speaker-somnath-rath-passes-away-524308.html
108,OR1984PC10,https://eparlib.sansad.in/browse?type=members&value=Somnath+Rath
109,BR1984PC40,https://en.wikipedia.org/wiki/Satyendra_Narayan_Sinha
110,BR1984PC40,https://blog.entitree.com/anugrah-narayan-sinhas-family-tree/
111,BR1984PC40,https://alchetron.com/Satyendra-Narayan-Sinha
112,BR1984PC40,https://en-academic.com/dic.nsf/enwiki/4156136
113,BR1984PC40,https://alchetron.com/Political-families-of-Bihar
114,MH1984PC33,https://ftp.myneta.info/mh2009/candidate.php?candidate_id=1894
115,MH1984PC33,https://en.wikipedia.org/wiki/Sahebrao_Dongaonkar
116,MH1984PC33,https://www.hindustantimes.com/elections/lok-sabha/candidates/sahebrao-pdongaonkar-GEMH32353
117,AS1984PC03,https://en.wikipedia.org/wiki/Biren_Sing_Engti
118,AS1984PC03,https://www.oneindia.com/politicians/biren-singh-engti-32453.html
119,AS1984PC03,https://www.elections.in/political-leaders/biren-singh-engti.html
120,AS1984PC03,https://nocorruption.in/politician/biren-singh-engti/
121,UP1984PC45,https://www.latestly.com/elections/loksabha-elections/1984-85/uttar-pradesh/azamgarh/santosh-kumar-singh/
122,UP1984PC45,https://myneta.info/ls2009/candidate.php?candidate_id=1156
123,UP1984PC45,https://www.patrika.com/azamgarh-news/congress-party-take-big-action-on-leader-santosh-singh-5417428
124,KL1984PC03,https://en.wikipedia.org/wiki/K._P._Unnikrishnan
125,KL1984PC03,https://ml.wikipedia.org/wiki/%E0%B4%95%E0%B5%86.%E0%B4%AA%E0%B4%BF._%E0%B4%89%E0%B4%A3%E0%B5%8D%E0%B4%A3%E0%B4%BF%E0%B4%95%E0%B5%83%E0%B4%B7%E0%B5%8D%E0%B4%A3%E0%B5%BB
126,KL1984PC03,https://news.desigoogly.com/blog/unnikrishnan-k-p-biography/
127,KL1984PC03,https://english.mathrubhumi.com/features/specials/the-worlds-of-a-political-traveller-kp-unnikrishnan-s-life-stories-09f21d1f
128,BR1984PC01,https://en.wikipedia.org/wiki/Bhola_Raut
129,BR1984PC01,https://www.hindustantimes.com/elections/lok-sabha/candidates/bhola-raut-GEBR18394
130,BR1984PC01,https://en.bharatpedia.org/wiki/Bhola_Raut
131,BR1984PC01,https://eparlib.nic.in/bitstream/123456789/821725/1/10_XIV_31-07-1995_p24_p29_PII.pdf
132,KA1984PC27,https://www.hindustantimes.com/elections/lok-sabha/candidates/patil-hanmantagouda-bhimanagouda-GEKA11118
133,KA1984PC27,https://myneta.info/Karnataka2023/candidate.php?candidate_id=7939
134,KA1984PC27,https://en.wikipedia.org/wiki/Bhimanagouda_Patil
135,UP1984PC81,https://en.wikipedia.org/wiki/Charan_Singh
136,UP1984PC81,https://charansingh.org/ccs-family-tree
137,UP1984PC81,https://www.jatland.com/home/Chaudhary_Charan_Singh
138,UP1984PC81,https://starsunfolded.com/chaudhary-charan-singh/
139,UP1984PC81,https://en.wikipedia.org/wiki/Ajit_Singh_(politician)
140,UP1984PC81,https://en.wikipedia.org/wiki/Jayant_Chaudhary
141,UP1984PC31,https://www.jansatta.com/jansatta-special/kerala-governor-arif-mohammed-khan-wife-son-family-political-background-and-complete-biography/2592321/
142,UP1984PC31,https://wikibio.in/arif-mohammed-khan/
143,UP1984PC31,https://www.wikigraphy.in/arif-mohammed-khan-wiki/
144,MP1984PC23,https://loksabha.nic.in/writereaddata/biodata_1_12/3120.htm
145,OR1984PC02,https://en.wikipedia.org/wiki/Chintamani_Jena
146,OR1984PC02,https://ola.addsofttech.com/ProfileDetails.aspx?member=Late%20Chintamani%20Jena(Basta)&id=41&lang=ENG
147,OR1984PC02,https://assembly.odisha.gov.in/Details.aspx?page=DeputySpeaker/Late%20Chintamani%20Jena(Basta).HTML
148,BR1984PC19,https://en.wikipedia.org/wiki/Chanra_Bhanu_Devi
149,BR1984PC19,https://indiankanoon.org/doc/1303481/
150,BR1984PC19,https://aam-ray.blogspot.com/2019/12/chandra-bhanu-devi.html
151,BR1984PC19,https://en.bharatpedia.org/wiki/Chanra_Bhanu_Devi
152,UP1984PC43,https://en.wikipedia.org/wiki/Jagannath_Chowdhary
153,UP1984PC43,https://www.hindustantimes.com/elections/lok-sabha/candidates/jagannath-choudhary-AEUP168802
154,UP1984PC43,https://alchetron.com/Jagannath-Chowdhary
155,UP1984PC43,https://en.bharatpedia.org/wiki/Jagannath_Chowdhary
156,UP1984PC32,https://www.latestly.com/elections/loksabha-elections/1984-85/uttar-pradesh/balrampur/deep-narain-van-mahanth/
157,UP1984PC32,https://www.hindustantimes.com/elections/lok-sabha/candidates/deep-narain-van-mahanth-GEUP33601
158,UP1984PC32,https://en.wikipedia.org/wiki/Balrampur_Lok_Sabha_constituency
159,UP1984PC32,https://resultuniversity.com/election/balrampur-lok-sabha
160,WB1984PC06,https://en.wikipedia.org/wiki/Ranen_Barman
161,WB1984PC06,https://en.wikipedia.org/wiki/Palas_Barman
162,GJ1984PC14,https://electionpandit.com/candidate/gadhvi_mukeshkumar_bheiravdanji
163,GJ1984PC14,https://www.biographies.net/biography/mukesh-gadhvi/m/0rfc256
164,GJ1984PC14,https://en.wikipedia.org/wiki/B._K._Gadhvi
165,GJ1984PC14,https://ultimategerardm.blogspot.com/2014/05/wikidata-mukesh-gadhvi-used-to-be.html
166,UP1984PC59,https://www.latestly.com/elections/loksabha-elections/1984-85/uttar-pradesh/banda/bhism-deo-dubey/
167,UP1984PC59,https://eparlib.sansad.in/bitstream/123456789/2965270/1/lsd_08_1_15-01-1985.pdf
168,UP1984PC59,https://www.hindustantimes.com/elections/lok-sabha/candidates/bhism-deo-dubey-GEUP34719
169,UP1984PC59,https://resultuniversity.com/election/banda-lok-sabha
170,UP1984PC59,https://www.elections.in/uttar-pradesh/parliamentary-constituencies/banda.html
171,KA1984PC12,https://en.wikipedia.org/wiki/C._K._Jaffer_Sharief
172,KA1984PC12,https://ckjaffersharief.com/history.php
173,KA1984PC12,https://grokipedia.com/page/C._K._Jaffer_Sharief
174,KA1984PC13,https://en.wikipedia.org/wiki/V._S._Krishna_Iyer
175,KA1984PC13,https://kla.kar.nic.in/council/members/exmembers/VSKrishnaiyer..htm
176,KA1984PC13,https://en.bharatpedia.org/wiki/V._S._Krishna_Iyer
177,BR1984PC29,https://en.wikipedia.org/wiki/Manorama_Singh
178,BR1984PC29,https://timesofindia.indiatimes.com/city/patna/caste-continues-to-remain-a-key-factor-in-banka/articleshow/109467717.cms
179,BR1984PC29,https://www.jagran.com/bihar/banka-banka-former-mp-manorama-singh-last-rites-in-patna-became-mp-twice-by-defeating-george-and-janardhan-23844661.html
180,WB1984PC35,https://en.wikipedia.org/wiki/Basudeb_Acharia
181,WB1984PC35,https://nocorruption.in/politician/basudeb-acharia/
182,WB1984PC35,https://indiapress.org/election/archives/lok12/biodata/12wb35.php
183,WB1984PC35,https://www.week.in/wire-updates/national/2023/11/13/mds23-tl-ld-basudeb-acharia.html
184,UP1984PC37,https://en.wikipedia.org/wiki/Mahaveer_Prasad
185,RJ1984PC16,https://www.indiapress.org/election/archives/lok10/mp620.php
186,RJ1984PC16,https://myneta.info/ls2009/candidate.php?candidate_id=6360
187,RJ1984PC16,https://en.wikipedia.org/wiki/Banswara_Lok_Sabha_constituency
188,AP1984PC16,https://en.wikipedia.org/wiki/Chimata_Sambu
189,AP1984PC16,https://en.bharatpedia.org/wiki/Chimata_Sambu
190,AP1984PC16,https://www.indiapress.org/election/archives/lok08/state/08lsap.php
191,UP1984PC29,https://www.etvbharat.com/hindi/uttar-pradesh/state/barabanki/two-time-mp-and-three-time-mla-kamla-prasad-rawat-dies/up20210430160925275
192,UP1984PC29,https://hindi.oneindia.com/news/barabanki/barabanki-former-mp-kamla-prasad-rawat-passed-away-615577.html
193,UP1984PC29,https://en.wikipedia.org/wiki/Kamla_Prasad
194,MH1984PC43,https://en.wikipedia.org/wiki/Sharad_Pawar
195,MH1984PC43,https://newsd.in/sharad-pawar-family-tree-pawar-family-ajit-pawar-rohit-pawar-parth-pawar-supriya-sule/
196,MH1984PC43,https://familyrootapp.com/blog/sharad-pawar-family-tree
197,MH1984PC43,https://hindi.oneindia.com/news/features/maharashtra-sharad-pawar-family-tree-know-about-members-who-are-in-politics-770703.html
198,MH1984PC43,https://www.wikiwand.com/en/articles/Sharad_Pawar
199,MH1984PC43,https://economictimes.indiatimes.com/news/politics-and-nation/from-gandhis-to-yadavs-political-families-with-multiple-mps-in-india/sharad-pawar-amp-supriya-sule/slideshow/115771350.cms
200,MH1984PC43,https://www.news18.com/politics/ajit-pawar-sharad-pawar-set-aside-political-differences-come-together-for-family-function-ws-kl-9482139.html
201,JK1984PC01,https://myneta.info/jk2014/candidate.php?candidate_id=405
202,JK1984PC01,https://en.everybodywiki.com/Salman_Anees_Soz
203,JK1984PC01,https://www.salmansoz.com/
204,JK1984PC01,https://indiatvnews.com/topic/saif-ud-din-soz
205,WB1984PC13,https://en.wikipedia.org/wiki/Tarun_Kanti_Ghosh
206,BR1984PC18,https://en.wikipedia.org/wiki/Prakash_Chandra_Yadav
207,BR1984PC18,https://www.wikiwand.com/en/articles/Prakash_Chandra_Yadav
208,BR1984PC18,https://everything.explained.today/Prakash_Chandra_Yadav/
209,RJ1984PC23,https://en.wikipedia.org/wiki/Virdhi_Chand_Jain
210,RJ1984PC23,https://peoplepill.com/i/virdhi-chand-jain
211,RJ1984PC23,https://prabook.com/web/virdhi_chand.jain/1772193
212,GJ1984PC22,https://en.wikipedia.org/wiki/Ranjitsinh_Pratapsinh_Gaekwad
213,GJ1984PC22,https://en.wikipedia.org/wiki/Fatehsinghrao_Gaekwad
214,AS1984PC06,https://arce-assam.org/arce
215,AS1984PC06,https://www.hindustantimes.com/elections/lok-sabha/candidates/ataur-rahaman-GEAS35581
216,AS1984PC06,https://en.wikipedia.org/wiki/Barpeta_Lok_Sabha_constituency
217,AS1984PC06,https://resultuniversity.com/election/barpeta-lok-sabha
218,WB1984PC19,https://en.wikipedia.org/wiki/Debi_Ghosal
219,WB1984PC19,https://votesmart.in/politician/debi_ghosal
220,WB1984PC19,https://www.hindustantimes.com/elections/lok-sabha/candidates/devi-ghoshal-GEWB29143
221,WB1984PC19,https://ns2.myneta.info/loksabha2004/candidate.php?candidate_id=5125
222,WB1984PC14,https://en.wikipedia.org/wiki/Indrajit_Gupta
223,WB1984PC14,https://grokipedia.com/page/Indrajit_Gupta
224,WB1984PC14,https://everything.explained.today/Indrajit_Gupta/
225,MP1984PC20,https://resultuniversity.com/election/kondagaon-madhya-pradesh-assembly-constituency
226,MP1984PC20,https://www.deshbandhu.co.in/bastar-tribal-leader-and-former-mp-mankuram-sodhi
227,UP1984PC34,https://en.wikipedia.org/wiki/Basti_Lok_Sabha_constituency
228,UP1984PC34,https://resultuniversity.com/election/basti-lok-sabha
229,UP1984PC34,https://www.elections.in/uttar-pradesh/parliamentary-constituencies/basti.html
230,UP1984PC34,https://sansad.in/ls/members
231,UP1984PC34,https://myneta.info/
232,RJ1984PC10,https://en.wikipedia.org/wiki/Lala_Ram_Ken
233,RJ1984PC10,https://en.bharatpedia.org/wiki/Lala_Ram_Ken
234,RJ1984PC10,https://www.liquisearch.com/lala_ram_ken
235,MH1984PC34,https://en.wikipedia.org/wiki/Kesharbai_Kshirsagar
236,MH1984PC34,https://sarkarnama.esakal.com/maharashtra/marathwada/beed-assembly-constituency-election-2024-jaidatta-kshirsagar-sandeep-kshirsagar-yogesh-kshirsagar-maharashtra-vidhan-sabha-election-mm76-dd82
237,MH1984PC34,https://theprint.in/india/maharashtra-assembly-polls-four-members-of-ex-minister-kshirsagars-family-in-fray-from-beed/2333981/
238,MH1984PC34,https://www.devdiscourse.com/article/politics/3139762-kshirsagar-family-feud-shapes-beed-assembly-elections
239,MH1984PC34,https://grokipedia.com/page/Sandeep_Kshirsagar
240,BR1984PC33,https://en.wikipedia.org/wiki/Krishna_Sahi
241,KA1984PC25,https://en.wikipedia.org/wiki/Sidnal_Shanmukhappa_Basappa
242,KA1984PC05,https://en.wikipedia.org/wiki/Basavarajeshwari
243,KA1984PC05,https://www.oneindia.com/2008/02/19/former-union-minister-basavarajeshwari-died-1203415453.html
244,KA1984PC05,https://bpscballari.com/ourinspiration.php
245,WB1984PC10,https://en.wikipedia.org/wiki/Atish_Chandra_Sinha
246,WB1984PC10,https://www.bcckandi.org/wp-content/uploads/2025/08/Prospectus-24-2025-final.pdf
247,WB1984PC10,https://prabook.com/web/atish_chandra.sinha/2605018
248,OR1984PC11,https://en.wikipedia.org/wiki/Jagannath_Rao
249,OR1984PC11,https://alchetron.com/Jagannath-Rao
250,OR1984PC11,https://www.newindianexpress.com/states/odisha/2014/Mar/19/a-congress-stronghold-588095.html
251,OR1984PC11,https://prabook.com/web/jagannath.rao/2375788
252,BR1984PC02,https://www.latestly.com/elections/loksabha-elections/1984-85/bihar/bettiah/manoj-kumar-pande/
253,BR1984PC02,https://resultuniversity.com/election/bettiah-lok-sabha
254,BR1984PC02,https://en.bharatpedia.org/wiki/Bettiah_(Lok_Sabha_constituency)
255,BR1984PC02,https://alchetron.com/Bettiah-%28Lok-Sabha-constituency%29
256,BR1984PC02,https://www.mapsofindia.com/parliamentaryconstituencies/bihar/bettiah.htm
257,MP1984PC28,https://en.wikipedia.org/wiki/Aslam_Sher_Khan
258,MP1984PC28,https://grokipedia.com/page/Aslam_Sher_Khan
259,MP1984PC28,https://www.indianmirror.com/games/hockey/former-players/Aslam-Sher-Khan.html
260,AP1984PC05,https://indiapress.org/election/archives/lok12/biodata/12ap05.php
261,AP1984PC05,https://en.wikipedia.org/wiki/Sode_Ramaiah
262,AP1984PC05,https://en.bharatpedia.org/wiki/Sode_Ramaiah
263,AP1984PC05,https://www.hindustantimes.com/elections/lok-sabha/candidates/ramaiah-sode-GEAP23699
264,OR1984PC03,https://en.wikipedia.org/wiki/Ananta_Prasad_Sethi
265,OR1984PC03,https://myneta.info/odisha2019/candidate.php?candidate_id=5812
266,OR1984PC03,https://odishaassembly.nic.in/memberprofile.aspx?img=506
267,OR1984PC03,https://www.latestly.com/elections/loksabha-elections/1984-85/odisha/bhadrak/ananta-prasad-sethi/
268,OR1984PC03,https://www.hindustantimes.com/elections/lok-sabha/candidates/ananta-prasad-sethi-GEOD32514
269,BR1984PC30,https://en.wikipedia.org/wiki/Bhagwat_Jha_Azad
270,BR1984PC30,https://starsunfolded.com/kirti-azad/
271,BR1984PC30,https://wikibio.in/kirti-azad/
272,BR1984PC30,https://rajneta.org/azad-kirti-jha/
273,RJ1984PC09,https://www.jatland.com/home/Kunwar_Natwar_Singh
274,RJ1984PC09,https://en.wikipedia.org/wiki/Natwar_Singh
275,RJ1984PC09,https://en.wikipedia.org/wiki/Amarinder_Singh
276,RJ1984PC09,https://www.thehindu.com/news/national/other-states/amarinder-singh-denies-link-with-natwar-singh-oil-for-food/article3284219.ece
277,PB1984PC11,https://en.wikipedia.org/wiki/Teja_Singh_Dardi
278,PB1984PC11,https://indiankanoon.org/doc/1178395/
