FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,AP2024AC01,Father,Bendalam Prakash Rao,Kaviti Mandal Parishad President (MPP); Director of Andhra Bank,MPP: 2006,Kaviti Mandal,Srikakulam,Andhra Pradesh
2,AP2024AC02,Father,Gouthu Syam Sunder Sivaji,"MLA (Palasa, Sompeta), Minister in Andhra Pradesh",Multiple terms between 1994 and 2014,"Palasa, Sompeta",Srikakulam,Andhra Pradesh
3,AP2024AC02,Grandfather,Gouthu Latchanna,"MLA (Sompeta), Minister in Andhra Pradesh; Freedom fighter",MLA five terms between 1952 and 1983,Sompeta,Srikakulam,Andhra Pradesh
4,AP2024AC03,Brother,Kinjarapu Yerran Naidu,"Union Minister (Minister of Rural Development), Member of Parliament (Lok Sabha)",1996-2012,Srikakulam,Srikakulam,Andhra Pradesh
5,AP2024AC03,Nephew,Kinjarapu Ram Mohan Naidu,"Member of Parliament (Lok Sabha), Union Minister of Civil Aviation (2024- )",2014-present,Srikakulam,Srikakulam,Andhra Pradesh
6,AP2024AC04,,,,,,,
7,AP2024AC05,Father,Gondu Jagannadha Rao,"Mandal Parishad President (MPP), Srikakulam Mandal",Unknown,Srikakulam Mandal,Srikakulam,Andhra Pradesh
8,AP2024AC05,Mother,Kalavathi,"Sarpanch, Kistappapeta village; MPTC member",Unknown,Kistappapeta village,Srikakulam,Andhra Pradesh
9,AP2024AC05,Spouse,Gondu Swathi,"Sarpanch, Kistappapeta village",Unknown,Kistappapeta village,Srikakulam,Andhra Pradesh
10,AP2024AC05,Sister-in-law,Varudu Kalyani,"Member Legislative Council (MLC), YSRCP",Unknown,Unknown,Unknown,Andhra Pradesh
11,AP2024AC06,"Uncle (Bava, wife’s elder brother)",Thammineni Seetharam,"MLA (Multiple terms), Ex-Minister, Speaker of Andhra Pradesh Legislative Assembly","1983–1985, 1989, 1994, 2019–2024, 2024–present (Various terms)",Amadalavalasa,Srikakulam,Andhra Pradesh
12,AP2024AC07,,,,,,,
13,AP2024AC08,,,,,,,
14,AP2024AC09,,,,,,,
15,AP2024AC10,Father,Nimmaka Gopala Rao,"Member of Legislative Assembly (MLA), Telugu Desam Party","1983-1985, 1989-1994, 1994-1999, 1999-2004",Kotturu,Srikakulam (now merged into Parvathipuram Manyam),Andhra Pradesh
16,AP2024AC11,,,,,,,
17,AP2024AC12,,,,,,,
18,AP2024AC13,Father,Janni Muthyalu,"Contested MLA (Salur), Congress","1999 (Contested, not elected)",Salur,Vizianagaram (now Parvathipuram Manyam),Andhra Pradesh
19,AP2024AC14,Father,Ravu Venkata Gopala Krishna Ranga Rao,Member of Parliament (Lok Sabha),1962–1967,Cheepurupalli,Vizianagaram,Andhra Pradesh
