FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,AR2024AC01,Husband,Jambey Tashi,Member of Arunachal Pradesh Legislative Assembly,2009-2022,Lumla,Tawang,Arunachal Pradesh
2,AR2024AC02,,,,,,,
3,AR2024AC03,Father,Dorjee Khandu,Chief Minister of Arunachal Pradesh,2007-2011,Mukto,Tawang,Arunachal Pradesh
4,AR2024AC03,Brother,Tsering Tashi,Member of Legislative Assembly (MLA),2019–present,Tawang,Tawang,Arunachal Pradesh
5,AR2024AC04,,,,,,,
6,AR2024AC05,,,,,,,
7,AR2024AC06,,,,,,,
8,AR2024AC07,,,,,,,
9,AR2024AC08,,,,,,,
10,AR2024AC09,,,,,,,
11,AR2024AC10,,,,,,,
12,AR2024AC11,,,,,,,
13,AR2024AC12,Spouse,Unknown,Ex-Councilor,Unknown,Unknown,Unknown,Arunachal Pradesh
14,AR2024AC13,,,,,,,
15,AR2024AC15,,,,,,,
16,AR2024AC16,,,,,,,
17,AR2024AC17,,,,,,,
18,AR2024AC18,Father,Lt. Balo Dachak,"Gram Panchayat Member (undivided Lower Subansiri district), Anchal Samiti Member, Head Gaon Burah (HGB)",1960s-2023,"Balo village (originally undivided Lower Subansiri district, now Kra Daadi)",Kra Daadi,Arunachal Pradesh
19,AR2024AC19,,,,,,,
20,AR2024AC20,,,,,,,
21,AR2024AC21,,,,,,,
22,AR2024AC22,,,,,,,
23,AR2024AC23,,,,,,,
24,AR2024AC24,,,,,,,
25,AR2024AC25,,,,,,,
26,AR2024AC26,,,,,,,
27,AR2024AC27,,,,,,,
28,AR2024AC28,,,,,,,
29,AR2024AC29,,,,,,,
30,AR2024AC30,,,,,,,
31,AR2024AC31,,,,,,,
32,AR2024AC32,,,,,,,
33,AR2024AC33,Father,Pasang Wangchuk Sona,"Deputy Speaker and State Cabinet Minister, Arunachal Pradesh",Unknown,Unknown,Unknown,Arunachal Pradesh
34,AR2024AC34,,,,,,,
35,AR2024AC35,,,,,,,
36,AR2024AC36,,,,,,,
37,AR2024AC37,Father,Daying Ering,Union Deputy Minister in Jawaharlal Nehru’s Cabinet; Member of Parliament,1950s-1970s,Arunachal Pradesh,Unknown,Arunachal Pradesh
38,AR2024AC38,,,,,,,
39,AR2024AC39,,,,,,,
40,AR2024AC40,,,,,,,
41,AR2024AC41,,,,,,,
42,AR2024AC42,,,,,,,
43,AR2024AC43,Father,Mukut Mithi,"Chief Minister of Arunachal Pradesh; Member of Rajya Sabha; Lieutenant Governor of Puducherry; President, Arunachal Pradesh Congress Committee; Multiple-term MLA","Chief Minister (1999-2003), Rajya Sabha MP (2008-2020), Lieutenant Governor (2006-2008), MLA (1983-2006)",Roing (MLA & local role; Rajya Sabha: Arunachal Pradesh at-large),Lower Dibang Valley,Arunachal Pradesh
44,AR2024AC44,,,,,,,
45,AR2024AC45,Spouse,Kalikho Pul,"Chief Minister of Arunachal Pradesh, MLA (Hayuliang)","MLA: multiple terms (1995-2016), Chief Minister: Feb-Aug 2016",Hayuliang,Anjaw,Arunachal Pradesh
46,AR2024AC46,Father,Late Chow Pook Gohain,"Member, North-East Frontier Agency Council (Agency Council)",1969-1972,Unknown,Lohit,Arunachal Pradesh
47,AR2024AC46,Brother,Chow Tewa Mein,"Member, Pradesh Council",1972,Unknown,Unknown,Arunachal Pradesh
48,AR2024AC46,Maternal Uncle,Chow Khamoon Gohain,"Member, Arunachal Pradesh Legislative Assembly",Unknown,Unknown,Unknown,Arunachal Pradesh
49,AR2024AC46,Maternal Uncle,Chow Chandret Gohain,"Member, Arunachal Pradesh Legislative Assembly",Unknown,Unknown,Unknown,Arunachal Pradesh
50,AR2024AC47,,,,,,,
51,AR2024AC48,,,,,,,
52,AR2024AC49,,,,,,,
53,AR2024AC51,,,,,,,
54,AR2024AC52,,,,,,,
55,AR2024AC53,,,,,,,
56,AR2024AC54,,,,,,,
57,AR2024AC55,,,,,,,
58,AR2024AC56,Husband,Tirong Aboh,Member of Arunachal Pradesh Legislative Assembly; National People's Party leader,2014-2019,Khonsa West,Tirap,Arunachal Pradesh
59,AR2024AC57,,,,,,,
60,AR2024AC58,,,,,,,
61,AR2024AC59,,,,,,,
62,AR2024AC60,,,,,,,
