FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,AS2021AC01,,,,,,,
2,AS2021AC02,,,,,,,
3,AS2021AC03,,,,,,,
4,AS2021AC04,,,,,,,
5,AS2021AC05,,,,,,,
6,AS2021AC06,,,,,,,
7,AS2021AC07,,,,,,,
8,AS2021AC08,,,,,,,
9,AS2021AC09,,,,,,,
10,AS2021AC10,,,,,,,
11,AS2021AC11,,,,,,,
12,AS2021AC12,,,,,,,
13,AS2021AC13,Mother,Phoolmati Rai,Long association with the RSS (Rashtriya Swayamsevak Sangh),Unknown,None,Cachar,Assam
14,AS2021AC13,Younger Brother,Amitabh Rai,"Chairman, Cachar Zila Parishad",Unknown,None,Cachar,Assam
15,AS2021AC14,,,,,,,
16,AS2021AC15,,,,,,,
17,AS2021AC16,Brother,Debolal Gorlosa,"Chief Executive Member, North Cachar Hills Autonomous Council (NCHAC)",2017–present,"Not a legislative assembly constituency, but jurisdiction includes Dima Hasao district",Dima Hasao,Assam
18,AS2021AC17,,,,,,,
19,AS2021AC18,,,,,,,
20,AS2021AC19,,,,,,,
21,AS2021AC20,,,,,,,
22,AS2021AC21,,,,,,,
23,AS2021AC22,,,,,,,
24,AS2021AC23,,,,,,,
25,AS2021AC24,,,,,,,
26,AS2021AC25,,,,,,,
27,AS2021AC26,,,,,,,
28,AS2021AC27,,,,,,,
29,AS2021AC28,,,,,,,
30,AS2021AC29,,,,,,,
31,AS2021AC30,,,,,,,
32,AS2021AC31,,,,,,,
33,AS2021AC32,Spouse,Diptimoyee Choudhury,AGP Candidate for Bongaigaon Assembly By-election,2024 (Contested),Bongaigaon,Bongaigaon,Assam
34,AS2021AC33,,,,,,,
35,AS2021AC34,,,,,,,
36,AS2021AC35,Father,Chandan Kumar Sarkar,MLA and Minister in the Government of Assam,Various terms prior to his passing (exact years not fully specified on public records),Abhayapuri South,Bongaigaon,Assam
37,AS2021AC35,Mother,Swapna Rani Sarkar,Chairman of Abhayapuri Town Committee,Unknown,Abhayapuri Town Committee,Bongaigaon,Assam
38,AS2021AC36,,,,,,,
39,AS2021AC37,,,,,,,
40,AS2021AC38,,,,,,,
41,AS2021AC39,,,,,,,
42,AS2021AC40,,,,,,,
43,AS2021AC41,,,,,,,
44,AS2021AC42,,,,,,,
45,AS2021AC43,,,,,,,
46,AS2021AC44,,,,,,,
47,AS2021AC45,,,,,,,
48,AS2021AC46,,,,,,,
49,AS2021AC47,,,,,,,
50,AS2021AC48,,,,,,,
51,AS2021AC49,,,,,,,
52,AS2021AC50,,,,,,,
53,AS2021AC51,,,,,,,
54,AS2021AC52,,,,,,,
55,AS2021AC53,Father,Gauri Sankar Bhattacharyya,"Leader of Opposition, Assam Legislative Assembly",1983-1985,Gauhati East,Kamrup Metropolitan,Assam
56,AS2021AC54,,,,,,,
57,AS2021AC55,Mother,Bijoya Chakravarty,"Member of Parliament (Lok Sabha), Union Minister for Water Resources (1999-2004), Bharatiya Janata Party","1999-2004 (Union Minister), 1999-2004, 2009-2019 (MP, Guwahati)",Guwahati,Kamrup Metropolitan,Assam
58,AS2021AC56,,,,,,,
59,AS2021AC57,,,,,,,
60,AS2021AC58,,,,,,,
61,AS2021AC59,,,,,,,
62,AS2021AC60,Father,Bhumidhar Barman,"Former Chief Minister of Assam, Former Member of Assam Legislative Assembly","Multiple terms, including Chief Minister in 1996",Barkhetri,Nalbari,Assam
63,AS2021AC61,,,,,,,
64,AS2021AC62,,,,,,,
65,AS2021AC63,,,,,,,
66,AS2021AC64,,,,,,,
67,AS2021AC65,,,,,,,
68,AS2021AC66,,,,,,,
69,AS2021AC67,,,,,,,
70,AS2021AC68,,,,,,,
71,AS2021AC69,,,,,,,
72,AS2021AC70,,,,,,,
73,AS2021AC71,,,,,,,
74,AS2021AC72,,,,,,,
75,AS2021AC73,Father,Bishnu Prasad Rabha,Contested as a Communist Party of India candidate and political activist,1950s–1960s,Unknown,Unknown,Assam
76,AS2021AC74,,,,,,,
77,AS2021AC75,,,,,,,
78,AS2021AC76,,,,,,,
79,AS2021AC77,,,,,,,
80,AS2021AC78,,,,,,,
81,AS2021AC79,,,,,,,
82,AS2021AC80,,,,,,,
83,AS2021AC81,Father,Dr. Nazrul Islam,"Minister for Food and Civil Supplies, Minority Affairs and Health; MLA",MLA: 1996-2021 (five terms); Minister: 2002-2016 (three terms),Laharighat,Marigaon,Assam
84,AS2021AC82,,,,,,,
85,AS2021AC83,,,,,,,
86,AS2021AC84,Father,Kiran Bora,"MLA, Assam Legislative Assembly",Unknown (Prior to 2021),Batadroba,Nagaon,Assam
87,AS2021AC84,Father-in-law,Golap Borbora,Chief Minister of Assam,1977-1978,Unknown,Unknown,Assam
88,AS2021AC85,,,,,,,
89,AS2021AC86,,,,,,,
90,AS2021AC87,,,,,,,
91,AS2021AC88,Son,Tanzil Hussain,Congress candidate for Samaguri Assembly by-election,Contested 2024,Samaguri,Nagaon,Assam
92,AS2021AC89,,,,,,,
93,AS2021AC90,Brother,Badruddin Ajmal,"Member of Parliament, Lok Sabha",2009–present,Dhubri,Dhubri,Assam
94,AS2021AC90,Brother,Abdur Rahim Ajmal,Member of Assam Legislative Assembly,2014–2021,Jamunamukh,Nagaon,Assam
95,AS2021AC90,Nephew,Abdur Rehman Ajmal,Member of Assam Legislative Assembly,2019–2021,Salamnagar (by-election win),Nagaon,Assam
96,AS2021AC91,,,,,,,
97,AS2021AC92,,,,,,,
98,AS2021AC93,,,,,,,
99,AS2021AC94,,,,,,,
100,AS2021AC95,Mother,Rebati Das,Member of Assam Legislative Assembly (Jalukbari constituency),1972–1978,Jalukbari,Kamrup,Assam
101,AS2021AC95,Spouse,Nagen Neog,"Minister for Rural Development, Assam; Member of Assam Legislative Assembly (Golaghat constituency)","1983–1985, 1991–1996 (MLA); Minister in 1991–1996",Golaghat,Golaghat,Assam
102,AS2021AC96,,,,,,,
103,AS2021AC97,,,,,,,
104,AS2021AC99,,,,,,,
105,AS2021AC100,,,,,,,
106,AS2021AC101,Mother,Rupam Kurmi,"Cabinet Minister, Assam",Unknown,Unknown,Unknown,Assam
107,AS2021AC102,Spouse,Lalit Chandra Rajkhowa,"Member of Assam Legislative Assembly (MLA), Teok",Prior to 1991,Teok,Jorhat,Assam
108,AS2021AC103,,,,,,,
109,AS2021AC104,Father,Hiteswar Saikia,Chief Minister of Assam; MLA (Nazira); Governor of Mizoram,"Chief Minister: 1983–1985, 1991–1996; MLA: various terms until 1996; Governor: 1987–1989",Nazira,Sibsagar,Assam
110,AS2021AC104,Mother,Hemoprova Saikia,"Minister in Government of Assam; MLA (Nazira); Chairperson, Assam Tourism Development Corporation",MLA: 1996–2006; Minister: 2001–2006,Nazira,Sibsagar,Assam
111,AS2021AC105,,,,,,,
112,AS2021AC106,,,,,,,
113,AS2021AC107,,,,,,,
114,AS2021AC108,,,,,,,
115,AS2021AC109,,,,,,,
116,AS2021AC110,Spouse,Ranee Narah,"Union Minister of State (Tribal Affairs), Member of Parliament (Lok Sabha and Rajya Sabha)","Lok Sabha MP: 1998-1999, 1999-2004, 2009-2014; Rajya Sabha MP: 2016-2022; Union Minister: 2012-2014","Lakhimpur (Lok Sabha), Assam (Rajya Sabha)",Lakhimpur,Assam
117,AS2021AC111,,,,,,,
118,AS2021AC112,,,,,,,
119,AS2021AC113,,,,,,,
120,AS2021AC114,,,,,,,
