FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,CG2023AC01,,,,,,,
2,CG2023AC02,Daughter-in-law,Champa Jaiswal,"Contested for President, Nagar Panchayat, Jhagrahkhand","2025 (contested, not elected)",Jhagrahkhand Nagar Panchayat,Koriya,Chhattisgarh
3,CG2023AC03,Son,Vijay Rajwade,District Panchayat Member,Unknown,Unknown,Koriya,Chhattisgarh
4,CG2023AC04,,,,,,,
5,CG2023AC05,,,,,,,
6,CG2023AC06,,,,,,,
7,CG2023AC07,Father,Ram Lochan Netam,Unknown,Unknown,Unknown,Unknown,Unknown
8,CG2023AC07,Spouse,Pushpa Netam,District Panchayat President and Member,Unknown,"District Panchayat, Surguja",Surguja,Chhattisgarh
9,CG2023AC07,Daughter,Nisha Netam,District Panchayat President,Unknown,"District Panchayat, Balrampur",Balrampur,Chhattisgarh
10,CG2023AC08,Husband,Sidhnath Paikra,"Former MLA, Samri; Bharatiya Janata Party candidate",2013–2018 (MLA); Candidate 2018,Samri,Surguja,Chhattisgarh
11,CG2023AC09,Father,Bernard Samuel Minz,Councilor,Unknown,Unknown,Surguja,Chhattisgarh
12,CG2023AC10,,,,,,,
13,CG2023AC11,,,,,,,
14,CG2023AC12,,,,,,,
15,CG2023AC13,Grandfather,Budhnath Sai,Nominated Member of Legislative Assembly (MLA),1947-1952,Unknown,Jashpur,Chhattisgarh (then part of Madhya Pradesh)
16,CG2023AC13,Uncle,Narhari Prasad Sai,"MLA (Lailunga Assembly constituency 1962-1967, Bagicha Assembly Constituency 1972-1977), Member of Parliament (Lok Sabha, Raigarh constituency 1977-1980), Minister of State for Agriculture (Madhya Pradesh Government)",1962-1967; 1972-1977; 1977-1980,"Lailunga, Bagicha, Raigarh","Jashpur, Raigarh",Chhattisgarh (then part of Madhya Pradesh)
17,CG2023AC13,Uncle,Kedarnath Sai,MLA (Bagicha Assembly constituency),Unknown,Bagicha,Jashpur,Chhattisgarh (then part of Madhya Pradesh)
18,CG2023AC14,,,,,,,
19,CG2023AC15,,,,,,,
20,CG2023AC16,,,,,,,
21,CG2023AC17,,,,,,,
22,CG2023AC18,Father,Nand Kumar Patel,"Member of Legislative Assembly (MLA), President of Chhattisgarh Pradesh Congress Committee","Multiple terms as MLA (lastly till 2013), President of CPCC from 2011 until 2013",Kharsia,Raigarh,Chhattisgarh
23,CG2023AC19,,,,,,,
24,CG2023AC20,,,,,,,
25,CG2023AC21,Brother,Narendra Devangan,"Councillor (Parshad), Korba Nagar Nigam",2025-Present,"Ward 18, Korba Nagar Nigam",Korba,Chhattisgarh
26,CG2023AC22,,,,,,,
27,CG2023AC23,Father,Hira Singh Markam,"MLA, Founder and President of Gondwana Gantantra Party","MLA: 1998-2003, 1985-1990; President: 1991-2020",Pali-Tanakhar,Korba,Chhattisgarh
28,CG2023AC24,,,,,,,
29,CG2023AC25,,,,,,,
30,CG2023AC26,Father,Abhay Ram Sao,Senior activist of Jan Sangh (predecessor to BJP) and volunteer of Rashtriya Swayamsevak Sangh (RSS),"Unknown (Jan Sangh dissolved in 1977, RSS role ongoing until passing)",Unknown,Unknown,Chhattisgarh
31,CG2023AC27,,,,,,,
32,CG2023AC28,,,,,,,
33,CG2023AC29,,,,,,,
34,CG2023AC30,Father,Lakhiram Agrawal,"Former BJP State President, MLA (undivided Madhya Pradesh)",1990s-2000s,Kharsia,Raigarh,Madhya Pradesh/Chhattisgarh
35,CG2023AC31,,,,,,,
36,CG2023AC32,,,,,,,
37,CG2023AC33,,,,,,,
38,CG2023AC34,,,,,,,
39,CG2023AC35,Father,Bisahu Das Mahant,"MLA and State Minister, Madhya Pradesh (from Champa constituency)",Multiple terms between 1950s–1980s (exact years varied by source),Champa,Janjgir-Champa,Madhya Pradesh (now Chhattisgarh)
40,CG2023AC35,Spouse,Jyotsna Mahant,"Member of Parliament, Lok Sabha (Korba constituency)","2019–2024, 2024–present",Korba,Korba,Chhattisgarh
41,CG2023AC36,,,,,,,
42,CG2023AC37,,,,,,,
43,CG2023AC38,,,,,,,
44,CG2023AC39,,,,,,,
45,CG2023AC40,,,,,,,
46,CG2023AC41,Brother,Unknown,"Vice President, Pithora Janpad Panchayat",Current as of 2023,Pithora Janpad Panchayat,Mahasamund,Chhattisgarh
47,CG2023AC41,Brother,Unknown,"President, Pithora Nagar Panchayat",Current as of 2023,Pithora Nagar Panchayat,Mahasamund,Chhattisgarh
48,CG2023AC42,,,,,,,
49,CG2023AC43,,,,,,,
50,CG2023AC44,,,,,,,
51,CG2023AC46,,,,,,,
