FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,DL2025AC01,,,,,,,
2,DL2025AC02,,,,,,,
3,DL2025AC03,,,,,,,
4,DL2025AC04,,,,,,,
5,DL2025AC05,,,,,,,
6,DL2025AC06,,,,,,,
7,DL2025AC07,Father,Indraj Singh,"MLA, Narela Assembly, Delhi Legislative Assembly",1993-1998,Narela,Unknown,Delhi
8,DL2025AC08,,,,,,,
9,DL2025AC09,Father,Anand Mohan Jha,No evidence found of contesting or holding any political office,Unknown,Unknown,Unknown,Unknown
10,DL2025AC09,Spouse,Poonam Parashar Jha,"Political Leader and Academician (involvement declared in election affidavit, but no record of contesting or holding elected office found)",Unknown,Unknown,Unknown,Unknown
11,DL2025AC10,,,,,,,
12,DL2025AC11,,,,,,,
13,DL2025AC12,,,,,,,
14,DL2025AC13,Spouse,Dr. Shobha Vijender,"MCD Councillor, Ward No. 50; Member on the Bench of Magistrate Child Welfare Committee (under JJ Act 2000); Founder-President NGO 'Sampurna'",Dates not widely published for Councillor post; NGO starting from 1987,Ward No. 50,Unknown (Municipal jurisdiction under MCD),Delhi
15,DL2025AC14,,,,,,,
16,DL2025AC16,,,,,,,
17,DL2025AC17,,,,,,,
18,DL2025AC18,,,,,,,
19,DL2025AC20,Father,Parlad Singh Sawhney,Member of the Delhi Legislative Assembly (MLA),"1998-2008 (INC), 2008-2013 (INC), 2013-2015 (INC), 2015-2020 (INC), 2020-2025 (AAP)",Chandni Chowk,Central,Delhi
20,DL2025AC21,Father,Shoaib Iqbal,"Member of Delhi Legislative Assembly (Matia Mahal) for six terms (various parties, including AAP, Congress, and others); previously served as Deputy Speaker of Delhi Legislative Assembly","1993–2015, 2020–2025",Matia Mahal,Central,Delhi
21,DL2025AC22,,,,,,,
22,DL2025AC23,,,,,,,
23,DL2025AC24,,,,,,,
24,DL2025AC25,Father,Madan Lal Khurana,Chief Minister of Delhi; MP (Lok Sabha); Union Minister; Delhi MLA,"Chief Minister: 1993-1996; MP: 1998-2004; Minister of Parliamentary Affairs and Tourism: 2002–2003; MLA: Multiple terms including 1993, 2003","Moti Nagar (MLA), South Delhi (MP)","Central (MLA), South Delhi (MP)",Delhi
25,DL2025AC26,,,,,,,
26,DL2025AC27,,,,,,,
27,DL2025AC28,,,,,,,
28,DL2025AC29,,,,,,,
29,DL2025AC30,,,,,,,
30,DL2025AC31,,,,,,,
31,DL2025AC32,,,,,,,
32,DL2025AC33,,,,,,,
33,DL2025AC34,,,,,,,
34,DL2025AC35,Brother-in-law,Bharat Singh,MLA (Najafgarh),2013-2015,Najafgarh,South-West,Delhi
35,DL2025AC36,,,,,,,
36,DL2025AC37,Cousin,Dharam Dev Solanki,MLA (Member of Legislative Assembly),"Multiple terms (specific years not listed in cited public domain, but widely referred to as ex-MLA)",Palam,South-West,Delhi
37,DL2025AC38,,,,,,,
38,DL2025AC39,,,,,,,
39,DL2025AC40,Father,Sahib Singh Verma,"Chief Minister of Delhi (1996–1998), Union Minister of Labour (2002–2004), Member of Parliament (13th Lok Sabha), Member, Delhi Legislative Assembly",1993–2004 (various roles),"Outer Delhi (Lok Sabha), Mundka (Assembly)","West Delhi, Mundka",Delhi
40,DL2025AC40,Uncle,Azad Singh Verma,"Mayor of North Delhi Municipal Corporation, BJP Candidate for Mundka Assembly","Mayor: Unknown, Candidate: 2013",Mundka,North West Delhi,Delhi
41,DL2025AC40,Father-in-law,Vikram Verma,"Union Minister of Youth Affairs and Sports, Member of Parliament (Rajya Sabha), Cabinet Minister, Madhya Pradesh Government","Rajya Sabha: Multiple terms (2000s), Union Minister: 2002–2004",Rajya Sabha MP from Madhya Pradesh,Unknown,Madhya Pradesh
42,DL2025AC41,,,,,,,
43,DL2025AC42,,,,,,,
44,DL2025AC43,,,,,,,
45,DL2025AC44,,,,,,,
46,DL2025AC45,,,,,,,
47,DL2025AC46,Brother,Chatar Singh Tanwar,"Contested Elections (likely Municipal/Local level, not MLA)",Unknown,Unknown,Unknown,Delhi
48,DL2025AC46,Extended Family/Cousin,Brahm Singh Tanwar,"Member of Delhi Legislative Assembly, Former MLA",Multiple terms (most recently 2020-2025),Chhatarpur,South,Delhi
49,DL2025AC46,Extended Family/Cousin,Balram Tanwar,"Former MLA, Member of Delhi Legislative Assembly (Congress)","At least 2 terms, approx 2008-2013",Chhatarpur,South,Delhi
50,DL2025AC47,,,,,,,
51,DL2025AC48,,,,,,,
52,DL2025AC49,,,,,,,
53,DL2025AC50,,,,,,,
54,DL2025AC51,,,,,,,
55,DL2025AC52,,,,,,,
56,DL2025AC53,,,,,,,
57,DL2025AC54,,,,,,,
58,DL2025AC55,,,,,,,
59,DL2025AC56,,,,,,,
60,DL2025AC57,,,,,,,
61,DL2025AC58,,,,,,,
62,DL2025AC59,,,,,,,
63,DL2025AC60,,,,,,,
64,DL2025AC61,,,,,,,
65,DL2025AC62,,,,,,,
66,DL2025AC63,,,,,,,
67,DL2025AC64,,,,,,,
68,DL2025AC65,Father,Chaudhary Mateen Ahmad,"MLA, Seelampur (Delhi Assembly), Congress (1993-2015)",1993-2015,Seelampur,North-East,Delhi
69,DL2025AC65,Spouse,Shagufta Chaudhary,"Councillor, Chauhan Banger ward, Municipal Corporation of Delhi (Congress, later AAP)","Approx. 2022-2024 (MCD, Congress) / 2024-present (MCD, AAP)",Chauhan Banger ward,North-East,Delhi
70,DL2025AC66,,,,,,,
71,DL2025AC67,,,,,,,
72,DL2025AC68,,,,,,,
73,DL2025AC69,,,,,,,
