FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,GJ2022AC01,Father,Mahipatsinh Jadeja,"MLA (Independent), Gondal","1990, 1995",Gondal,Rajkot,Gujarat
2,GJ2022AC02,,,,,,,
3,GJ2022AC03,,,,,,,
4,GJ2022AC04,,,,,,,
5,GJ2022AC05,,,,,,,
6,GJ2022AC06,,,,,,,
7,GJ2022AC07,Father,Nagaji Thakor,Member of Block Panchayat,circa 1990s (exact years unknown),Unknown,Banaskantha,Gujarat
8,GJ2022AC08,,,,,,,
9,GJ2022AC09,,,,,,,
10,GJ2022AC10,,,,,,,
11,GJ2022AC11,,,,,,,
12,GJ2022AC12,,,,,,,
13,GJ2022AC13,Father,Gordhanji Gigaji Mali,"MLA Deesa; Chairman, Gujarat Water Resources Development Corporation","MLA (years currently not specified, but mentioned as 'former MLA'), Chairman (years also not specified)",Deesa,Banas Kantha,Gujarat
14,GJ2022AC14,,,,,,,
15,GJ2022AC15,,,,,,,
16,GJ2022AC16,,,,,,,
17,GJ2022AC17,,,,,,,
18,GJ2022AC18,,,,,,,
19,GJ2022AC19,,,,,,,
20,GJ2022AC20,,,,,,,
21,GJ2022AC21,,,,,,,
22,GJ2022AC22,,,,,,,
23,GJ2022AC23,,,,,,,
24,GJ2022AC24,,,,,,,
25,GJ2022AC25,,,,,,,
26,GJ2022AC26,,,,,,,
27,GJ2022AC27,,,,,,,
28,GJ2022AC28,Father,Ishwarlal Vora,Indian independence activist (but no record found of holding or contesting any political office post-independence),Unknown,Unknown,Unknown,Unknown
29,GJ2022AC29,Father,Amarsinh Chaudhary,"Chief Minister of Gujarat, Member of Parliament (Lok Sabha), Member of Gujarat Legislative Assembly",1970s–2004,Valsad (Lok Sabha); Vyara (Assembly),"Valsad, Tapi",Gujarat
30,GJ2022AC30,,,,,,,
31,GJ2022AC31,,,,,,,
32,GJ2022AC32,,,,,,,
33,GJ2022AC33,,,,,,,
34,GJ2022AC34,,,,,,,
35,GJ2022AC35,Father,Khodaji Thakor,Congress Leader (Local Level),Circa 1995 onward,Unknown,Unknown,Gujarat
36,GJ2022AC36,,,,,,,
37,GJ2022AC37,,,,,,,
38,GJ2022AC38,,,,,,,
39,GJ2022AC39,Father,Bharatbhai Patel,"Congress worker (local political involvement reported, but no elected or major contested position)",Unknown,Unknown,Unknown,Gujarat
40,GJ2022AC40,,,,,,,
41,GJ2022AC41,Self,Bhupendrabhai Rajnikant Patel,"Chief Minister of Gujarat, Member of Gujarat Legislative Assembly (Ghatlodia)","2017–present (MLA), 2021–present (CM)",Ghatlodia,Ahmadabad,Gujarat
42,GJ2022AC43,,,,,,,
43,GJ2022AC44,,,,,,,
44,GJ2022AC45,,,,,,,
45,GJ2022AC46,,,,,,,
46,GJ2022AC47,Father,Manoj Kukrani,Local BJP Worker (not elected),Unknown,Unknown,Ahmadabad,Gujarat
47,GJ2022AC47,Mother,Reshma Kukrani,"Corporator, Ahmedabad Municipal Corporation",Unknown,Unknown (Ahmedabad Municipal Corporation),Ahmadabad,Gujarat
48,GJ2022AC48,Son,Vishal Radadiya,Personal Assistant to Union Cabinet Minister Parshottam Rupala (BJP); not an elected office but a direct political appointment,Unknown,Unknown,Unknown,Gujarat
49,GJ2022AC49,,,,,,,
50,GJ2022AC50,,,,,,,
51,GJ2022AC51,,,,,,,
52,GJ2022AC52,,,,,,,
53,GJ2022AC53,,,,,,,
54,GJ2022AC54,,,,,,,
55,GJ2022AC55,,,,,,,
56,GJ2022AC56,,,,,,,
57,GJ2022AC57,,,,,,,
58,GJ2022AC58,,,,,,,
59,GJ2022AC59,,,,,,,
60,GJ2022AC60,,,,,,,
61,GJ2022AC61,Father,Jitubha Kesharisinh Rana,"MLA, Gujarat Legislative Assembly","1982 (by-election), 1990",Limbdi,Surendranagar,Gujarat
62,GJ2022AC62,,,,,,,
63,GJ2022AC63,,,,,,,
64,GJ2022AC64,,,,,,,
65,GJ2022AC65,Maternal Uncle,Amubhai Aghara,Constituency-level leader (Morbi),Unknown,Morbi,Rajkot,Gujarat
66,GJ2022AC66,,,,,,,
67,GJ2022AC67,,,,,,,
68,GJ2022AC68,,,,,,,
69,GJ2022AC69,,,,,,,
70,GJ2022AC70,,,,,,,
71,GJ2022AC71,,,,,,,
72,GJ2022AC72,,,,,,,
73,GJ2022AC74,Father,Vitthalbhai Hansrajbhai Radadiya,"Member of Gujarat Legislative Assembly (five terms 1990–2009); Member of Parliament, Lok Sabha (Porbandar constituency, 2009–2013)",1990–2019,"Dhoraji, Jetpur (MLA); Porbandar (MP)","Rajkot, Porbandar",Gujarat
74,GJ2022AC75,,,,,,,
75,GJ2022AC76,,,,,,,
76,GJ2022AC77,,,,,,,
77,GJ2022AC78,Uncle,Hari Singh Solanki,Senior Congress Leader,Unknown,Unknown,Rajkot,Gujarat
78,GJ2022AC79,,,,,,,
79,GJ2022AC80,,,,,,,
80,GJ2022AC81,,,,,,,
81,GJ2022AC82,,,,,,,
82,GJ2022AC83,,,,,,,
83,GJ2022AC84,Mother,Santokben Sarmanbhai Jadeja,Member of Gujarat Legislative Assembly (Kutiyana),1990–1995,Kutiyana,Porbandar,Gujarat
84,GJ2022AC85,,,,,,,
85,GJ2022AC86,,,,,,,
86,GJ2022AC87,,,,,,,
87,GJ2022AC88,,,,,,,
88,GJ2022AC89,,,,,,,
89,GJ2022AC90,,,,,,,
90,GJ2022AC91,Brother,Jashubhai Dhanabhai Barad,"Member of Parliament (Lok Sabha), Member of Gujarat Legislative Assembly, Minister in Gujarat Government","MLA (multiple terms till 2016), MP (2004-2009)","Junagadh (Lok Sabha), Somnath & Talala (Assembly)",Junagadh,Gujarat
91,GJ2022AC92,,,,,,,
92,GJ2022AC93,,,,,,,
93,GJ2022AC94,Father,Kakadiya Vallabhbhai Mandanbhai,No records found of contesting or holding political office,Unknown,Unknown,Unknown,Unknown
94,GJ2022AC95,,,,,,,
95,GJ2022AC96,,,,,,,
96,GJ2022AC97,,,,,,,
97,GJ2022AC98,Brother,Parsottambhai Odhavjibhai Solanki,"Cabinet Minister (Fisheries), Member of Gujarat Legislative Assembly","1998-present (multiple terms, including 2007-2012 Talaja, 2012-2017 Bhavnagar Rural, 2017-2022 Bhavnagar Rural)","Talaja (2007), Bhavnagar Rural (2012, 2017)",Bhavnagar,Gujarat
98,GJ2022AC99,,,,,,,
99,GJ2022AC100,,,,,,,
100,GJ2022AC101,,,,,,,
101,GJ2022AC102,,,,,,,
102,GJ2022AC103,Brother,Hira Solanki,"MLA, Gujarat Legislative Assembly (Rajula Constituency)",2012–present,Rajula,Amreli,Gujarat
103,GJ2022AC104,,,,,,,
104,GJ2022AC105,,,,,,,
105,GJ2022AC106,,,,,,,
106,GJ2022AC107,,,,,,,
107,GJ2022AC108,,,,,,,
108,GJ2022AC109,,,,,,,
109,GJ2022AC110,Grandfather,Ishwarsinh (Ishwarbhai) Chavda,Member of Parliament (Lok Sabha) from Anand,1957-1977 (five terms),Anand,Anand,Gujarat
110,GJ2022AC110,Maternal Cousin,Bharatsinh Solanki,Union Minister; Member of Parliament (Lok Sabha); Gujarat Congress State President,"1990s, 2000s, 2010s (various terms)",Anand,Anand,Gujarat
111,GJ2022AC110,Grandfather-in-law (maternal side),Madhavsinh Solanki,Chief Minister of Gujarat; Union Minister,1976-1990s (various terms),Various,Various,Gujarat
112,GJ2022AC111,,,,,,,
113,GJ2022AC112,,,,,,,
114,GJ2022AC113,Father,Rameshbhai Patel,Former MLA (Petlad),Unknown,Petlad,Anand,Gujarat
115,GJ2022AC114,,,,,,,
116,GJ2022AC115,,,,,,,
117,GJ2022AC116,,,,,,,
118,GJ2022AC117,,,,,,,
119,GJ2022AC118,,,,,,,
120,GJ2022AC119,Father,Ramsinh Parmar,"MLA (seven times) - Thasra (INC/BJP), Chairman of Gujarat Cooperative Milk Marketing Federation (Amul), Lok Sabha candidate (INC), Chairman of Amul Dairy (multiple terms), Contested Gujarat Assembly and Lok Sabha polls","MLA (various terms between 1990 and 2017), Chairman Amul Dairy (2002-2017, re-elected 2019), Chairman GCMMF (2018-2019), Lok Sabha 2014 candidate, others","Thasra (MLA), Panchmahal (Lok Sabha 2014 candidate)","Kheda (MLA Thasra), Panchmahal (LS)",Gujarat
121,GJ2022AC119,Brother,Maheshkumar Ramsinh Parmar,Contested Gujarat Assembly Election 2022 as Independent from Thasra,Contested 2022,Thasra,Kheda,Gujarat
122,GJ2022AC120,,,,,,,
123,GJ2022AC121,,,,,,,
124,GJ2022AC122,,,,,,,
125,GJ2022AC124,,,,,,,
126,GJ2022AC125,,,,,,,
127,GJ2022AC126,,,,,,,
128,GJ2022AC127,,,,,,,
129,GJ2022AC128,,,,,,,
130,GJ2022AC129,,,,,,,
131,GJ2022AC130,,,,,,,
132,GJ2022AC131,,,,,,,
133,GJ2022AC132,,,,,,,
134,GJ2022AC133,,,,,,,
135,GJ2022AC134,Son,Kiran Khabad,Contested local office; involved in political activities; firm received government contracts tied to local administration,Unknown,Unknown,Dohad,Gujarat
136,GJ2022AC134,Son,"Unknown (Second son, name not confirmed in verified sources)",Contested local office; involved in political activities; firm received government contracts tied to local administration,Unknown,Unknown,Dohad,Gujarat
137,GJ2022AC134,Nephew,Unknown (Name not confirmed in verified sources),Contested or held local political office; involved in political activities as mentioned in major news reports,Unknown,Unknown,Dohad,Gujarat
138,GJ2022AC135,,,,,,,
139,GJ2022AC136,,,,,,,
140,GJ2022AC137,Father,Mohansinh Chhotubhai Rathava,"Member of Legislative Assembly (MLA), Gujarat (ten terms); Former Congress leader, joined BJP in 2022",1972–2022 (various terms),Chhota Udaipur,Vadodara,Gujarat
141,GJ2022AC138,,,,,,,
142,GJ2022AC139,,,,,,,
143,GJ2022AC140,,,,,,,
144,GJ2022AC141,Father-in-law,Dahya Rohit,Contested Gujarat Vidhan Sabha elections,1995,Karjan,Vadodara,Gujarat
145,GJ2022AC142,,,,,,,
146,GJ2022AC143,Father,Makarandbhai Desai,"MLA, Gujarat Legislative Assembly (Baroda City, 1980); Key BJP and Jan Sangh organizer in Gujarat",1980,Baroda City,Vadodara,Gujarat
147,GJ2022AC144,,,,,,,
148,GJ2022AC145,,,,,,,
149,GJ2022AC146,,,,,,,
150,GJ2022AC147,,,,,,,
151,GJ2022AC148,,,,,,,
152,GJ2022AC149,,,,,,,
153,GJ2022AC150,,,,,,,
154,GJ2022AC152,,,,,,,
155,GJ2022AC153,,,,,,,
156,GJ2022AC154,Father,Thakorsinh Patel,"MLA, Bharatiya Janata Party (BJP), Ankleshwar",1990,Ankleshwar,Bharuch,Gujarat
