FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,HP2022AC02,Uncle,Thakur Singh Bharmouri,"Former MLA, Minister (Indian National Congress)","Multiple terms: notably 1982–1985, 1993–1998, 2003–2007, 2012–2017",Bharmour,Chamba,Himachal Pradesh
2,HP2022AC03,Father,Sagar Chand Nayar,"Education Minister of Himachal Pradesh, Congress veteran leader",1985-1990,Unknown,Unknown,Himachal Pradesh
3,HP2022AC04,,,,,,,
4,HP2022AC05,,,,,,,
5,HP2022AC06,,,,,,,
6,HP2022AC07,,,,,,,
7,HP2022AC08,Father,Sujan Singh Pathania,"Cabinet Minister (multiple portfolios), MLA","MLA: Seven terms (1985–2021), Minister: various terms",Fatehpur,Kangra,Himachal Pradesh
8,HP2022AC09,Son,Neeraj Bharti,"Chief Parliamentary Secretary (Department of Education), MLA",2012-2017,Jawali,Kangra,Himachal Pradesh
9,HP2022AC09,Daughter-in-law,Monika Bharti,Former Congress Youth President (Himachal Pradesh),Unknown,Unknown,Unknown,Himachal Pradesh
10,HP2022AC10,,,,,,,
11,HP2022AC11,,,,,,,
12,HP2022AC12,,,,,,,
13,HP2022AC13,Father,Milkhi Ram Goma,Member of Himachal Pradesh Vidhan Sabha (MLA),Unknown (held office prior to 2012),Unknown,Kangra,Himachal Pradesh
14,HP2022AC14,,,,,,,
15,HP2022AC15,Father,G.S. Bali,"MLA (Nagrota Bagwan), Cabinet Minister (Transport, Food, Civil Supplies, Consumer Affairs, Technical Education) in Himachal Pradesh Government",1998-2021,Nagrota Bagwan,Kangra,Himachal Pradesh
16,HP2022AC16,,,,,,,
17,HP2022AC17,,,,,,,
18,HP2022AC19,Father,Brij Behari Lal Butail,"12th Speaker of Himachal Pradesh Legislative Assembly, Former MLA, Revenue Minister, Political Adviser to Chief Minister","1985–1990, 1993–2008, 2012–2017 (various posts)",Palampur,Kangra,Himachal Pradesh
