FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,KA2023AC01,Husband,Annasaheb Shankar Jolle,"Member of Parliament, Lok Sabha (Chikkodi); Former MLA (Chikkodi-Sadalga constituency, Karnataka Assembly)","Lok Sabha: 2019-2024; MLA: 2013-2018, 2018 (lost Chikkodi-Sadalga but was prominent candidate)",Chikkodi (Lok Sabha); Chikkodi-Sadalga (Assembly),Belgaum,Karnataka
2,KA2023AC02,Father,Prakash Babanna Hukkeri,"Member of Parliament (Lok Sabha) from Chikkodi, Member of Legislative Council (North West Teachers' Constituency), former Cabinet Minister of Sugar, Small Business and Charity, Karnataka; MLA from Chikkodi-Sadalga","MP: 2014-2019; MLC: 2022–present; Minister: 2013-2014; MLA: (multiple terms, including pre-2014)","Chikkodi (Lok Sabha), North West Teachers' Constituency (MLC), Chikkodi-Sadalga (Assembly)",Belgaum,Karnataka
3,KA2023AC03,,,,,,,
4,KA2023AC04,,,,,,,
5,KA2023AC05,,,,,,,
6,KA2023AC06,,,,,,,
7,KA2023AC07,Father,Umesh Vishwanath Katti,"Minister of Food, Civil Supplies & Consumer Affairs, Minister of Forest, Member of Karnataka Legislative Assembly (Hukkeri); eight-term MLA",1985–2022,Hukkeri,Belgaum,Karnataka
8,KA2023AC07,Uncle,Ramesh Vishwanath Katti,Member of Parliament (Lok Sabha) from Chikkodi; Ex-chairman Belgaum District Central Cooperative Bank,2009–2014 (MP),Chikkodi (MP),Belgaum,Karnataka
9,KA2023AC07,Grandfather,Vishwanath Mallappa Katti,Member of Karnataka Legislative Assembly (Hukkeri); MLA,Unknown–1985,Hukkeri,Belgaum,Karnataka
10,KA2023AC08,Brother,Ramesh Laxmanrao Jarkiholi,"MLA, Minister, Cabinet Minister (repeatedly held ministerial positions: Small Scale Industries, Water Resources)",2005-present (multiple terms; various ministries between 2013-2023),Gokak,Belgaum,Karnataka
11,KA2023AC08,Brother,Satish Laxmanrao Jarkiholi,"MLA, Minister, Cabinet Minister (PWD; Social Welfare; contested MP as well)",2005-present (multiple terms; ministries from 2008-2023),Yamakanamaradi,Belgaum,Karnataka
12,KA2023AC08,Brother,Bhimshi Laxmanrao Jarkiholi,Contested as MLA (often as Independent/BJP),"Contested 2008 assembly election, other local roles, active in local politics",Gokak,Belgaum,Karnataka
13,KA2023AC08,Brother,Lakhan Laxmanrao Jarkiholi,"MLA, Local Councillor (Congress, previously independent contestant)","Won council seat 2021, contested assembly 2019-2023",Gokak,Belgaum,Karnataka
14,KA2023AC08,Niece,Priyanka Satish Jarkiholi,"MP, Member of Parliament (Lok Sabha)",2024-present,Chikkodi,Belgaum,Karnataka
15,KA2023AC09,Brother,Satish Laxmanrao Jarkiholi,"Cabinet Minister, Member of Legislative Assembly (Yemakanmardi), Former Member of Legislative Council, Elected MP (Chikkodi Lok Sabha 2024)","2005–present (MLC and MLA), 2024–present (MP)","Yemakanmardi (Vidhana Sabha), Chikkodi (Lok Sabha)",Belgaum,Karnataka
16,KA2023AC09,Brother,Balachandra Laxmanrao Jarkiholi,Member of Legislative Assembly,2008–present,Arabhavi,Belgaum,Karnataka
17,KA2023AC09,Brother,Lakhan Laxmanrao Jarkiholi,Member of Legislative Council (Independent),2023–present,Belagavi Local Authorities,Belgaum,Karnataka
18,KA2023AC09,Brother,Bhimshi Laxmanrao Jarkiholi,"Contested MLA (Gokak, BJP 2013 and 2008 against brother Ramesh)","2008, 2013 (Candidate)",Gokak,Belgaum,Karnataka
19,KA2023AC09,Niece (Brother's daughter),Priyanka Satish Jarkiholi,"Member of Parliament (Chikkodi, Lok Sabha)",2024–present,Chikkodi,Belgaum,Karnataka
20,KA2023AC10,Brother,Ramesh Jarkiholi,"Member of Karnataka Legislative Assembly, former Cabinet Minister","1989–present (various terms); Minister (various periods, most recently until 2021)",Gokak,Belgaum,Karnataka
21,KA2023AC10,Brother,Balachandra Jarkiholi,Member of Karnataka Legislative Assembly,2008–present,Arabhavi,Belgaum,Karnataka
22,KA2023AC10,Brother,Lakhan Jarkiholi,Member of Karnataka Legislative Council (Independent),2021–present,Elected from Belgaum Local Authorities,Belgaum,Karnataka
23,KA2023AC10,Daughter,Priyanka Jarkiholi,"Member of Parliament, Lok Sabha",2024–present,Chikkodi,Belgaum,Karnataka
24,KA2023AC10,Son,Rahul Jarkiholi,"General Secretary, Karnataka Pradesh Youth Congress",2025–present,Not applicable (party post),Belgaum,Karnataka
25,KA2023AC11,Brother,Firoz Sait,Member of the Karnataka Legislative Assembly (Ex-MLA),2004–2018,Belgaum Uttar,Belgaum,Karnataka
26,KA2023AC12,,,,,,,
27,KA2023AC13,Son,Mrinal Hebbalkar,"Lok Sabha candidate (INC), Belgaum; Youth Congress office bearer",2024 (Lok Sabha candidate); active in Youth Congress prior,Belgaum (Lok Sabha),Belgaum,Karnataka
28,KA2023AC13,Brother,Channaraj Hattiholi,Member of Legislative Council (MLC),2023–present (at least),Unknown,Belgaum,Karnataka
29,KA2023AC14,,,,,,,
30,KA2023AC15,,,,,,,
31,KA2023AC16,Father,Shivanand Koujalagi,"Member of Legislative Assembly (MLA), Karnataka","1982-1983, 1983-1985, 1989-1994, 1996-2004",Bailhongal,Belgaum,Karnataka
32,KA2023AC17,,,,,,,
33,KA2023AC18,Father,Mahadevappa C Pattan,"Former MLA, Ramdurg; Freedom fighter","Unknown (prior to Ashok Mahadevappa Pattan's tenure, passed away in 2018)",Ramdurg,Belgaum,Karnataka
34,KA2023AC19,,,,,,,
35,KA2023AC20,,,,,,,
36,KA2023AC21,,,,,,,
37,KA2023AC22,,,,,,,
38,KA2023AC23,Son,Bhimsen Chimmanakatti,"MLA, Karnataka Legislative Assembly",2023-present,Badami,Bagalkot,Karnataka
39,KA2023AC24,,,,,,,
40,KA2023AC25,Father,Shivashankrappa Rachappa Kashappanavar,"Member of the Karnataka Legislative Assembly (MLA), Hungund","Three terms, years not specified",Hungund,Bagalkot,Karnataka
41,KA2023AC26,Father,Shankarao Neelkantharao Nadagouda,Former Member of Karnataka Legislative Assembly (MLA),"1983-1985, 1989-1994",Muddebihal,Bijapur,Karnataka
42,KA2023AC27,,,,,,,
43,KA2023AC28,Brother,Vijugouda Patil,"Politician, Bharatiya Janata Party (BJP)",Unknown,Unknown,Unknown,Karnataka
44,KA2023AC29,Father,B.M. (Basanagouda) Patil,"Member of Karnataka Legislative Assembly, Parliamentarian","Multiple terms, until his death in 1990",Unknown,Bijapur (now Vijayapura),Karnataka
45,KA2023AC30,,,,,,,
46,KA2023AC31,,,,,,,
47,KA2023AC32,,,,,,,
48,KA2023AC33,Father,M. C. Managuli,Member of Karnataka Legislative Assembly (MLA),"2018–2021, 1994–1999",Sindgi,Bijapur,Karnataka
49,KA2023AC33,Brother,Shantaveer Managuli,"Contested in by-elections for MLA, Sindgi (JD(S) ticket)","2021 (Contested, not elected)",Sindgi,Bijapur,Karnataka
50,KA2023AC34,,,,,,,
51,KA2023AC35,Father,Dharam Singh,Former Chief Minister of Karnataka; Member of Parliament (Lok Sabha and Rajya Sabha); MLA (Jewargi and other constituencies),1972-2017 (multiple terms),"Jewargi (MLA), Bidar (MP Lok Sabha)",Gulbarga (Jewargi MLA),Karnataka
52,KA2023AC36,Father,Raja Kumar Naik,"Member of Legislative Assembly (MLA), Indian National Congress (INC)","1978, 1983",Shorapur,Gulbarga (now Yadgir),Karnataka
53,KA2023AC36,Son,Raja Venugopal Naik,"Member of Legislative Assembly (MLA), Indian National Congress (INC)",2024–present,Shorapur,Yadgir,Karnataka
54,KA2023AC37,Father,Bapugouda Darshanapur,"MLA for Shahapur constituency, Minister for Small Scale Industries, Chief Whip and Chairman of KHB","1983-1985, 1989-1994, 1994-1999 (multiple terms as MLA, specific ministerial years: Unknown)",Shahapur,Gulbarga,Karnataka
55,KA2023AC38,,,,,,,
