FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,MP2023AC01,,,,,,,
2,MP2023AC02,,,,,,,
3,MP2023AC03,,,,,,,
4,MP2023AC04,,,,,,,
5,MP2023AC05,Nephew,KP Kansana,Contested as a Congress leader (political candidate),2024 (contested),Unknown,Morena,Madhya Pradesh
6,MP2023AC06,,,,,,,
7,MP2023AC07,Sister,Manju Singh Sikarwar,"Politician (details of office not specified, but active in politics)",Unknown,Unknown,Unknown,Madhya Pradesh
8,MP2023AC08,,,,,,,
9,MP2023AC09,Father,Satyadev Katare,"MLA (Ater); Home Minister of Madhya Pradesh; Leader of Opposition, Madhya Pradesh Legislative Assembly","1985–2016 (multiple terms as MLA, 1993–1998 Home Minister, 2014–2016 Leader of Opposition)",Ater,Bhind,Madhya Pradesh
10,MP2023AC10,,,,,,,
11,MP2023AC11,Brother-in-law,Sudhanshu Dwivedi,"None elected/contested officially reported, but repeatedly identified in press as Ambrish Sharma 'Guddu''s brother-in-law and associated with major public controversy and political news coverage",Unknown,Unknown,Unknown,Madhya Pradesh
12,MP2023AC12,Father,Shiv Kumar Shukla,"District President, BJP (Bhind)",1982-1985,N/A,Bhind,Madhya Pradesh
13,MP2023AC13,Brother,Lakhan Singh Desai,District-level Congress Leader,Unknown,Unknown,Bhind,Madhya Pradesh
14,MP2023AC14,,,,,,,
15,MP2023AC15,,,,,,,
16,MP2023AC16,Father,Gajraj Singh Sikarwar,"Former MLA (Sumawali, Morena)","1990s, 2000s",Sumawali,Morena,Madhya Pradesh
17,MP2023AC16,Brother,Satyapal Singh 'Nitu' Sikarwar,"Former MLA (Sumawali), 2024 Lok Sabha Candidate (Morena)","2013-2018 (MLA), 2024 (LS Candidate)",Sumawali (MLA); Morena (Lok Sabha candidate),Morena,Madhya Pradesh
18,MP2023AC16,Sister-in-law,Shobha Sikarwar,Mayor of Gwalior,2022-Present,Gwalior Municipal Corporation,Gwalior,Madhya Pradesh
19,MP2023AC18,,,,,,,
20,MP2023AC19,,,,,,,
21,MP2023AC20,,,,,,,
22,MP2023AC22,Father,Shyam Sundar Shyam,"Member of Legislative Assembly (MLA), Deputy Speaker of Vindhya Pradesh","Five terms as MLA (years span not wholly specified, active primarily in 1950s-1980s)",Datia,Datia,Madhya Pradesh
23,MP2023AC23,,,,,,,
24,MP2023AC24,,,,,,,
25,MP2023AC25,,,,,,,
26,MP2023AC26,Extended Relative (Cousin/Aunt),Uma Bharti,"Former Chief Minister of Madhya Pradesh, Former Union Minister, Multiple-time MLA and Lok Sabha MP","1993-2004, 2014-2019, various terms","Bhander (MP Assembly), Jhansi (Lok Sabha), and others","Datia (MP Assembly), Jhansi (Lok Sabha)","Madhya Pradesh (Assembly), Uttar Pradesh (Lok Sabha)"
27,MP2023AC27,Father,Ram Singh Yadav,"Former MLA, Kolaras",Year of death: 2018; elected terms prior to Mahendra Ramsingh Yadav Khatora,Kolaras,Shivpuri,Madhya Pradesh
28,MP2023AC28,Father,Kanhaiyalal Agrawal,"MLA (Bamori), Minister of State (Madhya Pradesh), Contested as Independent and as Congress in 2013 and 2018","MLA: Prior to 2013 (twice); Minister of State: 2008; Contested: 2013, 2018",Bamori,Guna,Madhya Pradesh
29,MP2023AC29,,,,,,,
30,MP2023AC30,,,,,,,
31,MP2023AC32,,,,,,,
32,MP2023AC33,,,,,,,
33,MP2023AC34,Spouse,Suvita Yadav,"Vice-President, Panchayat Samiti (Block), Amrod",2010,Amrod (Panchayat Samiti seat),Ashoknagar,Madhya Pradesh
34,MP2023AC34,Father,Gajram Singh Yadav,"Social Worker, Politician, Farmer",Unknown,Unknown,Ashoknagar,Madhya Pradesh
35,MP2023AC35,,,,,,,
36,MP2023AC36,,,,,,,
37,MP2023AC37,Brother,Gulab Singh Rajput,Janpad Panchayat President (contested and held),Unknown,Unknown (Janpad Panchayat level),Sagar,Madhya Pradesh
38,MP2023AC38,Daughter,Priyanka Pateriya,Active political representative and works as assembly representative for her father in the Deori constituency,Unknown,Deori,Sagar,Madhya Pradesh
39,MP2023AC38,Niece-in-law,Vineet Pateriya's Wife,"President, Deori Janpad Panchayat (Block-level elected body)",Unknown,Deori Janpad Panchayat,Sagar,Madhya Pradesh
40,MP2023AC40,,,,,,,
41,MP2023AC41,Younger Brother,Sunil Jain,Former MLA (Deori),Unknown,Deori,Sagar,Madhya Pradesh
42,MP2023AC41,Sister-in-law,Nidhi Sunil Jain,"Contested MLA (INC, 2023), Former Mayoral candidate","2023 (assembly contender), 2022 (mayor contender)","Sagar (Assembly), Sagar (Mayor)",Sagar,Madhya Pradesh
43,MP2023AC42,,,,,,,
44,MP2023AC43,,,,,,,
45,MP2023AC44,,,,,,,
46,MP2023AC45,Father,Brajendra Singh Rathore,"MLA, Cabinet Minister (State)",Multiple terms (1993-2021),Prithvipur,Tikamgarh,Madhya Pradesh
47,MP2023AC46,,,,,,,
48,MP2023AC47,,,,,,,
49,MP2023AC48,Father,Manvendra Singh,MLA (Independent),2018,Maharajpur,Chhatarpur,Madhya Pradesh
50,MP2023AC49,,,,,,,
51,MP2023AC50,,,,,,,
52,MP2023AC51,,,,,,,
53,MP2023AC52,,,,,,,
54,MP2023AC53,,,,,,,
55,MP2023AC54,,,,,,,
56,MP2023AC55,Son,Siddharth Malaiya,Member of Bharatiya Janata Party (BJP); was suspended and later rejoined the party ahead of Assembly Elections 2023,"Suspended in 2021, rejoined 2023",Unknown,Damoh,Madhya Pradesh
57,MP2023AC56,,,,,,,
58,MP2023AC57,,,,,,,
59,MP2023AC58,,,,,,,
60,MP2023AC59,,,,,,,
61,MP2023AC60,,,,,,,
62,MP2023AC61,,,,,,,
63,MP2023AC63,Father,Sukhlal Kushwaha,Member of Parliament (Lok Sabha) from Satna,1999-2004,Satna,Satna,Madhya Pradesh
64,MP2023AC64,Father,Mahendra Singh,Maharaja of Nagod (erstwhile royal family head); held titular and traditional leadership but did not contest modern democratic political office,Unknown (pre-independence and post-independence as royal/head),Nagod (Traditional Royal Estate),Satna,Madhya Pradesh
65,MP2023AC65,,,,,,,
66,MP2023AC66,Father,Shivmohan Singh,Member of Legislative Assembly (MLA),1998,Amarpatan,Satna,Madhya Pradesh
67,MP2023AC67,Father,Harsh Singh,Member of Madhya Pradesh Legislative Assembly (MLA),Multiple terms prior to 2018,Rampur-Baghelan,Satna,Madhya Pradesh
68,MP2023AC68,Father,Pushpraj Singh,"Madhya Pradesh Cabinet Minister, MLA (Rewa constituency)",1990–2018 (multiple terms as MLA); Minister in Digvijaya Singh government (dates circa 1998–2003),Rewa,Rewa,Madhya Pradesh
69,MP2023AC69,Wife,Neelam Abhay Mishra,"Congress Lok Sabha candidate, contested from Rewa constituency (2024)",2024 (contested),Rewa,Rewa,Madhya Pradesh
70,MP2023AC70,Father,Sundar Lal Tiwari,Member of Parliament (Lok Sabha) and Member of Madhya Pradesh Legislative Assembly,"MP (1999–2004), MLA (multiple terms)",Rewa (Lok Sabha); various for MLA,Rewa,Madhya Pradesh
71,MP2023AC70,Grandfather,Sriniwas Tiwari,"Speaker, Madhya Pradesh Legislative Assembly; Member of Legislative Assembly","Speaker (1993–1998, 2003–2008), MLA (multiple terms)",Teonthar (and others),Rewa,Madhya Pradesh
72,MP2023AC71,,,,,,,
73,MP2023AC72,Nephew,Padmesh Gautam,Contested Madhya Pradesh Assembly Elections 2023 as Congress candidate,2023,Deotalab,Rewa,Madhya Pradesh
74,MP2023AC73,,,,,,,
75,MP2023AC74,,,,,,,
76,MP2023AC75,,,,,,,
77,MP2023AC76,Father,Arjun Singh,"Chief Minister of Madhya Pradesh; Union Minister of Human Resource Development; Governor of Punjab; Vice President, All India Congress Committee","Chief Minister (1980–1985, 1988–1989), Union Minister (several terms between 1985 and 2004), Governor of Punjab (1985), AICC Vice President (dates not specified)","Multiple (MP Legislative Assembly: Churhat; Lok Sabha: Satna, Sidhi)","Sidhi, Satna (among others)",Madhya Pradesh
78,MP2023AC76,Grandfather,Rao Shiv Bahadur Singh,Union Cabinet Minister (under Jawaharlal Nehru),Late 1940s–1950s,Unknown,Sidhi,Madhya Pradesh
79,MP2023AC77,,,,,,,
80,MP2023AC78,,,,,,,
81,MP2023AC79,Father-in-law,Jagannath Singh,"Minister, Member of Lok Sabha, Member of Madhya Pradesh Legislative Assembly, Rajya Sabha Member","1977-1999 (MLA, Minister, MP Lok Sabha, MP Rajya Sabha, various terms)","Sidhi (Lok Sabha), Chitrangi (MLA), Sidhi (MLA), Madhya Pradesh (Rajya Sabha)",Sidhi,Madhya Pradesh
82,MP2023AC80,,,,,,,
83,MP2023AC81,,,,,,,
84,MP2023AC82,,,,,,,
85,MP2023AC83,,,,,,,
86,MP2023AC84,,,,,,,
87,MP2023AC85,,,,,,,
88,MP2023AC86,,,,,,,
89,MP2023AC87,,,,,,,
90,MP2023AC88,,,,,,,
91,MP2023AC89,Father,Gyan Singh,"Member of Parliament (Lok Sabha), MLA (Bandhavgarh, Madhya Pradesh Assembly)","Multiple terms, including Lok Sabha MP elected in 2016, MLA prior to 2016","Shahdol (Lok Sabha), Bandhavgarh (Assembly)","Shahdol, Umaria",Madhya Pradesh
92,MP2023AC90,,,,,,,
93,MP2023AC91,,,,,,,
94,MP2023AC92,Father,Satyendra Pathak,"Cabinet Minister, MLA Vijayraghavgarh","1993–1998 (Minister), Multiple terms as MLA",Vijayraghavgarh,Katni,Madhya Pradesh
95,MP2023AC93,,,,,,,
