FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,ML2023AC01,Spouse,Dikkanchi D. Shira,"Member of Legislative Assembly (MLA), Meghalaya","2013–2018, 2023–present",Mahendraganj,South West Garo Hills,Meghalaya
2,ML2023AC01,Daughter,Miani D. Shira,"Member of Legislative Assembly (MLA), Meghalaya",2018–present,Ampati,South West Garo Hills,Meghalaya
3,ML2023AC01,Brother,Zenith Sangma,"Member of Legislative Assembly (MLA), Meghalaya; Former Minister for Sports and Youth Affairs","2003–2008, 2013–2023",Rangsakona,South West Garo Hills,Meghalaya
4,ML2023AC01,Sister-in-law (Brother's wife),Sadhiarani Sangma,"Member of District Council (MDC), Garo Hills Autonomous District Council",2015–2020,Gambegre,West Garo Hills,Meghalaya
5,ML2023AC02,,,,,,,
6,ML2023AC03,,,,,,,
7,ML2023AC04,,,,,,,
8,ML2023AC05,Father,Kor Sympli,"Member, Jaintia Hills Autonomous District Council (MDC)",Unknown,Unknown,Jaintia Hills,Meghalaya
9,ML2023AC06,,,,,,,
10,ML2023AC07,,,,,,,
11,ML2023AC08,,,,,,,
12,ML2023AC09,Father,Peter G. Marbaniang,"Member of Parliament (Lok Sabha), Speaker of Meghalaya Legislative Assembly","MP: 1989-1996, Speaker: 1993-1998",Shillong (Lok Sabha constituency),East Khasi Hills,Meghalaya
13,ML2023AC09,Brother,Robert Garnett Lyngdoh,"Member of Legislative Assembly, Home Minister of Meghalaya","MLA: 1998-2008, Home Minister: 2003-2008",Laitumkhrah,East Khasi Hills,Meghalaya
14,ML2023AC09,Spouse,Fantin Joseph Lakadong,"Member, District Council (MDC), Khasi Hills Autonomous District Council",Unknown,Unknown,East Khasi Hills,Meghalaya
15,ML2023AC10,,,,,,,
16,ML2023AC11,,,,,,,
17,ML2023AC12,,,,,,,
18,ML2023AC13,,,,,,,
19,ML2023AC14,,,,,,,
20,ML2023AC15,,,,,,,
21,ML2023AC16,Cousin,Nathaniel Rymmai,"Contested Meghalaya Legislative Assembly (Sohiong), Congress Candidate",2023,Sohiong,East Khasi Hills,Meghalaya
22,ML2023AC16,Uncle,HDR Lyngdoh,"Minister, MLA (Sohiong), United Democratic Party",Multiple terms until 2023 (deceased),Sohiong,East Khasi Hills,Meghalaya
23,ML2023AC17,,,,,,,
24,ML2023AC18,,,,,,,
25,ML2023AC19,Father,Donkupar Roy,"Chief Minister of Meghalaya, Speaker of Meghalaya Legislative Assembly, President of United Democratic Party, MLA (Shella)",Multiple terms as MLA until 2019; Chief Minister (2008-2009); Speaker (last held office until July 2019),Shella,East Khasi Hills,Meghalaya
26,ML2023AC20,,,,,,,
27,ML2023AC21,,,,,,,
28,ML2023AC22,,,,,,,
29,ML2023AC23,,,,,,,
30,ML2023AC24,,,,,,,
31,ML2023AC25,,,,,,,
32,ML2023AC26,,,,,,,
33,ML2023AC27,,,,,,,
34,ML2023AC28,,,,,,,
35,ML2023AC29,,,,,,,
36,ML2023AC30,,,,,,,
37,ML2023AC31,,,,,,,
38,ML2023AC32,,,,,,,
39,ML2023AC33,Father,Ngaitlang Dhar,"MLA, Meghalaya Legislative Assembly",2013-2018,Umroi,Ri Bhoi,Meghalaya
40,ML2023AC33,Uncle,Sniawbhalang Dhar,"MLA & Deputy Chief Minister, Meghalaya Legislative Assembly",2013-present,Nartiang,West Jaintia Hills,Meghalaya
41,ML2023AC34,,,,,,,
42,ML2023AC35,,,,,,,
43,ML2023AC36,,,,,,,
44,ML2023AC37,Father,Mukul Sangma,"Chief Minister of Meghalaya, Member of Legislative Assembly (MLA)","2008–2018 (CM), MLA since 1993",Ampati,South West Garo Hills,Meghalaya
45,ML2023AC37,Mother,Dikkanchi D Shira,Member of Legislative Assembly (MLA),"2013–2018, 2023–present",Mahendraganj,South West Garo Hills,Meghalaya
46,ML2023AC37,Husband,Daryll William Cheran Momin,Contested Assembly elections,2023,North Tura,West Garo Hills,Meghalaya
47,ML2023AC37,Paternal Uncle,Zenith M. Sangma,"Member of Legislative Assembly (MLA), Minister (Sports & Youth Affairs, Meghalaya)","2003–2008, 2013–present",Rangsakona,South West Garo Hills,Meghalaya
48,ML2023AC37,Husband's Grandfather,Williamson A. Sangma,"Chief Minister of Meghalaya, Member of Parliament","First CM of Meghalaya (1972–1978, 1983–1988), MP 1952–1967","Baghmara (as MP, various as MLA)",South Garo Hills,Meghalaya
49,ML2023AC38,,,,,,,
50,ML2023AC39,,,,,,,
51,ML2023AC40,,,,,,,
52,ML2023AC41,,,,,,,
53,ML2023AC42,,,,,,,
54,ML2023AC43,,,,,,,
55,ML2023AC44,,,,,,,
56,ML2023AC45,,,,,,,
57,ML2023AC46,,,,,,,
58,ML2023AC47,,,,,,,
59,ML2023AC48,,,,,,,
60,ML2023AC49,Father,Purno Agitok Sangma,"Chief Minister of Meghalaya, Speaker of the Lok Sabha, MP, MLA",Chief Minister: 1988-1990; Speaker: 1996-1998; MP Various: 1977-2016; MLA: various terms,"Tura (Lok Sabha), multiple Assembly constituencies",West Garo Hills (for Tura),Meghalaya
