FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,MZ2023AC01,,,,,,,
2,MZ2023AC02,,,,,,,
3,MZ2023AC03,,,,,,,
4,MZ2023AC04,,,,,,,
5,MZ2023AC05,,,,,,,
6,MZ2023AC06,,,,,,,
7,MZ2023AC07,,,,,,,
8,MZ2023AC08,,,,,,,
9,MZ2023AC09,,,,,,,
10,MZ2023AC10,,,,,,,
11,MZ2023AC11,,,,,,,
12,MZ2023AC12,,,,,,,
13,MZ2023AC13,,,,,,,
14,MZ2023AC14,,,,,,,
15,MZ2023AC15,,,,,,,
16,MZ2023AC16,,,,,,,
17,MZ2023AC17,,,,,,,
18,MZ2023AC18,,,,,,,
19,MZ2023AC19,,,,,,,
20,MZ2023AC20,,,,,,,
21,MZ2023AC21,,,,,,,
22,MZ2023AC22,,,,,,,
23,MZ2023AC23,,,,,,,
24,MZ2023AC24,,,,,,,
25,MZ2023AC25,,,,,,,
26,MZ2023AC26,,,,,,,
27,MZ2023AC27,,,,,,,
28,MZ2023AC28,,,,,,,
29,MZ2023AC30,,,,,,,
30,MZ2023AC31,,,,,,,
31,MZ2023AC32,,,,,,,
32,MZ2023AC33,,,,,,,
33,MZ2023AC34,,,,,,,
34,MZ2023AC35,,,,,,,
35,MZ2023AC36,,,,,,,
36,MZ2023AC37,,,,,,,
37,MZ2023AC38,,,,,,,
38,MZ2023AC39,,,,,,,
39,MZ2023AC40,,,,,,,
