FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,OR2024AC01,Father,Bijaya Ranjan Singh Bariha,Member of Odisha Legislative Assembly (MLA),"Multiple terms, last until 2022",Padmapur,Bargarh,Odisha
2,OR2024AC01,Father-in-law,Ramaranjan Baliarsingh,Member of Odisha Legislative Assembly (MLA),1995–2000,Satyabadi,Puri,Odisha
3,OR2024AC02,,,,,,,
4,OR2024AC03,,,,,,,
5,OR2024AC04,,,,,,,
6,OR2024AC05,,,,,,,
7,OR2024AC06,,,,,,,
8,OR2024AC07,,,,,,,
9,OR2024AC08,,,,,,,
10,OR2024AC09,,,,,,,
11,OR2024AC11,,,,,,,
12,OR2024AC12,Father,Natabar Nayak,"MLA, Rourkela",Prior to Sarada Prasad Nayak (exact years not specified),Rourkela,Sundergarh,Odisha
13,OR2024AC13,Father,Christopher Ekka,"Member of Parliament (Lok Sabha), Sundargarh",1971-1977,Sundargarh,Sundergarh,Odisha
14,OR2024AC14,,,,,,,
15,OR2024AC15,,,,,,,
16,OR2024AC16,,,,,,,
17,OR2024AC17,Daughter,Subhashree Mishra,Appointed Representative for Antodaya Gruha Yojna function (not elected; represented father in official capacity),2025,Sambalpur,Sambalpur,Odisha
18,OR2024AC18,Father,Late Padmashree Dr. Krutartha Acharya,Member of Parliament (MP),1962-1967,Sambalpur,Sambalpur,Odisha
19,OR2024AC19,,,,,,,
20,OR2024AC20,,,,,,,
21,OR2024AC22,,,,,,,
22,OR2024AC23,,,,,,,
23,OR2024AC24,,,,,,,
24,OR2024AC25,,,,,,,
25,OR2024AC26,,,,,,,
26,OR2024AC27,,,,,,,
27,OR2024AC28,,,,,,,
28,OR2024AC29,Father,Suguda Murmu,Contested Odisha Legislative Assembly Election 2019 (BJP Candidate),2019 (Contested),Bangiriposi,Mayurbhanj,Odisha
29,OR2024AC30,,,,,,,
30,OR2024AC31,,,,,,,
31,OR2024AC32,,,,,,,
32,OR2024AC33,,,,,,,
33,OR2024AC34,,,,,,,
34,OR2024AC35,,,,,,,
35,OR2024AC36,Father,Durga Shankar Das,"MLA, Bhograi (Congress, 1957)",1957,Bhograi,Balasore,Odisha
36,OR2024AC36,Uncle,Pyari Mohan Das,"MLA, Bhograi (Praja Socialist Party, 1961 & 1967)",1961-1967,Bhograi,Balasore,Odisha
37,OR2024AC37,,,,,,,
38,OR2024AC38,Father,Madan Mohan Dutta,Member of Odisha Legislative Assembly,2019,Baleswar,Balasore district,Odisha
39,OR2024AC39,,,,,,,
40,OR2024AC40,,,,,,,
41,OR2024AC41,,,,,,,
42,OR2024AC42,,,,,,,
