FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,PB2022AC01,Father,Raghunath Sahai Puri,"Former Cabinet Minister, Punjab",Unknown,Unknown,Unknown,Punjab
2,PB2022AC02,,,,,,,
3,PB2022AC03,,,,,,,
4,PB2022AC05,Father-in-law,Jai Muni Chaudhary,"MLA (Punjab Legislative Assembly), founder MLA of Dina Nagar constituency; served four terms","1967, 1972, 1980, 1985",Dina Nagar,Gurdaspur,Punjab
5,PB2022AC06,Father,Satnam Singh Bajwa,Member of Punjab Legislative Assembly and Minister in Punjab Government,"Multiple terms (exact years not fully specified, active in 1970s-1980s)",Qadian,Gurdaspur,Punjab
6,PB2022AC06,Spouse,Charanjit Kaur Bajwa,Member of Punjab Legislative Assembly,"Previously (exact term details not specified, held seat for Qadian)",Qadian,Gurdaspur,Punjab
7,PB2022AC06,Brother,Fateh Jang Singh Bajwa,Member of Punjab Legislative Assembly (former),"Previous MLA for Qadian, active before 2022 (exact years not specified)",Qadian,Gurdaspur,Punjab
8,PB2022AC07,,,,,,,
9,PB2022AC08,,,,,,,
10,PB2022AC09,Father,Gurbachan Singh Bajwa,"Cabinet Minister, Punjab (held portfolios such as PWD, Education, Chandigarh Capital Project under Gopi Chand Bhargava, Bhim Sen Sachar, and Partap Singh Kairon cabinets)","1947–1967 (approx., spans multiple administrations post-independence)",Unknown,Unknown,Punjab
11,PB2022AC10,Father,Santokh Singh Randhawa,"President, Punjab Pradesh Congress Committee (twice) and Minister in Punjab Government","Dates not specified, but active as Punjab Congress Chief before 2000s",Unknown,Unknown,Punjab
12,PB2022AC10,Spouse,Jatinder Kaur Randhawa,Congress Candidate for Dera Baba Nanak Assembly segment (2024 bypolls),Contested 2024,Dera Baba Nanak,Gurdaspur,Punjab
13,PB2022AC10,Brother,Inderjit Singh Randhawa,"Contested Punjab Assembly elections (2017), later joined Shiromani Akali Dal",Contested 2017,Unknown,Unknown,Punjab
