FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,RJ2023AC01,,,,,,,
2,RJ2023AC02,,,,,,,
3,RJ2023AC03,Father,Gurmeet Singh Kooner,"Member of Legislative Assembly, Minister (State level)","Multiple terms, most recently until November 2023",Karanpur,Ganganagar,Rajasthan
4,RJ2023AC04,,,,,,,
5,RJ2023AC05,,,,,,,
6,RJ2023AC06,,,,,,,
7,RJ2023AC07,,,,,,,
8,RJ2023AC08,,,,,,,
9,RJ2023AC09,,,,,,,
10,RJ2023AC10,Father,Rajendra Chachan,Senior Congress leader; Former candidate from Nohar,"Unknown (as Congress candidate, pre-2018; not elected MLA)",Nohar,Hanumangarh,Rajasthan
11,RJ2023AC11,,,,,,,
12,RJ2023AC12,,,,,,,
13,RJ2023AC13,,,,,,,
14,RJ2023AC14,Grandfather,Karni Singh Bahadur,Member of Parliament (Lok Sabha),1952–1977,Bikaner,Bikaner,Rajasthan
15,RJ2023AC14,Aunt,Rajyashree Kumari,"Contested for Lok Sabha (Bikaner) and was involved in various political controversies relating to family trusts and property which attracted significant political coverage, but did not win",Contested in 1984,Bikaner,Bikaner,Rajasthan
16,RJ2023AC15,,,,,,,
17,RJ2023AC16,,,,,,,
18,RJ2023AC17,,,,,,,
19,RJ2023AC18,Husband,Rameshwar Lal Dudi,"Leader of Opposition, Rajasthan Legislative Assembly; Member of Parliament (Lok Sabha, Bikaner); MLA (Nokha, Rajasthan); District Chief (Zila Pramukh, Bikaner); Chairman, Rajasthan State Agro Industries Development Board","1995-1999 (Pradhan, Nokha Panchayat Samiti); 1999-2004 (MP, Lok Sabha, Bikaner); 2005-2010 (District Chief/Zila Pramukh, Bikaner); 2013-2018 (MLA, Leader of Opposition); 2022 (Chairman, Agro Board)","Nokha (MLA), Bikaner (MP)",Bikaner,Rajasthan
20,RJ2023AC18,Cousin-in-law,Chetan Singh Chaudhary (Chetan Dudi),"MLA, Deedwana Constituency",Unknown (elected as MLA; needs specific years from official record),Deedwana,Nagaur,Rajasthan
21,RJ2023AC18,Father-in-law,Jetha Ram Dudi,Sarpanch of Biramsar village,1977 (Sarpanch of Biramsar),Biramsar village (Panchayat),Bikaner,Rajasthan
22,RJ2023AC19,,,,,,,
23,RJ2023AC20,,,,,,,
24,RJ2023AC21,Father,Bhanwar Lal Sharma,"Member of Rajasthan Legislative Assembly (7 times), Minister, Pradesh Congress Committee General Secretary","1985-2022 (multiple terms as MLA for Sardarshahar, Congress & Janata Dal)",Sardarshahar,Churu,Rajasthan
25,RJ2023AC22,,,,,,,
26,RJ2023AC23,,,,,,,
27,RJ2023AC24,Father,Bhanwarlal Meghwal,"Member of Rajasthan Legislative Assembly (MLA), Minister in Rajasthan Government",2008-2020,Sujangarh,Churu,Rajasthan
28,RJ2023AC25,,,,,,,
29,RJ2023AC26,,,,,,,
30,RJ2023AC27,Father,Sis Ram Ola,"Union Cabinet Minister, MP (Lok Sabha), MLA Rajasthan","MLA (1957-1993, multiple terms, Khetri, Pilani, Jhunjhunu), MP (Lok Sabha) from Jhunjhunu (1996-2009), Union Minister for Labour & Employment and other ministries","Khetri, Pilani, Jhunjhunu (various years)",Jhunjhunu,Rajasthan
31,RJ2023AC27,Spouse,Dr. Raj Bala Ola,"Former Zila Pramukh (District Chief), MLA candidate (2014, lost)","Zila Pramukh Jhunjhunu (before 2014), Congress candidate, Jhunjhunu by-poll 2014",Jhunjhunu,Jhunjhunu,Rajasthan
32,RJ2023AC27,Son,Amit Ola,"Congress Candidate for MLA (2024 bypoll, lost)","Candidate, 2024",Jhunjhunu,Jhunjhunu,Rajasthan
33,RJ2023AC27,Daughter-in-law,Akanksha Ola,"Congress Candidate, Delhi Assembly Election (Model Town, 2020, lost)","Candidate, 2020",Model Town,North Delhi,Delhi
