FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,SK2024AC01,,,,,,,
2,SK2024AC02,,,,,,,
3,SK2024AC03,,,,,,,
4,SK2024AC04,,,,,,,
5,SK2024AC05,,,,,,,
6,SK2024AC06,,,,,,,
7,SK2024AC07,Son,Aditya Tamang,"Member of Legislative Assembly, Sikkim",2019–present,Soreng-Chakung,Soreng,Sikkim
8,SK2024AC07,Wife,Krishna Kumari Rai,"Member of Legislative Assembly, Sikkim (briefly in 2024)",2024,Namchi-Singithang,Namchi,Sikkim
9,SK2024AC08,,,,,,,
10,SK2024AC09,,,,,,,
11,SK2024AC10,,,,,,,
12,SK2024AC11,Spouse,Prem Singh Tamang,"Chief Minister of Sikkim, MLA (various terms and constituencies), President of Sikkim Krantikari Morcha",2019–present (Chief Minister); MLA multiple terms,"Rhenock, earlier Soreng-Chakung, previously Pandem (for MLA roles)","Varying (Rhenock: Pakyong/Singtam, Soreng-Chakung: Soreng, Pandem: West Sikkim in earlier terms)",Sikkim
13,SK2024AC12,,,,,,,
14,SK2024AC13,,,,,,,
15,SK2024AC14,,,,,,,
16,SK2024AC15,,,,,,,
17,SK2024AC16,,,,,,,
18,SK2024AC17,,,,,,,
19,SK2024AC18,,,,,,,
20,SK2024AC19,Son,Aditya Tamang,Member of Sikkim Legislative Assembly,"2019–2024, 2024–present",Soreng-Chakung,Soreng,Sikkim
21,SK2024AC19,Spouse,Krishna Kumari Rai,Member of Sikkim Legislative Assembly,2024 (resigned after election),Namchi-Singithang,Namchi,Sikkim
22,SK2024AC20,,,,,,,
23,SK2024AC21,,,,,,,
24,SK2024AC22,,,,,,,
25,SK2024AC23,,,,,,,
26,SK2024AC24,,,,,,,
27,SK2024AC25,,,,,,,
28,SK2024AC26,,,,,,,
29,SK2024AC27,,,,,,,
30,SK2024AC28,,,,,,,
31,SK2024AC29,,,,,,,
32,SK2024AC30,,,,,,,
33,SK2024AC31,,,,,,,
34,SK2024AC32,,,,,,,
