FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,TR2023AC01,,,,,,,
2,TR2023AC02,,,,,,,
3,TR2023AC03,Father,Haricharan Sarkar,"Member of the Tripura Legislative Assembly (MLA), Bamutia",Multiple terms between 1977 and 2018,Bamutia,West Tripura,Tripura
4,TR2023AC04,,,,,,,
5,TR2023AC05,,,,,,,
6,TR2023AC06,Father,Samir Ranjan Barman,"Chief Minister of Tripura, MLA (Bishalgarh), various ministerial posts","1972–1977, 1988–1993, 2003–2008 (multiple terms)",Bishalgarh,West Tripura,Tripura
7,TR2023AC07,,,,,,,
8,TR2023AC08,,,,,,,
9,TR2023AC09,,,,,,,
10,TR2023AC10,,,,,,,
11,TR2023AC11,,,,,,,
12,TR2023AC12,,,,,,,
13,TR2023AC13,,,,,,,
14,TR2023AC14,Brother,Raj Kumar Sarkar,Contested Tripura Legislative Assembly (Congress candidate),2023 (contested),Badharghat,West Tripura,Tripura
15,TR2023AC14,Nephew,Partha Ranjan Sarkar,Contested Tripura Legislative Assembly (Forward Bloc candidate),2023 (contested),Badharghat,West Tripura,Tripura
16,TR2023AC14,Family Member (uncle),Dilip Sarkar,"MLA, Tripura Legislative Assembly, Minister (Congress, later BJP)",Multiple terms until 2019 (deceased),Badharghat,West Tripura,Tripura
17,TR2023AC15,,,,,,,
18,TR2023AC16,,,,,,,
19,TR2023AC17,,,,,,,
20,TR2023AC18,,,,,,,
21,TR2023AC19,,,,,,,
22,TR2023AC20,,,,,,,
23,TR2023AC21,,,,,,,
24,TR2023AC22,,,,,,,
25,TR2023AC23,,,,,,,
26,TR2023AC24,,,,,,,
27,TR2023AC25,,,,,,,
28,TR2023AC26,None,None,None,None,None,None,None
29,TR2023AC27,,,,,,,
30,TR2023AC28,,,,,,,
31,TR2023AC29,,,,,,,
32,TR2023AC30,,,,,,,
33,TR2023AC31,,,,,,,
34,TR2023AC32,,,,,,,
35,TR2023AC33,,,,,,,
36,TR2023AC34,,,,,,,
37,TR2023AC35,,,,,,,
38,TR2023AC36,,,,,,,
39,TR2023AC37,,,,,,,
40,TR2023AC38,,,,,,,
41,TR2023AC39,,,,,,,
42,TR2023AC40,Father,Matahari Chaudhury,Member of Tripura Legislative Assembly,1978-1983,Unknown,Unknown,Tripura
43,TR2023AC41,,,,,,,
44,TR2023AC42,,,,,,,
45,TR2023AC43,,,,,,,
46,TR2023AC44,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
47,TR2023AC45,,,,,,,
48,TR2023AC46,,,,,,,
49,TR2023AC47,,,,,,,
50,TR2023AC48,,,,,,,
51,TR2023AC49,,,,,,,
52,TR2023AC50,,,,,,,
53,TR2023AC51,,,,,,,
54,TR2023AC52,,,,,,,
55,TR2023AC53,,,,,,,
56,TR2023AC54,,,,,,,
57,TR2023AC55,,,,,,,
58,TR2023AC56,,,,,,,
59,TR2023AC57,,,,,,,
60,TR2023AC58,,,,,,,
61,TR2023AC59,,,,,,,
