FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,UP2022AC01,Father-in-law,Syed Ahmed Bukhari,"Shahi Imam of Jama Masjid, Delhi (influential religious and socio-political office)",2000–present,N/A,Central Delhi,Delhi
2,UP2022AC03,,,,,,,
3,UP2022AC04,,,,,,,
4,UP2022AC05,,,,,,,
5,UP2022AC06,,,,,,,
6,UP2022AC07,,,,,,,
7,UP2022AC08,Father,Munawwar Hasan,"MLA (11th & 12th Assembly, UP), MP (11th & 14th Lok Sabha), Rajya Sabha member (1998-2003), MLC (Muzaffarnagar-Saharanpur)","MLA: Unknown; MP Lok Sabha: 1996-1997, 2004-2009; Rajya Sabha: 1998-2003; MLC: 2003",Kairana (Lok Sabha); Muzaffarnagar-Saharanpur (MLC),Muzaffarnagar; Saharanpur; Shamli,Uttar Pradesh
8,UP2022AC08,Mother,Tabassum Hasan,MP (Lok Sabha),"2009, 2018",Kairana (Lok Sabha),Muzaffarnagar; Shamli,Uttar Pradesh
9,UP2022AC08,Sister,Iqra Hasan,MP (Lok Sabha); Contested Zila Panchayat Election (2016),2024; Contested: 2016,Kairana (Lok Sabha),Muzaffarnagar; Shamli,Uttar Pradesh
10,UP2022AC08,Grandfather,Akhtar Hasan,"MP (Lok Sabha), Chairman (Municipal body)",1980s (exact years unknown),Kairana (Lok Sabha),Muzaffarnagar; Shamli,Uttar Pradesh
11,UP2022AC09,,,,,,,
12,UP2022AC10,,,,,,,
13,UP2022AC11,,,,,,,
14,UP2022AC12,Father,Harendra Singh Malik,"MP Lok Sabha (Kairana), MP Rajya Sabha (Uttar Pradesh), MLA (Baghra, Khatauli, Budhana, Muzaffarnagar constituencies, 4 times)","MLA: 1985–2002 (four terms), MP Lok Sabha: 2009–2014, MP Rajya Sabha: 2014–2020","Baghra, Khatauli, Budhana, Muzaffarnagar (MLA); Kairana (MP Lok Sabha); Uttar Pradesh (MP Rajya Sabha)","Muzaffarnagar, Shamli (related constituencies)",Uttar Pradesh
15,UP2022AC12,Father-in-law (via spouse Payal Shokeen/Shokeen),"Unknown (Not publicly recorded, no direct evidence as elected/contesting office found after full check)",Unknown,Unknown,Unknown,Unknown,Unknown
16,UP2022AC12,Spouse’s uncle,Bijender Shokeen,"MLA (Delhi, Nangloi Jat constituency, 2 terms)",2008–2013 (and one additional term),Nangloi Jat,West Delhi,Delhi
17,UP2022AC12,Spouse’s cousin,Raghuvinder Shokeen,"MLA (Delhi, Nangloi Jat constituency, 2 terms), Minister (Delhi government)",2015–Present (2 terms),Nangloi Jat,West Delhi,Delhi
18,UP2022AC12,Spouse’s cousin,Mandeep Singh Shokeen,"Councillor (Delhi, 2 terms)",Unknown (2 terms noted in public records),Unknown (Delhi wards in West Delhi/Nangloi Jat region),West Delhi,Delhi
19,UP2022AC12,Spouse’s brother,Rohit Choudhary (Shokeen),"Delhi University President (student politics), National Secretary, All India Congress Committee (AICC)",Delhi Univ President (dates unknown); AICC National Secretary (publicly reported as of 2024),N/A (student union/AICC post),Delhi,Delhi
20,UP2022AC13,,,,,,,
21,UP2022AC14,,,,,,,
22,UP2022AC16,Father,Sanjay Singh Chauhan,"Member of Parliament, Lok Sabha (Bijnor, 2009–2014), MLA (Morena, 1996–2002)","1996–2002, 2009–2014","Morena (MLA), Bijnor (MP)","Muzaffarnagar (MLA), Bijnor (MP)",Uttar Pradesh
23,UP2022AC16,Grandfather,Chaudhary Narain Singh,"Deputy Chief Minister, Uttar Pradesh; MLA",1979 and other terms (detailed years may vary),Unknown,"Various (including Muzaffarnagar, Shamli, details may vary)",Uttar Pradesh
24,UP2022AC17,,,,,,,
25,UP2022AC18,,,,,,,
26,UP2022AC19,Father,Kunwar Sarvesh Kumar Singh,Former Member of Parliament (Lok Sabha) from Moradabad and five-term MLA from Thakurdwara,"MP (2014–2019), MLA (multiple terms: 1991–2012)","Moradabad (MP), Thakurdwara (MLA)",Moradabad,Uttar Pradesh
27,UP2022AC19,Grandfather,Ram Pal Singh,Former Member of Parliament (Lok Sabha) from Amroha and three-term MLA from Thakurdwara,"MP (1984–1989), MLA (three terms: details in 1980s)","Amroha (MP), Thakurdwara (MLA)","Amroha (MP), Moradabad (MLA)",Uttar Pradesh
28,UP2022AC20,,,,,,,
29,UP2022AC21,,,,,,,
30,UP2022AC22,,,,,,,
31,UP2022AC23,,,,,,,
32,UP2022AC24,Son,Deepak Saini,Contested as Samajwadi Party candidate for Bijnor Lok Sabha seat,2024 (contested),Bijnor,Bijnor,Uttar Pradesh
33,UP2022AC25,Spouse,Humera Akhtar,Samajwadi Party Lok Sabha candidate,2014,Amroha,Amroha,Uttar Pradesh
34,UP2022AC26,,,,,,,
35,UP2022AC27,,,,,,,
36,UP2022AC28,,,,,,,
37,UP2022AC29,Father,Mamluk Ur Rahman Barq,Former MLA (Member of the Uttar Pradesh Legislative Assembly),2012–2017,Sambhal,Sambhal,Uttar Pradesh
38,UP2022AC29,Grandfather,Shafiqur Rahman Barq,"Member of Parliament (Lok Sabha), former MLA","1996–1998 (MP), 1998–1999 (MP), 2004–2014 (MP, MLA various terms), 2019–present (MP)",Sambhal,Sambhal,Uttar Pradesh
39,UP2022AC30,Father,Mohammad Irfan (Haji Mohammad Irfan),"MLA, Uttar Pradesh Legislative Assembly",2012-2016,Bilari,Moradabad,Uttar Pradesh
40,UP2022AC31,Husband,Rampal Singh,Retired sugar mill worker and politician (contested local body elections),Unknown,Unknown,Unknown,Uttar Pradesh
41,UP2022AC31,Daughter,Sakshi Singh,"Spokesperson, Bharatiya Janata Party, Uttar Pradesh",Unknown,Unknown,Unknown,Uttar Pradesh
42,UP2022AC31,Daughter,Sugandha Singh,"BJP Politician, Uttar Pradesh (contested local elections)",Unknown,Unknown,Unknown,Uttar Pradesh
43,UP2022AC32,Father,Brajendra Pal Singh,"Minister (specific post not listed), Uttar Pradesh",Unknown,Unknown,Unknown,Uttar Pradesh
44,UP2022AC33,,,,,,,
45,UP2022AC34,Father,Mohammad Azam Khan,"Member of Legislative Assembly (Rampur), Member of Parliament (Lok Sabha/Rajya Sabha), Cabinet Minister (Uttar Pradesh), Founding member of Samajwadi Party","MLA: 1980–1995, 2002–2019, 2022; MP Lok Sabha: 2019–2022; MP Rajya Sabha: 1996–2002; Cabinet Minister: Various terms between 2003–2017",Rampur,Rampur,Uttar Pradesh
46,UP2022AC34,Mother,Tazeen Fatma (also spelled Tanzeen Fatima),"Member of Parliament (Rajya Sabha), Member of Legislative Assembly (Rampur)",Rajya Sabha: 2014–2019; MLA Rampur: 2019–2022,Rampur,Rampur,Uttar Pradesh
47,UP2022AC35,,,,,,,
48,UP2022AC37,Wife,Tazeen Fatma,"Member of Parliament (Rajya Sabha), Member of Uttar Pradesh Legislative Assembly","Rajya Sabha: 2014–2018, MLA (Rampur): 2019–2022",Rampur,Rampur,Uttar Pradesh
49,UP2022AC37,Son,Abdullah Azam Khan,Member of Uttar Pradesh Legislative Assembly,"2017–2019, 2022 (disqualified)",Suar,Rampur,Uttar Pradesh
50,UP2022AC38,,,,,,,
51,UP2022AC39,,,,,,,
52,UP2022AC40,,,,,,,
53,UP2022AC41,Spouse,Sakina Begum (Saqina Begum),"Contested for President, Zilla Parishad (ticket later withdrawn)",Ticket withdrawn in 2015,Amroha (Zilla Parishad election),Jyotiba Phule Nagar,Uttar Pradesh
54,UP2022AC41,Son,Parvez Ali,Member of Legislative Council (MLC),Unknown,Unknown,Unknown,Uttar Pradesh
55,UP2022AC42,,,,,,,
56,UP2022AC43,,,,,,,
57,UP2022AC44,,,,,,,
58,UP2022AC45,Brother,Nitin Khatik,Zilla Panchayat Member,Unknown,Unknown,Meerut,Uttar Pradesh
59,UP2022AC46,Father,Manzoor Ahmad,MLA,1960s–1990s (five terms),Kithore,Meerut,Uttar Pradesh
60,UP2022AC47,,,,,,,
61,UP2022AC48,,,,,,,
62,UP2022AC49,,,,,,,
63,UP2022AC50,,,,,,,
64,UP2022AC51,,,,,,,
65,UP2022AC52,,,,,,,
66,UP2022AC53,,,,,,,
67,UP2022AC54,Father,Rajpal Tyagi,"Cabinet Minister, Uttar Pradesh Government",Unknown,Unknown,Unknown,Uttar Pradesh
68,UP2022AC55,,,,,,,
