ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Churah,1,SC,Chamba,Hans Raj,Bharatiya Janta Party,74701,61933,82.90%,2642,4.30%,Nirmal,male,39.0,HP2022AC01
Bharmour,2,ST,Chamba,Dr. Janak Raj,Bharatiya Janta Party,75647,56166,74.20%,5172,9.20%,Ravinder Kumar,male,43.0,HP2022AC02
Chamba,3,GEN,Chamba,Neeraj Nayar,Indian National Congress,80959,60989,75.30%,7782,12.80%,Sagar Chand Nayar,male,51.0,HP2022AC03
Dalhousie,4,GEN,Chamba,Dhavinder Singh,Bharatiya Janta Party,72709,57864,79.60%,9918,17.10%,,,,HP2022AC04
Bhattiyat,5,GEN,Chamba,Kuldeep Singh Pathania,Indian National Congress,77404,58956,76.20%,1567,2.70%,BALDEV SINGH,male,65.0,HP2022AC05
Nurpur,6,GEN,Kangra,Ranbir Singh,Bharatiya Janta Party,89581,70362,78.50%,18752,26.70%,SWADESH SINGH,male,44.0,HP2022AC06
Indora,7,SC,Kangra,Malender Rajan,Indian National Congress,89667,67136,74.90%,2250,3.40%,SH. SURJIT CHANDER,male,49.0,HP2022AC07
Fatehpur,8,GEN,Kangra,Bhawani Singh Pathania,Indian National Congress,86053,63948,74.30%,7354,11.50%,SUJAN SINGH PATHANIA,male,48.0,HP2022AC08
Jawali,9,GEN,Kangra,Chander Kumar,Indian National Congress,97438,74296,76.20%,3031,4.10%,BELI RAM,male,78.0,HP2022AC09
Dehra,10,GEN,Kangra,Hoshyar Singh,Independent,81496,60103,73.70%,3877,6.50%,AMAR SINGH,male,56.0,HP2022AC10
Jaswan-Pragpur,11,GEN,Kangra,Bikram Singh,Bharatiya Janta Party,76496,58942,77.10%,1789,3.00%,KISHAN CHAND,male,58.0,HP2022AC11
Jawalamukhi,12,GEN,Kangra,Sanjay Rattan,Indian National Congress,76663,59671,77.80%,6404,10.70%,SUSHIL CHAND,male,59.0,HP2022AC12
