ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Gummidipoondi,1,GEN,Thiruvallur,Govindarajan T.J,Dravida Munnetra Kazhagam,267255,220286,82.40%,50938,23.10%,JAYARAMAN S.V,male,60.0,TN2021AC01
Ponneri,2,SC,Thiruvallur,Durai. Chandrasekar,Indian National Congress,254351,208800,82.10%,9689,4.60%,DURAI,male,48.0,TN2021AC02
Tiruttani,3,GEN,Thiruvallur,S.Chandran,Dravida Munnetra Kazhagam,276906,230959,83.40%,29253,12.70%,Shanmugam,male,57.0,TN2021AC03
Thiruvallur,4,GEN,Thiruvallur,"Raajendran, V.G.",Dravida Munnetra Kazhagam,260870,212371,81.40%,22701,10.70%,V.Gurunathan,male,53.0,TN2021AC04
Poonamallee,5,SC,Thiruvallur,Krishnaswamy A,Dravida Munnetra Kazhagam,332331,260869,78.50%,94110,36.10%,,,,TN2021AC05
Avadi,6,GEN,Thiruvallur,Nasar S M,Dravida Munnetra Kazhagam,409701,298546,72.90%,55275,18.50%,Mustafa S S,male,61.0,TN2021AC06
Maduravoyal,7,GEN,Thiruvallur,Ganapathy.K,Dravida Munnetra Kazhagam,413109,271724,65.80%,31721,11.70%,KANNAN,male,61.0,TN2021AC07
Ambattur,8,GEN,Thiruvallur,Joseph Samuel,Dravida Munnetra Kazhagam,361656,237941,65.80%,42146,17.70%,M JOSEPH,male,58.0,TN2021AC08
Madavaram,9,GEN,Thiruvallur,Sudharsanam. S,Dravida Munnetra Kazhagam,422016,300534,71.20%,57071,19.00%,K.SUNDARAM,male,62.0,TN2021AC09
Thiruvottiyur,10,GEN,Thiruvallur,K.P.Shankar,Dravida Munnetra Kazhagam,287777,198885,69.10%,37661,18.90%,K.PARASURAMAN,male,47.0,TN2021AC10
Dr.Radhakrishnan Nagar,11,GEN,Chennai,Ebenezer. J.J. (@) JOHN EBENEZER.J,Dravida Munnetra Kazhagam,248518,185323,74.60%,42479,22.90%,,,,TN2021AC11
Perambur,12,GEN,Chennai,Shekar. R.D,Dravida Munnetra Kazhagam,293597,198872,67.70%,54976,27.60%,RAJAMANNAR,male,54.0,TN2021AC12
Kolathur,13,GEN,Chennai,M.K. Stalin,Dravida Munnetra Kazhagam,268296,171859,64.10%,70384,41.00%,M.KARUNANITHI,male,68.0,TN2021AC13
Villivakkam,14,GEN,Chennai,A . Vetriazhagan,Dravida Munnetra Kazhagam,248131,142648,57.50%,37237,26.10%,A . ANBUCHELVAN,male,42.0,TN2021AC14
Thiru-Vi-Ka-Nagar,15,SC,Chennai,Sivakumar.P,Dravida Munnetra Kazhagam,210344,132650,63.10%,55013,41.50%,PALANIVELU,male,55.0,TN2021AC15
Egmore,16,SC,Chennai,I.Paranthamen,Dravida Munnetra Kazhagam,181071,118095,65.20%,38768,32.80%,INDIRAN,male,44.0,TN2021AC16
Royapuram,17,GEN,Chennai,Murthy.R.Idream,Dravida Munnetra Kazhagam,178693,120290,67.30%,27779,23.10%,RAMAR.P,male,54.0,TN2021AC17
Harbour,18,GEN,Chennai,Sekarbabu. P.K,Dravida Munnetra Kazhagam,168538,100738,59.80%,27274,27.10%,Krishnasamy,male,58.0,TN2021AC18
Chepauk-Thiruvallikeni,19,GEN,Chennai,Udhayanidhi Stalin,Dravida Munnetra Kazhagam,226272,135344,59.80%,69355,51.20%,M.K.STALIN,male,43.0,TN2021AC19
Thousand Lights,20,GEN,Chennai,Ezhilan N,Dravida Munnetra Kazhagam,233867,134555,57.50%,32462,24.10%,NAGANADHAN,male,41.0,TN2021AC20
Anna Nagar,21,GEN,Chennai,M.K. Mohan,Dravida Munnetra Kazhagam,274067,163551,59.70%,27445,16.80%,Mannar Kothandapani,male,68.0,TN2021AC21
Virugampakkam,22,GEN,Chennai,Amv.Prabhakara Raja,Dravida Munnetra Kazhagam,273740,167524,61.20%,18367,11.00%,A M VIKRAMA RAJA,male,32.0,TN2021AC22
Saidapet,23,GEN,Chennai,Subramanian. Ma,Dravida Munnetra Kazhagam,269884,159169,59.00%,29295,18.40%,MANICKAM R,male,61.0,TN2021AC23
Thiyagarayanagar,24,GEN,Chennai,Karunanithi J,Dravida Munnetra Kazhagam,231382,136497,59.00%,137,0.10%,JAYARAMAN K,male,51.0,TN2021AC24
Mylapore,25,GEN,Chennai,Velu.Dha,Dravida Munnetra Kazhagam,258722,152143,58.80%,12633,8.30%,DHARANI SINGH,male,50.0,TN2021AC25
Velachery,26,GEN,Chennai,Jmh.Aassan Maulaana,Indian National Congress,300466,174972,58.20%,4352,2.50%,JM.AAROON RASHEED,male,36.0,TN2021AC26
Shozhinganallur,27,GEN,Kancheepuram,S.Aravindramesh,Dravida Munnetra Kazhagam,638950,385325,60.30%,35405,9.20%,SAMBANDAM,male,53.0,TN2021AC27
Alandur,28,GEN,Kancheepuram,T.M.Anbarasan,Dravida Munnetra Kazhagam,363029,235863,65.00%,40571,17.20%,T.Mohalingam,male,61.0,TN2021AC28
Sriperumbudur,29,SC,Kancheepuram,Selvaperunthagai,Indian National Congress,327294,262123,80.10%,10879,4.20%,KUPPUSAMY,male,60.0,TN2021AC29
Pallavaram,30,GEN,Kancheepuram,Karunanithi,Dravida Munnetra Kazhagam,407266,260066,63.90%,36814,14.20%,JAYARAMAN K,male,51.0,TN2021AC30
Tambaram,31,GEN,Kancheepuram,Raja.S.R,Dravida Munnetra Kazhagam,380754,246691,64.80%,36824,14.90%,Ragunathan,male,64.0,TN2021AC31
Chengalpattu,32,GEN,Kancheepuram,Varalakshmi.M,Dravida Munnetra Kazhagam,397706,271012,68.10%,26665,9.80%,MADHUSUDHANAN,female,47.0,TN2021AC32
Thiruporur,33,GEN,Kancheepuram,S.S.Balaji,Viduthalai Chiruthaigal Katchi,270769,224747,83.00%,1947,0.90%,M.Subramani,male,51.0,TN2021AC33
Cheyyur,34,SC,Kancheepuram,Babu M,Viduthalai Chiruthaigal Katchi,216506,177979,82.20%,4042,2.30%,Murugan,male,44.0,TN2021AC34
Madurantakam,35,SC,Kancheepuram,Maragatham. K,All India Anna Dravida Munnetra Kazhagam,218271,184471,84.50%,3570,1.90%,Kumaravel. S,female,38.0,TN2021AC35
Uthiramerur,36,GEN,Kancheepuram,Sundar K,Dravida Munnetra Kazhagam,247035,209577,84.80%,1622,0.80%,KANNAN,male,66.0,TN2021AC36
Kancheepuram,37,GEN,Kancheepuram,C.V.M.P. Ezhailzrasan,Dravida Munnetra Kazhagam,293532,226893,77.30%,11595,5.10%,C.V.M.A. Ponmozhi,male,49.0,TN2021AC37
Arakkonam,38,SC,Vellore,S.Ravi,All India Anna Dravida Munnetra Kazhagam,216909,169756,78.30%,27169,16.00%,SUBRAMANI,male,57.0,TN2021AC38
Sholinghur,39,GEN,Vellore,A.M.Munirathinam,Indian National Congress,262083,222870,85.00%,26698,12.00%,MUDALIYANDAN,male,65.0,TN2021AC39
Katpadi,40,GEN,Vellore,Duraimurugan,Dravida Munnetra Kazhagam,238365,184357,77.30%,746,0.40%,DURAISAMY,male,83.0,TN2021AC40
Ranipet,41,GEN,Vellore,R.Gandhi,Dravida Munnetra Kazhagam,254312,205830,80.90%,16498,8.00%,Chinnappa,male,75.0,TN2021AC41
Arcot,42,GEN,Vellore,J.L.Eswarappan,Dravida Munnetra Kazhagam,251362,207538,82.60%,19958,9.60%,J.Lakshmanan,male,42.0,TN2021AC42
Vellore,43,GEN,Vellore,Karthikeyan .P,Dravida Munnetra Kazhagam,245491,178458,72.70%,9181,5.10%,Palani,male,59.0,TN2021AC43
Anaikattu,44,GEN,Vellore,A.P.Nandakumar,Dravida Munnetra Kazhagam,241068,196014,81.30%,6360,3.20%,A.K.Perumal,male,52.0,TN2021AC44
Kilvaithinankuppam,45,SC,Vellore,M.Jagan Moorthy,All India Anna Dravida Munnetra Kazhagam,216745,172326,79.50%,10582,6.10%,MUNUSAMY,male,54.0,TN2021AC45
Gudiyattam,46,SC,Vellore,Amulu.V,Dravida Munnetra Kazhagam,272216,209931,77.10%,6901,3.30%,Vijayan.K,female,39.0,TN2021AC46
Vaniyambadi,47,GEN,Vellore,G.Sendhil Kumar,All India Anna Dravida Munnetra Kazhagam,237690,188505,79.30%,4904,2.60%,Gopal,male,36.0,TN2021AC47
Ambur,48,GEN,Vellore,Vilwanathan.A.C,Dravida Munnetra Kazhagam,225328,176461,78.30%,20232,11.50%,CHENGALVARAYAN,male,61.0,TN2021AC48
Jolarpet,49,GEN,Vellore,Devaraji.K.,Dravida Munnetra Kazhagam,231496,195021,84.20%,1091,0.60%,KANDASAMY,male,64.0,TN2021AC49
Tirupattur,50,GEN,Vellore,A. Nallathambi,Dravida Munnetra Kazhagam,229174,184298,80.40%,28240,15.30%,A. ANNADURAI,male,45.0,TN2021AC50
Uthangarai,51,SC,Krishnagiri,T.M.Tamilselvam,All India Anna Dravida Munnetra Kazhagam,227710,186864,82.10%,28387,15.20%,MANICKAM,male,48.0,TN2021AC51
Bargur,52,GEN,Krishnagiri,Mathiazhagan D,Dravida Munnetra Kazhagam,238180,196277,82.40%,12614,6.40%,,,,TN2021AC52
Krishnagiri,53,GEN,Krishnagiri,Ashokkumar.K,All India Anna Dravida Munnetra Kazhagam,256172,209811,81.90%,794,0.40%,Krishnamurthy,male,68.0,TN2021AC53
Veppanahalli,54,GEN,Krishnagiri,K.P.Munusamy,All India Anna Dravida Munnetra Kazhagam,238757,203479,85.20%,3054,1.50%,,,,TN2021AC54
Hosur,55,GEN,Krishnagiri,Prakaash Y,Dravida Munnetra Kazhagam,327242,246122,75.20%,12367,5.00%,ILEAPPA,male,56.0,TN2021AC55
Thalli,56,GEN,Krishnagiri,Ramachandran.T,Communist Party Of India,242107,192056,79.30%,56226,29.30%,THIMMANNA,male,53.0,TN2021AC56
Palacode,57,GEN,Dharmapuri,Anbalagan.K.P.,All India Anna Dravida Munnetra Kazhagam,226980,205244,90.40%,28100,13.70%,,,,TN2021AC57
Pennagaram,58,GEN,Dharmapuri,Mani. G.K,Pattali Makkal Katchi,237160,208546,87.90%,21186,10.20%,,,,TN2021AC58
Dharmapuri,59,GEN,Dharmapuri,Venkateshwaran.S.P.,Pattali Makkal Katchi,256946,215607,83.90%,26860,12.50%,PERUMAL GOUNDER,male,54.0,TN2021AC59
Pappireddipatti,60,GEN,Dharmapuri,Govindasamy.A,All India Anna Dravida Munnetra Kazhagam,253899,219656,86.50%,36943,16.80%,ARUMUGAM,male,49.0,TN2021AC60
