ac no,ac name,type,district,winning candidate,party,total electors,total votes,poll %,margin,margin %,father/husband name,gender,age,UID
1,Padmapur,,Bargarh district,Barsha Singh Bariha,Biju Janata Dal,,91995,43.53,,,Bijaya Ranjan Singh Bariha,female,30.0,OR2024AC01
2,Bijepur,,Bargarh district,Sanat Kumar Gartia,	Bharatiya Janata Party,,93161,47.52,,,LATE TULASI PRASAD GARTIA,male,58.0,OR2024AC02
3,Bargarh,,Bargarh district,Ashwini Kumar Sarangi,	Bharatiya Janata Party,,77766,46.34,,,KAMALAKANTA SARANGI,male,52.0,OR2024AC03
4,Attabira,SC,Bargarh district,Nihar Ranjan Mahananda,	Bharatiya Janata Party,,99487,55.17,,,,,,OR2024AC04
5,Bhatli,,Bargarh district,Irasis Acharjya,	Bharatiya Janata Party,,107508,54.65,,,,,,OR2024AC05
6,Brajarajnagar,,Jharsuguda district,Suresha Pujhari,	Bharatiya Janata Party,,82199,48.85,,,,,,OR2024AC06
7,Jharsuguda,,Jharsuguda district,Tankadhar Tripathy,	Bharatiya Janata Party,,91105,47.69,,,NARSINGH TRIPATHY,male,42.0,OR2024AC07
8,Talsara,ST,Sundergarh district,Bhabani Sankar Bhoi,	Bharatiya Janata Party,,68928,42.67,,,,,,OR2024AC08
9,Sundargarh,ST,Sundergarh district,Jogesh Kumar Singh,Biju Janata Dal,,86398,48.15,,,RENU PRATAP SINGH,male,51.0,OR2024AC09
10,Biramitrapur,ST,Sundergarh district,Rohit Joseph Tirkey,Biju Janata Dal,,84116,44.53,,,GEORGE TIRKEY,male,35.0,OR2024AC10
11,Raghunathpali,SC,Sundergarh district,Durga Charan Tanti,	Bharatiya Janata Party,,51189,43.72,,,ANGAD TANTI,male,56.0,OR2024AC11
12,Rourkela,,Sundergarh district,Sarada Prasad Nayak,Biju Janata Dal,,64660,46.46,,,Late Natabar Nayak,male,65.0,OR2024AC12
13,Rajgangpur,ST,Sundergarh district,C. S. Raazen Ekka,Indian National Congress,,66869,36.74,,,,,,OR2024AC13
14,Bonai,ST,Sundergarh district,Laxman Munda,Communist Party of India (Marxist),,81008,43.45,,,BAGUN MUNDA,male,61.0,OR2024AC14
15,Kuchinda ,ST,Sambalpur district,Rabi Narayan Naik,	Bharatiya Janata Party,,95716,51.83,,,LATE. DASARATH NAIK,male,54.0,OR2024AC15
16,Rengali,SC,Sambalpur district,Sudarshan Haripal,Biju Janata Dal,,73420,45.45,,,DEBARAJ HARIPAL,male,42.0,OR2024AC16
17,Sambalpur,,Sambalpur district,Jayanarayan Mishra,	Bharatiya Janata Party,,59827,45.52,,,ARTATRANA MISHRA,male,61.0,OR2024AC17
18,Rairakhol(Redhakhol),,Sambalpur district,Prasanna Acharjya,Biju Janata Dal,,61716,38.23,,,,,,OR2024AC18
19,Debagarh,,Deogarh District,Romancha Ranjan Biswal,Biju Janata Dal,,89074,45.02,,,JHASAKETAN BISWAL,male,43.0,OR2024AC19
20,Telkoi,ST,Keonjhar district,Phakir Mohan Naik,	Bharatiya Janata Party,,83818,43.49,,,,,,OR2024AC20
21,Ghasipura,,Keonjhar district,Badri Narayan Patra,Biju Janata Dal,,82516,43.96,,,KSHYAMAKAR PATRA,male,80.0,OR2024AC21
22,Anandapur,SC,Keonjhar district,Abhimanyu Sethi,Biju Janata Dal,,71651,39.67,,,MAHESWAR SETHI,male,50.0,OR2024AC22
23,Swampatana,ST,Keonjhar district,Akhila Chandra Naik,	Bharatiya Janata Party,,97041,55.72,,,Late Laxmidhar Naik,male,63.0,OR2024AC23
24,Keonjhar,ST,Keonjhar district,Mohan Charan Majhi,	Bharatiya Janata Party,,87815,47.05,,,LATE GUNARAM MAJHI,male,52.0,OR2024AC24
25,Champua,,Keonjhar district,Sanatan Mahakud,Biju Janata Dal,,103120,56.45,,,Late Chema Mahakud,male,67.0,OR2024AC25
26,Jashipur,ST,Mayurbhanj district,Ganesh Ram Khuntia,	Bharatiya Janata Party,,85384,50.25,,,,,,OR2024AC26
27,Saraskana,ST,Mayurbhanj district,Bhadav Hansdah,	Bharatiya Janata Party,,59387,37.79,,,KANHU HANSDAH,male,54.0,OR2024AC27
28,Rairangpur,ST,Mayurbhanj district,Jalen Naik,	Bharatiya Janata Party,,62724,36.94,,,LATE KANHU NAIK,male,47.0,OR2024AC28
29,Bangiriposi,ST,Mayurbhanj district,Sanjali Murmu,	Bharatiya Janata Party,,87801,49.93,,,Suguda Murmu,female,29.0,OR2024AC29
30,Karanjia,ST,Mayurbhanj district,Padma Charan Haibru,	Bharatiya Janata Party,,65357,43.48,,,,,,OR2024AC30
31,Udala,ST,Mayurbhanj district,Bhaskar Madhei,	Bharatiya Janata Party,,66401,42.0,,,Late- Bhokila Madhei,male,64.0,OR2024AC31
32,Betanoti,SC,Mayurbhanj district,Sanatan Bijuli,	Bharatiya Janata Party,,83276,54.62,,,Lt. Bhagaban Bijuli,male,50.0,OR2024AC32
33,Baripada,ST,Mayurbhanj district,Prakash Soren,	Bharatiya Janata Party,,78272,48.39,,,Bikram Soren,male,55.0,OR2024AC33
34,Moroda,,Mayurbhanj district,Krushna Chandra Mohapatra,	Bharatiya Janata Party,,77980,43.33,,,,,,OR2024AC34
35,Jaleswar,,Balasore district					,Aswini Kumar Patra,Biju Janata Dal,,83105,42.37,,,LATE SACHINDRA NATH PATRA,male,73.0,OR2024AC35
36,Bhogorai,,Balasore district					,Goutam Buddha Das,Biju Janata Dal,,70198,39.89,,,DURGA SHANKAR DAS,male,52.0,OR2024AC36
37,Basta,,Balasore district					,Subasini Jena,Biju Janata Dal,,83314,43.66,,,RABINDRA KUMAR JENA,female,57.0,OR2024AC37
38,Baleswar,,Balasore district					,Manas Kumar Dutta,	Bharatiya Janata Party,,89360,50.9,,,LATE MADAN MOHAN DUTTA,male,32.0,OR2024AC38
39,Remuna,SC,Balasore district					,Gobinda Chandra Das,	Bharatiya Janata Party,,92620,51.39,,,LATE LAXMAN DAS,male,53.0,OR2024AC39
40,Nilgiri,,Balasore district					,Santosh Khatua,	Bharatiya Janata Party,,87928,52.2,,,LATE SHYAMSUNDAR KHATUA,male,56.0,OR2024AC40
41,Soro,SC,Balasore district					,Madhab Dhada,Biju Janata Dal,,63642,39.07,,,NABA DHADA,male,43.0,OR2024AC41
42,Simulia,,Balasore district					,Padma Lochan Panda,	Bharatiya Janata Party,,90676,49.54,,,KALANDI CHARAN PANDA,male,69.0,OR2024AC42
43,Bhandaripokhari,,Bhadrak district,Sanjib Kumar Mallick,Biju Janata Dal,,72447,39.07,,,LATE HRUDANANDA MALLICK,male,49.0,OR2024AC43
44,Bhadrak,,Bhadrak district,Sitansu Sekhar Mohapatra,	Bharatiya Janata Party,,82282,42.29,,,KISHORE KUMAR MOHAPATRA,male,41.0,OR2024AC44
45,Basudebapur,,Bhadrak district,Ashok Kumar Das,Indian National Congress,,77843,39.11,,,KARTIK DAS,male,55.0,OR2024AC45
46,Dhamanagar,SC,Bhadrak district,Surjyabansi Sethy,	Bharatiya Janata Party,,90555,50.31,,,,,,OR2024AC46
47,Chandabali,,Bhadrak district,Byomakesh Ray,Biju Janata Dal,,83063,42.72,,,BIJAY KUMAR ROUL,male,43.0,OR2024AC47
48,Binjharpur,SC,Jajpur district,Pramila Mallik,Biju Janata Dal,,74185,48.84,,,DAMODAR MALLICK,female,60.0,OR2024AC48
49,Bari,,Jajpur district,Biswa Ranjan Mallick,Biju Janata Dal,,101966,63.77,,,,,,OR2024AC49
50,Barchana,,Jajpur district,Amar Kumar Nayak,	Bharatiya Janata Party,,71926,49.38,,,BALLABHANANDA NAYAK,male,51.0,OR2024AC50
51,Dharmasala,,Jajpur district,Himanshu Sekhar Sahoo,Ind,,79759,42.88,,,,,,OR2024AC51
52,Jajapur,,Jajpur district,Sujata Sahu,Biju Janata Dal,,86049,47.92,,,GOBINDA SAHU,female,52.0,OR2024AC52
53,Korei,,Jajpur district,Akash Dasnayak,	Bharatiya Janata Party,,79658,48.01,,,MAYADHAR NAYAK,male,42.0,OR2024AC53
54,Sukinda,,Jajpur district,Pradeep Bal Samanta,	Bharatiya Janata Party,,86733,50.56,,,NABAGHAN BAL SAMANTA,male,66.0,OR2024AC54
55,Dhenkanal,,Dhenkanal district,Krushna Chandra Patra,	Bharatiya Janata Party,,106529,52.57,,,LATE MAHDUSUDAN PATRA,male,60.0,OR2024AC55
56,Hindol,SC,Dhenkanal district,Simarani Nayak,	Bharatiya Janata Party,,97795,49.62,,,LATE Dr. DHARANIDHAR NAYAK,female,59.0,OR2024AC56
57,Kamakhyanagar,,Dhenkanal district,Satrughna Jena,	Bharatiya Janata Party,,84589,49.0,,,,,,OR2024AC57
58,Porjanga,,Dhenkanal district,Bibhuti Bhusan Pradhan,	Bharatiya Janata Party,,100595,56.94,,,Late. Padma Charan Pradhan,male,57.0,OR2024AC58
59,Pallahara,,Angul district,Ashok Mohanty,	Bharatiya Janata Party,,71560,48.64,,,GOLEKHA MOHANTY,male,57.0,OR2024AC59
60,Talcher,,Angul district,Braja Kishore Pradhan,Biju Janata Dal,,75621,58.82,,,PURNA CHANDRA PRADHAN,male,48.0,OR2024AC60
61,Anugul,,Angul district,Pratap Chandra Pradhan,	Bharatiya Janata Party,,88868,52.03,,,LATE BIJAYA KUMAR PRADHAN,male,54.0,OR2024AC61
62,Chhendipada,SC,Angul district,Agasti Behera,	Bharatiya Janata Party,,93629,52.58,,,DHANESWAR BEHERA,male,48.0,OR2024AC62
63,Athmallik,,Angul district,Nalini Kanta Pradhan,Biju Janata Dal,,93957,52.35,,,Late Sanatan Pradhan,male,66.0,OR2024AC63
