pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,UID
Adilabad,35,GEN,Andhra Pradesh,P.G. Reddy,Indian National Congress,465742,284595,61.1 %,74250,26.1%,AP1967PC35
Adoor,493,SC,Kerala,P. C. Adichan,Communist Party Of India,441409,356004,80.7 %,76398,21.5%,KL1967PC493
Agra,425,GEN,Uttar Pradesh [1947 - 1999],S.A. Singh,Indian National Congress,481694,297605,61.8 %,27733,9.3%,UP1967PC425
Ahmedabad,117,GEN,Gujarat,I.Yagnik,Independent,474589,322026,67.9 %,84797,26.3%,GJ1967PC117
Ahmednagar,259,GEN,Maharashtra,A. V. Patil,Indian National Congress,467945,288801,61.7 %,50640,17.5%,MH1967PC259
Ajmer,340,GEN,Rajasthan,V. N Bhargava,Indian National Congress,489607,311107,63.5 %,37221,12.0%,RJ1967PC340
Akbarpur,378,SC,Uttar Pradesh [1947 - 1999],R. J. Ram,Republican Party Of India,496721,285132,57.4 %,3526,1.2%,UP1967PC378
Akola,241,GEN,Maharashtra,K. M. A. H. Sardarkhan,Indian National Congress,513828,363451,70.7 %,46295,12.7%,MH1967PC241
Aligarh,428,GEN,Uttar Pradesh [1947 - 1999],S.K. Shastri,Independent,514626,292538,56.8 %,18554,6.3%,UP1967PC428
Alipore,454,GEN,West Bengal,I. Gupta,Communist Party Of India,565727,385961,68.2 %,587,0.2%,WB1967PC454
Allahabad,408,GEN,Uttar Pradesh [1947 - 1999],H. Krishna,Indian National Congress,470006,243634,51.8 %,16544,6.8%,UP1967PC408
Almora,355,GEN,Uttar Pradesh [1947 - 1999],J. B. Singh,Indian National Congress,455152,132646,29.1 %,10634,8.0%,UP1967PC355
Alwar,336,GEN,Rajasthan,B. Nath,Indian National Congress,513318,315612,61.5 %,34586,11.0%,RJ1967PC336
Amalapuram,9,SC,Andhra Pradesh,S. Bayya,Indian National Congress,518486,358480,69.1 %,63266,17.6%,AP1967PC09
Ambala,133,SC,Haryana,S. Bhan,Bhartiya Jan Sangh,459451,329601,71.7 %,8700,2.6%,HR1967PC133
Ambalapuzha,491,GEN,Kerala,S. Gopalan,Communist Party Of India (MARXIST),458181,371238,81.0 %,50277,13.5%,KL1967PC491
Amethi,376,GEN,Uttar Pradesh [1947 - 1999],V. D. Bajpai,Indian National Congress,505259,188666,37.3 %,3665,1.9%,UP1967PC376
Amravati,242,GEN,Maharashtra,K. G. Deshmukh,Indian National Congress,521799,360626,69.1 %,21074,5.8%,MH1967PC242
Amreli,114,GEN,Gujarat,J.V. Shah,Indian National Congress,452378,238406,52.7 %,49588,20.8%,GJ1967PC114
Amritsar,320,GEN,Punjab,Y.D. Sharma,Bhartiya Jan Sangh,459126,342292,74.6 %,11275,3.3%,PB1967PC320
Amroha,358,GEN,Uttar Pradesh [1947 - 1999],I. Sambhali,Communist Party Of India,488603,294719,60.3 %,4057,1.4%,UP1967PC358
Anakapalli,6,GEN,Andhra Pradesh,M. Suryanarayanamurthy,Indian National Congress,533479,379471,71.1 %,3024,0.8%,AP1967PC06
Anand,126,GEN,Gujarat,N.R. Mahida,Indian National Congress,464136,354263,76.3 %,21222,6.0%,GJ1967PC126
Anantapur,25,GEN,Andhra Pradesh,P. A. Reddy,Indian National Congress,503317,350828,69.7 %,62614,17.8%,AP1967PC25
Anantnag,144,GEN,Jammu & Kashmir,M.S. Qureshi,Indian National Congress,1,RU,,RU,,JK1967PC144
Andaman Nicobar,497,GEN,Andaman & Nicobar Islands,K. R. Ganesh,Indian National Congress,47064,36924,78.5 %,10040,27.2%,AN1967PC497
Angul,316,GEN,Orissa,D. Deblal,Swatantra,481556,176034,36.6 %,31521,17.9%,OR1967PC316
Aonla,362,GEN,Uttar Pradesh [1947 - 1999],S. Shyam,Indian National Congress,513149,282035,55.0 %,1132,0.4%,UP1967PC362
Arambagh,463,GEN,West Bengal,A. Bose,Forward Bloc,487962,347927,71.3 %,82022,23.6%,WB1967PC463
Araria,75,SC,Bihar [1947 - 1999],T. M. Ram,Indian National Congress,469809,243643,51.9 %,70649,29.0%,BR1967PC75
Asansol,473,GEN,West Bengal,D. Sen,Samyukta Socialist Party,443945,255556,57.6 %,6992,2.7%,WB1967PC473
Aurangabad,95,GEN,Bihar [1947 - 1999],M. Singh,Indian National Congress,557937,257360,46.1 %,57679,22.4%,BR1967PC95
Aurangabad,254,GEN,Maharashtra,B. D. Deshmukh,Indian National Congress,481505,260459,54.1 %,83464,32.0%,MH1967PC254
Ausgram,472,SC,West Bengal,B. Das,Communist Party Of India (MARXIST),525272,308908,58.8 %,8858,2.9%,WB1967PC472
Autonomous Dists,44,ST,Assam,G. G. Swell,All Party Hill Leaders Conference,371287,190841,51.4 %,41673,21.8%,AS1967PC44
Azamgarh,397,GEN,Uttar Pradesh [1947 - 1999],C. Jeet,Indian National Congress,495837,250853,50.6 %,21153,8.4%,UP1967PC397
Badagara,480,GEN,Kerala,A. Sreedharan,Samyukta Socialist Party,463046,345034,74.5 %,100503,29.1%,KL1967PC480
Bagaha,56,SC,Bihar [1947 - 1999],B. Raut,Indian National Congress,478691,197351,41.2 %,50710,25.7%,BR1967PC56
Bagalkot,294,GEN,Mysore,S. B. Patil,Indian National Congress,472138,316256,67.0 %,125680,39.7%,KA1967PC294
Baghpat,433,GEN,Uttar Pradesh [1947 - 1999],R.S. Shastri,Independent,511368,325439,63.6 %,87558,26.9%,UP1967PC433
Bahraich,383,GEN,Uttar Pradesh [1947 - 1999],K. K. Nayar,Bhartiya Jan Sangh,486826,220678,45.3 %,46632,21.1%,UP1967PC383
Balaghat,167,GEN,Madhya Pradesh [1947 - 1999],C.R. Gautam,Indian National Congress,468694,266751,56.9 %,77217,28.9%,MP1967PC167
Balasore,298,GEN,Orissa,S. Kundu,Praja Socialist Party,461490,238786,51.7 %,35369,14.8%,OR1967PC298
Ballia,395,GEN,Uttar Pradesh [1947 - 1999],C. Prasad,Indian National Congress,504162,255547,50.7 %,19713,7.7%,UP1967PC395
Balrampur,384,GEN,Uttar Pradesh [1947 - 1999],A. Behari,Bhartiya Jan Sangh,534711,295579,55.3 %,31742,10.7%,UP1967PC384
Balurghat,442,SC,West Bengal,J.N.Pramanik,Indian National Congress,455601,297118,65.2 %,23449,7.9%,WB1967PC442
Banaskantha,121,GEN,Gujarat,M. Amersey,Swatantra,427762,244894,57.3 %,4407,1.8%,GJ1967PC121
Banda,411,GEN,Uttar Pradesh [1947 - 1999],Jageshwar,Communist Party Of India,513136,244997,47.8 %,7469,3.0%,UP1967PC411
Bangalore,279,GEN,Mysore,K. Hanumanthiah,Indian National Congress,541271,282182,52.1 %,50620,17.9%,KA1967PC279
Banka,82,GEN,Bihar [1947 - 1999],B. S. Sharma,Bhartiya Jan Sangh,513057,262446,51.2 %,17567,6.7%,BR1967PC82
Bankura,470,GEN,West Bengal,J. M. Biswas,Communist Party Of India,520725,273639,52.6 %,29770,10.9%,WB1967PC470
Bansgaon,389,SC,Uttar Pradesh [1947 - 1999],Molahu,Samyukta Socialist Party,493512,227407,46.1 %,8606,3.8%,UP1967PC389
Banswara,344,ST,Rajasthan,Hirji,Indian National Congress,490355,351174,71.6 %,32629,9.3%,RJ1967PC344
Bara Banki,381,GEN,Uttar Pradesh [1947 - 1999],R. S. Yadav,Samyukta Socialist Party,541714,301217,55.6 %,13374,4.4%,UP1967PC381
Baramati,263,GEN,Maharashtra,T. S. Jadhav,Indian National Congress,449494,283908,63.2 %,94573,33.3%,MH1967PC263
Baramulla,142,GEN,Jammu & Kashmir,S.A. Agha,Indian National Congress,367400,188657,51.4 %,20515,10.9%,JK1967PC142
Barasat,449,GEN,West Bengal,R. N. Sen,Communist Party Of India,493226,365429,74.1 %,32571,8.9%,WB1967PC449
Bareilly,363,GEN,Uttar Pradesh [1947 - 1999],B. B. Lal,Bhartiya Jan Sangh,467013,284608,60.9 %,40648,14.3%,UP1967PC363
Barh,89,GEN,Bihar [1947 - 1999],T. Sinha,Indian National Congress,583769,328482,56.3 %,27454,8.4%,BR1967PC89
Barmer,350,GEN,Rajasthan,A. Nahta,Indian National Congress,526696,226254,43.0 %,29933,13.2%,RJ1967PC350
Baroda,127,GEN,Gujarat,P.C. Patel,Swatantra,447095,304363,68.1 %,22317,7.3%,GJ1967PC127
Barpeta,47,GEN,Assam,F. A. Ahmed,Indian National Congress,413057,301065,72.9 %,58320,19.4%,AS1967PC47
Barrackpore,455,GEN,West Bengal,M. Ismail,Communist Party Of India (MARXIST),598939,424548,70.9 %,25912,6.1%,WB1967PC455
Basirhat,450,GEN,West Bengal,H. Kabir,Bangla Congress,496679,353335,71.1 %,141639,40.1%,WB1967PC450
Bastar,164,ST,Madhya Pradesh [1947 - 1999],J. Sundarlal,Independent,427235,214777,50.3 %,17267,8.0%,MP1967PC164
Basti,386,SC,Uttar Pradesh [1947 - 1999],S. Narain,Indian National Congress,490438,241686,49.3 %,18790,7.8%,UP1967PC386
Begusarai,87,GEN,Bihar [1947 - 1999],Y. Sharma,Communist Party Of India,569752,354259,62.2 %,88702,25.0%,BR1967PC87
Belgaum,292,GEN,Mysore,N. M. Nabisab,Indian National Congress,477375,328642,68.8 %,122317,37.2%,KA1967PC292
Bellary,273,GEN,Mysore,V. K. R. V. Rao,Indian National Congress,499874,337391,67.5 %,24380,7.2%,KA1967PC273
Berhampore,446,GEN,West Bengal,T. Chaudhuri,Independent,518033,329355,63.6 %,8628,2.6%,WB1967PC446
Bettiah,58,GEN,Bihar [1947 - 1999],K. N. Tiwari,Indian National Congress,484032,239262,49.4 %,45483,19.0%,BR1967PC58
Betul,173,GEN,Madhya Pradesh [1947 - 1999],S.N. Kumar,Indian National Congress,505649,242985,48.1 %,13899,5.7%,MP1967PC173
Bhadrachalam,5,ST,Andhra Pradesh,B.K. Radhabai,Indian National Congress,465192,246715,53.0 %,67235,27.3%,AP1967PC05
Bhadrak,299,SC,Orissa,D. Jena,Independent,547557,310129,56.6 %,21097,6.8%,OR1967PC299
Bhagalpur,83,GEN,Bihar [1947 - 1999],B. J. Azad,Indian National Congress,538207,302401,56.2 %,34814,11.5%,BR1967PC83
Bhandara,245,GEN,Maharashtra,A. R. Mehata,Indian National Congress,530880,366499,69.0 %,55872,15.2%,MH1967PC245
Bhanjanagar,305,GEN,Orissa,A. T. Sarma,Indian National Congress,506312,225954,44.6 %,4695,2.1%,OR1967PC305
Bharatpur,337,GEN,Rajasthan,B. Singh,Independent,495788,358186,72.3 %,95093,26.5%,RJ1967PC337
Bhatinda,329,SC,Punjab,K. Singh,Akali Dal - Sant Fateh Singh Group,493595,338351,68.6 %,61632,18.2%,PB1967PC329
Bhavnagar,115,GEN,Gujarat,J.N. Mehta,Indian National Congress,465812,241124,51.8 %,5093,2.1%,GJ1967PC115
Bhilwara,347,GEN,Rajasthan,R. Chandra,Indian National Congress,522342,258459,49.5 %,79436,30.7%,RJ1967PC347
Bhind,149,GEN,Madhya Pradesh [1947 - 1999],Y.S. Kushwah,Bhartiya Jan Sangh,516297,317537,61.5 %,71209,22.4%,MP1967PC149
Bhir,255,GEN,Maharashtra,N. R. Patil,Communist Party Of India,530388,277616,52.3 %,14097,5.1%,MH1967PC255
Bhiwandi,232,GEN,Maharashtra,S. D. Baswant,Indian National Congress,509052,331587,65.1 %,50874,15.3%,MH1967PC232
Bholpur,476,GEN,West Bengal,A. K. Chanda,Indian National Congress,483643,259965,53.8 %,13632,5.2%,WB1967PC476
Bhopal,175,GEN,Madhya Pradesh [1947 - 1999],J.R. Joshi,Bhartiya Jan Sangh,528531,295340,55.9 %,43931,14.9%,MP1967PC175
Bhubaneswar,304,GEN,Orissa,C. Panigrahi,Indian National Congress,515093,236328,45.9 %,20731,8.8%,OR1967PC304
Bidar,269,SC,Mysore,R. Veerappa,Indian National Congress,474941,290022,61.1 %,60320,20.8%,KA1967PC269
Bijapur,295,GEN,Mysore,G. D. Patil,Swatantra,447774,239633,53.5 %,2104,0.9%,KA1967PC295
Bijnor,357,SC,Uttar Pradesh [1947 - 1999],S. R. Nand,Indian National Congress,485212,323835,66.7 %,32781,10.1%,UP1967PC357
Bikaner,331,GEN,Rajasthan,K. Singh,Independent,551193,317472,57.6 %,193816,61.0%,RJ1967PC331
Bikramganj,93,GEN,Bihar [1947 - 1999],S. Shastry,Samyukta Socialist Party,561269,340936,60.7 %,54916,16.1%,BR1967PC93
Bilaspur,160,GEN,Madhya Pradesh [1947 - 1999],Amarsingh,Indian National Congress,468243,229060,48.9 %,1541,0.7%,MP1967PC160
Bilhaur,416,GEN,Uttar Pradesh [1947 - 1999],S. Rohtagi,Indian National Congress,493276,268572,54.5 %,16647,6.2%,UP1967PC416
Birbhum,477,SC,West Bengal,S. K. Saha,Indian National Congress,466332,242686,52.0 %,32217,13.3%,WB1967PC477
Bobbili,3,GEN,Andhra Pradesh,K.N. Rao,Indian National Congress,485448,350963,72.3 %,75197,21.4%,AP1967PC03
Bolangir,311,GEN,Orissa,R. R. S. Deo,Swatantra,465745,218750,47.0 %,82279,37.6%,OR1967PC311
Bombay Central,229,GEN,Maharashtra,R. D. Bhandare,Indian National Congress,520524,357839,68.8 %,6952,1.9%,MH1967PC229
Bombay Central South,228,GEN,Maharashtra,S A Dange,Communist Party Of India,483146,342542,70.9 %,7004,2.0%,MH1967PC228
Bombay North East,231,GEN,Maharashtra,S. G. Barve,Indian National Congress,644638,442348,68.6 %,13169,3.0%,MH1967PC231
Bombay North West,230,GEN,Maharashtra,S. H. Shah,Indian National Congress,620183,406042,65.5 %,1364,0.3%,MH1967PC230
Bombay South,227,GEN,Maharashtra,G. Fernandes,Samyukta Socialist Party,464850,313388,67.4 %,29434,9.4%,MH1967PC227
Broach,129,GEN,Gujarat,M.B. Rana,Indian National Congress,452985,299159,66.0 %,37857,12.7%,GJ1967PC129
Budaun,361,GEN,Uttar Pradesh [1947 - 1999],O. Singh,Bhartiya Jan Sangh,509445,309212,60.7 %,55671,18.0%,UP1967PC361
Bulandshahr,430,GEN,Uttar Pradesh [1947 - 1999],S.P. Singh,Indian National Congress,498160,313051,62.8 %,20656,6.6%,UP1967PC430
Buldana,239,GEN,Maharashtra,S. R. Rane,Indian National Congress,482954,350045,72.5 %,94904,27.1%,MH1967PC239
Bulsar,132,ST,Gujarat,N.N. Patel,Indian National Congress,465000,288574,62.1 %,95706,33.2%,GJ1967PC132
Burdwan,474,GEN,West Bengal,N. C. Chatterjee,Independent,494561,293266,59.3 %,36086,12.3%,WB1967PC474
Buxar,92,GEN,Bihar [1947 - 1999],R. S. Singh,Indian National Congress,558072,297389,53.3 %,34223,11.5%,BR1967PC92
