#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Ichapuram,1,GEN,Krishnarao M.V.,Telugu Desam,91224,61818,67.8 %,35368,57.2%
2,Sompeta,2,GEN,Gouthu Syamasundara Sivaji,Telugu Desam,97154,72727,74.9 %,18580,25.5%
3,Tekkali,3,GEN,Saroja Varada,Telugu Desam,104738,71236,68.0 %,21571,30.3%
4,Harishchandra,4,GEN,Yerrannaidu Kinjarapu,Telugu Desam,102284,76936,75.2 %,18139,23.6%
5,Narasannapeta,5,GEN,Prabhakara Rao Simma,Telugu Desam,93502,74697,79.9 %,2162,2.9%
6,Patapatnam,6,GEN,Dharmana Narayana Rao,Indian National Congress,95054,73003,76.8 %,5574,7.6%
7,Kothuru,7,ST,Narasimharao Viswasa Ria,Indian National Congress,102974,68762,66.8 %,363,0.5%
8,Naguru,8,ST,Satrucherla Vijayaramaraju,Indian National Congress,99514,64024,64.3 %,3914,6.1%
9,Parvathipuram,9,GEN,Mariserla Venkata Rami Naidu,Telugu Desam,95128,66470,69.9 %,16002,24.1%
10,Salur,10,ST,Boina Rajayya,Telugu Desam,88857,60576,68.2 %,7636,12.6%
11,Bobbili,11,GEN,Sambangi Venkata China Appala Naidu,Telugu Desam,95407,63307,66.4 %,29448,46.5%
12,Therlam,12,GEN,Jayaprakash Tentu,Telugu Desam,107609,79838,74.2 %,16133,20.2%
13,Vunukuru,13,GEN,Kimidi Kalavenkata Rao,Telugu Desam,107498,76673,71.3 %,27345,35.7%
14,Palakonda,14,SC,Tale Bhadrayya,Telugu Desam,87059,55590,63.9 %,22904,41.2%
15,Amadalavalasa,15,GEN,Seetaram Tammineni,Telugu Desam,91649,69780,76.1 %,2129,3.1%
16,Srikakulam,16,GEN,Appala Suryanarayana Gunda,Telugu Desam,113010,70637,62.5 %,38957,55.2%
17,Etcherla,17,SC,Kavali Prathibha Bharathi,Telugu Desam,99138,62926,63.5 %,26947,42.8%
18,Cheepurupalli,18,GEN,Kemburi Rama Mohan Rao,Telugu Desam,105834,64616,61.1 %,32297,50.0%
19,Gajapathinagaram,19,GEN,Narayanappalanaidu Vangapandu,Indian National Congress,96955,76374,78.8 %,1859,2.4%
20,Vizianagaram,20,GEN,Pusapata Ashok Gajapathi Raju,Telugu Desam,111301,63550,57.1 %,37969,59.7%
21,Sathivada,21,GEN,Penumatsa Sambasiva Raju,Indian National Congress,101403,82930,81.8 %,11700,14.1%
22,Bhogapuram,22,GEN,Narayana Swamy Naidu Pathivada,Telugu Desam,97678,71742,73.4 %,4907,6.8%
23,Bheemunipatnam,23,GEN,Devi Prasanna Appalu Narasimha Raju Raja Sagi,Telugu Desam,110828,68604,61.9 %,34146,49.8%
24,Visakhapatnam-I,24,GEN,Allu Bhanumathi,Telugu Desam,115102,57948,50.3 %,9038,15.6%
25,Visakhapatnam-Ii,25,GEN,Rajana Ramani,Telugu Desam,204771,111646,54.5 %,11895,10.7%
26,Pendurthi,26,GEN,Alla Rama Chandra Rao,Telugu Desam,172319,107088,62.1 %,9209,8.6%
27,Uttarapalli,27,GEN,Appalanaidu Kolla,Telugu Desam,98884,69369,70.2 %,26076,37.6%
28,Srungavarapukota,28,ST,Dukku Labudubariki,Telugu Desam,113725,61836,54.4 %,28385,45.9%
29,Paderu,29,ST,Kotta Gulli Chitti Naidu,Telugu Desam,105285,35376,33.6 %,113,0.3%
30,Madugula,30,GEN,Reddy Satyanarayana,Telugu Desam,108623,67962,62.6 %,28421,41.8%
31,Chodavaram,31,GEN,Gunorv Yerru Naidu,Telugu Desam,119442,83993,70.3 %,17742,21.1%
32,Anakapalli,32,GEN,Dadi Verabhadra Rao,Telugu Desam,108137,74306,68.7 %,29541,39.8%
33,Paravada,33,GEN,Paila Appalanaidu,Telugu Desam,108485,75279,69.4 %,33226,44.1%
34,Elamanchili,34,GEN,Chalapathirao Pappala,Telugu Desam,110694,81063,73.2 %,9920,12.2%
35,Payakaraopeta,35,SC,Kakara Nookaraju,Telugu Desam,99255,58752,59.2 %,29768,50.7%
36,Narsipatnam,36,GEN,Ayyannapatrudu,Telugu Desam,110757,87895,79.4 %,811,0.9%
37,Chintapalli,37,ST,Mottadam Vera Venkata Satyanarayana,Telugu Desam,108096,52489,48.6 %,14438,27.5%
38,Yellavaram,38,ST,Ghinnam Jogarao,Telugu Desam,93070,52103,56.0 %,9690,18.6%
39,Burugupudi,39,GEN,Sambasiva Rao Pendurti,Telugu Desam,110475,76762,69.5 %,27896,36.3%
40,Rajahmundry,40,GEN,Butchaiar Choudhary Gorantla,Telugu Desam,123411,88983,72.1 %,7239,8.1%
