#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Tawang I,1,GEN,Karma Wangohu,Peoples Party Of Arunachal,5473,3904,71.3 %,1441.0,36.9%
2,Tawang Ii,2,GEN,Tsering Tashi,Peoples Party Of Arunachal,5156,4207,81.6 %,14.0,0.3%
3,Dirang Kalaktang,3,GEN,Nima Tsering Rupa,Indian National Congress (I),7812,6165,78.9 %,1668.0,27.1%
4,Bomdila,4,GEN,Sinam Dususow Bomdila,Peoples Party Of Arunachal,6016,4341,72.2 %,218.0,5.0%
5,Seppa,5,GEN,Nyari Welli,Peoples Party Of Arunachal,12009,6856,57.1 %,478.0,7.0%
6,Chayang Tajo,6,GEN,Kameng Dolo,Independent,10096,5899,58.4 %,35.0,0.6%
7,Kaloriang,7,GEN,Lokam Tado,Indian National Congress (I),7067,4477,63.4 %,628.0,14.0%
8,Nyapin Palin,8,GEN,Tadar Tang,Indian National Congress (I),9184,5136,55.9 %,276.0,5.4%
9,Doimukh Sagalee,9,GEN,Techi Takar,Indian National Congress (I),11991,8584,71.6 %,321.0,3.7%
10,Ziro,10,GEN,Padi Yubbe,Independent,15528,9107,58.6 %,52.0,0.6%
11,Raga Tali,11,GEN,Boa Tame,Peoples Party Of Arunachal,9304,5236,56.3 %,1968.0,37.6%
12,Daporijo,12,GEN,Tadak Dulom,Indian National Congress (I),10786,8955,83.0 %,1431.0,16.0%
13,Taksing Taliha,13,GEN,Punji Mara,Indian National Congress (I),8971,6370,71.0 %,691.0,10.8%
14,Mechuka,14,GEN,Pasang Wangchuk Sona,Independent,4849,3862,79.6 %,382.0,9.9%
15,Along North,15,GEN,Talong Taggu,Indian National Congress (I),8905,6630,74.5 %,154.0,2.3%
16,Along South,16,GEN,Tumpakete,Peoples Party Of Arunachal,9488,7192,75.8 %,1525.0,21.2%
17,Basar,17,GEN,Tomo Riba,Peoples Party Of Arunachal,9001,7768,86.3 %,402.0,5.2%
18,Pasighat,18,GEN,Talo Kadu,Peoples Party Of Arunachal,11784,9094,77.2 %,2370.0,26.1%
19,Yingkiong Pangin,19,GEN,Gegong Apang,Indian National Congress (I),11685,8871,75.9 %,2615.0,29.5%
20,Mariyang Mebo,20,GEN,Onyok Rome,Peoples Party Of Arunachal,9536,6956,72.9 %,1680.0,24.2%
21,Anini,21,GEN,Tade Tacho,Independent,4189,1991,47.5 %,468.0,23.5%
22,Roing,22,GEN,Aken Lego,Peoples Party Of Arunachal,5622,4827,85.9 %,975.0,20.2%
23,Namsai Chowkham,23,GEN,Chau Khouk Manpoong,Peoples Party Of Arunachal,15689,12155,77.5 %,687.0,5.7%
24,Tezu Hayuliang,24,GEN,Khaprise Krong,Indian National Congress (I),12181,8825,72.4 %,3964.0,44.9%
25,Noadihing Nampong,25,GEN,Samchom Ngemu,Indian National Congress (I),6198,4856,78.3 %,1119.0,23.0%
26,Changlang,26,GEN,Tengam Ngemu,Indian National Congress (I),5929,4677,78.9 %,310.0,6.6%
27,Khonsa South,27,GEN,T. L. Rajkumar,Indian National Congress (I),7812,5184,66.4 %,1069.0,20.6%
28,Khonsa North,28,GEN,Wanglat,Peoples Party Of Arunachal,8055,5824,72.3 %,689.0,11.8%
29,Niausa Kanubari,29,GEN,Wanghlu Wangshu,Peoples Party Of Arunachal,8529,RU,,,
30,Pongchou Wakka,30,GEN,Haijen Ponglaham,Indian National Congress (I),7796,2103,27.0 %,839.0,39.9%
