#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Lumla,1,ST,Karma Wangchu,Indian National Congress,5624,4567,81.2 %,1163.0,25.5%
2,Tawang,2,ST,Thupten Tempa (Uncontested),Indian National Congress,6504,RU,,,
3,Mukto,3,ST,Dorjee Khandu (Uncontested),Indian National Congress,4965,RU,,,
4,Dirang,4,ST,Lobsang Tsering,Independent,9245,6984,75.5 %,1027.0,14.7%
5,Kalaktang,5,ST,Rinchin Khandu Khrimey,Indian National Congress,6528,5229,80.1 %,1617.0,30.9%
6,Thrizin-Buragaon,6,ST,Sinam Dususow,Indian National Congress,5615,4347,77.4 %,932.0,21.4%
7,Bomdila,7,ST,Japu Deru,Indian National Congress,6804,4927,72.4 %,831.0,16.9%
8,Bameng,8,ST,Dongle Sonam,Independent,9581,7151,74.6 %,394.0,5.5%
9,Chayangtajo,9,ST,Kameng Dolo,Indian National Congress,9215,6950,75.4 %,19.0,0.3%
10,Seppa East,10,ST,Mepe Dada,Janata Dal,6912,5130,74.2 %,195.0,3.8%
11,Seppa West,11,ST,Hari Natung,Independent,4785,4092,85.5 %,537.0,13.1%
12,Pakke-Kessang,12,ST,Dera Natung,Indian National Congress,4462,3582,80.3 %,440.0,12.3%
13,Itanagar,13,ST,Lichi Legi,Janata Dal,28559,14697,51.5 %,1516.0,10.3%
14,Doimukh,14,ST,Ngurang Tazap,Indian National Congress,10007,7037,70.3 %,143.0,2.0%
15,Sagalee,15,ST,Taba Haniya,Janata Dal,7722,6262,81.1 %,243.0,3.9%
16,Yachuli,16,ST,Neelam Taram,Indian National Congress,9940,7522,75.7 %,3992.0,53.1%
17,Ziro-Hapoli,17,ST,Padi Yubbe,Independent,17964,9749,54.3 %,1337.0,13.7%
18,Palin,18,ST,Dugi Tajik,Janata Dal,9955,6030,60.6 %,549.0,9.1%
19,Nyapin,19,ST,Tadar Taniang,Indian National Congress,9800,7341,74.9 %,100.0,1.4%
20,Tali,20,ST,Zara Tata,Janata Party (JP),6722,4148,61.7 %,849.0,20.5%
