#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Lumla,1,ST,Tawang,Jambey Tashi,Indian National Congress,8022,RU,,,
2,Tawang,2,ST,Tawang,Tsewang Dhondup,Indian National Congress,9812,RU,,,
3,Mukto,3,ST,Tawang,Dorjee Khandu,Indian National Congress,6916,RU,,,
4,Dirang,4,ST,West Kameng,Phurpa Tsering,Peoples Party Of Arunachal,13760,11703,85.1 %,1533.0,13.1%
5,Kalaktang,5,ST,West Kameng,Tenzing Norbu Thongdok,Indian National Congress,9122,7147,78.3 %,1231.0,17.2%
6,Thrizino-Buragaon,6,ST,West Kameng,Kumsi Sidisow,Peoples Party Of Arunachal,14734,11560,78.5 %,4998.0,43.2%
7,Bomdila,7,ST,West Kameng,R. T. Khunjuju,Indian National Congress,11038,7971,72.2 %,392.0,4.9%
8,Bameng,8,ST,East Kameng,Kumar Waii,Indian National Congress,9330,7930,85.0 %,3364.0,42.4%
9,Chayang Tajo,9,ST,East Kameng,Karya Bagang,All India Trinamool Congress,8396,7006,83.4 %,342.0,4.9%
10,Seppa East,10,ST,East Kameng,Tapuk Taku,All India Trinamool Congress,11959,9040,75.6 %,292.0,3.2%
11,Seppa West,11,ST,East Kameng,Tani Loffa,All India Trinamool Congress,5534,5255,95.0 %,311.0,5.9%
12,Pakke Kessang,12,ST,East Kameng,Atum Welly,Indian National Congress,6426,5703,88.7 %,67.0,1.2%
13,Itanagar,13,ST,Papum Pare,Shri Techi Kaso,Nationalist Congress Party,57979,29556,51.0 %,3386.0,11.5%
14,Doimukh,14,ST,Papum Pare,Shri Nabam Rebia,Indian National Congress,25910,16592,64.0 %,598.0,3.6%
15,Sagalee,15,ST,Papum Pare,Shri Nabam Tuki,Indian National Congress,12005,9600,80.0 %,3692.0,38.5%
16,Yachuli,16,ST,Lower Subansiri,Shri Likha Saaya,Indian National Congress,16463,13558,82.4 %,42.0,0.3%
17,Ziro Hapoli,17,ST,Lower Subansiri,Shri Padi Richo,Indian National Congress,23791,17120,72.0 %,2872.0,16.8%
18,Palin,18,ST,Kurung Kumey,Takam Tagar,Peoples Party Of Arunachal,12919,11418,88.4 %,689.0,6.0%
19,Nyapin,19,ST,Kurung Kumey,Bamang Felix,Nationalist Congress Party,10292,8991,87.4 %,739.0,8.2%
20,Tali,20,ST,Kurung Kumey,Markio Tado,Peoples Party Of Arunachal,9054,7809,86.2 %,2713.0,34.7%
21,Koloriang,21,ST,Kurung Kumey,Lokam Tassar,Indian National Congress,10788,9091,84.3 %,1099.0,12.1%
22,Nacho,22,ST,Upper Subansiri,Shri Tanga Byaling,Indian National Congress,8187,6969,85.1 %,3826.0,54.9%
23,Taliha,23,ST,Upper Subansiri,Shri Punji Mara,Indian National Congress,8023,6734,83.9 %,406.0,6.0%
24,Daporijo,24,ST,Upper Subansiri,Shri Tapen Siga,Bharatiya Janta Party,17152,12764,74.4 %,1203.0,9.4%
25,Raga,25,ST,Upper Subansiri,Sri Nido Pavitra,Indian National Congress,18037,13434,74.5 %,1186.0,8.8%
26,Dumporijo,26,ST,Upper Subansiri,Shri Takar Marde,Indian National Congress,12039,9228,76.7 %,5758.0,62.4%
27,Liromoba,27,ST,West Siang,Jarbom Gamlin,Indian National Congress,11847,9388,79.2 %,3892.0,41.5%
28,Likabali,28,ST,West Siang,Jomde Kena,Indian National Congress,10188,8468,83.1 %,893.0,10.5%
29,Basar,29,ST,West Siang,Gojen Gadi,Indian National Congress,16904,13864,82.0 %,3121.0,22.5%
30,Along West,30,ST,West Siang,Gadam Ete,Indian National Congress,11799,10195,86.4 %,31.0,0.3%
31,Along East,31,ST,West Siang,Jarkar Gamlin,Indian National Congress,13249,9751,73.6 %,599.0,6.1%
32,Rumgong,32,ST,West Siang,Tamiyo Taga,Bharatiya Janta Party,11620,9436,81.2 %,743.0,7.9%
