"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Along East,31,ST,West Siang,Kento Jini,Bharatiya Janta Party,13322,NA,NA,NA,NA
Along East,31,ST,West Siang,Kento Jini,Bharatiya Janta Party,13322,NA,NA,NA,NA
Along West,30,ST,West Siang,Tumke Bagra,Bharatiya Janta Party,13266,11591,87.4 %,966,8.3%
Along West,30,ST,West Siang,Tumke Bagra,Bharatiya Janta Party,13266,11591,87.4 %,966,8.3%
Anini,41,ST,Dibang Valley,Mopi Mihu,Bharatiya Janta Party,4287,3698,86.3 %,1134,30.7%
Anini,41,ST,Dibang Valley,Mopi Mihu,Bharatiya Janta Party,4287,3698,86.3 %,1134,30.7%
Bameng,8,ST,East Kameng,Goruk Pordung,Bharatiya Janta Party,11094,9693,87.4 %,393,4.1%
Bameng,8,ST,East Kameng,Goruk Pordung,Bharatiya Janta Party,11094,9693,87.4 %,393,4.1%
Basar,29,ST,West Siang,Gokar Basar,National People's Party,17467,13307,76.2 %,240,1.8%
Basar,29,ST,West Siang,Gokar Basar,National People's Party,17467,13307,76.2 %,240,1.8%
Bomdila,7,ST,West Kameng,Shri Dongru Siongju,Janata Dal (United),10062,7954,79.0 %,233,2.9%
Bomdila,7,ST,West Kameng,Shri Dongru Siongju,Janata Dal (United),10062,7954,79.0 %,233,2.9%
Bordumsa - Diyun,49,GEN,Changlang,Somlung Mossang,Independent,18509,16067,86.8 %,2379,14.8%
Bordumsa - Diyun,49,GEN,Changlang,Somlung Mossang,Independent,18509,16067,86.8 %,2379,14.8%
Borduria Bogapani,57,ST,Tirap,Wanglin Lowangdong,Indian National Congress,8218,7494,91.2 %,97,1.3%
Borduria Bogapani,57,ST,Tirap,Wanglin Lowangdong,Indian National Congress,8218,7494,91.2 %,97,1.3%
Changlang North,53,ST,Changlang,Tesam Pongte,Bharatiya Janta Party,9468,7819,82.6 %,3015,38.6%
Changlang North,53,ST,Changlang,Tesam Pongte,Bharatiya Janta Party,9468,7819,82.6 %,3015,38.6%
Changlang South,52,ST,Changlang,Phosum Khimhun,Bharatiya Janta Party,5720,5113,89.4 %,583,11.4%
Changlang South,52,ST,Changlang,Phosum Khimhun,Bharatiya Janta Party,5720,5113,89.4 %,583,11.4%
Chayang Tajo,9,ST,East Kameng,Hayeng Mangfi,Janata Dal (United),11878,10318,86.9 %,634,6.1%
Chayang Tajo,9,ST,East Kameng,Hayeng Mangfi,Janata Dal (United),11878,10318,86.9 %,634,6.1%
Chowkham,46,ST,Lohit,Chowna Mein,Bharatiya Janta Party,14084,10525,74.7 %,7291,69.3%
Chowkham,46,ST,Lohit,Chowna Mein,Bharatiya Janta Party,14084,10525,74.7 %,7291,69.3%
Dambuk,42,ST,Lower Dibang Valley,Gum Tayeng,Bharatiya Janta Party,11913,10587,88.9 %,873,8.2%
Dambuk,42,ST,Lower Dibang Valley,Gum Tayeng,Bharatiya Janta Party,11913,10587,88.9 %,873,8.2%
Daporijo,24,ST,Upper Subansiri,Taniya Soki,Bharatiya Janta Party,16507,12325,74.7 %,122,1.0%
Daporijo,24,ST,Upper Subansiri,Taniya Soki,Bharatiya Janta Party,16507,12325,74.7 %,122,1.0%
Dirang,4,ST,West Kameng,Shri Phurpa Tsering,Bharatiya Janta Party,14020,NA,NA,NA,NA
Dirang,4,ST,West Kameng,Shri Phurpa Tsering,Bharatiya Janta Party,14020,NA,NA,NA,NA
Doimukh,14,ST,Papum Pare,Tana Hali Tara,Bharatiya Janta Party,21938,16044,73.1 %,2385,14.9%
Doimukh,14,ST,Papum Pare,Tana Hali Tara,Bharatiya Janta Party,21938,16044,73.1 %,2385,14.9%
Dumporijo,26,ST,Upper Subansiri,Rode Bui,Bharatiya Janta Party,11709,9801,83.7 %,978,10.0%
Dumporijo,26,ST,Upper Subansiri,Rode Bui,Bharatiya Janta Party,11709,9801,83.7 %,978,10.0%
Hayuliang,45,ST,Anjaw,Dasanglu Pul,Bharatiya Janta Party,12275,10966,89.3 %,1332,12.1%
Hayuliang,45,ST,Anjaw,Dasanglu Pul,Bharatiya Janta Party,12275,10966,89.3 %,1332,12.1%
Itanagar,13,ST,Papum Pare,Techi Kaso,Janata Dal (United),61256,27175,44.4 %,302,1.1%
Itanagar,13,ST,Papum Pare,Techi Kaso,Janata Dal (United),61256,27175,44.4 %,302,1.1%
Kalaktang,5,ST,West Kameng,Shri Dorjee Wangdi Kharma,Janata Dal (United),9637,8280,85.9 %,1772,21.4%
Kalaktang,5,ST,West Kameng,Shri Dorjee Wangdi Kharma,Janata Dal (United),9637,8280,85.9 %,1772,21.4%
Kanubari,58,ST,Tirap,Gabriel Denwang Wangsu,Bharatiya Janta Party,11155,10120,90.7 %,4236,41.9%
Kanubari,58,ST,Tirap,Gabriel Denwang Wangsu,Bharatiya Janta Party,11155,10120,90.7 %,4236,41.9%
Khonsa East,55,ST,Tirap,Wanglam Sawin,Bharatiya Janta Party,9438,7424,78.7 %,3381,45.5%
Khonsa East,55,ST,Tirap,Wanglam Sawin,Bharatiya Janta Party,9438,7424,78.7 %,3381,45.5%
Khonsa West,56,ST,Tirap,Tirong Aboh,National People's Party,10293,9677,94.0 %,1055,10.9%
Khonsa West,56,ST,Tirap,Tirong Aboh,National People's Party,10293,9677,94.0 %,1055,10.9%
Koloriang,21,ST,Kurung Kumey,Lokam Tassar,Bharatiya Janta Party,12699,11040,86.9 %,456,4.1%
Koloriang,21,ST,Kurung Kumey,Lokam Tassar,Bharatiya Janta Party,12699,11040,86.9 %,456,4.1%
Lekang,48,ST,Lohit,Jummum Ete Deori,Bharatiya Janta Party,18522,15723,84.9 %,5493,34.9%
Lekang,48,ST,Lohit,Jummum Ete Deori,Bharatiya Janta Party,18522,15723,84.9 %,5493,34.9%
Likabali,28,ST,West Siang,Kardo Nyigyor,People's Party Of Arunachal,11314,9675,85.5 %,178,1.8%
Likabali,28,ST,West Siang,Kardo Nyigyor,People's Party Of Arunachal,11314,9675,85.5 %,178,1.8%
Liromoba,27,ST,West Siang,Nyamar Karbak,Bharatiya Janta Party,12355,10722,86.8 %,746,7.0%
Liromoba,27,ST,West Siang,Nyamar Karbak,Bharatiya Janta Party,12355,10722,86.8 %,746,7.0%
Longding Pumao,59,ST,Tirap,Tanpho Wangnaw,Bharatiya Janta Party,11683,10437,89.3 %,695,6.7%
Longding Pumao,59,ST,Tirap,Tanpho Wangnaw,Bharatiya Janta Party,11683,10437,89.3 %,695,6.7%
Lumla,1,ST,Tawang,Jambey Tashi,Bharatiya Janta Party,8918,7846,88.0 %,1288,16.4%
Lumla,1,ST,Tawang,Jambey Tashi,Bharatiya Janta Party,8918,7846,88.0 %,1288,16.4%
Mariyang-Geku,40,ST,Upper Siang,Kanggong Taku,Janata Dal (United),10727,10013,93.3 %,1260,12.6%
Mariyang-Geku,40,ST,Upper Siang,Kanggong Taku,Janata Dal (United),10727,10013,93.3 %,1260,12.6%
Mebo,39,ST,East Siang,Lombo Tayeng,Indian National Congress,10872,10185,93.7 %,372,3.7%
Mebo,39,ST,East Siang,Lombo Tayeng,Indian National Congress,10872,10185,93.7 %,372,3.7%
Mechuka,33,ST,West Siang,Pasang Dorjee Sona,Bharatiya Janta Party,9501,8454,89.0 %,68,0.8%
Mechuka,33,ST,West Siang,Pasang Dorjee Sona,Bharatiya Janta Party,9501,8454,89.0 %,68,0.8%
Miao,50,ST,Changlang,Kamlung Mosang,Bharatiya Janta Party,19972,15664,78.4 %,3856,24.6%
Miao,50,ST,Changlang,Kamlung Mosang,Bharatiya Janta Party,19972,15664,78.4 %,3856,24.6%
Mukto,3,ST,Tawang,Pema Khandu,Bharatiya Janta Party,7342,5989,81.6 %,2619,43.7%
Mukto,3,ST,Tawang,Pema Khandu,Bharatiya Janta Party,7342,5989,81.6 %,2619,43.7%
Nacho,22,ST,Upper Subansiri,Nakap Nalo,Bharatiya Janta Party,10970,9408,85.8 %,698,7.4%
Nacho,22,ST,Upper Subansiri,Nakap Nalo,Bharatiya Janta Party,10970,9408,85.8 %,698,7.4%
Nampong,51,ST,Changlang,Laisam Simai,Bharatiya Janta Party,8970,7799,86.9 %,1510,19.4%
Nampong,51,ST,Changlang,Laisam Simai,Bharatiya Janta Party,8970,7799,86.9 %,1510,19.4%
Namsai,47,ST,Lohit,Chau Zingnu Namchoom,Bharatiya Janta Party,22858,18608,81.4 %,10755,57.8%
Namsai,47,ST,Lohit,Chau Zingnu Namchoom,Bharatiya Janta Party,22858,18608,81.4 %,10755,57.8%
Namsang,54,ST,Tirap,Wangki Lowang,Bharatiya Janta Party,9186,7009,76.3 %,1682,24.0%
Namsang,54,ST,Tirap,Wangki Lowang,Bharatiya Janta Party,9186,7009,76.3 %,1682,24.0%
Nari-Koyu,36,ST,East Siang,Kento Rina,Bharatiya Janta Party,7536,6643,88.2 %,216,3.3%
Nari-Koyu,36,ST,East Siang,Kento Rina,Bharatiya Janta Party,7536,6643,88.2 %,216,3.3%
Nyapin,19,ST,Kurung Kumey,Bamang Felix,Bharatiya Janta Party,12825,10880,84.8 %,154,1.4%
Nyapin,19,ST,Kurung Kumey,Bamang Felix,Bharatiya Janta Party,12825,10880,84.8 %,154,1.4%
