#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Dhanaha,1,GEN,Vishnu Pr. Kushwaha,Samata Party,116747,60934,52.2 %,3106,5.1%
2,Bagha,2,SC,Purnamashi Ram,Janata Dal,202428,115473,57.0 %,39779,34.4%
3,Ramnagar,3,GEN,Ram Prasad Yadav,Janata Dal,169977,93486,55.0 %,12683,13.6%
4,Shikarpur,4,SC,Bhola Ram Toofani,Janata Dal,175343,102443,58.4 %,13094,12.8%
5,Sikta,5,GEN,Deelip Varma,Champaran Vikas Party,160863,102219,63.5 %,18858,18.4%
6,Lauria,6,GEN,Ran Vijay Shahi,Janata Dal,162540,95508,58.8 %,6396,6.7%
7,Chanpatia,7,GEN,Birbal Sharma,Communist Party Of India,163483,94147,57.6 %,16039,17.0%
8,Bettiah,8,GEN,Birval Yadava,Janata Dal,225818,130853,57.9 %,505,0.4%
9,Nautan,9,GEN,Satan Yadava,Independent,167736,99856,59.5 %,26952,27.0%
10,Raxaul,10,GEN,Raj Nandan Rai,Janata Dal,166428,101937,61.2 %,7440,7.3%
11,Sugauli,11,GEN,Chandra Shekhar Dwiwedi,Independent,178965,110802,61.9 %,3940,3.6%
12,Motihari,12,GEN,Triveni Tiwary,Communist Party Of India,209493,119399,57.0 %,19186,16.1%
13,Adapur,13,GEN,Braj Bihari Prasad,Janata Dal,180648,112969,62.5 %,32065,28.4%
14,Dhaka,14,GEN,Awnish Kumar Singh,Bharatiya Janta Party,207377,115655,55.8 %,25164,21.8%
15,Ghorasahan,15,GEN,Lal Babu Prasad,Janata Dal,173512,101193,58.3 %,19867,19.6%
16,Madhuban,16,GEN,Sita Ram Singh,Janata Dal,188831,109704,58.1 %,28909,26.4%
17,Pipra,17,SC,Sahdeo Paswan,Janata Dal,160505,86456,53.9 %,34793,40.2%
18,Kesariya,18,GEN,Yamuna Yadav,Communist Party Of India,188206,105037,55.8 %,25204,24.0%
19,Harsidhi,19,GEN,Awadhesh Pra. Kush,Janata Dal,171142,113308,66.2 %,31838,28.1%
20,Gobindganj,20,GEN,Devendra Nath Dubey,Samata Party,189011,103453,54.7 %,13855,13.4%
21,Kateya,21,GEN,Sinheshwar Shahi,Janata Dal,196537,112560,57.3 %,22791,20.2%
22,Bhore,22,SC,Indradeo Manjhi,Janata Dal,197705,111678,56.5 %,18047,16.2%
23,Mirganj,23,GEN,Vishwanath Singh,Communist Party Of India (MARXIST),188055,106681,56.7 %,21358,20.0%
24,Gopalganj,24,GEN,Ramawtar,Janata Dal,196663,101666,51.7 %,28905,28.4%
25,Barauli,25,GEN,M.Nemtullah,Janata Dal,183782,105145,57.2 %,19802,18.8%
26,Baikunthpur,26,GEN,Lalbabu Pd. Yadav,Janata Dal,191674,105278,54.9 %,7684,7.3%
27,Basantpur,27,GEN,Manikchand Rai,Janata Dal,178552,118903,66.6 %,11435,9.6%
28,Goreakothi,28,GEN,Indra Dev Prasad,Janata Dal,159294,101028,63.4 %,40668,40.3%
29,Siwan,29,GEN,Awadh Bihari Chaudhary,Janata Dal,176112,110394,62.7 %,9962,9.0%
30,Mairwa,30,SC,Satya Deo Ram,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),147502,93848,63.6 %,1203,1.3%
31,Darauli,31,GEN,Amar Nath Yadav,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),163434,101291,62.0 %,13688,13.5%
32,Ziradei,32,GEN,M. Sahabuddin,Janata Dal,158591,99138,62.5 %,14132,14.3%
33,Maharajganj,33,GEN,Baidya Nath Pande,Janata Dal,153009,94554,61.8 %,16809,17.8%
34,Raghunathpur,34,GEN,Bikram Kuwar,Janata Dal,174240,98564,56.6 %,8394,8.5%
35,Manjhi,35,GEN,Budhan Prasad Yadav,Indian National Congress,157863,101962,64.6 %,17114,16.8%
36,Baniapur,36,GEN,Ram Bahadur Rai,Janata Dal,151520,94556,62.4 %,1277,1.4%
37,Masrakh,37,GEN,Ashok Singh,Janata Dal,157525,93325,59.2 %,18474,19.8%
38,Taraiya,38,GEN,Ram Das Rai,Janata Dal,148349,93466,63.0 %,27018,28.9%
39,Marhaura,39,GEN,Yaduvanshi Rai,Janata Dal,151840,98234,64.7 %,32791,33.4%
40,Jalalpur,40,GEN,Abhay Raj Kishore,Communist Party Of India,176269,101863,57.8 %,21048,20.7%
41,Chapra,41,GEN,Udit Rai,Janata Dal,187425,103150,55.0 %,7959,7.7%
42,Garkha,42,SC,Muneshwar Chaudhari,Janata Dal,162570,97439,59.9 %,16426,16.9%
43,Parsa,43,GEN,Chandrika Ray,Janata Dal,168796,112495,66.6 %,14588,13.0%
44,Sonepur,44,GEN,Raj Kumar Rai,Janata Dal,168891,104131,61.7 %,18013,17.3%
45,Hajipur,45,GEN,Rajendra Rai,Janata Dal,189963,127881,67.3 %,25867,20.2%
46,Raghopur,46,GEN,Laloo Prasad,Janata Dal,183694,121390,66.1 %,54603,45.0%
47,Mahnar,47,GEN,Munshi Lal Ray,Janata Dal,165757,106670,64.4 %,9219,8.6%
48,Jandaha,48,GEN,Tulsi Das Mehta,Janata Dal,174508,117459,67.3 %,37353,31.8%
49,Patepur,49,SC,Mahendra Baitha,Janata Dal,170597,107500,63.0 %,53847,50.1%
50,Mahua,50,SC,Munshi Lal Paswan,Janata Dal,166065,105169,63.3 %,38879,37.0%
51,Lalganj,51,GEN,Yogendra Pd. Sahu,Janata Dal,172270,102084,59.3 %,53635,52.5%
52,Vaishali,52,GEN,Raj Kishore Sinha,Janata Dal,181892,107062,58.9 %,33286,31.1%
53,Paru,53,GEN,Mithilesh Prasad Yadav,Janata Dal,180294,110809,61.5 %,48448,43.7%
54,Sahebganj,54,GEN,Ram Vichar Rai,Janata Dal,171807,105924,61.7 %,29278,27.6%
55,Baruraj,55,GEN,Shashi Kumar Rai,Janata Dal,178804,106220,59.4 %,45457,42.8%
56,Kanti,56,GEN,Mufti Mohammad Quasim,Janata Dal,164478,104602,63.6 %,56850,54.3%
57,Kurhani,57,GEN,Basawan Prasad Bhagat,Janata Dal,173802,114818,66.1 %,40480,35.3%
58,Sakra,58,SC,Kamal Paswan,Janata Dal,161118,105080,65.2 %,41619,39.6%
59,Muzaffarpur,59,GEN,Vijendra Chaudhary,Janata Dal,227199,121601,53.5 %,20497,16.9%
60,Bochaha,60,SC,Ramai Ram,Janata Dal,177658,118843,66.9 %,46126,38.8%
61,Gaighatti,61,GEN,Maheshwar Pd. Yadva,Janata Dal,150317,100320,66.7 %,22761,22.7%
62,Aurai,62,GEN,Ganesh Pd. Yadav,Janata Dal,152319,102836,67.5 %,12818,12.5%
63,Minapur,63,GEN,Hind Keshri Yadav,Janata Dal,159473,107837,67.6 %,19890,18.4%
64,Runisaidpur,64,GEN,Bhola Ray,Janata Dal,192723,107516,55.8 %,45447,42.3%
65,Belsand,65,GEN,Raghubansh Prasad Singh,Janata Dal,156724,85634,54.6 %,33310,38.9%
66,Sheohar,66,GEN,Raghunath Jha,Janata Dal,187177,98265,52.5 %,27598,28.1%
67,Sitamarhi,67,GEN,Hari Shankar Prasad,Bharatiya Janta Party,209074,122688,58.7 %,1533,1.2%
68,Bathnaha,68,GEN,Suryadev Rai,Janata Dal,192352,114508,59.5 %,22833,19.9%
69,Majorganj,69,SC,Surender Ram,Janata Dal,162054,91160,56.3 %,12989,14.2%
70,Sonbarsa,70,GEN,Ramjiwan Prasad,Janata Dal,178984,119198,66.6 %,139,0.1%
71,Sursand,71,GEN,Nagendra Prasad Yadav,Janata Dal,177835,105598,59.4 %,42567,40.3%
72,Pupri,72,GEN,Sitaram Yadav,Janata Dal,198812,106329,53.5 %,18707,17.6%
73,Benipatti,73,GEN,Shaligram Yadav,Independent,184014,105588,57.4 %,6855,6.5%
74,Bisfi,74,GEN,Ramchandra Yadav,Communist Party Of India,189381,106460,56.2 %,15976,15.0%
75,Harlakhi,75,GEN,Ram Naresh Pande,Communist Party Of India,174519,109279,62.6 %,32525,29.8%
76,Khajauli,76,SC,"Ram Lashan Ram ""raman""",Communist Party Of India,178521,109755,61.5 %,42738,38.9%
77,Babubarhi,77,GEN,Deo Narayan Yadav,Janata Dal,163920,107599,65.6 %,29218,27.2%
78,Madhubani,78,GEN,Raj Kumar Mahaseth,Janata Dal,194771,119555,61.4 %,26090,21.8%
79,Pandaul,79,GEN,Naiyar Azam,Janata Dal,190847,113865,59.7 %,36940,32.4%
80,Jhanjharpur,80,GEN,Ramawtar Chaudhary,Janata Dal,175609,102784,58.5 %,23029,22.4%
81,Phulparas,81,GEN,Deo Nath Yadav,Indian National Congress,174673,105615,60.5 %,3344,3.2%
82,Laukaha,82,GEN,Lal Bihari Yadav,Communist Party Of India,162840,105525,64.8 %,2778,2.6%
83,Madhepur,83,GEN,Rup Narayan Jha,Janata Dal,182436,110399,60.5 %,30684,27.8%
84,Manigachhi,84,GEN,Lalit Kumar Yadav,Janata Dal,167102,93254,55.8 %,33005,35.4%
85,Bahera,85,GEN,Abdul Bari Siddiqui,Janata Dal,165415,105068,63.5 %,34686,33.0%
86,Ghanshyampur,86,GEN,Mahabir Prasad,Janata Dal,188190,116722,62.0 %,14739,12.6%
87,Baheri,87,GEN,Ram Lakan Yadav,Janata Dal,182566,117899,64.6 %,39639,33.6%
88,Darbhanga Rural,88,SC,Mohan Ram,Janata Dal,153299,94120,61.4 %,32208,34.2%
89,Darbhanga,89,GEN,Shiv Nath Verma,Bharatiya Janta Party,169661,102800,60.6 %,11792,11.5%
90,Keoti,90,GEN,Gulam Sarvar,Janata Dal,195023,116352,59.7 %,37137,31.9%
91,Jale,91,GEN,Abdul Salam,Communist Party Of India,175603,97027,55.3 %,13572,14.0%
92,Hayaghat,92,GEN,Hari Nandan Yadav,Janata Dal,156205,91486,58.6 %,13965,15.3%
93,Kalyanpur,93,GEN,Sita Sinha,Janata Dal,184136,119030,64.6 %,31178,26.2%
94,Warisnagar,94,SC,Pitamber Paswan,Janata Dal,161854,106191,65.6 %,27273,25.7%
95,Samastipur,95,GEN,Ashok Singh,Janata Dal,207949,123035,59.2 %,44185,35.9%
96,Sarairanjan,96,GEN,Ram Ashray Sahni,Janata Dal,203381,131455,64.6 %,40495,30.8%
97,Mohiuddin Nagar,97,GEN,Ram Chander Rai,Janata Dal,206151,120510,58.5 %,40225,33.4%
98,Dalsinghsarai,98,GEN,Ram Lakhan Mahto,Janata Dal,194471,123663,63.6 %,51837,41.9%
99,Bibhutpur,99,GEN,Ramdev Varma,Communist Party Of India (MARXIST),205908,138372,67.2 %,17607,12.7%
100,Rosera,100,SC,Gajendra Prasad Singh,Janata Dal,175378,111719,63.7 %,29858,26.7%
101,Singhia,101,GEN,Jagdish Paswan,Janata Dal,173145,93755,54.1 %,22983,24.5%
102,Hasanpur,102,GEN,Sunil Kumar Pushpam,Janata Dal,168167,104957,62.4 %,26260,25.0%
103,Balia,103,GEN,Srinarayan Yadav,Janata Dal,154443,101090,65.5 %,14678,14.5%
104,Matihani,104,GEN,Rajendra Rajan,Communist Party Of India,168137,107453,63.9 %,19142,17.8%
105,Begusarai,105,GEN,Rajendra Pd. Singh,Communist Party Of India (MARXIST),182139,120349,66.1 %,13097,10.9%
106,Barauni,106,GEN,Rajendra Prasad Singh,Communist Party Of India,186732,123296,66.0 %,30919,25.1%
107,Bachwara,107,GEN,Abdhesh Kumar Roy,Communist Party Of India,168631,110683,65.6 %,22486,20.3%
108,Cheria Bariarpur,108,GEN,Ram Jeewan Singh,Janata Dal,166218,104390,62.8 %,25683,24.6%
109,Bakhri,109,SC,Ram Binod Paswan,Communist Party Of India,152151,98873,65.0 %,23685,24.0%
110,Raghopur,110,GEN,Lakhan Thakur,Janata Dal,185603,120595,65.0 %,1557,1.3%
111,Kishunpur,111,GEN,Vijay Kumar Gupta,Indian National Congress,163451,102223,62.5 %,7749,7.6%
112,Supaul,112,GEN,Bijendra Prasad Yadav,Janata Dal,188657,126100,66.8 %,13701,10.9%
113,Tribeniganj,113,GEN,Vishwa Mohan Kumar,Indian National Congress,148838,106545,71.6 %,5767,5.4%
114,Chhatapur,114,SC,Bishwa Mohan Bharti,Janata Dal,146415,95281,65.1 %,7319,7.7%
115,Kumarkhand,115,SC,Upendra Nr. Hazra,Janata Dal,151381,97520,64.4 %,31226,32.0%
116,Singheshwar,116,GEN,Bam Bhola Yadav,Janata Dal,165086,102925,62.3 %,9946,9.7%
117,Saharsa,117,GEN,Shankar Prasad Tekriwal,Janata Dal,210998,125482,59.5 %,26950,21.5%
118,Mahishi,118,GEN,Abdul Gafoor,Janata Dal,197635,117246,59.3 %,15090,12.9%
119,Simri-Bakhtiarpur,119,GEN,Choudhary Md. Mehboob Ali Kaisher,Indian National Congress,176943,121271,68.5 %,245,0.2%
120,Madhepura,120,GEN,Parmeshwari Pd. Nirala,Janata Dal,181848,116487,64.1 %,31019,26.6%
121,Sonbarsa,121,GEN,Ashok Kumar Singh,Janata Dal,193106,113902,59.0 %,28939,25.4%
122,Kishanganj,122,GEN,Rabindra Charan Yadav,Janata Dal,144357,97520,67.6 %,11556,11.8%
123,Alamnagar,123,GEN,Narendra Nr. Yadav,Janata Dal,155498,102375,65.8 %,9400,9.2%
124,Rupauli,124,GEN,Bal Kishor Mandal,Communist Party Of India,160187,91432,57.1 %,8946,9.8%
125,Dhamdaha,125,GEN,Dilip Kumar Yadav,Janata Dal,187398,116645,62.2 %,8923,7.6%
126,Banmankhi,126,SC,Chunni Lal Rajbanshi,Janata Dal,174508,107648,61.7 %,10852,10.1%
