#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Valmiki Nagar,1,GEN,Pashchim Champaran,Rajesh Singh,Janata Dal (United),240418,143698,59.8 %,14671,10.2%
2,Ramnagar,2,SC,Pashchim Champaran,Bhagirathi Devi,Bharatiya Janta Party,216595,125257,57.8 %,29782,23.8%
3,Narkatiaganj,3,GEN,Pashchim Champaran,Satish Chandra Dubey,Bharatiya Janta Party,199212,118282,59.4 %,20228,17.1%
4,Bagaha,4,GEN,Pashchim Champaran,Prabhat Ranjan Singh,Janata Dal (United),230155,133942,58.2 %,49055,36.6%
5,Lauriya,5,GEN,Pashchim Champaran,Vinay Bihari,Independent,190855,114776,60.1 %,10881,9.5%
6,Nautan,6,GEN,Pashchim Champaran,Manorma Prasad,Janata Dal (United),200327,112107,56.0 %,22764,20.3%
7,Chanpatia,7,GEN,Pashchim Champaran,Chandra Mohan Rai,Bharatiya Janta Party,198951,110954,55.8 %,23412,21.1%
8,Bettiah,8,GEN,Pashchim Champaran,Renu Devi,Bharatiya Janta Party,192145,106163,55.3 %,28789,27.1%
9,Sikta,9,GEN,Pashchim Champaran,Dilip Varma,Independent,199497,124948,62.6 %,8779,7.0%
10,Raxaul,10,GEN,Purba Champaran,Dr. Ajay Kumar Singh,Bharatiya Janta Party,210120,113455,54.0 %,10117,8.9%
11,Sugauli,11,GEN,Purba Champaran,Ramchandra Sahani,Bharatiya Janta Party,204928,113367,55.3 %,12379,10.9%
12,Narkatia,12,GEN,Purba Champaran,Shyam Bihari Prasad,Janata Dal (United),204398,119067,58.3 %,7688,6.5%
13,Harsidhi,13,SC,Purba Champaran,Krishana Nandan Paswan,Bharatiya Janta Party,187089,102692,54.9 %,18064,17.6%
14,Govindganj,14,GEN,Purba Champaran,Meena Dwivedi,Janata Dal (United),189033,97400,51.5 %,8405,8.6%
15,Kesaria,15,GEN,Purba Champaran,Sachindra Pd. Singh,Bharatiya Janta Party,186077,94480,50.8 %,11683,12.4%
16,Kalyanpur,16,GEN,Purba Champaran,Razia Khatoon,Janata Dal (United),177339,96871,54.6 %,15402,15.9%
17,Pipra,17,GEN,Purba Champaran,Awadhesh Prasad Kushwaha,Janata Dal (United),237739,122358,51.5 %,11887,9.7%
18,Madhuban,18,GEN,Purba Champaran,Shivjee Rai,Janata Dal (United),178725,102670,57.4 %,10122,9.9%
19,Motihari,19,GEN,Purba Champaran,Pramod Kumar,Bharatiya Janta Party,219062,122099,55.7 %,24530,20.1%
20,Chiraia,20,GEN,Purba Champaran,Avaneesh Kumar Singh,Bharatiya Janta Party,215434,111933,52.0 %,14828,13.2%
21,Dhaka,21,GEN,Purba Champaran,Pawan Kumar Jaiswal,Independent,231228,126635,54.8 %,1649,1.3%
22,Sheohar,22,GEN,Sheohar,Sharfuddin,Janata Dal (United),230836,119938,52.0 %,1631,1.4%
23,Riga,23,GEN,Sitamarhi,Motilal Prasad,Bharatiya Janta Party,229978,122022,53.1 %,22327,18.3%
24,Bathnaha,24,SC,Sitamarhi,Dinkar Ram,Bharatiya Janta Party,235163,111723,47.5 %,13292,11.9%
25,Parihar,25,GEN,Sitamarhi,Ram Naresh Pr. Yadav.,Bharatiya Janta Party,228952,115475,50.4 %,4218,3.7%
26,Sursand,26,GEN,Sitamarhi,Shahid Ali Khan,Janata Dal (United),231960,116475,50.2 %,1186,1.0%
27,Bajpatti,27,GEN,Sitamarhi,Ranju Geeta,Janata Dal (United),242897,116118,47.8 %,3420,2.9%
28,Sitamarhi,28,GEN,Sitamarhi,Sunil Kumar Alias Pintu,Bharatiya Janta Party,224109,118527,52.9 %,5221,4.4%
29,Runisaidpur,29,GEN,Sitamarhi,Guddi Devi,Janata Dal (United),216175,108973,50.4 %,10759,9.9%
30,Belsand,30,GEN,Sitamarhi,Sunita Singh,Janata Dal (United),198429,98284,49.5 %,19580,19.9%
31,Harlakhi,31,GEN,Madhubani,Shaligram Yadav,Janata Dal (United),218983,112284,51.3 %,6659,5.9%
32,Benipatti,32,GEN,Madhubani,Vinod Narain Jha,Bharatiya Janta Party,233957,97668,41.7 %,12642,12.9%
33,Khajauli,33,GEN,Madhubani,Arun Shankar Prasad,Bharatiya Janta Party,233852,124145,53.1 %,10713,8.6%
34,Babubarhi,34,GEN,Madhubani,Uma Kant Yadav,Rashtriya Janata Dal,235219,127752,54.3 %,4913,3.8%
35,Bisfi,35,GEN,Madhubani,Dr. Faiyaj Ahmad,Rashtriya Janata Dal,243560,115105,47.3 %,9501,8.3%
36,Madhubani,36,GEN,Madhubani,Ram Deo Mahto,Bharatiya Janta Party,266042,121078,45.5 %,588,0.5%
37,Rajnagar,37,SC,Madhubani,Ram Lakhan Ram Raman,Rashtriya Janata Dal,241735,106756,44.2 %,2459,2.3%
38,Jhanjharpur,38,GEN,Madhubani,Nitish Mishra,Janata Dal (United),245100,117301,47.9 %,20681,17.6%
39,Phulparas,39,GEN,Madhubani,Guljar Devi,Janata Dal (United),261395,126774,48.5 %,12344,9.7%
40,Laukaha,40,GEN,Madhubani,Hari Prasad Sah,Janata Dal (United),260675,137390,52.7 %,17566,12.8%
41,Nirmali,41,GEN,Supaul,Aniruddha Prasad Yadav,Janata Dal (United),218447,130457,59.7 %,46010,35.3%
42,Pipra,42,GEN,Supaul,Sujata Devi,Janata Dal (United),211456,125233,59.2 %,14686,11.7%
43,Supaul,43,GEN,Supaul,Bijendra Prasad Yadav,Janata Dal (United),219369,121343,55.3 %,15400,12.7%
44,Tribeniganj,44,SC,Supaul,Amla Devi,Janata Dal (United),208931,130169,62.3 %,19023,14.6%
45,Chhatapur,45,GEN,Supaul,Neeraj Kumar Singh,Janata Dal (United),212216,136719,64.4 %,23730,17.4%
46,Narpatganj,46,GEN,Araria,Devanti Yadav,Bharatiya Janta Party,237915,149093,62.7 %,6937,4.7%
47,Raniganj,47,SC,Araria,Parmanand Rishideo,Bharatiya Janta Party,229649,131191,57.1 %,23653,18.0%
48,Forbesganj,48,GEN,Araria,Padam Parag Roy 'venu',Bharatiya Janta Party,241677,143965,59.6 %,26827,18.6%
49,Araria,49,GEN,Araria,Zakir Hussain Khan,Lok Jan Shakti Party,216652,128554,59.3 %,18061,14.0%
50,Jokihat,50,GEN,Araria,Sarfraz Alam,Janata Dal (United),209567,124612,59.5 %,25330,20.3%
51,Sikti,51,GEN,Araria,Anandi Prasad Yadav,Bharatiya Janta Party,211844,134957,63.7 %,9874,7.3%
52,Bahadurganj,52,GEN,Kishanganj,Mohammad Tousif Alam,Indian National Congress,208314,112446,54.0 %,3799,3.4%
53,Thakurganj,53,GEN,Kishanganj,Naushad Alam,Lok Jan Shakti Party,196541,128527,65.4 %,6963,5.4%
54,Kishanganj,54,GEN,Kishanganj,Dr Mohammad Jawaid,Indian National Congress,211851,123875,58.5 %,264,0.2%
55,Kochadhaman,55,GEN,Kishanganj,Akhatarul Iman,Rashtriya Janata Dal,177507,103036,58.0 %,9025,8.8%
56,Amour,56,GEN,Purnia,Saba Zafar,Bharatiya Janta Party,222012,124697,56.2 %,18828,15.1%
57,Baisi,57,GEN,Purnia,Santosh Kumar,Bharatiya Janta Party,190599,122604,64.3 %,9250,7.5%
58,Kasba,58,GEN,Purnia,Md. Afaque Alam,Indian National Congress,198855,133900,67.3 %,4455,3.3%
59,Banmankhi,59,SC,Purnia,Krishna Kumar Rishi,Bharatiya Janta Party,232413,126520,54.4 %,44890,35.5%
60,Rupauli,60,GEN,Purnia,Bima Bharti,Janata Dal (United),238076,139155,58.4 %,37716,27.1%
61,Dhamdaha,61,GEN,Purnia,Leshi Singh,Janata Dal (United),236569,146115,61.8 %,44697,30.6%
62,Purnia,62,GEN,Purnia,Raj Kishore Keshari,Bharatiya Janta Party,216656,131847,60.9 %,15599,11.8%
63,Katihar,63,GEN,Katihar,Tar Kishore Prasad,Bharatiya Janta Party,208316,125284,60.1 %,20607,16.4%
64,Kadwa,64,GEN,Katihar,Bhola Ray,Bharatiya Janta Party,200887,119961,59.7 %,18367,15.3%
65,Balrampur,65,GEN,Katihar,Dulal Chandra Goshwami,Independent,232774,147247,63.3 %,2704,1.8%
66,Pranpur,66,GEN,Katihar,Binod Kumar Singh,Bharatiya Janta Party,217542,138226,63.5 %,716,0.5%
67,Manihari,67,ST,Katihar,Manohar Prasad Singh,Janata Dal (United),210473,126139,59.9 %,4165,3.3%
68,Barari,68,GEN,Katihar,Bibhasha Chandra Choudhary,Bharatiya Janta Party,207239,136794,66.0 %,27168,19.9%
69,Korha,69,SC,Katihar,Mahesh Paswan,Bharatiya Janta Party,202388,128442,63.5 %,52444,40.8%
70,Alamnagar,70,GEN,Madhepura,Narendra N. Yadav,Janata Dal (United),263276,154110,58.5 %,42345,27.5%
71,Bihariganj,71,GEN,Madhepura,Renu Kumari,Janata Dal (United),251476,152620,60.7 %,49997,32.8%
72,Singheshwar,72,SC,Madhepura,Ramesh Rishidev,Janata Dal (United),245479,145296,59.2 %,15196,10.5%
73,Madhepura,73,GEN,Madhepura,Chandrashekhar,Rashtriya Janata Dal,258173,153267,59.4 %,11944,7.8%
74,Sonbarsa,74,SC,Saharsa,Ratnesh Sada,Janata Dal (United),229264,119548,52.1 %,31445,26.3%
75,Saharsa,75,GEN,Saharsa,Alok Ranjan,Bharatiya Janta Party,284939,151773,53.3 %,7979,5.3%
76,Simri Bakhtiarpur,76,GEN,Saharsa,Dr Arun Kumar,Janata Dal (United),244826,131565,53.7 %,18842,14.3%
77,Mahishi,77,GEN,Saharsa,Dr Abdul Gafoor,Rashtriya Janata Dal,222769,117290,52.7 %,1717,1.5%
78,Kusheshwar Asthan,78,SC,Darbhanga,Shashi Bhushan Hajari,Bharatiya Janta Party,198439,90475,45.6 %,5512,6.1%
79,Gora Bauram,79,GEN,Darbhanga,Dr. Izhar Ahmad,Janata Dal (United),195440,90480,46.3 %,10602,11.7%
80,Benipur,80,GEN,Darbhanga,Gopal Jee Thakur,Bharatiya Janta Party,226713,107175,47.3 %,13957,13.0%
81,Alinagar,81,GEN,Darbhanga,Abdul Bari Siddiqui,Rashtriya Janata Dal,215293,101888,47.3 %,4989,4.9%
82,Darbhanga Rural,82,GEN,Darbhanga,Lalit Kumar Yadav,Rashtriya Janata Dal,223313,101745,45.6 %,3676,3.6%
