#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Manendragarh,1,ST,Gulab Singh,Indian National Congress,173471,112638,64.9 %,7526,6.7%
2,Baikunthpur,2,GEN,Dr. Ram Chandra Singh Dev,Indian National Congress,175583,121949,69.5 %,7970,6.5%
3,Premnagar,3,ST,Renuka Singh,Bharatiya Janta Party,136646,96914,70.9 %,17752,18.3%
4,Surajpur,4,ST,Shiv Pratap Singh,Bharatiya Janta Party,139874,95473,68.3 %,27511,28.8%
5,Pal,5,ST,Ramvichar Netaam,Bharatiya Janta Party,169279,107837,63.7 %,10213,9.5%
6,Samri,6,ST,Sidhanath,Bharatiya Janta Party,128697,75339,58.5 %,13382,17.8%
7,Lundra,7,ST,Vijaya Nath,Bharatiya Janta Party,143235,98086,68.5 %,42,0.0%
8,Pilkha,8,ST,Ramsewak Paikra,Bharatiya Janta Party,169604,116874,68.9 %,20501,17.5%
9,Ambikapur,9,ST,Kamal Bhan Singh,Bharatiya Janta Party,184121,123363,67.0 %,37222,30.2%
10,Sitapur,10,ST,Amarjeet,Indian National Congress,119397,82961,69.5 %,5102,6.1%
11,Bagicha,11,ST,Ganesh Ram Bhagat,Bharatiya Janta Party,120993,87224,72.1 %,10572,12.1%
12,Jashpur,12,ST,Raj Sharan Bhagat,Bharatiya Janta Party,119888,90166,75.2 %,9563,10.6%
13,Tapkara,13,ST,Bharat Sai,Bharatiya Janta Party,117163,87158,74.4 %,13591,15.6%
14,Pathalgaon,14,ST,Rampukar Singh,Indian National Congress,129353,97366,75.3 %,317,0.3%
15,Dharamjaigarh,15,ST,Om Prakash Rathia,Bharatiya Janta Party,128276,101073,78.8 %,15618,15.5%
16,Lailunga,16,ST,Satyanand Rathia,Bharatiya Janta Party,121852,94059,77.2 %,5890,6.3%
17,Raigarh,17,GEN,Vijay Agrawal,Bharatiya Janta Party,147066,112444,76.5 %,8439,7.5%
18,Kharsia,18,GEN,Nand Kumar Patel,Indian National Congress,138716,115398,83.2 %,32768,28.4%
19,Saria,19,GEN,Dr. Shakajeet Nayak,Indian National Congress,121178,105681,87.2 %,18293,17.3%
20,Sarangarh,20,SC,Ku. Kamda Jolhe,Bahujan Samaj Party,134114,98383,73.4 %,8158,8.3%
21,Rampur,21,ST,Nanki Ram,Bharatiya Janta Party,148622,104762,70.5 %,380,0.4%
22,Katghora,22,GEN,Bodhram Kanwar,Indian National Congress,276074,186864,67.7 %,3853,2.1%
23,Tanakhar,23,ST,Ram Dayal Uike,Indian National Congress,165839,114396,69.0 %,20313,17.8%
24,Marwahi,24,ST,Ajit Jogi,Indian National Congress,139963,109392,78.2 %,54150,49.5%
25,Kota,25,GEN,Rajendra Prasad Shukla,Indian National Congress,139743,99933,71.5 %,1679,1.7%
26,Lormi,26,GEN,Dharmjeet Singh,Indian National Congress,162021,117124,72.3 %,15666,13.4%
27,Mungeli,27,SC,Chandrabhan,Indian National Congress,151499,95195,62.8 %,6756,7.1%
28,Jarhagaon,28,SC,Churawan Mangeshkar,Indian National Congress,135797,91421,67.3 %,11985,13.1%
29,Takhatpur,29,GEN,Balram Singh,Indian National Congress,132064,93946,71.1 %,6691,7.1%
30,Bilaspur,30,GEN,Amar Agrawal,Bharatiya Janta Party,210249,131203,62.4 %,5843,4.5%
31,Bilha,31,GEN,Siyaram Kaushik,Indian National Congress,147345,105885,71.9 %,6551,6.2%
32,Masturi,32,SC,Dr. Krishnamurti Bandhi,Bharatiya Janta Party,166072,103483,62.3 %,2268,2.2%
33,Sipat,33,GEN,Badhridhar Diwan,Bharatiya Janta Party,133301,97116,72.9 %,299,0.3%
34,Akaltara,34,GEN,Ramadhar,Indian National Congress,164259,117861,71.8 %,1430,1.2%
35,Pamgarh,35,GEN,Mahant Ram Sundar Das,Indian National Congress,180330,136387,75.6 %,6734,4.9%
36,Champa,36,GEN,Moti Lal,Indian National Congress,164786,122241,74.2 %,7710,6.3%
37,Sakti,37,GEN,Megharam Sahu,Bharatiya Janta Party,134727,96781,71.8 %,3272,3.4%
38,Malkharoda,38,SC,Lalsay Khunte,Bahujan Samaj Party,159854,107394,67.2 %,896,0.8%
39,Chandrapur,39,GEN,Novel Kumar,Nationalist Congress Party,123950,93078,75.1 %,12431,13.4%
40,Raipur Town,40,GEN,Brijmohan Agrawal,Bharatiya Janta Party,183193,123280,67.3 %,25974,21.1%
41,Raipur Rural,41,GEN,Rajesh Munat,Bharatiya Janta Party,341682,220615,64.6 %,37999,17.2%
42,Abhanpur,42,GEN,Dhanendra Sahu,Indian National Congress,141268,115335,81.6 %,227,0.2%
43,Mandirhasod,43,GEN,Satyanarayan Sharma,Indian National Congress,82127,64575,78.6 %,1827,2.8%
44,Arang,44,SC,Sanjay Dhidhi,Bharatiya Janta Party,129199,96706,74.9 %,18444,19.1%
45,Dharsiwa,45,GEN,Deoji Bhai,Bharatiya Janta Party,165752,122887,74.1 %,16117,13.1%
46,Bhatapara,46,GEN,Chaitram Sahu,Indian National Congress,152904,110461,72.2 %,1945,1.8%
47,Baloda Bazar,47,GEN,Ganesh Shankar Bajpai,Indian National Congress,156327,115266,73.7 %,309,0.3%
48,Pallari,48,SC,Dr. Shiv Kumar Dahria,Indian National Congress,147750,105863,71.7 %,2702,2.6%
49,Kasdol,49,GEN,Rajkamal Singhania,Indian National Congress,166188,125223,75.4 %,5022,4.0%
50,Bhatgaon,50,SC,Dr. Hari Das Bhardwaj,Indian National Congress,148982,102541,68.8 %,8222,8.0%
51,Rajim,51,GEN,Chandulal Sahu,Bharatiya Janta Party,160809,127700,79.4 %,11876,9.3%
52,Bindranawagarh,52,ST,Omkar Shah,Indian National Congress,154292,114454,74.2 %,8796,7.7%
53,Saraipali,53,GEN,Trilochan Patel,Bharatiya Janta Party,137111,112272,81.9 %,8732,7.8%
54,Basna,54,GEN,Dr. Trivikram Bhoi,Bharatiya Janta Party,129445,100008,77.3 %,2403,2.4%
55,Khallari,55,GEN,Preetam Singh Diwan,Bharatiya Janta Party,131336,98045,74.7 %,5625,5.7%
56,Mahasamund,56,GEN,Poonam Chandrakar,Bharatiya Janta Party,139316,107730,77.3 %,1611,1.5%
57,Sihawa,57,ST,Pinky Dhruw,Bharatiya Janta Party,131185,105627,80.5 %,16065,15.2%
58,Kurud,58,GEN,"Ajay Chandrakar ""dala""",Bharatiya Janta Party,144590,121638,84.1 %,2709,2.2%
59,Dhamtari,59,GEN,Inder Chopra,Bharatiya Janta Party,163822,138176,84.3 %,13580,9.8%
60,Bhanupratappur,60,ST,Deolal Dugga,Bharatiya Janta Party,147694,103895,70.3 %,1379,1.3%
61,Kanker,61,ST,Aghan Singh Thakur,Bharatiya Janta Party,133092,91098,68.4 %,25811,28.3%
62,Narayanpur,62,ST,Vikram Usendi,Bharatiya Janta Party,142249,87207,61.3 %,8814,10.1%
63,Keskala,63,ST,Mahesh Baghel,Bharatiya Janta Party,133619,92180,69.0 %,11282,12.2%
64,Kondagaon,64,ST,Ku. Lata Usendi,Bharatiya Janta Party,140604,86345,61.4 %,14121,16.4%
65,Bhanpuri,65,ST,Kedar Kshyap,Bharatiya Janta Party,133148,86648,65.1 %,11392,13.1%
66,Jagdalpur,66,ST,Dr. Subhau Kashyap,Bharatiya Janta Party,165944,106817,64.4 %,30289,28.4%
67,Keslur,67,ST,Baiduram Kashyap,Bharatiya Janta Party,127467,77941,61.1 %,24058,30.9%
68,Chitrakote,68,ST,Lachhuram Kashyap,Bharatiya Janta Party,100661,50055,49.7 %,3459,6.9%
69,Dantewada,69,ST,Mahendra Karma,Indian National Congress,113625,68490,60.3 %,4935,7.2%
70,Konta,70,ST,Kawasi Lakhma,Indian National Congress,118715,62218,52.4 %,17398,28.0%
71,Bijapur,71,ST,Rajendra Pambhoi,Indian National Congress,133665,49549,37.1 %,2721,5.5%
72,Maro,72,SC,Dayal Das Baghel,Bharatiya Janta Party,141666,97253,68.6 %,11659,12.0%
73,Bemetara,73,GEN,Dr. Chetan Verma,Indian National Congress,134914,91187,67.6 %,12242,13.4%
74,Saja,74,GEN,Ravindra Choubey,Indian National Congress,143704,108141,75.3 %,17742,16.4%
75,Dhamdha,75,GEN,Tamradhwaj Sahu,Indian National Congress,153233,115045,75.1 %,9327,8.1%
76,Durg,76,GEN,Hem Chand Yadav,Bharatiya Janta Party,334976,219412,65.5 %,22573,10.3%
77,Bhilai,77,GEN,Prem Prakash,Bharatiya Janta Party,243634,154419,63.4 %,15004,9.7%
78,Patan,78,GEN,Bhupesh Baghel,Indian National Congress,166316,129545,77.9 %,6909,5.3%
79,Gunderdehi,79,GEN,Ramshila Sahu,Bharatiya Janta Party,127095,102693,80.8 %,9290,9.0%
80,Khertha,80,GEN,Dr Balmukund Dewagan,Bharatiya Janta Party,128823,105408,81.8 %,12552,11.9%
81,Balod,81,GEN,Pritam Sahu,Bharatiya Janta Party,156936,132245,84.3 %,13074,9.9%
82,Dondi Lohara,82,ST,Lal Mahendra Singh Tekam,Bharatiya Janta Party,146503,113576,77.5 %,10743,9.5%
83,Chowki,83,ST,Sanjeev Shah,Bharatiya Janta Party,135281,96368,71.2 %,1535,1.6%
84,Khujji,84,GEN,Rajinader Pal Singh Bhatia,Bharatiya Janta Party,129640,100113,77.2 %,1113,1.1%
85,Dongargaon,85,GEN,Pradeep Gandhi,Bharatiya Janta Party,112084,90923,81.1 %,6135,6.7%
86,Rajnandgaon,86,GEN,Udai Mudliyar,Indian National Congress,148513,113804,76.6 %,40,0.0%
87,Dongargarh,87,SC,Vinod Khandekar,Bharatiya Janta Party,139534,108496,77.8 %,14477,13.3%
88,Khairagarh,88,GEN,Devwarth Singh,Indian National Congress,142578,111509,78.2 %,17907,16.1%
89,Birendranagar,89,GEN,Akabar Bhai,Indian National Congress,144197,110006,76.3 %,11982,10.9%
90,Kawardha,90,GEN,Yogeshwar Raj Singh,Indian National Congress,161267,120326,74.6 %,4188,3.5%
