#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Sarojini Nagar,1,GEN,Ashok Ahuja,Indian National Congress,92833,40484,43.6 %,2755,6.8%
2,Gole Market,2,GEN,Sheila Dikshit,Indian National Congress,85572,39037,45.6 %,12935,33.1%
3,Minto Road,3,GEN,Tajdar Babar,Indian National Congress,99335,44630,44.9 %,18661,41.8%
4,Kasturba Nagar,4,GEN,Sushil Choudery,Bharatiya Janta Party,87325,39428,45.2 %,683,1.7%
5,Jangpura,5,GEN,Tarvinder Singh Marwah,Indian National Congress,93478,47820,51.2 %,20227,42.3%
6,Okhla,6,GEN,Parvez Hashmi,Indian National Congress,123595,54491,44.1 %,14649,26.9%
7,Kalkaji,7,GEN,Subhash Chopra,Indian National Congress,105496,55703,52.8 %,17644,31.7%
8,Malviya Nagar,8,GEN,Dr. Yoganand Shastri,Indian National Congress,111032,52903,47.6 %,4520,8.5%
9,Hauz Khas,9,GEN,Kiran Walia,Indian National Congress,85855,41660,48.5 %,6924,16.6%
10,R.K.Puram,10,GEN,Barkha Singh,Indian National Congress,103909,41849,40.3 %,5585,13.3%
11,Delhi Cantonment,11,GEN,Karan Singh Tanwar,Bharatiya Janta Party,76756,41200,53.7 %,3766,9.1%
12,Janak Puri,12,GEN,Jagdish Mukhi,Bharatiya Janta Party,101989,59105,58.0 %,12891,21.8%
13,Hari Nagar,13,GEN,Harsharan Singh Balli,Bharatiya Janta Party,102537,60102,58.6 %,6791,11.3%
14,Tilak Nagar,14,GEN,O.P. Babbar,Bharatiya Janta Party,102816,62153,60.5 %,5628,9.1%
15,Rajouri Garden,15,GEN,Ajay Makan,Indian National Congress,98852,57242,57.9 %,24487,42.8%
16,Madipur,16,SC,Mala Ram Gangwal,Indian National Congress,118490,65408,55.2 %,6339,9.7%
17,Tri Nagar,17,GEN,Anil Bhardwaj,Indian National Congress,95595,57458,60.1 %,8491,14.8%
18,Shakurbasti,18,GEN,S.C.Vats,Indian National Congress,119696,69738,58.3 %,14000,20.1%
19,Shalimar Bagh,19,GEN,Ravinder Nath Bansal,Bharatiya Janta Party,110501,62703,56.7 %,6884,11.0%
20,Badli,20,GEN,Jai Bhagwan Aggarwal,Bharatiya Janta Party,271032,129765,47.9 %,16564,12.8%
21,Sahibabad Daulatpur,21,GEN,Kulwant Rana,Bharatiya Janta Party,188473,101478,53.8 %,5856,5.8%
22,Bawana,22,SC,Surender Kumar,Indian National Congress,186979,99051,53.0 %,14522,14.7%
23,Sultanpur Majra,23,SC,Jai Kishan,Indian National Congress,117722,69189,58.8 %,18921,27.3%
24,Mangolpuri,24,SC,Rajkumar Chauhan,Indian National Congress,100254,57282,57.1 %,30315,52.9%
25,Nangloi Jat,25,GEN,Bijender Singh,Indian National Congress,146862,79933,54.4 %,8042,10.1%
26,Vishnu Garden,26,GEN,A.Dayanand Chandila. A,Bharatiya Janta Party,109408,61464,56.2 %,3260,5.3%
27,Hastsal,27,GEN,Mukesh Sharma,Indian National Congress,263875,145137,55.0 %,19288,13.3%
28,Najafgarh,28,GEN,Ranbir Singh,Independent,157603,92406,58.6 %,17090,18.5%
29,Nasirpur,29,GEN,Mahabal Mishra,Indian National Congress,177453,98922,55.7 %,5518,5.6%
30,Palam,30,GEN,Dharam Dev Solanki,Bharatiya Janta Party,186072,90754,48.8 %,2317,2.6%
31,Mahipalpur,31,GEN,Vijay Singh Lochav,Indian National Congress,124016,66134,53.3 %,4958,7.5%
32,Mehrauli,32,GEN,Balram Tanwar,Indian National Congress,127515,71880,56.4 %,11656,16.2%
33,Saket,33,GEN,Vijay Jolly,Bharatiya Janta Party,123463,59487,48.2 %,121,0.2%
34,Dr. Ambedkar Nagar,34,SC,Ch. Prem Singh,Indian National Congress,90055,48695,54.1 %,8361,17.2%
35,Tuglakabad,35,GEN,Ramesh Bidhuri,Bharatiya Janta Party,149172,82886,55.6 %,23983,28.9%
