#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Nerela,1,GEN,North West,Neel Daman Khatri,Bharatiya Janta Party,211730,143006,67.5 %,23545,16.5%
2,Burari,2,GEN,North,Sanjeev Jha,Aam Aadmi Party,246371,161653,65.6 %,10351,6.4%
3,Timarpur,3,GEN,North,Harish Khanna,Aam Aadmi Party,171539,112416,65.5 %,3383,3.0%
4,Adarsh Nagar,4,GEN,North,Ram Kishan Singhal,Bharatiya Janta Party,145657,96337,66.1 %,10056,10.4%
5,Badli,5,GEN,North West,Devender Yadav,Indian National Congress,198084,120920,61.0 %,23109,19.1%
6,Rithala,6,GEN,North West,Kulwant Rana,Bharatiya Janta Party,223056,143157,64.2 %,25826,18.0%
7,Bawana,7,SC,North West,Gugan Singh,Bharatiya Janta Party,272560,165238,60.6 %,25639,15.5%
8,Mundka,8,GEN,North West,Rambir Shokeen,Independent,242570,152658,62.9 %,7134,4.7%
9,Kirari,9,GEN,North West,Anil Jha,Bharatiya Janta Party,215927,138083,63.9 %,48526,35.1%
10,Sultanpur Majra,10,SC,North West,Jai Kishan,Indian National Congress,159836,104350,65.3 %,1112,1.1%
11,Nangloi Jat,11,GEN,West,Manoj Kumar Shokeen,Bharatiya Janta Party,220572,134594,61.0 %,11015,8.2%
12,Mangol Puri,12,SC,West,Rakhi Birla,Aam Aadmi Party,165952,114693,69.1 %,10585,9.2%
13,Rohini,13,GEN,North West,Rajesh Garg,Aam Aadmi Party,161913,109142,67.4 %,1872,1.7%
14,Shalimar Bagh,14,GEN,North,Bandana Kumari,Aam Aadmi Party,161126,106400,66.0 %,10651,10.0%
15,Shakur Basti,15,GEN,North,Satyender Kumar Jain,Aam Aadmi Party,134390,94533,70.3 %,7062,7.5%
16,Tri Nagar,16,GEN,North,Nand Kishore Garg,Bharatiya Janta Party,146296,102787,70.3 %,2809,2.7%
17,Wazirpur,17,GEN,North,Dr Mahander Nagpal,Bharatiya Janta Party,153591,102244,66.6 %,5574,5.5%
18,Model Town,18,GEN,North,Akhilesh Pati Tripathi,Aam Aadmi Party,141303,95869,67.8 %,7875,8.2%
19,Sadar Bazar,19,GEN,Central,Som Dutt,Aam Aadmi Party,153229,108469,70.8 %,796,0.7%
20,Chandni Chowk,20,GEN,Central,Parlad Singh Sawhney,Indian National Congress,106559,69236,65.0 %,8243,11.9%
21,Matia Mahal,21,GEN,Central,Shoaib Iqbal,Janata Dal (United),109122,71374,65.4 %,2891,4.1%
22,Ballimaran,22,GEN,Central,Haroon Yusuf,Indian National Congress,131574,88364,67.2 %,8093,9.2%
23,Karol Bagh,23,SC,Central,Vishesh Ravi,Aam Aadmi Party,151923,101401,66.7 %,1750,1.7%
24,Patel Nagar,24,SC,Central,Veena Anand,Aam Aadmi Party,155501,101621,65.4 %,6262,6.2%
25,Moti Nagar,25,GEN,Central,Subhash Sachdeva,Bharatiya Janta Party,145605,99816,68.6 %,16021,16.1%
26,Madipur,26,SC,West,Girish Soni,Aam Aadmi Party,148634,100320,67.5 %,1103,1.1%
27,Rajouri Garden,27,GEN,West,Manjinder Singh Sirsa,Shiromani Akali Dal,147852,100731,68.1 %,11008,10.9%
28,Hari Nagar,28,GEN,West,Jagdeep Singh,Aam Aadmi Party,150235,99341,66.1 %,8876,8.9%
29,Tilak Nagar,29,GEN,West,Jarnail Singh,Aam Aadmi Party,132706,87213,65.7 %,2088,2.4%
