#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Mandrem,1,GEN,Khalap Ramakant Dattaram,Maharashtrawadi Gomantak,18601,13639,73.3 %,1182.0,8.7%
2,Pernem,2,GEN,Deshprabhu Jitendra Raghuraj,Indian National Congress,17069,12413,72.7 %,1166.0,9.4%
3,Dargalim,3,SC,Azgaonkar Monohar Trimbak,Indian National Congress,14777,10086,68.3 %,1096.0,10.9%
4,Tivim,4,GEN,Narvekar Dyanand Ganesh,Indian National Congress,25172,16978,67.4 %,2656.0,15.6%
5,Mapusa,5,GEN,D Souza Francis Pedro,Goa Rajiv Congress Party,25347,15481,61.1 %,1575.0,10.2%
6,Siolim,6,GEN,Mandrekar Dayanand Rayu,Bharatiya Janta Party,24489,16427,67.1 %,792.0,4.8%
7,Calangute,7,GEN,Parulekar Suresh Vishwanath,United Goans Democratic Party,24941,16546,66.3 %,749.0,4.5%
8,Saligao,8,GEN,D Souza Wilfred Tito Fermino,Goa Rajiv Congress Party,20580,13929,67.7 %,464.0,3.3%
9,Aldona,9,GEN,Asnodkar Ulhas Gopal,Bharatiya Janta Party,29278,17959,61.3 %,3849.0,21.4%
10,Panaji,10,GEN,Parrikar Prabhu Manohar,Bharatiya Janta Party,18609,10478,56.3 %,2749.0,26.2%
11,Taleigao,11,GEN,Juwarkar Somanth Datta,Indian National Congress,26051,15742,60.4 %,1827.0,11.6%
12,Santa Cruz,12,GEN,Fernandes Victoria Romio,Indian National Congress,25965,17420,67.1 %,5387.0,30.9%
13,St. Andre,13,GEN,Silveria Francis Manuel,Indian National Congress,21593,15583,72.2 %,2704.0,17.4%
14,Cumbarjua,14,GEN,Nirmala Prabhakar Sawant,Indian National Congress,24935,16163,64.8 %,850.0,5.3%
15,Bicholim,15,GEN,Raut Pandurang Dattaram,Maharashtrawadi Gomantak,21060,15404,73.1 %,90.0,0.6%
16,Maem,16,GEN,Fadte Prakash Jagnnath,Bharatiya Janta Party,17310,12590,72.7 %,838.0,6.7%
17,Pale,17,GEN,Amonkar Suresh Kuso,Bharatiya Janta Party,22541,16112,71.5 %,2351.0,14.6%
18,Poriem,18,GEN,Rane Pratapsingh Raoji,Indian National Congress,19912,14859,74.6 %,4458.0,30.0%
19,Valpoi,19,GEN,Dessai Venkatesh Atmaram,Indian National Congress,15449,10988,71.1 %,854.0,7.8%
20,Ponda,20,GEN,Naik Ravi Sitaram,Indian National Congress,28730,19244,67.0 %,4036.0,21.0%
21,Priol,21,GEN,Satarkar Vishwas Ramnath,Bharatiya Janta Party,24107,17630,73.1 %,1970.0,11.2%
22,Marcaim,22,GEN,Dhavalikar Ramkrishna Alias Sudin Madhav,Maharashtrawadi Gomantak,22736,16836,74.0 %,694.0,4.1%
23,Siroda,23,GEN,Shirodkar Subhash Ankush,Indian National Congress,22275,16898,75.9 %,3209.0,19.0%
24,Mormugao,24,GEN,Shaikh Hassan Haroon,Indian National Congress,30368,15925,52.4 %,1023.0,6.4%
25,Vasco Da Gama,25,GEN,D Souza Jose Philips Domingo,United Goans Democratic Party,33127,17191,51.9 %,1508.0,8.8%
26,Cortalim,26,GEN,Godinho Mauvin Heliodoro,Indian National Congress,28219,17610,62.4 %,1101.0,6.3%
27,Loutolim,27,GEN,Aleixo Sequeira,Indian National Congress,19690,RU,,,
28,Benaulim,28,GEN,Alemao Churchil Braz,Indian National Congress,21170,12917,61.0 %,4837.0,37.4%
29,Fatorda,29,GEN,Cardoz Luis Alex Florence,Indian National Congress,27084,15014,55.4 %,2743.0,18.3%
30,Margao,30,GEN,Kamat Digamber Vasant,Bharatiya Janta Party,24500,12920,52.7 %,3277.0,25.4%
31,Curtorim,31,GEN,Sardinha Francisco Caitano,Indian National Congress,21967,12964,59.0 %,9550.0,73.7%
32,Navelim,32,GEN,Faleiro Luizinho,Indian National Congress,28368,15977,56.3 %,9761.0,61.1%
33,Velim,33,GEN,Filpe Neri Rodrigues,Indian National Congress,20052,11898,59.3 %,5272.0,44.3%
34,Cuncolim,34,GEN,Arecio Agapito D Souza,Indian National Congress,22022,12486,56.7 %,2214.0,17.7%
35,Sanvordem,35,GEN,Tendulkar Vinay Denu,Bharatiya Janta Party,23495,15719,66.9 %,676.0,4.3%
36,Sanguem,36,GEN,Gaonkar Prabhakar Pandurang,Bharatiya Janta Party,17712,12180,68.8 %,787.0,6.5%
37,Curchorem,37,GEN,Adv. Dessai Ramrao Ghanasham,Bharatiya Janta Party,24499,16324,66.6 %,369.0,2.3%
38,Quepem,38,GEN,Prakash S. Velip,Maharashtrawadi Gomantak,23143,15431,66.7 %,139.0,0.9%
39,Canacona,39,GEN,Bandekar Sanjay Vimal,Indian National Congress,17496,12995,74.3 %,171.0,1.3%
40,Poinguinim,40,GEN,Fernandes Isidore Digo,Independent,14134,10800,76.4 %,1659.0,15.4%
