#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Mandrem,1,GEN,North Goa,Laxmikant Parsekar,Bharatiya Janta Party,29364,25928,88.3 %,3435,13.2%
2,Pernem,2,SC,North Goa,Rajendra Arlekar,Bharatiya Janta Party,29515,25890,87.7 %,8353,32.3%
3,Bicholim,3,GEN,North Goa,Naresh Rajaram Sawal,Independent,23894,20994,87.9 %,1799,8.6%
4,Tivim,4,GEN,North Goa,Kiran Mohan Kandolkar,Bharatiya Janta Party,23607,20314,86.1 %,1112,5.5%
5,Mapusa,5,GEN,North Goa,Francis D'souza,Bharatiya Janta Party,25659,20209,78.8 %,10169,50.3%
6,Siolim,6,GEN,North Goa,Dayanand Mandrekar,Bharatiya Janta Party,26344,21635,82.1 %,2171,10.0%
7,Saligao,7,GEN,North Goa,Dilip Parulekar,Bharatiya Janta Party,23782,19409,81.6 %,5808,29.9%
8,Calangute,8,GEN,North Goa,Michael Vincent Lobo,Bharatiya Janta Party,22178,18348,82.7 %,1869,10.2%
9,Porvorim,9,GEN,North Goa,Rohan Khaunte,Independent,21209,16631,78.4 %,901,5.4%
10,Aldona,10,GEN,North Goa,Ticlo Glenn J V A E Souza,Bharatiya Janta Party,25112,20289,80.8 %,3476,17.1%
11,Panaji,11,GEN,North Goa,Manohar Parrikar,Bharatiya Janta Party,21355,16763,78.5 %,6068,36.2%
12,Taleigao,12,GEN,North Goa,Jennifer A. Monserrate,Indian National Congress,25916,20996,81.0 %,1151,5.5%
13,St Cruz,13,GEN,North Goa,Atanasio J. Monserrate,Indian National Congress,25524,21381,83.8 %,2336,10.9%
14,St Andre,14,GEN,North Goa,Vishnu Surya Naik Wagh,Bharatiya Janta Party,21338,17209,80.6 %,1219,7.1%
15,Cumbarjua,15,GEN,North Goa,Pandurang A. Madkaikar,Indian National Congress,23757,19817,83.4 %,1575,7.9%
16,Maem,16,GEN,North Goa,Anant Shet,Bharatiya Janta Party,25080,22411,89.4 %,5719,25.5%
17,Sanquelim,17,GEN,North Goa,Pramod Sawant,Bharatiya Janta Party,24068,21592,89.7 %,6918,32.0%
18,Poriem,18,GEN,North Goa,Pratapsingh Raoji Rane,Indian National Congress,27820,24997,89.9 %,2547,10.2%
19,Valpoi,19,GEN,North Goa,Vishwajit Pratapsingh Rane,Indian National Congress,26094,23129,88.6 %,2939,12.7%
20,Priol,20,GEN,North Goa,Pandurang Alias Deepak Dhavalikar,Maharashtrawadi Gomantak,27595,24668,89.4 %,2100,8.5%
21,Ponda,21,GEN,North Goa,Lavoo Mamledar,Maharashtrawadi Gomantak,28594,23230,81.2 %,3190,13.7%
22,Siroda,22,GEN,North Goa,Mahadev Narayan Naik,Bharatiya Janta Party,26030,22984,88.3 %,2262,9.8%
23,Marcaim,23,GEN,North Goa,Ramkrishna Alias Sudin Dhavalikar,Maharashtrawadi Gomantak,25149,22674,90.2 %,7230,31.9%
24,Mormugao,24,GEN,South Goa,Milind Sagun Naik,Bharatiya Janta Party,20348,16236,79.8 %,913,5.6%
25,Vasco-Da-Gama,25,GEN,South Goa,Jose Luis Carlos Almeida,Bharatiya Janta Party,28411,21751,76.6 %,4490,20.6%
26,Dabolim,26,GEN,South Goa,Mauvin Heliodoro Godinho,Indian National Congress,19801,15274,77.1 %,944,6.2%
27,Cortalim,27,GEN,South Goa,Matanhy Saldanha,Bharatiya Janta Party,26652,20422,76.6 %,2269,11.1%
28,Nuvem,28,GEN,South Goa,Francisco Xavier Pacheco (MICKKY),Goa Vikas Party,27557,21597,78.4 %,4196,19.4%
29,Curtorim,29,GEN,South Goa,Aleixo Reginaldo Lourenco,Indian National Congress,26271,19647,74.8 %,4069,20.7%
30,Fatorda,30,GEN,South Goa,Vijai Sardesai,Independent,26925,21441,79.6 %,1939,9.0%
31,Margao,31,GEN,South Goa,Digambar Kamat,Indian National Congress,28103,22149,78.8 %,4452,20.1%
32,Benaulim,32,GEN,South Goa,Caetano R. Silva,Goa Vikas Party,28176,21097,74.9 %,2001,9.5%
33,Navelim,33,GEN,South Goa,Avertano Furtado,Independent,23903,18780,78.6 %,2145,11.4%
34,Cuncolim,34,GEN,South Goa,Subhash Alias Rajan,Bharatiya Janta Party,26764,20740,77.5 %,1313,6.3%
35,Velim,35,GEN,South Goa,Benjamin Silva,Independent,29336,22128,75.4 %,4926,22.3%
36,Quepem,36,GEN,South Goa,Chandrakant Kavalekar,Indian National Congress,28898,24861,86.0 %,6373,25.6%
37,Curchorem,37,GEN,South Goa,Nilesh Cabral,Bharatiya Janta Party,23581,19806,84.0 %,8792,44.4%
38,Sanvordem,38,GEN,South Goa,Ganesh Chandru Gaonkar,Bharatiya Janta Party,26305,23344,88.7 %,2291,9.8%
39,Sanguem,39,GEN,South Goa,Subhash U. Phal Dessai,Bharatiya Janta Party,24467,21501,87.9 %,483,2.2%
40,Canacona,40,GEN,South Goa,Ramesh Bombo Tawadkar M,Bharatiya Janta Party,31822,26589,83.6 %,2704,10.2%
