#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Abdasa,1,GEN,Kanubha Madhubha Jadeja,Indian National Congress,87200,57197,65.6 %,3838,6.7%
2,Mandvi,2,GEN,Suresh Chandra Rupshanker Mehta,Bharatiya Janta Party,88027,49647,56.4 %,1609,3.2%
3,Bhuj,3,GEN,Kumudini Gajendra Pancholi,Indian National Congress,100705,41445,41.2 %,3357,8.1%
4,Mundra,4,SC,Vaiji Punamchand,Indian National Congress,80025,26340,32.9 %,11186,42.5%
5,Anjar,5,GEN,Navinbhai Shastri,Indian National Congress,112552,48980,43.5 %,18083,36.9%
6,Rapar,6,GEN,Patel Harilal Nanji,Indian National Congress,100377,64907,64.7 %,8724,13.4%
7,Dasada,7,SC,Chandraben Sureshbhai Shrimali,Indian National Congress,91928,39270,42.7 %,11092,28.2%
8,Wadhwan,8,GEN,Dave Nandkishorebhai Trambaklal,Indian National Congress,107334,58108,54.1 %,18143,31.2%
9,Limbdi,9,GEN,Janaksingh Khengarji Rana,Indian National Congress,104336,51971,49.8 %,3009,5.8%
10,Chotila,10,GEN,Karamshibhai Kanjibhai Makwana,Independent,88452,51782,58.5 %,10111,19.5%
11,Halvad,11,GEN,Jivubhabhai Ghelubhabhai Zala,Indian National Congress,84541,43546,51.5 %,8368,19.2%
12,Dhrangadhra,12,GEN,Sanghvi Arvind Sakerchand,Indian National Congress,90602,42106,46.5 %,4522,10.7%
13,Morvi,13,GEN,Aghara Amaratlal Ganeshbhai,Bharatiya Janta Party,106115,57299,54.0 %,7229,12.6%
14,Tankara,14,GEN,Patel Vallabhbhai Popatbhai,Indian National Congress,105457,65775,62.4 %,51311,78.0%
15,Wankaner,15,GEN,Jinjaria Popat Savsi,Independent,95229,62839,66.0 %,5860,9.3%
16,Jasdan,16,GEN,Dabhi Mamaiyabhai Haribhai,Indian National Congress,96260,49074,51.0 %,10002,20.4%
17,Rajkot-I,17,GEN,Susheelabenk Sheth,Indian National Congress,127940,48224,37.7 %,10321,21.4%
18,Rajkot-Ii,18,GEN,Vala Vajubhai Rudabhai,Bharatiya Janta Party,104792,40269,38.4 %,4566,11.3%
19,Rajkot Rural,19,SC,Chandrakant Bhanubhai Waghela,Indian National Congress,99376,29096,29.3 %,9696,33.3%
20,Gondal,20,GEN,Sorathiya Popatbhai Lakhabhai,Indian National Congress,100537,44728,44.5 %,14554,32.5%
21,Jetpur,21,GEN,Patel Dilipbhai Ramanbhai,Indian National Congress,107142,49860,46.5 %,15007,30.1%
22,Dhoraji,22,GEN,Sojitra Chhaganbhai Shambhubhai,Indian National Congress,101361,47561,46.9 %,6875,14.5%
23,Upleta,23,GEN,Kalariya Jayantilal Bhagvanji,Indian National Congress,103591,51556,49.8 %,4633,9.0%
24,Jodiya,24,GEN,Bhimani Dayabhai Devsibhai,Indian National Congress,91439,46967,51.4 %,257,0.5%
25,Jamnagar,25,GEN,Vasantbhai Sanghvi,Bharatiya Janta Party,95071,47430,49.9 %,11729,24.7%
26,Jamnagar Rural,26,SC,Hirani Bhimji Naran,Indian National Congress,111286,22550,20.3 %,10135,44.9%
27,Kalawad,27,GEN,Patel Keshubhai Savdasbhai,Bharatiya Janta Party,95674,46576,48.7 %,4492,9.6%
28,Jamjodhpur,28,GEN,Kalaria Rameshbhai Vithabhai,Indian National Congress,88153,39248,44.5 %,12412,31.6%
29,Bhanvad,29,GEN,Goriya Markhibhai Jethabhai,Bharatiya Janta Party,74797,36951,49.4 %,326,0.9%
30,Khambhalia,30,GEN,Madam Hematbhai Rambhai,Independent,88022,48008,54.5 %,3119,6.5%
31,Dwarka,31,GEN,Pabari Jamnadas Gokaldas,Independent,96837,46967,48.5 %,5852,12.5%
32,Porbandar,32,GEN,Agath Laxmanbhai Bhimbhai,Indian National Congress,106042,31588,29.8 %,22701,71.9%
33,Kutiyana,33,GEN,Mahant Vijaydasji Virdasji,Indian National Congress,98032,55929,57.1 %,51003,91.2%
34,Mangrol,34,GEN,Chudasama Chandrikaben Kanjibhai,Indian National Congress,98510,34620,35.1 %,18368,53.1%
35,Manavadar,35,GEN,Patel Jashumati Arjunbhai,Indian National Congress,93910,47393,50.5 %,4664,9.8%
36,Keshod,36,SC,Dhavada Parbat Bhoja,Indian National Congress,95413,35231,36.9 %,7354,20.9%
37,Talala,37,GEN,Zala Arsibhai Punja,Janta Party,96802,57209,59.1 %,4697,8.2%
38,Somnath,38,GEN,Baloch M. F.,Indian National Congress,111183,55496,49.9 %,2739,4.9%
39,Una,39,GEN,Ukabhai Sidibhai Zala,Indian National Congress,107815,48368,44.9 %,30720,63.5%
40,Visavadar,40,GEN,Ramani Popatlal Ramajibhai,Indian National Congress,92813,45235,48.7 %,9725,21.5%
41,Maliya,41,GEN,Kambaliya Bharatkumar Naranbhai,Indian National Congress,103066,54342,52.7 %,13106,24.1%
