#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Kalka,1,GEN,Lachhman Singh,Independent,80671,57792,71.6 %,7538,13.0%
2,Naraingarh,2,GEN,Lal Singh,Independent,71209,53265,74.8 %,4249,8.0%
3,Sadhaura,3,SC,Bhagmal,Bharatiya Janta Party,80260,53721,66.9 %,10,0.0%
4,Chhachhrauli,4,GEN,Roshan Lal,Lok Dal,71102,54015,76.0 %,817,1.5%
5,Yamunanagar,5,GEN,Rajesh Kumar,Indian National Congress,80639,56605,70.2 %,63,0.1%
6,Jagadhri,6,GEN,Om Prakash,Indian National Congress,72155,50983,70.7 %,3983,7.8%
7,Mullana,7,SC,Phool Chand,Independent,75834,57038,75.2 %,14333,25.1%
8,Ambala Cantonment,8,GEN,Ram Dass Dhamija,Indian National Congress,55145,40701,73.8 %,6211,15.3%
9,Ambala City,9,GEN,Shiv Prasad,Bharatiya Janta Party,67302,46773,69.5 %,3201,6.8%
10,Naggal,10,GEN,Nirmal Singh,Indian National Congress,69474,53830,77.5 %,14003,26.0%
11,Indri,11,GEN,Lachhman,Lok Dal,76020,53368,70.2 %,4986,9.3%
12,Nilokheri,12,GEN,Chanda Singh,Independent,72394,51805,71.6 %,3733,7.2%
13,Karnal,13,GEN,Shanti Devi,Indian National Congress,77633,54112,69.7 %,12649,23.4%
14,Jundla,14,SC,Sujan Singh,Lok Dal,76372,43568,57.0 %,2200,5.0%
15,Gharaunda,15,GEN,Ved Pal,Indian National Congress,78474,53924,68.7 %,748,1.4%
16,Assandh,16,SC,Manphool Singh,Lok Dal,76605,43793,57.2 %,13576,31.0%
17,Panipat,17,GEN,Fateh Chand,Bharatiya Janta Party,79674,56404,70.8 %,912,1.6%
18,Sambhalka,18,GEN,Katar Singh,Indian National Congress,78653,55561,70.6 %,4127,7.4%
19,Naultha,19,GEN,Prasani Devi,Indian National Congress,74787,53718,71.8 %,439,0.8%
20,Shahabad,20,GEN,Tara Singh,Indian National Congress,71527,54992,76.9 %,231,0.4%
21,Radaur,21,SC,Ram Singh,Independent,69794,50553,72.4 %,6494,12.8%
22,Thanesar,22,GEN,Sahab Singh,Lok Dal,74802,53906,72.1 %,2195,4.1%
23,Pehowa,23,GEN,Piara Singh,Indian National Congress,78019,57582,73.8 %,1949,3.4%
24,Guhla,24,SC,Dilu Ram,Lok Dal,78848,55286,70.1 %,3904,7.1%
25,Kaithal,25,GEN,Roshan Lal,Independent,68265,52773,77.3 %,3929,7.4%
26,Pundri,26,GEN,Ishwar Singh,Indian National Congress,74270,53912,72.6 %,555,1.0%
27,Pai,27,GEN,Nar Singh,Lok Dal,74021,55252,74.6 %,4628,8.4%
28,Hassangarh,28,GEN,Bananti Devi,Lok Dal,74048,50772,68.6 %,13661,26.9%
29,Kiloi,29,GEN,Hari Chand,Lok Dal,70164,48089,68.5 %,4553,9.5%
30,Rohtak,30,GEN,Mangal Sain,Bharatiya Janta Party,88104,63497,72.1 %,380,0.6%
31,Meham,31,GEN,Devi Lal,Lok Dal,83936,58596,69.8 %,16675,28.5%
32,Kalanaur,32,SC,Kartar Devi,Indian National Congress,70025,43312,61.9 %,9529,22.0%
33,Beri,33,GEN,Om Parkash,Lok Dal,74933,48331,64.5 %,12189,25.2%
34,Salhawas,34,GEN,Hukam Singh,Independent,78322,50370,64.3 %,1195,2.4%
35,Jhajjar,35,SC,Banarsi Dass,Lok Dal,81960,45773,55.8 %,8541,18.7%
