#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Kalka,1,GEN,Panchkula,Latika Sharma,Bharatiya Janta Party,156921,124563,79.4 %,19027,15.3%
2,Panchkula,2,GEN,Panchkula,Gian Chand Gupta,Bharatiya Janta Party,195974,128778,65.7 %,44602,34.6%
3,Naraingarh,3,GEN,Ambala,Nayab Singh,Bharatiya Janta Party,168680,140556,83.3 %,24361,17.3%
4,Ambala Cantt.,4,GEN,Ambala,Anil Vij,Bharatiya Janta Party,174190,126887,72.8 %,15462,12.2%
5,Ambala City,5,GEN,Ambala,Aseem Goel,Bharatiya Janta Party,228311,161441,70.7 %,23252,14.4%
6,Mulana (SC),6,SC,Ambala,Santosh Chauhan Sarwan,Bharatiya Janta Party,194719,155371,79.8 %,5649,3.6%
7,Sadhaura (SC),7,SC,Yamunanagar,Balwant Singh,Bharatiya Janta Party,193752,164607,85.0 %,14146,8.6%
8,Jagadhri,8,GEN,Yamunanagar,Kanwar Pal S/o Chandan Singh,Bharatiya Janta Party,195106,165653,84.9 %,34156,20.6%
9,Yamunanagar,9,GEN,Yamunanagar,Ghanshyam Dass,Bharatiya Janta Party,202329,154814,76.5 %,28245,18.2%
10,Radaur,10,GEN,Yamunanagar,Shyam Singh,Bharatiya Janta Party,179339,147419,82.2 %,38707,26.3%
11,Ladwa,11,GEN,Kurukshetra,Dr. Pawan Saini,Bharatiya Janta Party,165217,137327,83.1 %,2992,2.2%
12,Shahbad (SC),12,SC,Kurukshetra,Krishan Kumar,Bharatiya Janta Party,147407,122912,83.4 %,562,0.5%
13,Thanesar,13,GEN,Kurukshetra,Subhash Sudha,Bharatiya Janta Party,170126,128706,75.7 %,25638,19.9%
14,Pehowa,14,GEN,Kurukshetra,Jaswinder Singh Sandhu,Indian National Lok Dal,160357,130292,81.3 %,9347,7.2%
15,Guhla (SC),15,SC,Kaithal,Kulwant Ram Bazigar,Bharatiya Janta Party,162722,132101,81.2 %,2440,1.8%
16,Kalayat,16,GEN,Kaithal,Bhai Jai Parkash (J.P.),Independent,184532,152826,82.8 %,8390,5.5%
17,Kaithal,17,GEN,Kaithal,Randeep Singh Surjewala,Indian National Congress,180979,151685,83.8 %,23675,15.6%
18,Pundri,18,GEN,Kaithal,Dinesh Kaushik,Independent,166019,137908,83.1 %,4832,3.5%
19,Nilokheri (SC),19,SC,Karnal,Bhagwan Dass Kabir Panthi,Bharatiya Janta Party,185692,139137,74.9 %,34410,24.7%
20,Indri,20,GEN,Karnal,Karan Dev Kamboj,Bharatiya Janta Party,176024,140433,79.8 %,23875,17.0%
21,Karnal,21,GEN,Karnal,Manohar Lal Khattar,Bharatiya Janta Party,206654,140333,67.9 %,63773,45.4%
22,Gharaunda,22,GEN,Karnal,Harvinder Kalyan,Bharatiya Janta Party,191304,155576,81.3 %,17883,11.5%
23,Assandh,23,GEN,Karnal,Bakhshish Singh Virk,Bharatiya Janta Party,203066,157982,77.8 %,4608,2.9%
24,Panipat Rural,24,GEN,Panipat,Mahipal Dhanda,Bharatiya Janta Party,203446,154878,76.1 %,36132,23.3%
25,Panipat City,25,GEN,Panipat,Rohita Rewri,Bharatiya Janta Party,203335,139507,68.6 %,53721,38.5%
26,Israna (SC),26,SC,Panipat,Krishan Lal Panwar,Bharatiya Janta Party,160074,123641,77.2 %,1828,1.5%
27,Samalkha,27,GEN,Panipat,Ravinder Machhrouli,Independent,183640,150459,81.9 %,20373,13.5%
