AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Kinnaur,1,ST,Tejwant Singh,Bharatiya Janta Party,49125,34875,71.0 %,2489,7.1%
Rampur,2,SC,Nand Lal,Indian National Congress,68429,47482,69.4 %,6470,13.6%
Rohru,3,GEN,Virbhadra Singh,Indian National Congress,71215,49665,69.7 %,14137,28.5%
Jubbal-Kotkhai,4,GEN,Narinder Bragta,Bharatiya Janta Party,58990,45145,76.5 %,2824,6.3%
Chopal,5,GEN,Subhash Chand Manglate,Indian National Congress,55342,39773,71.9 %,4332,10.9%
Kumarsain,6,GEN,Vidya,Indian National Congress,62280,42534,68.3 %,1250,2.9%
Theog,7,GEN,Rakesh Verma,Independent,58246,45196,77.6 %,5284,11.7%
Simla,8,GEN,Suresh Bhardwaj,Bharatiya Janta Party,68722,32437,47.2 %,2588,8.0%
Kasumpti,9,SC,Sohan Lal,Indian National Congress,100023,53106,53.1 %,7299,13.7%
Arki,10,GEN,Gobind Ram,Bharatiya Janta Party,61161,46364,75.8 %,6687,14.4%
Doon,11,GEN,Vinod Kumari,Bharatiya Janta Party,62178,50943,81.9 %,3496,6.9%
Nalagarh,12,GEN,Hari Narayan Singh,Bharatiya Janta Party,68414,56905,83.2 %,3821,6.7%
Kasauli,13,SC,Dr. Rajiv Saizal,Bharatiya Janta Party,58856,39477,67.1 %,6374,16.1%
Solan,14,GEN,Dr. Rajeev Bindal,Bharatiya Janta Party,73356,45406,61.9 %,3716,8.2%
Pachhad,15,SC,Gangu Ram Musafir,Indian National Congress,61491,49388,80.3 %,2709,5.5%
Rainka,16,SC,Dr. Prem Singh,Indian National Congress,52812,39863,75.5 %,3279,8.2%
Shillai,17,GEN,Harshwardhan Chauhan,Indian National Congress,55050,43118,78.3 %,3464,8.0%
Paonta Doon,18,GEN,Sukh Ram,Bharatiya Janta Party,79721,62812,78.8 %,4862,7.7%
Nahan,19,GEN,Kush Parmar,Indian National Congress,59823,45731,76.4 %,746,1.6%
Kotkehloor,20,GEN,Randhir Sharma,Bharatiya Janta Party,65765,52211,79.4 %,4954,9.5%
Bilaspur,21,GEN,Jagat Prakash Nadda,Bharatiya Janta Party,64468,47594,73.8 %,11181,23.5%
