AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Karnah,1,GEN,Kafeel-U-Rehman,Jammu & Kashmir National Conference,26667,17619,66.1 %,6428,36.5%
Kupwara,2,GEN,Saifullah Mir,Jammu & Kashmir National Conference,63946,16609,26.0 %,1011,6.1%
Lolab,3,GEN,Mushtaq Ahmad Lone,Jammu & Kashmir National Conference,61022,26742,43.8 %,2187,8.2%
Handwara,4,GEN,Mohd. Ramzan Chowdry,Jammu & Kashmir National Conference,52943,18435,34.8 %,7920,43.0%
Langate,5,GEN,Ab. Ahad Wanie,Jammu & Kashmir National Conference,41451,17689,42.7 %,6848,38.7%
Uri,6,GEN,Mohd. Shafi,Jammu & Kashmir National Conference,48912,34598,70.7 %,8386,24.2%
Rafiabad,7,GEN,Mohmad Dilawar Mir,Janata Dal,50276,22136,44.0 %,3418,15.4%
Sopore,8,GEN,Haji Abdul Ahad Vakil,Jammu & Kashmir National Conference,64495,24741,38.4 %,11599,46.9%
Gurez,9,GEN,Faqir Mohd. Khan,Independent,9900,7538,76.1 %,777,10.3%
Bandipora,10,GEN,Gh. Rasool Mir,Jammu & Kashmir National Conference,52645,26627,50.6 %,3973,14.9%
Sonawari,11,GEN,M0hd. Yousuf Parray,Jammu And Kashmir Awami League,63750,38850,60.9 %,726,1.9%
Sangrama,12,GEN,Mohd. Maqbool,Jammu & Kashmir National Conference,36245,21843,60.3 %,4619,21.1%
Baramulla,13,GEN,Mujahid Mohd. Abdullah,Jammu & Kashmir National Conference,52566,19783,37.6 %,5175,26.2%
Gulmarg,14,GEN,Shiek Mustafa Kamal,Jammu & Kashmir National Conference,59098,38746,65.6 %,1753,4.5%
Pattan,15,GEN,Iftikhar Hussain Ansari,Indian National Congress,60047,42860,71.4 %,8328,19.4%
Kangan,16,GEN,Mian Altaf Ahmed,Jammu & Kashmir National Conference,38836,24648,63.5 %,20599,83.6%
