AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Rajmahal,1,GEN,Thomas Hansda,Indian National Congress,225100,141779,63.0 %,11176,7.9%
Borio,2,ST,Tala Marandi,Bharatiya Janta Party,192282,112106,58.3 %,6319,5.6%
Barhait,3,ST,Thomas Soren,Jharkhand Mukti Morcha,162489,92190,56.7 %,13739,14.9%
Litipara,4,ST,Sushila Hansdak,Jharkhand Mukti Morcha,152751,91878,60.1 %,7197,7.8%
Pakaur,5,GEN,Alamgir Alam,Indian National Congress,220945,149146,67.5 %,25736,17.3%
Maheshpur,6,ST,Suphal Marandi,Jharkhand Mukti Morcha,172991,108444,62.7 %,12816,11.8%
Sikaripara,7,ST,Nalin Soren,Jharkhand Mukti Morcha,173000,93471,54.0 %,3082,3.3%
Nala,8,GEN,Rabindra Nath Mahato,Jharkhand Mukti Morcha,179650,102827,57.2 %,1122,1.1%
Jamtara,9,GEN,Bishnu Prasad Bhaiya,Bharatiya Janta Party,210012,126575,60.3 %,3492,2.8%
Dumka,10,ST,Stephen Marandi,Independent,195067,106954,54.8 %,5347,5.0%
Jama,11,ST,Sunil Soren,Bharatiya Janta Party,166017,95308,57.4 %,6630,7.0%
Jarmundi,12,GEN,Hari Narayan Ray,Independent,179564,110221,61.4 %,6309,5.7%
Madhupur,13,GEN,Raj Paliwar,Bharatiya Janta Party,237299,149610,63.0 %,6667,4.5%
Sarath,14,GEN,Uday Shankar Singh,Rashtriya Janata Dal,212216,133969,63.1 %,14906,11.1%
Deoghar,15,SC,Kameshwar Nath Das,Janata Dal (United),284246,145746,51.3 %,9623,6.6%
Poreyahat,16,GEN,Pradeep Yadav,Bharatiya Janta Party,221773,137635,62.1 %,24292,17.6%
Godda,17,GEN,Manohar Kumar Tekariwal,Bharatiya Janta Party,239166,136824,57.2 %,13089,9.6%
Mahagama,18,GEN,Ashok Kumar,Bharatiya Janta Party,242063,138102,57.1 %,6428,4.7%
Kodarma,19,GEN,Annapurna Devi,Rashtriya Janata Dal,248912,149251,60.0 %,26454,17.7%
Barkatha,20,GEN,Chitranjan Yadav,Bharatiya Janta Party,237637,152776,64.3 %,6923,4.5%
