AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Rajmahal,1,GEN,Sahibganj,Anant Kumar Ojha,Bharatiya Janta Party,269734,195105,72.3 %,702,0.4%
Borio,2,ST,Sahibganj,Tala Marandi,Bharatiya Janta Party,233755,158169,67.7 %,712,0.5%
Barhait,3,ST,Sahibganj,Hemant Soren,Jharkhand Mukti Morcha,185679,135382,72.9 %,24087,17.8%
Littipara,4,ST,Pakaur,Dr. Anil Murmu,Jharkhand Mukti Morcha,192577,146304,76.0 %,25083,17.1%
Pakur,5,GEN,Pakaur,Alamgir Alam,Indian National Congress,291379,235341,80.8 %,18066,7.7%
Maheshpur,6,ST,Pakaur,Stephen Marandi,Jharkhand Mukti Morcha,201331,160831,79.9 %,6156,3.8%
Shikaripara,7,ST,Dumka,Nalin Soren,Jharkhand Mukti Morcha,193173,147195,76.2 %,24501,16.6%
Nala,8,GEN,Jamtara,Rabindra Nath Mahato,Jharkhand Mukti Morcha,206645,166578,80.6 %,7015,4.2%
Jamtara,9,GEN,Jamtara,Irfan Ansari,Indian National Congress,244003,191827,78.6 %,9137,4.8%
Dumka,10,ST,Dumka,Lois Marandi,Bharatiya Janta Party,225427,157139,69.7 %,5262,3.3%
Jama,11,ST,Dumka,Sita Murmu Alias Sita Soren,Jharkhand Mukti Morcha,187003,133778,71.5 %,2306,1.7%
Jarmundi,12,GEN,Dumka,Badal,Indian National Congress,206892,152580,73.7 %,2708,1.8%
Madhupur,13,GEN,Deoghar,Raj Paliwar,Bharatiya Janta Party,280432,199051,71.0 %,6884,3.5%
Sarath,14,GEN,Deoghar,Randhir Kumar Singh,Jharkhand Vikas Morcha (Prajatantrik),241863,185656,76.8 %,13901,7.5%
Deoghar,15,SC,Deoghar,Narayan Das,Bharatiya Janta Party,335581,216954,64.7 %,45152,20.8%
Poreyahat,16,GEN,Godda,Pradip Yadav,Jharkhand Vikas Morcha (Prajatantrik),262973,180310,68.6 %,11158,6.2%
Godda,17,GEN,Godda,Raghu Nandan Mandal,Bharatiya Janta Party,270604,178916,66.1 %,34486,19.3%
Mahagama,18,GEN,Godda,Ashok Kumar,Bharatiya Janta Party,275465,179830,65.3 %,31560,17.5%
Kodarma,19,GEN,Koderma,Dr. Neera Yadav,Bharatiya Janta Party,300268,197934,65.9 %,13525,6.8%
Barkatha,20,GEN,Hazaribagh,Janki Prasad Yadav,Jharkhand Vikas Morcha (Prajatantrik),301759,194716,64.5 %,8207,4.2%
Barhi,21,GEN,Hazaribagh,Manoj Kumar Yadav,Indian National Congress,262765,174446,66.4 %,7085,4.1%
Barkagaon,22,GEN,Hazaribagh,Nirmala Devi,Indian National Congress,320807,211410,65.9 %,411,0.2%
Ramgarh,23,GEN,Hazaribagh,Chandra Prakash Choudhary,Ajsu Party,285154,201750,70.8 %,53818,26.7%
Mandu,24,GEN,Hazaribagh,Jai Prakash Bhai Patel,Jharkhand Mukti Morcha,353560,228316,64.6 %,7012,3.1%
Hazaribagh,25,GEN,Hazaribagh,Manish Jaiswal,Bharatiya Janta Party,335516,201708,60.1 %,27129,13.4%
Simaria,26,SC,Chatra,Ganesh Ganjhu,Jharkhand Vikas Morcha (Prajatantrik),299476,184693,61.7 %,15640,8.5%
Chatra,27,SC,Chatra,Jay Prakash Singh Bhogta,Bharatiya Janta Party,339159,181904,53.6 %,20576,11.3%
Dhanwar,28,GEN,Giridih,Raj Kumar Yadaw,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),277563,176687,63.7 %,10712,6.1%
Bagodar,29,GEN,Giridih,Nagendra Mahto,Bharatiya Janta Party,287989,192177,66.7 %,4339,2.3%
Jamua,30,SC,Giridih,Kedar Hazra,Bharatiya Janta Party,268876,158642,59.0 %,23100,14.6%
Gandey,31,GEN,Giridih,Jai Prakash Verma,Bharatiya Janta Party,239077,169016,70.7 %,10279,6.1%
Giridih,32,GEN,Giridih,Nirbhay Kumar Shahabadi,Bharatiya Janta Party,234460,149834,63.9 %,9933,6.6%
Dumri,33,GEN,Giridih,Jagarnath Mahto,Jharkhand Mukti Morcha,244807,173094,70.7 %,32481,18.8%
Gomia,34,GEN,Bokaro,Yogendra Prasad,Jharkhand Mukti Morcha,254161,177018,69.6 %,37514,21.2%
Bermo,35,GEN,Bokaro,Yogeshwar Mahto,Bharatiya Janta Party,286216,187209,65.4 %,12613,6.7%
Bokaro,36,GEN,Bokaro,Biranchi Narayan,Bharatiya Janta Party,492069,263513,53.6 %,72643,27.6%
Chandankyari,37,SC,Bokaro,Amar Kumar Bauri,Jharkhand Vikas Morcha (Prajatantrik),217997,160084,73.4 %,34164,21.3%
Sindri,38,GEN,Dhanbad,Fulchand Mandal,Bharatiya Janta Party,287448,202044,70.3 %,6548,3.2%
Nirsa,39,GEN,Dhanbad,Arup Chatterjee,Marxist Co-Ordination,294766,201060,68.2 %,1035,0.5%
Dhanbad,40,GEN,Dhanbad,Raj Sinha,Bharatiya Janta Party,383008,227076,59.3 %,52997,23.3%
Jharia,41,GEN,Dhanbad,Sanjeev Singh,Bharatiya Janta Party,266266,153845,57.8 %,33692,21.9%
Tundi,42,GEN,Dhanbad,Raj Kishore Mahato,Ajsu Party,253799,176561,69.6 %,1126,0.6%
Baghmara,43,GEN,Dhanbad,Dulu Mahto,Bharatiya Janta Party,259898,167662,64.5 %,29623,17.7%
Baharagora,44,GEN,Purbi Singhbhum,Kunal Sharangi,Jharkhand Mukti Morcha,213209,162030,76.0 %,15355,9.5%
Ghatsila,45,ST,Purbi Singhbhum,Lakshman Tudu,Bharatiya Janta Party,233299,161635,69.3 %,6403,4.0%
Potka,46,ST,Purbi Singhbhum,Menaka Sardar,Bharatiya Janta Party,270458,185859,68.7 %,6706,3.6%
Jugsalai,47,SC,Purbi Singhbhum,Ram Chandra Sahis,Ajsu Party,303026,204317,67.4 %,25045,12.3%
Jamshedpur East,48,GEN,Purbi Singhbhum,Raghubar Das,Bharatiya Janta Party,276007,168237,61.0 %,70157,41.7%
Jamshedpur West,49,GEN,Purbi Singhbhum,Saryu Roy,Bharatiya Janta Party,320408,191225,59.7 %,10517,5.5%
Ichagarh,50,GEN,Sarikela-Kharswana,Sadhu Charan Mahato,Bharatiya Janta Party,222512,177346,79.7 %,42250,23.8%
Saraikella,51,ST,Sarikela-Kharswana,Champai Soren,Jharkhand Mukti Morcha,289669,208698,72.0 %,1115,0.5%
Chaibasa,52,ST,Pashchimi Singhbhum,Deepak Birua,Jharkhand Mukti Morcha,194035,141266,72.8 %,34715,24.6%
Majhganon,53,ST,Pashchimi Singhbhum,Niral Purty,Jharkhand Mukti Morcha,175337,128343,73.2 %,11182,8.7%
Jaganathpur,54,ST,Pashchimi Singhbhum,Geeta Kora,Jai Bharat Samanta Party,159757,113318,70.9 %,24611,21.7%
Manoharpur,55,ST,Pashchimi Singhbhum,Joba Majhi,Jharkhand Mukti Morcha,185441,127460,68.7 %,16569,13.0%
Chakradharpur,56,ST,Pashchimi Singhbhum,Shashibhushan Samad,Jharkhand Mukti Morcha,171770,122951,71.6 %,26448,21.5%
Kharasawan,57,ST,Sarikela-Kharswana,Dashrath Gagrai,Jharkhand Mukti Morcha,188243,146482,77.8 %,11966,8.2%
Tamar,58,ST,Ranchi,Vikash Kumar Munda,Ajsu Party,188888,133957,70.9 %,26006,19.4%
Torpa,59,ST,Ranchi,Paulus Surin,Jharkhand Mukti Morcha,170114,103993,61.1 %,43,0.0%
Khunti,60,ST,Ranchi,Nilkanth Singh Munda,Bharatiya Janta Party,189933,119825,63.1 %,21515,18.0%
Silli,61,GEN,Ranchi,Amit Kumar,Jharkhand Mukti Morcha,184312,143156,77.7 %,29740,20.8%
Khijri,62,ST,Ranchi,Ramkumar Pahan,Bharatiya Janta Party,296831,180239,60.7 %,64912,36.0%
