AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Aurad,1,GEN,Gundappa Vakil,Bharatiya Janta Party,161232,103132,64.0 %,2785,2.7%
Bhalki,2,GEN,Prakash Khandre,Bharatiya Janta Party,132171,88279,66.8 %,10327,11.7%
Hulsoor,3,SC,Rajendra Verma,Bharatiya Janta Party,142452,76550,53.7 %,12457,16.3%
Bidar,4,GEN,Rameshkumar Pande,Bharatiya Janta Party,204135,134818,66.0 %,2090,1.6%
Humnabad,5,GEN,Subhas Kallur,Bharatiya Janta Party,151874,100980,66.5 %,3570,3.5%
Basavakalyan,6,GEN,M.G.Mule,Janata Dal (Secular),155196,102062,65.8 %,19164,18.8%
Chincholi,7,GEN,Kailashnath Patil,Indian National Congress,137689,86635,62.9 %,26263,30.3%
Kamalapur,8,SC,Revunaik Belamgi,Bharatiya Janta Party,124862,72993,58.5 %,8550,11.7%
Alland,9,GEN,Guttedar Subhash Rukmayya,Janata Dal (Secular),128676,82610,64.2 %,2311,2.8%
Gulbarga,10,GEN,Qamarul Islam,Indian National Congress,267585,165583,61.9 %,11779,7.1%
Shahabad,11,SC,Baburao Chavhan,Indian National Congress,178880,97337,54.4 %,7866,8.1%
Afzalpur,12,GEN,Malikayya Venkayya Guttedar,Janata Dal (Secular),147247,92108,62.6 %,1835,2.0%
Chitapur,13,GEN,Babu Rao Baswannappa Chinchansoor,Indian National Congress,125895,79768,63.4 %,8056,10.1%
Sedam,14,GEN,Basavanathreddy Mothakpalli,Indian National Congress,133796,86934,65.0 %,23684,27.2%
Jewargi,15,GEN,Dharmasingh Narayanasingh,Indian National Congress,156132,90724,58.1 %,1961,2.2%
Gurmitkal,16,SC,Mallikarjun Kharge,Indian National Congress,133339,74944,56.2 %,47124,62.9%
Yadgir,17,GEN,Dr. A.B.Malakareddy,Indian National Congress,141076,78337,55.5 %,10862,13.9%
Shahapur,18,GEN,Shivashekharappagouda Sirwal,Indian National Congress,160544,98191,61.2 %,7624,7.8%
Shorapur,19,GEN,Raja Venkatappa Naik,Indian National Congress,165287,102441,62.0 %,20450,20.0%
Deodurg,20,SC,Akkaraki Yellappa Bangappa,Indian National Congress,131260,73706,56.2 %,25371,34.4%
Raichur,21,GEN,Syed Yasin,Indian National Congress,180347,98628,54.7 %,5556,5.6%
Kalmala,22,GEN,Raja Amreshwara Naik,Indian National Congress,159697,88683,55.5 %,1614,1.8%
Manvi,23,GEN,Boseraju N.S,Indian National Congress,140222,89945,64.1 %,18510,20.6%
Lingsugur,24,GEN,Amaregouda Bayyapur Linganagouda,Janata Dal (United),147671,93259,63.2 %,3058,3.3%
Sindhnoor,25,GEN,Hampanagouda Badarli,Janata Dal (United),194916,131707,67.6 %,5486,4.2%
Kushtagi,26,GEN,Hasanasab Nabeesab Dotihal,Indian National Congress,152555,94443,61.9 %,15944,16.9%
Yelburga,27,GEN,Shivasharanappa Gouda Patil,Indian National Congress,138623,88257,63.7 %,3713,4.2%
Kanakagiri,28,GEN,M Malikarjun Nagappa,Indian National Congress,155341,98913,63.7 %,23207,23.5%
Gangavathi,29,GEN,Srirangadevarayalu,Indian National Congress,160151,98591,61.6 %,17562,17.8%
Koppal,30,GEN,Karadi Sanganna Amarappa,Janata Dal (United),146605,100363,68.5 %,20629,20.6%
Siruguppa,31,GEN,M. Shankar Reddy,Indian National Congress,183498,122959,67.0 %,22899,18.6%
Kurugodu,32,GEN,Allum Veerabhadrappa,Indian National Congress,155004,110707,71.4 %,4408,4.0%
Bellary,33,GEN,Diwaker Babu M,Indian National Congress,178723,109244,61.1 %,8933,8.2%
Hospet,34,GEN,Jayalakshmi Gujjal,Indian National Congress,174870,101481,58.0 %,11205,11.0%
Sandur,35,GEN,My Ghorpade,Indian National Congress,137099,96775,70.6 %,8993,9.3%
Kudligi,36,GEN,Siraj Shaik,Indian National Congress,143962,103593,72.0 %,18093,17.5%
Kottur,37,GEN,T Bhagirathi Marula Siddana Gouda,Indian National Congress,138497,100543,72.6 %,9634,9.6%
Hadagalli,38,GEN,Vb Halappa,Indian National Congress,142871,106252,74.4 %,3090,2.9%
Harapanahalli,39,SC,Pt Parameshwara Naik,Indian National Congress,133401,97173,72.8 %,10537,10.8%
Harihar,40,GEN,Dr Y Nagappa,Indian National Congress,166153,119636,72.0 %,2439,2.0%
Davangere,41,GEN,Ss Mallikarjuna,Indian National Congress,184694,115254,62.4 %,4293,3.7%
Mayakonda,42,GEN,Sa Ravindranatha,Bharatiya Janta Party,170182,119870,70.4 %,14197,11.8%
Bharamasagara,43,SC,M Chandrappa,Janata Dal (United),135181,99677,73.7 %,8954,9.0%
Chitradurga,44,GEN,Gh Thippa Reddy,Independent,160115,111808,69.8 %,26416,23.6%
Jagalur,45,GEN,Gh Aswath Reddy,Independent,136592,101678,74.4 %,23768,23.4%
Molakalmuru,46,GEN,Ny Gopala Krishna,Indian National Congress,141331,103483,73.2 %,14181,13.7%
Challakere,47,GEN,G Basavaraj Mandimutt,Bharatiya Janta Party,147647,111295,75.4 %,8852,8.0%
Hiriyur,48,SC,Kh Ranganath,Indian National Congress,144522,99562,68.9 %,9660,9.7%
