AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Manjeswar,1,GEN,Cherkalam Abdullah,Muslim League Kerala State Committee,154436,107219,69.4 %,13188,12.3%
Kasaragod,2,GEN,C.T.Ahammed Ali,Muslim League Kerala State Committee,158881,109464,68.9 %,17995,16.4%
Udma,3,GEN,K.V.Kunhiraman,Communist Party Of India (MARXIST),169876,128832,75.8 %,9664,7.5%
Hosdrug,4,SC,M.Kumaran,Communist Party Of India,182038,139521,76.6 %,6978,5.0%
Trikkarpur,5,GEN,Satheesh Chandran K.P,Communist Party Of India (MARXIST),182751,144928,79.3 %,17009,11.7%
Irikkur,6,GEN,K.C.Joseph,Indian National Congress,165238,124070,75.1 %,16904,13.6%
Payyannur,7,GEN,P.K.Sreemathi Teacher,Communist Party Of India (MARXIST),171138,128930,75.3 %,22738,17.6%
Taliparamba,8,GEN,M.V.Govindan Master,Communist Party Of India (MARXIST),176756,145389,82.3 %,15287,10.5%
Azhicode,9,GEN,T.K.Balan,Communist Party Of India (MARXIST),142447,107257,75.3 %,9796,9.1%
Cannanore,10,GEN,K.Sudhakaran,Indian National Congress,142841,102250,71.6 %,19133,18.7%
Edakkad,11,GEN,M.V.Jayarajan,Communist Party Of India (MARXIST),159551,129807,81.4 %,5329,4.1%
Tellicherry,12,GEN,Kodiyeri Balakrishnan,Communist Party Of India (MARXIST),135282,102934,76.1 %,7043,6.8%
Peringalam,13,GEN,K.P.Mohanan S/o P.R. Kurup,Janata Dal (Secular),144564,111728,77.3 %,6978,6.2%
Kuthuparamba,14,GEN,P.Jayarajan,Communist Party Of India (MARXIST),150321,125277,83.3 %,18620,14.9%
Peravoor,15,GEN,Prof.A.D.Mustaffa,Indian National Congress,166530,137189,82.4 %,1173,0.9%
North Wynad,16,ST,Radha Raghavan,Indian National Congress,152613,127120,83.3 %,13845,10.9%
Badagara,17,GEN,C.K.Nanu,Janata Dal (Secular),165909,122057,73.6 %,14159,11.6%
Nadapuram,18,GEN,Benoy Viswam,Communist Party Of India,163629,129408,79.1 %,6193,4.8%
Meppayur,19,GEN,Mathai Chacko,Communist Party Of India (MARXIST),158091,130884,82.8 %,4756,3.6%
Quilandy,20,GEN,Adv.P.Sankaran,Indian National Congress,176790,138171,78.2 %,6456,4.7%
Perambra,21,GEN,T.P.Ramakrishnan,Communist Party Of India (MARXIST),167578,137175,81.9 %,2684,2.0%
Balusseri,22,GEN,A.C Shanmukhadas,Nationalist Congress Party,152340,117730,77.3 %,2962,2.5%
Koduvally,23,GEN,C.Mammutty,Muslim League Kerala State Committee,163950,129294,78.9 %,16877,13.1%
Calicut- I,24,GEN,Adv.A.Sujana Pal,Indian National Congress,149227,104724,70.2 %,8377,8.0%
Calicut- Ii,25,GEN,T.P.M Zahir,Muslim League Kerala State Committee,151665,105463,69.5 %,787,0.7%
Beypore,26,GEN,V.K.C.Mammed Koya,Communist Party Of India (MARXIST),181388,135852,74.9 %,5071,3.7%
Kunnamangalam,27,SC,U.C.Raman,Independent,155277,120726,77.7 %,3711,3.1%
Thiruvambadi,28,GEN,C.Moinkutty,Muslim League Kerala State Committee,158357,114479,72.3 %,15676,13.7%
Kalpetta,29,GEN,K.K.Ramachandran Master,Indian National Congress,136128,110224,81.0 %,17440,15.8%
Sultan's Battery,30,GEN,N.D.Appachan,Indian National Congress,157007,126639,80.7 %,23553,18.6%
Wandoor,31,SC,A.P. Anilkumar,Indian National Congress,175030,136863,78.2 %,28225,20.6%
Nilambur,32,GEN,Aryadan Muhammed,Indian National Congress,185345,140081,75.6 %,21620,15.4%
Manjeri,33,GEN,Ishaque Kurikkal,Muslim League Kerala State Committee,163759,114533,69.9 %,34596,30.2%
Malappuram,34,GEN,M.K.Muneer,Muslim League Kerala State Committee,155055,92476,59.6 %,36017,38.9%
Kondotty,35,GEN,Adv.K.N.A.Kader,Muslim League Kerala State Committee,158679,110591,69.7 %,27093,24.5%
Tirurangadi,36,GEN,K.Kutty Ahammed Kutty,Muslim League Kerala State Committee,161342,107689,66.7 %,19173,17.8%
Tanur,37,GEN,P.K. Abdu Rabb,Muslim League Kerala State Committee,157555,92254,58.6 %,27014,29.3%
Tirur,38,GEN,E.T.Mohhammed Basheer,Muslim League Kerala State Committee,164377,114426,69.6 %,12759,11.2%
Ponnani,39,GEN,M.P.Gangadharan,Indian National Congress,148742,117238,78.8 %,6607,5.6%
Kuttippuram,40,GEN,P.K.Kunhalikutty,Muslim League Kerala State Committee,132209,80909,61.2 %,26105,32.3%
Mankada,41,GEN,Manjalamkuzhi Ali,Independent,170264,139844,82.1 %,3058,2.2%
Perinthalmanna,42,GEN,Nalakath Soopy,Muslim League Kerala State Committee,159084,128414,80.7 %,5906,4.6%
Thrithala,43,SC,V.K.Chandran,Communist Party Of India (MARXIST),150039,116106,77.4 %,499,0.4%
Pattambi,44,GEN,C.P.Mohammed,Indian National Congress,152919,114259,74.7 %,531,0.5%
Ottapalam,45,GEN,V.C.Kabeer Master,Nationalist Congress Party,151308,109320,72.2 %,17850,16.3%
Sreekrishnapuram,46,GEN,Girija Surendran,Communist Party Of India (MARXIST),173433,132242,76.2 %,21,0.0%
Mannarkkad,47,GEN,Kalathil Abdulla,Muslim League Kerala State Committee,179934,136070,75.6 %,6625,4.9%
Malampuzha,48,GEN,V.S.Achuthanadan,Communist Party Of India (MARXIST),151340,110469,73.0 %,4703,4.3%
Palghat,49,GEN,K.Sankara Narayanan,Indian National Congress,163131,111013,68.1 %,10805,9.7%
Chittur,50,GEN,K.Achuthan Chalakalam,Indian National Congress,145730,113664,78.0 %,13809,12.1%
Kollengode,51,GEN,K.A.Chandran,Indian National Congress,150301,113305,75.4 %,7394,6.5%
Coyalmannam,52,SC,A.K.Balan,Communist Party Of India (MARXIST),152752,109173,71.5 %,4031,3.7%
Alathur,53,GEN,V.Chenthamarakshan,Communist Party Of India (MARXIST),154391,112447,72.8 %,12505,11.1%
Chelakara,54,SC,K.Radhakrishnan,Communist Party Of India (MARXIST),155592,116309,74.8 %,1475,1.3%
Wadakkancherry,55,GEN,Adv.V.Balaram,Indian National Congress,161775,117107,72.4 %,9031,7.7%
Kunnamkulam,56,GEN,T.V.Chandramohan,Indian National Congress,163447,122830,75.1 %,4296,3.5%
Cherpu,57,GEN,Adv.K.P.Rajendran,Communist Party Of India,152214,107789,70.8 %,2243,2.1%
Trichur,58,GEN,Adv.Therambil Ramakrishnan,Indian National Congress,152274,104285,68.5 %,13706,13.1%
Ollur,59,GEN,P. P.George,Indian National Congress,175363,124431,71.0 %,10698,8.6%
Kodakara,60,GEN,K.P.Viswanathan,Indian National Congress,156192,117910,75.5 %,7332,6.2%
Chalakudi,61,GEN,Prof.Savithri Lakshmanan,Indian National Congress,146075,100134,68.5 %,10662,10.6%
Mala,62,GEN,T.U. Radhakrishnan,Indian National Congress,150873,110727,73.4 %,11981,10.8%
Irinjalakuda,63,GEN,Thomas Unniyadan,Kerala Congress(M),158129,116583,73.7 %,406,0.3%
Manalur,64,GEN,M.K.Paulson Master,Indian National Congress,134840,100460,74.5 %,6242,6.2%
Guruvayoor,65,GEN,P.K.K.Bhava,Muslim League Kerala State Committee,144835,104740,72.3 %,9526,9.1%
Nattika,66,GEN,T.N. Prathapan,Indian National Congress,137568,104060,75.6 %,11747,11.3%
Kodungallur,67,GEN,Umesh Challiyil,Janadhipathiya Samrekshna Samiti,153424,116762,76.1 %,11941,10.2%
Ankamali,68,GEN,P.J.Joy,Indian National Congress,172937,121021,70.0 %,18177,15.0%
Vadakkekara,69,GEN,M.A.Chndrasekharan,Indian National Congress,150551,113731,75.5 %,1920,1.7%
Parur,70,GEN,Adv. V.D. Satheesan,Indian National Congress,139275,97515,70.0 %,7434,7.6%
Narakal,71,SC,Dr. M A Kuttappan,Indian National Congress,150562,100846,67.0 %,4214,4.2%
Ernakulam,72,GEN,Prof. K V Thomas,Indian National Congress,185185,102172,55.2 %,11844,11.6%
Mattancherry,73,GEN,V K Ebrahim Kunju,Muslim League Kerala State Committee,119076,69929,58.7 %,12153,17.4%
Palluruthy,74,GEN,Dominic Presentation,Indian National Congress,182469,125613,68.8 %,9983,7.9%
Trippunithura,75,GEN,K Babu,Indian National Congress,214469,147418,68.7 %,24296,16.5%
Alwaye,76,GEN,K Muhammod Ali,Indian National Congress,208546,131436,63.0 %,19680,15.0%
Perumbavoor,77,GEN,Saju Paul,Communist Party Of India (MARXIST),163815,123395,75.3 %,1188,1.0%
Kunnathunad,78,GEN,Musthafa T. H,Indian National Congress,160717,123321,76.7 %,21757,17.6%
Piravom,79,GEN,T M Jacob,Kerala Congress (Jacob),148524,117213,78.9 %,12720,10.9%
Muvattupuzha,80,GEN,Johny Nelloor,Kerala Congress (Jacob),149151,105131,70.5 %,8893,8.5%
Kothamangalam,81,GEN,V J Poulose,Indian National Congress,154901,112360,72.5 %,12423,11.1%
Thodupuzha,82,GEN,P T Thomas,Indian National Congress,160984,134610,83.6 %,6125,4.6%
Devicolam,83,SC,A K Moni,Indian National Congress,159138,111948,70.3 %,4566,4.1%
Idukki,84,GEN,Roshy Augustine,Kerala Congress(M),166429,114644,68.9 %,13719,12.0%
Udumbanchola,85,GEN,K K Jayachandran,Communist Party Of India (MARXIST),188931,133207,70.5 %,8841,6.6%
Peermade,86,GEN,Adv. E.M Augasthy,Indian National Congress,121855,96858,79.5 %,3084,3.2%
Kanjirappally,87,GEN,George J Mathew,Indian National Congress,138017,102244,74.1 %,1469,1.4%
Vazhoor,88,GEN,K Narayanakurup,Kerala Congress(M),124263,85285,68.6 %,6159,7.2%
Changanacherry,89,GEN,C F Thomas,Kerala Congress(M),151747,103146,68.0 %,13041,12.6%
