AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Manjeswar,1,GEN,C H Kunhambu,Communist Party Of India (Marxist),154227,110731,71.8 %,4829,4.4%
Kasaragod,2,GEN,C T Ahamedali,Muslim League Kerala State Committee,154904,100981,65.2 %,10342,10.2%
Udma,3,GEN,K V Kunhiraman,Communist Party Of India (Marxist),173879,124495,71.6 %,27294,21.9%
Hosdrug,4,SC,Pallipram Balan,Communist Party Of India,183771,128318,69.8 %,34939,27.2%
Trikkarpur,5,GEN,Kunhiraman K,Communist Party Of India (Marxist),185121,144994,78.3 %,23828,16.4%
Irikkur,6,GEN,Advocate K C Joseph,Indian National Congress,165884,131616,79.3 %,1831,1.4%
Payyannur,7,GEN,P K Sreemathi Teacher,Communist Party Of India (Marxist),162770,124733,76.6 %,36122,29.0%
Taliparamba,8,GEN,C.K.P Padmanabhan,Communist Party Of India (Marxist),185539,145253,78.3 %,29538,20.3%
Azhicode,9,GEN,M Prakasan Master,Communist Party Of India (Marxist),133825,101723,76.0 %,29468,29.0%
Cannanore,10,GEN,K Sudhakaran S/o Ramunni,Indian National Congress,130348,97372,74.7 %,8613,8.8%
Edakkad,11,GEN,Ramachandran Kadannapally,Congress (Secular),160984,125022,77.7 %,30672,24.5%
Tellicherry,12,GEN,Kodiyeri Balakrishnan,Communist Party Of India (Marxist),131410,101520,77.3 %,10055,9.9%
Peringalam,13,GEN,K P Mohanan S/o P R Kurup,Janata Dal (Secular),148842,111382,74.8 %,19236,17.3%
Kuthuparamba,14,GEN,P Jayarajan,Communist Party Of India (Marxist),157631,125028,79.3 %,38327,30.7%
Peravoor,15,GEN,K K Shylaja Teacher,Communist Party Of India (Marxist),179145,143654,80.2 %,9099,6.3%
North Wynad,16,ST,K C Kunhiraman,Communist Party Of India (Marxist),179901,126735,70.4 %,15115,11.9%
Badagara,17,GEN,Advocate M K Premnath,Janata Dal (Secular),158018,118963,75.3 %,21269,17.9%
Nadapuram,18,GEN,Binoy Viswam,Communist Party Of India,166365,125912,75.7 %,17449,13.9%
Meppayur,19,GEN,K K Lathika,Communist Party Of India (Marxist),161852,133702,82.6 %,15887,11.9%
Quilandy,20,GEN,P Viswan,Communist Party Of India (Marxist),173818,128230,73.8 %,18484,14.4%
Perambra,21,GEN,K Kunhammed Master,Communist Party Of India (Marxist),168021,135503,80.6 %,10640,7.9%
Balusseri,22,GEN,A K Saseendran,Nationalist Congress Party,154915,115921,74.8 %,14160,12.2%
Koduvally,23,GEN,Advocate P T A Rahim,Independent,172424,135869,78.8 %,7506,5.5%
Calicut- I,24,GEN,A Pradeep Kumar,Communist Party Of India (Marxist),134380,91360,68.0 %,7705,8.4%
Calicut- Ii,25,GEN,Advocate P M A Salam,Indian National League,144934,98517,68.0 %,14093,14.3%
Beypore,26,GEN,Elamaram Kareem,Communist Party Of India (Marxist),188861,135315,71.6 %,19618,14.5%
Kunnamangalam,27,SC,U C Raman,Independent,165951,129760,78.2 %,297,0.2%
Thiruvambadi,28,GEN,Mathayi Chacko,Communist Party Of India (Marxist),161002,123043,76.4 %,5479,4.5%
Kalpetta,29,GEN,M V Sreyams Kumar,Janata Dal (Secular),157684,114072,72.3 %,1841,1.6%
Sultan's Battery,30,GEN,P Krishna Prasad,Communist Party Of India (Marxist),182483,125238,68.6 %,25540,20.4%
Wandoor,31,SC,A.P. Anilkumar,Indian National Congress,201112,157997,78.6 %,17161,10.9%
Nilambur,32,GEN,Aryadan Muhammed,Indian National Congress,203352,162804,80.1 %,18070,11.1%
Manjeri,33,GEN,P.K Abdu Rabb,Muslim League Kerala State Committee,191141,147031,76.9 %,15372,10.5%
Malappuram,34,GEN,Advocate M. Ummer,Muslim League Kerala State Committee,186292,119956,64.4 %,30657,25.6%
Kondotty,35,GEN,K. Muhammadunni Haji,Muslim League Kerala State Committee,189580,143648,75.8 %,14972,10.4%
Tirurangadi,36,GEN,Kutty Ahammed Kutty,Muslim League Kerala State Committee,181774,115826,63.7 %,16123,13.9%
Tanur,37,GEN,Abdurahiman Randathani,Muslim League Kerala State Committee,185327,127564,68.8 %,11170,8.8%
Tirur,38,GEN,P.P Abdullakkutty,Communist Party Of India (Marxist),186852,146121,78.2 %,8680,5.9%
Ponnani,39,GEN,Paloli Mohamedkutty,Communist Party Of India (Marxist),157795,114368,72.5 %,28347,24.8%
Kuttippuram,40,GEN,K.T Jaleel,Independent,158951,128621,80.9 %,8781,6.8%
Mankada,41,GEN,Manjalamkuzhi Ali,Independent,193087,162030,83.9 %,5073,3.1%
Perinthalmanna,42,GEN,Sasi Kumar,Communist Party Of India (Marxist),187416,145206,77.5 %,14003,9.6%
Thrithala,43,SC,T.P. Kunjunni,Communist Party Of India (Marxist),160629,122391,76.2 %,6949,5.7%
Pattambi,44,GEN,C.P. Mohammed,Indian National Congress,166031,125963,75.9 %,566,0.4%
Ottapalam,45,GEN,M. Hamsa,Communist Party Of India (Marxist),159447,113950,71.5 %,24343,21.4%
Sreekrishnapuram,46,GEN,K.S. Saleeka,Communist Party Of India (Marxist),184636,141960,76.9 %,4348,3.1%
Mannarkkad,47,GEN,Jose Baby,Communist Party Of India,189065,141396,74.8 %,7213,5.1%
Malampuzha,48,GEN,V.S. Achuthanandan,Communist Party Of India (Marxist),152322,116847,76.7 %,20017,17.1%
Palghat,49,GEN,K.K Divakaran,Communist Party Of India (Marxist),155550,111373,71.6 %,1344,1.2%
Chittur,50,GEN,K Achuthan,Indian National Congress,147882,119051,80.5 %,2012,1.7%
Kollengode,51,GEN,V. Chenthamarakshan,Communist Party Of India (Marxist),151147,114781,75.9 %,5126,4.5%
Coyalmannam,52,SC,A.K. Balan,Communist Party Of India (Marxist),157508,113913,72.3 %,13870,12.2%
Alathur,53,GEN,M. Chandhran,Communist Party Of India (Marxist),157847,111629,70.7 %,47671,42.7%
Chelakara,54,SC,K Radhakrishnan,Communist Party Of India (Marxist),157690,117023,74.2 %,14629,12.5%
Wadakkancherry,55,GEN,A.C.Moideen,Communist Party Of India (Marxist),166588,121790,73.1 %,20821,17.1%
Kunnamkulam,56,GEN,Babu M Palissery,Communist Party Of India (Marxist),165142,116014,70.3 %,21785,18.8%
Cherpu,57,GEN,Adv.V.S.Sunilkumar,Communist Party Of India,145868,104436,71.6 %,14604,14.0%
Trichur,58,GEN,Adv.Therambil Ramakrishnan,Indian National Congress,141489,95517,67.5 %,2596,2.7%
Ollur,59,GEN,Rajaji Mathew Thomas,Communist Party Of India,173657,122960,70.8 %,7969,6.5%
Kodakara,60,GEN,Prof.C.Raveendranath,Communist Party Of India (Marxist),152159,114614,75.3 %,19883,17.3%
Chalakudi,61,GEN,B D Devassy,Communist Party Of India (Marxist),136449,95630,70.1 %,14555,15.2%
Mala,62,GEN,A K Chandran,Communist Party Of India,143976,102552,71.2 %,7028,6.9%
Irinjalakuda,63,GEN,Adv.Thomas Unniyadan,Kerala Congress(M),154002,116116,75.4 %,7995,6.9%
Manalur,64,GEN,Murali Perunelli,Communist Party Of India (Marxist),136457,98682,72.3 %,7720,7.8%
Guruvayoor,65,GEN,K V Abdul Khader,Communist Party Of India (Marxist),147416,102347,69.4 %,12309,12.0%
Nattika,66,GEN,T N Prathapan,Indian National Congress,135865,101399,74.6 %,9686,9.6%
Kodungallur,67,GEN,Adv.K.P.Rajendran,Communist Party Of India,150578,114980,76.4 %,2522,2.2%
Ankamali,68,GEN,Jose Thettayil,Janata Dal (Secular),159574,118553,74.3 %,6094,5.1%
Vadakkekara,69,GEN,S Sharma,Communist Party Of India (Marxist),141413,110328,78.0 %,3074,2.8%
Parur,70,GEN,Adv. V D Satheesan,Indian National Congress,133426,100082,75.0 %,7792,7.8%
Narakal,71,SC,M K Purushothaman,Communist Party Of India (Marxist),135335,96396,71.2 %,2631,2.7%
Ernakulam,72,GEN,Prof. K V Thomas,Indian National Congress,141852,86829,61.2 %,5800,6.7%
Mattancherry,73,GEN,V K Ibrahim Kunju,Muslim League Kerala State Committee,92926,60208,64.8 %,15532,25.8%
Palluruthy,74,GEN,C M Dinesh Mani,Communist Party Of India (Marxist),172602,122141,70.8 %,6258,5.1%
Trippunithura,75,GEN,K Babu,Indian National Congress,202066,140000,69.3 %,7342,5.2%
Alwaye,76,GEN,A M Yousuf,Communist Party Of India (Marxist),181995,127057,69.8 %,4366,3.4%
Perumbavoor,77,GEN,Saju Paul,Communist Party Of India (Marxist),151391,119320,78.8 %,12461,10.4%
Kunnathunad,78,GEN,Adv M M Monayi,Communist Party Of India (Marxist),150915,118099,78.3 %,2057,1.7%
Piravom,79,GEN,M J Jacob,Communist Party Of India (Marxist),144261,107904,74.8 %,5150,4.8%
Muvattupuzha,80,GEN,Babu Paul,Communist Party Of India,143555,95706,66.7 %,13225,13.8%
Kothamangalam,81,GEN,Chev. T. U Kuruvila,Kerala Congress,156066,107661,69.0 %,1814,1.7%
Thodupuzha,82,GEN,P J Joseph,Kerala Congress,164884,127801,77.5 %,13781,10.8%
Devicolam,83,SC,S Rajendran,Communist Party Of India (Marxist),152351,104649,68.7 %,5887,5.6%
Idukki,84,GEN,Roshy Augustine,Kerala Congress(M),159615,111846,70.1 %,16340,14.6%
Udumbanchola,85,GEN,K K Jayachandran,Communist Party Of India (Marxist),183919,131167,71.3 %,19648,15.0%
Peermade,86,GEN,E S Bijimol,Communist Party Of India,132794,90496,68.1 %,5304,5.9%
Kanjirappally,87,GEN,Alphons Kannanthanam,Independent,141268,101496,71.8 %,10737,10.6%
Vazhoor,88,GEN,Jayarajan,Kerala Congress(M),121233,82196,67.8 %,6666,8.1%
Changanacherry,89,GEN,C F Thomas,Kerala Congress(M),142800,96795,67.8 %,9653,10.0%
Kottayam,90,GEN,V N Vasavan,Communist Party Of India (Marxist),144841,100423,69.3 %,482,0.5%
Ettumanoor,91,GEN,Thomas Chazhikkadan,Kerala Congress(M),138564,96977,70.0 %,4980,5.1%
Puthuppally,92,GEN,Oommen Chandy,Indian National Congress,153117,115358,75.3 %,19863,17.2%
Poonjar,93,GEN,P C George (PLATHOTTAM),Kerala Congress Secular,124825,93750,75.1 %,7637,8.1%
Palai,94,GEN,K M Mani,Kerala Congress(M),128184,90453,70.6 %,7759,8.6%
Kaduthuruthy,95,GEN,Adv. Mons Joseph,Kerala Congress,131824,93063,70.6 %,2001,2.2%
Vaikom,96,SC,K Ajith,Communist Party Of India,138949,101066,72.7 %,8781,8.7%
Aroor,97,GEN,Adv. A.M.Ariff,Communist Party Of India (Marxist),150164,117514,78.3 %,4753,4.0%
Sherthalai,98,GEN,P.Thilothaman,Communist Party Of India,135676,107900,79.5 %,8534,7.9%
Mararikulam,99,GEN,Dr.Thomas Issac,Communist Party Of India (Marxist),178438,141456,79.3 %,17679,12.5%
Alleppey,100,GEN,K.C.Venugopal,Indian National Congress,114192,84871,74.3 %,16933,20.0%
Ambalapuzha,101,GEN,G.Sudhakaran,Communist Party Of India (Marxist),128577,93953,73.1 %,11929,12.7%
Kuttanad,102,GEN,Thomas Chandy,Democratic Indira Congress (Karunakaran),111058,83476,75.2 %,5381,6.4%
Haripad,103,GEN,Adv.B.Babuprasad,Indian National Congress,144188,110075,76.3 %,1886,1.7%
Kayamkulam,104,GEN,C K Sadasivan,Communist Party Of India (Marxist),129524,99833,77.1 %,5832,5.8%
Thiruvalla,105,GEN,Mathew T Thomas,Janata Dal (Secular),110867,71137,64.2 %,8922,12.5%
Kallooppara,106,GEN,Joseph M Puthusseri,Kerala Congress(M),112932,71871,63.6 %,7488,10.4%
Aranmula,107,GEN,K.C Rajagopalan,Communist Party Of India (Marxist),112086,69794,62.3 %,14620,20.9%
Chengannur,108,GEN,P.C.Vishnunath,Indian National Congress,121105,87139,72.0 %,5132,5.9%
Mavelikara,109,GEN,M.Murali,Indian National Congress,131267,97505,74.3 %,2672,2.7%
Pandalam,110,SC,K.K.Shaju,Janadhipathiya Samrekshna Samiti,144463,111413,77.1 %,1305,1.2%
Ranni,111,GEN,Raju Abraham,Communist Party Of India (Marxist),119189,89091,74.7 %,14971,16.8%
Pathanamthitta,112,GEN,Adv. K Sivadasan Nair,Indian National Congress,121979,81238,66.6 %,1225,1.5%
Konni,113,GEN,Adoor Prakash,Indian National Congress,128760,93985,73.0 %,14895,15.8%
Pathanapuram,114,GEN,K.B.Ganesh Kumar,Kerala Congress (B),144025,103883,72.1 %,11814,11.4%
Punaloor,115,GEN,Adv.K.Raju,Communist Party Of India,158123,113437,71.7 %,7925,7.0%
Chadayamangalam,116,GEN,Mullakkara Rathnakaran,Communist Party Of India,134953,94773,70.2 %,4653,4.9%
Kottarakara,117,GEN,Adv. Aisha Potti,Communist Party Of India (Marxist),135841,98156,72.3 %,12087,12.3%
Neduvathur,118,SC,B. Raghavan,Communist Party Of India (Marxist),138696,98879,71.3 %,1155,1.2%
Adoor,119,GEN,Thiruvanchoor Radhakrishnan,Indian National Congress,128472,94107,73.3 %,18464,19.6%
Kunnathur,120,SC,Kovoor Kunjumon,Revolutionary Socialist Party,162149,114875,70.8 %,22573,19.7%
Karunagapally,121,GEN,C.Divakaran,Communist Party Of India,139839,102259,73.1 %,12496,12.2%
Chavara,122,GEN,N K Premachandran,Revolutionary Socialist Party,142401,110501,77.6 %,1786,1.6%
Kundara,123,GEN,M.A. Baby,Communist Party Of India (Marxist),129453,91501,70.7 %,14869,16.3%
Quilon,124,GEN,P.K.Gurudasan,Communist Party Of India (Marxist),125888,81725,64.9 %,11439,14.0%
Eravipuram,125,GEN,A.A. Azeez,Revolutionary Socialist Party,177809,115358,64.9 %,24049,20.8%
Chathanoor,126,GEN,N Anirudhan,Communist Party Of India,160650,104547,65.1 %,23180,22.2%
Varkala,127,GEN,Varkala Kahar,Indian National Congress,127337,92023,72.3 %,1625,1.8%
Attingal,128,GEN,Anathalavattom Anandan,Communist Party Of India (Marxist),118939,79842,67.1 %,11208,14.0%
Kilimanoor,129,SC,N Rajan,Communist Party Of India,156986,90436,57.6 %,21497,23.8%
Vamanapuram,130,GEN,J Arundhathi,Communist Party Of India (Marxist),145921,96803,66.3 %,6509,6.7%
Ariyanad,131,GEN,G Karthikeyan Aryanad,Indian National Congress,132567,89027,67.2 %,2198,2.5%
Nedumangad,132,GEN,Mankode Radhakrishnan,Communist Party Of India,171173,122766,71.7 %,85,0.1%
Kazhakuttam,133,GEN,M A Vahid,Indian National Congress,163999,109450,66.7 %,215,0.2%
Trivandrum North,134,GEN,M Vijayakumar,Communist Party Of India (Marxist),194130,118889,61.2 %,9724,8.2%
Trivandrum West,135,GEN,V Surendran Pillai,Kerala Congress,139835,71814,51.4 %,13233,18.4%
Trivandrum East,136,GEN,V Sivankutty,Communist Party Of India (Marxist),135171,80517,59.6 %,2276,2.8%
Nemom,137,GEN,N Sakthan,Indian National Congress,180034,120017,66.7 %,10749,9.0%
Kovalam,138,GEN,Adv George Mercier,Indian National Congress,168386,106369,63.2 %,10825,10.2%
Neyyattinkara,139,GEN,V J Thankappan,Communist Party Of India (Marxist),161090,106438,66.1 %,746,0.7%
Parassala,140,GEN,R Selvaraj,Communist Party Of India (Marxist),158092,97860,61.9 %,4407,4.5%
