AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Sheopur,1,GEN,Rama Shankar Bhardwaj,Bharatiya Janta Party,131100,80283,61.2 %,5484,6.8%
Vijaipur,2,GEN,Ram Nivas Rawat,Indian National Congress,128423,84664,65.9 %,8170,9.6%
Sabalgarh,3,GEN,Suresh Choudhari,Indian National Congress,142503,100981,70.9 %,1804,1.8%
Joura,4,GEN,Sone Ram Kushwah,Bahujan Samaj Party,136111,87504,64.3 %,6397,7.3%
Sumawali,5,GEN,Adel Singh Kanshana,Bahujan Samaj Party,127213,87153,68.5 %,8754,10.0%
Morena,6,GEN,Sovaran Singh Maval,Indian National Congress,158822,91489,57.6 %,17565,19.2%
Dimni,7,SC,Ramesh Kori,Indian National Congress,122617,66937,54.6 %,4371,6.5%
Ambah,8,SC,Bansi Lal Jatav,Bharatiya Janta Party,151128,70185,46.4 %,5848,8.3%
Gohad,9,SC,Chaturilal Barahadiya,Bahujan Samaj Party,123003,61455,50.0 %,3222,5.2%
Mehgaon,10,GEN,Naresh Singh Gurjar,Bahujan Samaj Party,123835,76154,61.5 %,7529,9.9%
Attair,11,GEN,Satyadev Katare,Indian National Congress,148305,88273,59.5 %,3156,3.6%
Bhind,12,GEN,Ramlakhan Singh,Bharatiya Janta Party,185083,105975,57.3 %,5264,5.0%
Roun,13,GEN,Rajendra Prakash Singh,Bharatiya Janta Party,117270,69310,59.1 %,692,1.0%
Lahar,14,GEN,Govind Singh,Indian National Congress,142924,94006,65.8 %,7822,8.3%
Gwalior,15,GEN,Raghvir Singh Banwar Singh,Indian National Congress,155864,77969,50.0 %,681,0.9%
Lashkar East,16,GEN,R.K. Goyal,Indian National Congress,107598,59066,54.9 %,8491,14.4%
Lashkar West,17,GEN,Bhagwan Singh Yadav,Indian National Congress,111705,66563,59.6 %,12316,18.5%
Morar,18,GEN,Ramvaran Singh,Indian National Congress,132800,82446,62.1 %,5197,6.3%
Gird,19,GEN,Balendu Shukl,Indian National Congress,124622,79585,63.9 %,4013,5.0%
Dabra,20,GEN,Jawahar Singh Rawat,Bahujan Samaj Party,130160,86270,66.3 %,5308,6.2%
Bhander,21,SC,Keshri Choudhary,Indian National Congress,127283,69347,54.5 %,4888,7.0%
Seondha,22,SC,Ram Dayal Prabahkar,Bharatiya Janta Party,129848,81099,62.5 %,8914,11.0%
Datia,23,GEN,Ghanshyam Singh,Indian National Congress,122349,77618,63.4 %,10866,14.0%
Karera,24,GEN,Kiran Singh Rawat,Indian National Congress,145081,88977,61.3 %,14899,16.7%
Pohri,25,GEN,Baijanti Verma,Independent,115849,71352,61.6 %,6188,8.7%
Shivpuri,26,GEN,Devendra Kumar Jain,Bharatiya Janta Party,149582,90538,60.5 %,3214,3.5%
Pichhore,27,GEN,K.P. Singh (KAKKAJU),Indian National Congress,149668,107561,71.9 %,16377,15.2%
Kolaras,28,SC,Om Prakash Khatik,Bharatiya Janta Party,132596,64968,49.0 %,11701,18.0%
Guna,29,GEN,Shiv Pratap Singh,Indian National Congress,165289,90391,54.7 %,9172,10.1%
Chachaura,30,GEN,Shiv Narayan,Indian National Congress,118616,75015,63.2 %,1315,1.8%
Raghogarh,31,GEN,Laxman Singh,Indian National Congress,123211,70743,57.4 %,16886,23.9%
Shadora,32,SC,Gopi Lal,Bharatiya Janta Party,116180,58671,50.5 %,9757,16.6%
Ashok Nagar,33,GEN,Neelam Singh Yadav,Bharatiya Janta Party,133696,82262,61.5 %,3131,3.8%
Mungaoli,34,GEN,Anand Kumar Paliwal 'bhaiya',Indian National Congress,129480,90350,69.8 %,771,0.9%
Bina,35,GEN,Prabhusing Thakur,Indian National Congress,103209,71931,69.7 %,11140,15.5%
Khurai,36,SC,Dhamoo Rai,Bharatiya Janta Party,117112,69454,59.3 %,11402,16.4%
Banda,37,GEN,Santosh Kumar Sahu,Indian National Congress,134339,102680,76.4 %,3352,3.3%
Naryaoli,38,SC,Pyarelal Chowdhary,Indian National Congress,127181,64049,50.4 %,1261,2.0%
Sagar,39,GEN,Sudha Jain,Bharatiya Janta Party,133448,80997,60.7 %,669,0.8%
Surkhi,40,GEN,Bhupendra Singh,Bharatiya Janta Party,109615,78861,71.9 %,6009,7.6%
Rehli,41,GEN,Gopal,Bharatiya Janta Party,104053,76119,73.2 %,21565,28.3%
Deori,42,GEN,Sunil Jain Motilal Jain,Indian National Congress,119606,73185,61.2 %,16499,22.5%
Niwari,43,GEN,Brijender Singh Rathor,Independent,171911,114606,66.7 %,37439,32.7%
Jatara,44,GEN,Akhand,Indian National Congress,131504,81992,62.3 %,8275,10.1%
Khargapur,45,SC,Ahirwar Parvat Lal,Bharatiya Janta Party,135152,67636,50.0 %,9289,13.7%
Tikamgarh,46,GEN,Bundela Yaadvender Singh,Indian National Congress,147805,94689,64.1 %,3047,3.2%
Malehra,47,GEN,Uma,Indian National Congress,139628,87534,62.7 %,1052,1.2%
Bijawar,48,GEN,Manvendra Singh,Indian National Congress,141826,89289,63.0 %,14627,16.4%
Chhatarpur,49,GEN,Shankar Pratap Singh,Indian National Congress,152764,96246,63.0 %,1815,1.9%
Maharajpur,50,SC,Ahirwar Ramdayal,Bharatiya Janta Party,149858,77422,51.7 %,13564,17.5%
Chandla,51,GEN,Satya Brat Chaturvedi,Indian National Congress,133421,94375,70.7 %,13662,14.5%
Nohata,52,GEN,Ratnesh Soloman,Indian National Congress,144048,91286,63.4 %,9277,10.2%
Damoh,53,GEN,Jayant Malaiya,Bharatiya Janta Party,137761,89704,65.1 %,6665,7.4%
Patharia,54,SC,Kaluram,Indian National Congress,118951,58289,49.0 %,2560,4.4%
Hatta,55,GEN,Vijay Singh,Bharatiya Janta Party,131536,75425,57.3 %,1529,2.0%
Panna,56,GEN,Lokendra Singh,Indian National Congress,144224,83378,57.8 %,1241,1.5%
Amanganj,57,SC,Funder,Indian National Congress,128336,55547,43.3 %,1028,1.9%
Pawai,58,GEN,Mukesh Nayak,Indian National Congress,142909,80032,56.0 %,4935,6.2%
Maihar,59,GEN,Mathura Prasad Patel,Indian National Congress,141327,81762,57.9 %,2329,2.8%
Nagod,60,GEN,Ram Dev Singh,Bharatiya Janta Party,127566,89101,69.8 %,12225,13.7%
Raigaon,61,SC,Jlugul Kishore,Bharatiya Janta Party,122024,73182,60.0 %,7696,10.5%
Chitrakoot,62,GEN,Ganesh,Bahujan Samaj Party,129425,66684,51.5 %,5261,7.9%
Satna,63,GEN,Brinjendra Pathak,Bharatiya Janta Party,164270,102546,62.4 %,1537,1.5%
Rampur Baghelan,64,GEN,Ram Lakhan Singh,Bahujan Samaj Party,135339,86579,64.0 %,8574,9.9%
Amarpatan,65,GEN,Rajendra Kumar Singh,Indian National Congress,127957,88043,68.8 %,4768,5.4%
Rewa,66,GEN,Pushraj Singh,Indian National Congress,169900,93761,55.2 %,9053,9.7%
Gurh,67,GEN,Budhasen Patel,Bahujan Samaj Party,150681,77602,51.5 %,14073,18.1%
