AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Sheopur,1,GEN,Sheopur,Babu Jandel,Indian National Congress,219889,176896,80.4 %,41710,23.6%
Vijaypur,2,GEN,Sheopur,Seetaram,Bharatiya Janta Party,216146,171712,79.4 %,2840,1.7%
Sabalagadh,3,GEN,Morena,Baijnath Kushwah,Indian National Congress,198515,152376,76.8 %,8737,5.7%
Jaura,4,GEN,Morena,Banavareelal Sharma (JAPTHAP),Indian National Congress,226588,162748,71.8 %,15173,9.3%
Sumaoli,5,GEN,Morena,Adal Singh Kansana,Indian National Congress,230217,158281,68.8 %,13313,8.4%
Morena,6,GEN,Morena,Raghuraj Singh Kansana,Indian National Congress,252598,150037,59.4 %,20849,13.9%
Dimani,7,GEN,Morena,Girraj Dandotiya,Indian National Congress,202285,140933,69.7 %,18477,13.1%
Ambah,8,SC,Morena,Kamlesh Jatav,Indian National Congress,206777,123661,59.8 %,7547,6.1%
Ater,9,GEN,Bhind,Arvind Singh Bhadoria,Bharatiya Janta Party,211291,135433,64.1 %,4978,3.7%
Bhind,10,GEN,Bhind,Sanjeev Singh (SANJU),Bahujan Samaj Party,247069,146980,59.5 %,35896,24.4%
Lahar,11,GEN,Bhind,Dr. Govind Singh,Indian National Congress,240172,154500,64.3 %,9073,5.9%
Mehgaon,12,GEN,Bhind,O.P.S. Bhadoria,Indian National Congress,250218,162127,64.8 %,25814,15.9%
Gohad,13,SC,Bhind,Ranvir Jatav,Indian National Congress,208677,128674,61.7 %,23989,18.6%
Gwalior Rural,14,GEN,Gwalior,Bharat Singh Kushwah,Bharatiya Janta Party,224607,154055,68.6 %,1517,1.0%
Gwalior,15,GEN,Gwalior,Pradhuman Singh Tomar,Indian National Congress,279758,174567,62.4 %,21044,12.1%
Gwalior East,16,GEN,Gwalior,Munnalal Goyal (MUNNA BHAIYA),Indian National Congress,299197,171735,57.4 %,17819,10.4%
Gwalior South,17,GEN,Gwalior,Praveen Pathak,Indian National Congress,256802,150880,58.8 %,121,0.1%
Bhitarwar,18,GEN,Gwalior,Lakhan Singh Yadav,Indian National Congress,214942,154762,72.0 %,12130,7.8%
Dabara,19,SC,Gwalior,Imarti Devi,Indian National Congress,212245,147100,69.3 %,57446,39.1%
Sewda,20,GEN,Datia,Ghanshyam Singh,Indian National Congress,170358,121201,71.1 %,33268,27.4%
Bhander,21,SC,Datia,Raksha Santram Saroniya,Indian National Congress,167947,117199,69.8 %,39896,34.0%
Datia,22,GEN,Datia,Dr.Narottam Mishra,Bharatiya Janta Party,189130,145285,76.8 %,2656,1.8%
Karera,23,SC,Shivpuri,Jasmant Jatave Chitree,Indian National Congress,239641,171602,71.6 %,14824,8.6%
Pohari,24,GEN,Shivpuri,Suresh Dhakad [rathkheda],Indian National Congress,218908,163238,74.6 %,7918,4.9%
