AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Sawantwadi,1,GEN,Dalvi Shivram Gopal,Shiv Sena,161412,106279,65.8 %,4284,4.0%
Vengurla,2,GEN,Shankar Shivram Kambli,Shiv Sena,137906,88876,64.4 %,17942,20.2%
Malvan,3,GEN,Rane Narayan Tatu,Shiv Sena,133498,96846,72.5 %,34145,35.3%
Devgad,4,GEN,Adv. Ajit Pandurang Gogate,Bharatiya Janta Party,119838,87789,73.3 %,1072,1.2%
Rajapur,5,GEN,Kadam Ganpat Doulat,Shiv Sena,139839,93147,66.6 %,16279,17.5%
Ratnagiri,6,GEN,Uday Ravindra Samant,Nationalist Congress Party,204902,134736,65.8 %,6045,4.5%
Sangameshwar,7,GEN,Bane Subhash Shantaram,Shiv Sena,151905,104328,68.7 %,33769,32.4%
Guhagar,8,GEN,Dr. Natu Vinay Shridhar,Bharatiya Janta Party,147250,100601,68.3 %,28183,28.0%
Chiplun,9,GEN,Kadam Rameshbhai,Nationalist Congress Party,150721,111888,74.2 %,5286,4.7%
Khed,10,GEN,Kadam Ramdas Gangaram,Shiv Sena,139290,92615,66.5 %,25421,27.4%
Dapoli,11,GEN,Dalvi Suryakant Shivram,Shiv Sena,146424,97708,66.7 %,23834,24.4%
Mahad,12,GEN,Jagtap Manik Motiram,Nationalist Congress Party,155545,118980,76.5 %,3779,3.2%
Shriwardhan,13,GEN,Shyam Tukaram Sawant,Shiv Sena,174969,123496,70.6 %,7125,5.8%
Mangaon,14,GEN,Tatkare Sunil Dattatrey,Nationalist Congress Party,180495,125215,69.4 %,32274,25.8%
Pen,15,GEN,Ravisheth Patil,Indian National Congress,202591,147017,72.6 %,14936,10.2%
Alibag,16,GEN,Thakur Madhukar Shankar,Indian National Congress,212283,152135,71.7 %,5867,3.9%
Panvel,17,GEN,Vivek Patil,Peasants And Workers Party Of India,302088,197003,65.2 %,19723,10.0%
Khalapur,18,GEN,Devendra Satam,Shiv Sena,232727,161629,69.5 %,2970,1.8%
Colaba,19,GEN,Annie Shekhar,Indian National Congress,115143,48587,42.2 %,7690,15.8%
Umarkhadi,20,GEN,Patel Bashir Moosa,Nationalist Congress Party,103636,41248,39.8 %,16413,39.8%
Mumbadevi,21,GEN,Raj K. Purohit,Bharatiya Janta Party,82511,35235,42.7 %,5856,16.6%
Khetwadi,22,GEN,Ashok Arjunrao Alias Bhai Jagtap,Indian National Congress,103099,45488,44.1 %,3774,8.3%
Opera House,23,GEN,Arvinda Nerkar,Shiv Sena,91377,44156,48.3 %,7020,15.9%
Malbar Hill,24,GEN,Mangal Prabhat Lodha,Bharatiya Janta Party,162778,82293,50.6 %,3313,4.0%
Chinchpokli,25,GEN,Arun Gulab Gawali @ Daddy,Akhil Bharatiya Sena,123507,62387,50.5 %,11818,18.9%
Nagpada,26,GEN,Dr. Syed Ahmed,Indian National Congress,105220,46355,44.1 %,3774,8.1%
Mazgaon,27,GEN,Bala Nandgaonkar,Shiv Sena,115505,64513,55.9 %,1472,2.3%
Parel,28,GEN,Dagdu Haribhau Sakpal,Shiv Sena,136334,76320,56.0 %,29679,38.9%
Shivadi,29,GEN,Ahir Sachin Mohan,Nationalist Congress Party,146698,78792,53.7 %,16591,21.1%
Worli,30,GEN,Nalawade Dattaji Shankar,Shiv Sena,129208,68228,52.8 %,9094,13.3%
Naigaum,31,GEN,Kolambkar Kalidas Nilkanth,Shiv Sena,155068,81815,52.8 %,21858,26.7%
Dadar,32,GEN,Sada Sarvankar,Shiv Sena,126381,74208,58.7 %,13049,17.6%
Matunga,33,GEN,Jagannath Achanna Shetty,Indian National Congress,241488,111005,46.0 %,4656,4.2%
Mahim,34,GEN,Suresh Anant Gambhir,Shiv Sena,146485,72855,49.7 %,2004,2.8%
Dharavi,35,SC,Gaikwad Varsha Eknath,Indian National Congress,307177,123124,40.1 %,15830,12.9%
Bandra,36,GEN,Baba Jiyauddin Siddiki,Indian National Congress,183536,79227,43.2 %,18640,23.5%
Kherwadi,37,GEN,Chandurkar Janardan Chandrappa,Indian National Congress,198529,100233,50.5 %,6548,6.5%
Vileparle,38,GEN,Ashok Bhau Jadhav,Indian National Congress,224675,113882,50.7 %,8983,7.9%
Amboli,39,GEN,Baldev Basantsingh Khosa,Indian National Congress,386881,172917,44.7 %,9947,5.8%
Santacruz,40,GEN,Kripashankar Singh,Indian National Congress,265246,142168,53.6 %,22189,15.6%
Andheri,41,GEN,Suresh Shetty,Indian National Congress,381142,201163,52.8 %,9069,4.5%
Goregaon,42,GEN,Subhash Desai,Shiv Sena,256135,132003,51.5 %,9139,6.9%
