AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Khundrakpam,1,GEN,Konjengbam Binoy,Mahabharat Peples Party,18146,15857,87.4 %,3099,19.5%
Heingang,2,GEN,Wakambam Thoiba Singh,Federal Party Of Manipur,20025,18626,93.0 %,2498,13.4%
Khurai,3,GEN,Ningthoujam Bihari Singh,Independent,20929,19528,93.3 %,551,2.8%
Khetrigao,4,GEN,Basant Kumar Wangkhem,Janata Dal,21900,20925,95.5 %,686,3.3%
Thongju,5,GEN,Dr. Sapam Dhananjoy,Mahabharat Peples Party,20590,19367,94.1 %,790,4.1%
Keirao,6,GEN,Hidam Bidur Singh,Indian National Congress,18259,17693,96.9 %,1600,9.0%
Andro,7,GEN,Salam Chandra Singh,Mahabharat Peples Party,21056,19758,93.8 %,2302,11.7%
Lamlai,8,GEN,Kshetrimayum Biren Singh,Mahabharat Peples Party,18017,16881,93.7 %,1067,6.3%
Thangmeiband,9,GEN,Radhabinod Koijam,Indian National Congress,20644,16800,81.4 %,1719,10.2%
Uripok,10,GEN,N. Nodiachand Singh,Mahabharat Peples Party,15661,13432,85.8 %,299,2.2%
Sagolband,11,GEN,Moirangthem Kumar Singh,Mahabharat Peples Party,18030,15119,83.9 %,1522,10.1%
Keisamthong,12,GEN,R.K. Ranbir,Mahabharat Peples Party,20613,18379,89.2 %,3025,16.5%
Singjamei,13,GEN,Irengbam Hemochandra Singh,Indian National Congress,16070,14116,87.8 %,893,6.3%
Yaiskul,14,GEN,Elangbam Kunjeswar Singh,Bharatiya Janta Party,18617,16534,88.8 %,471,2.8%
Wangkhei,15,GEN,Yumkham Erabot,Indian National Congress,25771,21993,85.3 %,1702,7.7%
Sekmai,16,SC,Ningthoujam Biren,Indian National Congress,17638,16035,90.9 %,732,4.6%
Lamsang,17,GEN,Sorokhaibam Rajen Singh,Indian National Congress,20163,19127,94.9 %,327,1.7%
Konthoujam,18,GEN,Henam Lokhon,Indian National Congress,19616,18388,93.7 %,52,0.3%
Patsoi,19,GEN,Leisangthem Chandramani Singh,Indian National Congress,21881,19932,91.1 %,2045,10.3%
Langthabal,20,GEN,K. Babudhon Singh,Indian National Congress,17756,16374,92.2 %,92,0.6%
Naoriya Pakhanglakpa,21,GEN,A.K. Lanngam,Independent,22001,20783,94.5 %,795,3.8%
Wangoi,22,GEN,W. Nipamacha Singh,Indian National Congress,17036,16508,96.9 %,349,2.1%
Mayang Imphal,23,GEN,M. Nilchandra Singh,Indian National Congress,18318,17389,94.9 %,947,5.4%
Nambol,24,GEN,Nameirakpam Loken,Mahabharat Peples Party,20771,19718,94.9 %,482,2.4%
Oinam,25,GEN,Yumnam Jiten,Mahabharat Peples Party,18218,17174,94.3 %,278,1.6%
Bishenpur,26,GEN,Govindas Kongthoujam,Indian National Congress,19695,18705,95.0 %,216,1.2%
Moirang,27,GEN,Md. Heshamuddin,Mahabharat Peples Party,24229,22616,93.3 %,382,1.7%
Thanga,28,GEN,Tongbram Mangibabu,Janata Dal,15389,14465,94.0 %,863,6.0%
Kumbi,29,GEN,Ningthoujam Mangi,Communist Party Of India,19046,17648,92.7 %,633,3.6%
Lilong,30,GEN,Md. Helaluddin Khan,Indian National Congress,18455,17192,93.2 %,1002,5.8%
Thoubal,31,GEN,Leitanthem Tomba,Mahabharat Peples Party,19907,18866,94.8 %,6379,33.8%
Wangkhem,32,GEN,Dr. Nimai Chand Luwang,Indian National Congress,19103,17969,94.1 %,1624,9.0%
Heirok,33,GEN,Moirangthem Okendro,Indian National Congress,19073,17931,94.0 %,1198,6.7%
Wangjing Tentha,34,GEN,Moirangthem Hemanta Singh,Indian National Congress,19676,18398,93.5 %,1713,9.3%
Khangabo,35,GEN,Laishram Jatra Singh,Mahabharat Peples Party,20986,20272,96.6 %,1137,5.6%
Wabgai,36,GEN,Abdul Salam,Mahabharat Peples Party,18492,17887,96.7 %,1905,10.7%
Kakching,37,GEN,Kshetrimayum Irabot Singh,Communist Party Of India,18933,17209,90.9 %,247,1.4%
Hiyanglam,38,GEN,Maibam Kunjo Singh,Janata Dal,17662,16451,93.1 %,1180,7.2%
Sugnoo,39,GEN,Mayanglambam Babu Singh,Janata Dal,19036,17538,92.1 %,245,1.4%
Jiribam,40,GEN,Th. Debendra,Indian National Congress,21777,18200,83.6 %,372,2.0%
Chandel,41,ST,Hangkhanpao,Janata Dal,30531,28836,94.4 %,2566,8.9%
Tengnoupal,42,ST,W. Morung Makunga,Indian National Congress,26857,25116,93.5 %,1635,6.5%
Phungyar,43,ST,Rishang Keishing,Indian National Congress,18555,14938,80.5 %,4139,27.7%
Ukhrul,44,ST,A.S. Arthur,Indian National Congress,25016,20694,82.7 %,1624,7.8%
Chingai,45,ST,Dr. Mashangthei Horam,Indian National Congress,27126,23216,85.6 %,3662,15.8%
Saikul,46,ST,Chungkhokai Doungel,Mahabharat Peples Party,23796,21998,92.4 %,3428,15.6%
Karong,47,ST,L. Jonathan,Samata Party,34913,33614,96.3 %,2648,7.9%
Mao,48,ST,M. Thohrii,Indian Congress (SOCIALIST),36121,35572,98.5 %,9202,25.9%
Tadubi,49,ST,O. Lohrii,Janata Dal,31372,29252,93.2 %,3311,11.3%
Kangpokpi,50,GEN,Thangminlen,Mahabharat Peples Party,22312,20881,93.6 %,2072,9.9%
Saitu,51,ST,Ngamthang Haokip,Mahabharat Peples Party,26418,25384,96.1 %,2377,9.4%
Tamei,52,ST,D.P. Panmei,Independent,21970,20252,92.2 %,642,3.2%
Tamenglong,53,ST,Samuel,Samata Party,18031,15880,88.1 %,486,3.1%
Nungba,54,ST,Gangmumei Kamei,Federal Party Of Manipur,15516,13768,88.7 %,210,1.5%
Tipaimukh,55,ST,Dr. Chaltonlian Amo,Indian National Congress,12806,11224,87.6 %,2413,21.5%
Thanlon,56,ST,Songchinkhup,Mahabharat Peples Party,15665,12960,82.7 %,1604,12.4%
Henglep,57,ST,Sehpu Haokip,Janata Dal,18957,16997,89.7 %,806,4.7%
Churachandpur,58,ST,V. Hangkhanlian,Nagaland Peoples Party,31141,25326,81.3 %,8306,32.8%
Saikot,59,ST,T.N. Haokip,Mahabharat Peples Party,33045,29469,89.2 %,1339,4.5%
Singhat,60,ST,T. Gouzadou,Nagaland Peoples Party,20413,17530,85.9 %,1104,6.3%
