AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Khundrakpam (GEN),1,GEN,Imphal,Thokchom Lokeshwar Singh,Indian National Congress,25500,22804,89.4 %,3059,13.4%
Heingang (GEN),2,GEN,Imphal,Nongthombam Biren Singh,Bharatiya Janta Party,30459,27264,89.5 %,1206,4.4%
Khurai (GEN),3,GEN,Imphal,Leishangthem Susindro Meitei,Bharatiya Janta Party,31958,28866,90.3 %,1944,6.7%
Kshetrigao,4,GEN,Imphal,Nahakpam Indrajit Singh,Bharatiya Janta Party,33096,30129,91.0 %,380,1.3%
Thongju,5,GEN,Imphal,Thongam Biswajit Singh,Bharatiya Janta Party,30135,26448,87.8 %,7301,27.6%
Keirao,6,GEN,Imphal,Lourembam Rameshwor Meetei,Bharatiya Janta Party,27732,26050,93.9 %,538,2.1%
Andro,7,GEN,Imphal,Thounaojam Shyamkumar,Indian National Congress,33075,29698,89.8 %,7986,26.9%
Lamlai,8,GEN,Imphal,Ksh. Biren Singh,Indian National Congress,27210,25538,93.9 %,852,3.3%
Thangmeiband,9,GEN,Imphal West,Khumukcham Joykisan Singh,Indian National Congress,28479,23608,82.9 %,157,0.7%
Uripok,10,GEN,Imphal West,Yumnam Joykumar Singh,National People's Party,23762,19911,83.8 %,345,1.7%
Sagolband,11,GEN,Imphal West,Rajkumar Imo Singh,Indian National Congress,23064,19416,84.2 %,19,0.1%
Keishamthong,12,GEN,Imphal West,Langpoklakpam Jayantakumar Singh,National People's Party,26494,22901,86.4 %,3261,14.2%
Singjamei,13,GEN,Imphal West,Yumnam Khemchand Singh,Bharatiya Janta Party,19929,17364,87.1 %,1834,10.6%
Yaiskul,14,GEN,Imphal,Thokchom Satyabrata Singh,Bharatiya Janta Party,25363,21619,85.2 %,570,2.6%
Wangkhei,15,GEN,Imphal,Okram Henry Singh,Indian National Congress,34914,29319,84.0 %,4336,14.8%
Sekmai,16,SC,Imphal West,Heikham Dingo Singh,Bharatiya Janta Party,26982,23794,88.2 %,2532,10.6%
Lamsang,17,GEN,Imphal West,Sorokhaibam Rajen Singh,Bharatiya Janta Party,30267,27862,92.1 %,1280,4.6%
Konthoujam,18,GEN,Imphal West,Dr. Sapam Ranjan Singh,Bharatiya Janta Party,27943,25937,92.8 %,2772,10.7%
Patsoi,19,GEN,Imphal West,Km. Ak. Mirabai Devi,Indian National Congress,34916,31190,89.3 %,114,0.4%
Langthabal,20,GEN,Imphal West,Karam Shyam,Lok Jan Shakti Party,27012,24562,90.9 %,2331,9.5%
Naoriya Pakhanglakpa,21,GEN,Imphal West,Soibam Subhaschandra Singh,Bharatiya Janta Party,32603,30181,92.6 %,1615,5.4%
