AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Nartiang,1,ST,Jaintia Hills,Sniawbhalang Dhar,Indian National Congress,30266,28257,93.4 %,8858,31.3%
Jowai,2,ST,Jaintia Hills,Roytre Christopher Laloo,Indian National Congress,28915,25554,88.4 %,679,2.7%
Raliang,3,ST,Jaintia Hills,Comingone Ymbon,Indian National Congress,26109,24174,92.6 %,3422,14.2%
Mowkaiaw,4,ST,Jaintia Hills,Robinus Syngkon,Independent,25400,23810,93.7 %,694,2.9%
Sutnga Saipung,5,ST,Jaintia Hills,Hopeful Bamon,Independent,31521,29036,92.1 %,1462,5.0%
Khliehriat,6,ST,Jaintia Hills,Justine Dkhar,Independent,31473,29717,94.4 %,1638,5.5%
Amlarem,7,ST,Jaintia Hills,Stephanson Mukhim,Independent,27354,24951,91.2 %,1134,4.5%
Mawhati,8,ST,Ri Bhoi,Julias Kitbok Dorphang,Independent,25245,23095,91.5 %,1159,5.0%
Nongpoh,9,ST,Ri Bhoi,Dr. D.D.Lapang,Indian National Congress,24041,21475,89.3 %,3598,16.8%
Jirang,10,ST,Ri Bhoi,Lamboklang Mylliem,North East Social Democratic Party,28281,24750,87.5 %,2496,10.1%
Umsning,11,ST,Ri Bhoi,Dr. Celestine Lyngdoh,Indian National Congress,24655,21202,86.0 %,1942,9.2%
Umroi,12,ST,Ri Bhoi,Ngaitlang Dhar,Indian National Congress,20407,18523,90.8 %,4138,22.3%
Mawryngkneng,13,ST,East Khasi Hills,David A. Nongrum,Independent,25198,22465,89.2 %,626,2.8%
Pynthorumkhrah,14,GEN,East Khasi Hills,A. L. Hek,Indian National Congress,24940,20467,82.1 %,1951,9.5%
Mawlai,15,ST,East Khasi Hills,Embhahlang Syiemlieh,United Democratic Party,34199,28098,82.2 %,5779,20.6%
East Shillong,16,ST,East Khasi Hills,Mazel Ampareen Lyngdoh,Indian National Congress,21495,16052,74.7 %,5084,31.7%
North Shillong,17,ST,East Khasi Hills,Roshan Warjri,Indian National Congress,24408,17913,73.4 %,2180,12.2%
West Shillong,18,GEN,East Khasi Hills,Paul Lyngdoh,United Democratic Party,23326,18468,79.2 %,481,2.6%
South Shillong,19,GEN,East Khasi Hills,Sanbor Shullai,Nationalist Congress Party,27708,20879,75.4 %,1145,5.5%
Mylliem,20,ST,East Khasi Hills,Ronnie V. Lyngdoh,Indian National Congress,25385,21233,83.6 %,1798,8.5%
Nongthymmai,21,ST,East Khasi Hills,Jemino Mawthoh,United Democratic Party,28350,20793,73.3 %,1137,5.5%
Nongkrem,22,ST,East Khasi Hills,Ardent Miller Basaiawmoit,Hill State People's Democratic Party,26404,22278,84.4 %,1990,8.9%
Sohiong,23,ST,East Khasi Hills,H. Donkupar R. Lyngdoh,Indian National Congress,23768,21854,91.9 %,2852,13.1%
