AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Hachhek,1,ST,Lalrinmawia Ralte,Indian National Congress,16029,13453,83.9 %,2617,19.5%
Dampa,2,ST,Lalrobiaka,Indian National Congress,13981,12169,87.0 %,680,5.6%
Mamit,3,ST,John Rotluangliana,Indian National Congress,16266,13824,85.0 %,2147,15.5%
Tuirial,4,ST,Hmingdailova Khiangte,Indian National Congress,14539,11917,82.0 %,1022,8.6%
Kolasib,5,ST,P.C. Zoramsangliana,Indian National Congress,15973,13465,84.3 %,1048,7.8%
Serlui,6,ST,K. Lalrinthanga,Indian National Congress,14638,12144,83.0 %,924,7.6%
Tuivawl,7,ST,R.L.Pianmawia,Indian National Congress,14281,11653,81.6 %,473,4.1%
Chalfilh,8,ST,Chawngtinthanga,Indian National Congress,16091,13198,82.0 %,543,4.1%
Tawi,9,ST,R.Lalzirliana,Indian National Congress,13174,11407,86.6 %,1211,10.6%
Aizawl North-I,10,ST,R.Romawia,Indian National Congress,17370,13414,77.2 %,1037,7.7%
Aizawl North-Ii,11,ST,H.Liansailova,Indian National Congress,17769,14259,80.2 %,266,1.9%
Aizawl North-Iii,12,ST,Lal Thanzara,Indian National Congress,14732,11351,77.0 %,506,4.5%
Aizawl East-I,13,GEN,R.Lalrinawma,Indian National Congress,16962,13519,79.7 %,1089,8.1%
Aizawl East-Ii,14,ST,Lalsawta,Indian National Congress,14845,11476,77.3 %,1349,11.8%
Aizawl West-I,15,ST,Lalduhawma,Zoram Nationalist Party,17844,14637,82.0 %,742,5.1%
Aizawl West-Ii,16,ST,Brig. T. Sailo,Manipur Peoples Council,15932,12605,79.1 %,498,4.0%
Aizawl West-Iii,17,ST,R.Selthuama,Indian National Congress,16418,12821,78.1 %,1113,8.7%
Aizawl South-I,18,ST,K.Liantlinga,Zoram Nationalist Party,17536,14136,80.6 %,28,0.2%
Aizawl South-Ii,19,ST,Lt.Col. Zosangzuala,Indian National Congress,18055,14195,78.6 %,489,3.4%
Aizawl South-Iii,20,ST,K.S.Thanga,Indian National Congress,16064,14001,87.2 %,350,2.5%
Lengteng,21,ST,H.Rohluna,Indian National Congress,14727,12272,83.3 %,786,6.4%
Tuichang,22,ST,Lalrinliana Sailo,Indian National Congress,13888,11349,81.7 %,881,7.8%
Champhai North,23,ST,T.T.Zothansanga,Indian National Congress,15488,12734,82.2 %,1256,9.9%
Champhai South,24,ST,Jh.Rothuama,Indian National Congress,14822,11888,80.2 %,1058,8.9%
East Tuipui,25,ST,B.Lalthlengliana,Mizo National Front,12947,10643,82.2 %,467,4.4%
Serchhip,26,ST,Lalthanhawla,Indian National Congress,13663,11956,87.5 %,952,8.0%
Tuikum,27,ST,K. Lianzuala,Indian National Congress,13265,11587,87.4 %,402,3.5%
Hrangturzo,28,ST,Lalthansanga,Manipur Peoples Council,13872,11721,84.5 %,452,3.9%
South Tuipui,29,ST,Lalthanhawla,Indian National Congress,12789,10639,83.2 %,96,0.9%
Lunglei North,30,ST,Pc Lalthanliana,Indian National Congress,13981,12117,86.7 %,705,5.8%
Lunglei East,31,ST,Joseph Lalhimpuia,Indian National Congress,12358,9795,79.3 %,423,4.3%
Lunglei West,32,ST,Dr. R. Lalthangliana,Mizo National Front,12334,10177,82.5 %,723,7.1%
Lunglei South,33,ST,S. Laldingliana,Indian National Congress,14392,11846,82.3 %,1041,8.8%
Thorang,34,ST,Zodintluanga,Indian National Congress,11021,9592,87.0 %,1829,19.1%
West Tuipui,35,ST,Nihar Kanti Chakma,Indian National Congress,10418,8906,85.5 %,1540,17.3%
Tuichawng,36,ST,Nirupam Chakma,Indian National Congress,22089,18463,83.6 %,3112,16.9%
Lawngtlai West,37,ST,C. Ramhluna,Mizo National Front,19952,16918,84.8 %,800,4.7%
Lawngtlai East,38,ST,H. Zothangliana,Indian National Congress,19414,15189,78.2 %,911,6.0%
Saiha,39,ST,S. Hiato,Indian National Congress,16394,12917,78.8 %,103,0.8%
Palak,40,ST,P.P. Thawla,Maraland Democratic Front,15271,12603,82.5 %,84,0.7%
