AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Dimapur-I,1,GEN,K.L. Chishi,Indian National Congress,17891,14462,80.8 %,3926,27.1%
Dimapur-Ii,2,ST,S.I. Jamir,Indian National Congress,44124,33149,75.1 %,2759,8.3%
Dimapur-Iii,3,ST,Azheto Zhimomi,Indian National Congress,19931,15699,78.8 %,3003,19.1%
Ghaspani-I,4,ST,Y. Hewoto Awomi,Indian National Congress,58926,48234,81.9 %,1514,3.1%
Ghaspani-Ii,5,ST,K. Hollohon,Independent,27905,23343,83.7 %,1651,7.1%
Tenning,6,ST,Tarie,Indian National Congress,29560,25547,86.4 %,4901,19.2%
Peren,7,ST,T.R. Zeliang,Nagaland Peoples Front,29777,26039,87.4 %,3879,14.9%
Western Angami,8,ST,Kiyanilie Peseyie,Nagaland Peoples Front,20162,15471,76.7 %,1430,9.2%
Kohima Town,9,ST,Dr. Neikiesalie Nicky Kire,Nagaland Peoples Front,37440,27884,74.5 %,7103,25.5%
Northern Angami - I,10,ST,Shurhozelie,Nagaland Peoples Front,21831,16611,76.1 %,973,5.9%
Northern Angami -Ii,11,ST,Neiphiu Rio,Nagaland Peoples Front,19807,16521,83.4 %,10761,65.1%
Tseminyu,12,ST,R. Khing,Nagaland Peoples Front,25479,24372,95.7 %,66,0.3%
Pughoboto,13,ST,Joshua,Indian National Congress,16864,15489,91.8 %,432,2.8%
Southern Angami-I,14,ST,Vikho-O Yhoshu,Nagaland Peoples Front,13525,11780,87.1 %,1768,15.0%
Southern Angami-Ii,15,ST,K.V. Pusa,Indian National Congress,16212,13653,84.2 %,518,3.8%
Pfutsero,16,ST,Neiba,Nagaland Peoples Front,25587,18185,71.1 %,1413,7.8%
Chizami,17,ST,Deo Nukhu,Indian National Congress,21871,20730,94.8 %,175,0.8%
Chazouba,18,ST,Chotisuh Sazo,Independent,26504,23308,87.9 %,1352,5.8%
Phek,19,ST,Kuzholuzo,Nagaland Peoples Front,24795,19700,79.5 %,6276,31.9%
Meluri,20,ST,Yitachu,Nagaland Peoples Front,21127,19340,91.5 %,2938,15.2%
Tuli,21,ST,L. Temjen Jamir,Nagaland Peoples Front,22274,15505,69.6 %,180,1.2%
Arkakong,22,ST,Nuklutoshi,Nagaland Peoples Front,23040,19901,86.4 %,580,2.9%
Impur,23,ST,Nungsangyapang,Indian National Congress,18217,16890,92.7 %,4189,24.8%
Angetyongpang,24,ST,T. Sentichuba,Indian National Congress,18338,15533,84.7 %,1235,8.0%
Monguya,25,ST,Dr. Ngangshi K. Ao,Independent,16437,13785,83.9 %,3034,22.0%
Aonglenden,26,ST,Nungshizenba,Indian National Congress,12262,9317,76.0 %,1539,16.5%
Mokokchung Town,27,ST,C. Apok Jamir,Indian National Congress,6093,4856,79.7 %,626,12.9%
