AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Karanjia,1,ST,Padma Charan Haiburu,Independent,126851,76585,60.4 %,15648,20.4%
Jashipur,2,ST,Bhanu Charan Naik,Bharatiya Janta Party,122510,74768,61.0 %,6452,8.6%
Bahalda,3,ST,Laxman Soren,Bharatiya Janta Party,122918,73313,59.6 %,2060,2.8%
Rairangpur,4,ST,Droupadi Murmu,Bharatiya Janta Party,125385,74997,59.8 %,4568,6.1%
Bangriposi,5,ST,Purusottam Naik,Independent,135486,85878,63.4 %,2025,2.4%
Kuliana,6,ST,Sudam Marndi,Jharkhand Mukti Morcha,142750,96113,67.3 %,22202,23.1%
Baripada,7,GEN,Kishore Dash,Jharkhand Mukti Morcha,174790,114723,65.6 %,10354,9.0%
Baisinga,8,ST,Kandra Soren,Bharatiya Janta Party,141440,89047,63.0 %,8938,10.0%
Khunta,9,ST,Golak Naik,Bharatiya Janta Party,141780,91065,64.2 %,3649,4.0%
Udala,10,ST,Bhaskar Madhei,Bharatiya Janta Party,140522,82745,58.9 %,25249,30.5%
Bhograi,11,GEN,Dr. Kamala Das,Biju Janata Dal,188340,122062,64.8 %,1055,0.9%
Jaleswar,12,GEN,Jayanarayan Mohanty,Indian National Congress,207297,145348,70.1 %,609,0.4%
Basta,13,GEN,Raghunath Mohanty,Biju Janata Dal,166027,115477,69.6 %,17580,15.2%
Balasore,14,GEN,Jiban Pradip Dash,Bharatiya Janta Party,217950,130999,60.1 %,13638,10.4%
Soro,15,GEN,Kartik Mohapatra,Indian National Congress,179744,115318,64.2 %,18113,15.7%
Simulia,16,GEN,Parsuram Panigrahi,Biju Janata Dal,171594,114507,66.7 %,2930,2.6%
Nilgiri,17,GEN,Pradipta Panda,Communist Party Of India (MARXIST),175767,119272,67.9 %,17735,14.9%
Bhandaripokhari,18,SC,Ratha Das,Biju Janata Dal,152855,102881,67.3 %,19652,19.1%
Bhadrak,19,GEN,Biren Palei,Indian National Congress,176362,112409,63.7 %,532,0.5%
Dhamnagar,20,GEN,Manas Ranjan Mallik,Independent,166141,110993,66.8 %,1703,1.5%
Chandbali,21,SC,Bishnu Charan Sethi,Bharatiya Janta Party,179389,116502,64.9 %,8597,7.4%
Basudevpur,22,GEN,Bijayshree Routray,Biju Janata Dal,173038,110219,63.7 %,13149,11.9%
Sukinda,23,GEN,Prafulla Chandra Ghadai,Biju Janata Dal,172546,121527,70.4 %,33189,27.3%
Korai,24,GEN,Ashok Kumar Das,Janata Dal (Secular),174662,103814,59.4 %,10891,10.5%
Jajpur,25,SC,Suryamani Jena,Biju Janata Dal,175642,96017,54.7 %,17475,18.2%
Dharamsala,26,GEN,Kalpataru Das,Biju Janata Dal,156772,107293,68.4 %,5683,5.3%
Barchana,27,GEN,Amar Prasad Satpathy,Biju Janata Dal,175661,125031,71.2 %,4755,3.8%
Bari-Derabisi,28,GEN,Debasis Nayak,Biju Janata Dal,155322,95877,61.7 %,15038,15.7%
Binjharpur,29,SC,Pramila Mallik,Biju Janata Dal,160606,89297,55.6 %,23504,26.3%
Aul,30,GEN,Pratap Keshari Deb,Biju Janata Dal,171824,104948,61.1 %,25325,24.1%
Patamundai,31,SC,Tapash Kumar Das,Biju Janata Dal,177921,102470,57.6 %,7670,7.5%
Rajnagar,32,GEN,Nalini Kanta Mohanty,Biju Janata Dal,160060,119467,74.6 %,51834,43.4%
Kendrapara,33,GEN,Bed Prakash Agarwalla,Bharatiya Janta Party,151255,101999,67.4 %,19075,18.7%
Patkura,34,GEN,Trilochan Behera,All India Trinamool Congress,163646,107437,65.7 %,36250,33.7%
Tirtol,35,GEN,Debashish Samantaray,Biju Janata Dal,173765,115681,66.6 %,4270,3.7%
Ersama,36,GEN,Damodar Rout,Biju Janata Dal,207258,133482,64.4 %,46553,34.9%
Balikuda,37,GEN,Umesh Chandra Swain,Indian National Congress,166420,106892,64.2 %,1619,1.5%
Jagatsinghpur,38,SC,Bishnu Charan Das,Biju Janata Dal,168188,104556,62.2 %,34572,33.1%
Kissannagar,39,GEN,Pratap Jena,Biju Janata Dal,153540,94315,61.4 %,17695,18.8%
Mahanga,40,GEN,Sarat Kumar Kar,Biju Janata Dal,142960,96851,67.7 %,3446,3.6%
Salepur,41,SC,Kalandi Behera,Biju Janata Dal,140646,88963,63.3 %,26087,29.3%
Gobindpur,42,GEN,Panchanan Kanungo,Biju Janata Dal,167953,114140,68.0 %,1235,1.1%
Cuttack Sadar,43,GEN,Nibedita Pradhan,Bharatiya Janta Party,203123,115577,56.9 %,2162,1.9%
Cuttack City,44,GEN,Samir Dey,Bharatiya Janta Party,237656,102196,43.0 %,33775,33.0%
Choudwar,45,GEN,Bidhubhusan Praharaj,Independent,152359,89078,58.5 %,797,0.9%
Banki,46,GEN,Pravat Tripathy,Biju Janata Dal,154071,100018,64.9 %,19691,19.7%
Athgarh,47,GEN,Ranendra Pratap Swain,Biju Janata Dal,165490,123009,74.3 %,40425,32.9%
Baramba,48,GEN,Debi Mishra,Biju Janata Dal,161940,98120,60.6 %,67599,68.9%
Balipatna,49,SC,Raghab Chandra Sethi,Biju Janata Dal,140075,91023,65.0 %,10927,12.0%
Bhubaneswar,50,GEN,Biswabhusan Harichandan,Bharatiya Janta Party,358751,148375,41.4 %,94555,63.7%
Jatni,51,GEN,Suresh Kumar Routray,Indian National Congress,162416,102605,63.2 %,4077,4.0%
Pipli,52,GEN,Pradeep Maharathy,Biju Janata Dal,155459,110061,70.8 %,22726,20.6%
