AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Muthialpet,1,GEN,G. Palani Raja,All India Anna Dravida Munnetra Kazhagam,14397,9856,68.5 %,1457,14.8%
Cassicade,2,GEN,Ansari Duraisamy,Janta Party,11603,7631,65.8 %,890,11.7%
Raj Bhavan,3,GEN,Ramajayam D.,Janta Party,7042,4030,57.2 %,14,0.3%
Bussy,4,GEN,Susairaj S.,All India Anna Dravida Munnetra Kazhagam,6495,4076,62.8 %,127,3.1%
Oupalam,5,GEN,C. N. Pathasarathy,All India Anna Dravida Munnetra Kazhagam,9970,7037,70.6 %,247,3.5%
Orleampeth,6,GEN,N. Manimaram Marimuthu,All India Anna Dravida Munnetra Kazhagam,12949,8587,66.3 %,1979,23.0%
Nellithope,7,GEN,R. Kannan,Janta Party,10958,7274,66.4 %,620,8.5%
Modeliarpeth,8,GEN,V. Sababady Kothandraman,Indian National Congress,12608,9551,75.8 %,1704,17.8%
Ariankuppam,9,GEN,P. Subbarayan,Dravida Munetra Kazhagam,12397,9688,78.1 %,762,7.9%
Embalom,10,SC,Sivaloganathan K.,All India Anna Dravida Munnetra Kazhagam,8781,6794,77.4 %,242,3.6%
Nettapakkam,11,GEN,Srvaprakasam S.,Indian National Congress,8909,7573,85.0 %,207,2.7%
Kuruvinatham,12,GEN,N. Vengadasamy,All India Anna Dravida Munnetra Kazhagam,10327,8511,82.4 %,420,4.9%
Bahour,13,SC,P. Uthiravelu,Janta Party,9294,7531,81.0 %,1053,14.0%
Thirubuvanai,14,SC,Maniyam M.,All India Anna Dravida Munnetra Kazhagam,9904,7372,74.4 %,1813,24.6%
Mannadipeth,15,GEN,Ramachandran D.,All India Anna Dravida Munnetra Kazhagam,10085,8657,85.8 %,1728,20.0%
Ossudu,16,SC,Thangavelu M.,All India Anna Dravida Munnetra Kazhagam,9580,7031,73.4 %,1262,17.9%
Villenour,17,GEN,Pazhaninathan S.,All India Anna Dravida Munnetra Kazhagam,10476,8362,79.8 %,163,1.9%
Ozhukarai,18,GEN,G. Perumal Raja,Dravida Munetra Kazhagam,9787,7923,81.0 %,261,3.3%
Thattanchavady,19,GEN,V. Pethaperumal,Janta Party,12104,8630,71.3 %,2664,30.9%
Reddiarpalayam,20,GEN,V. Subbiah,Communist Party Of India,11795,7929,67.2 %,87,1.1%
Lawspet,21,GEN,N. Varadhan,All India Anna Dravida Munnetra Kazhagam,12680,9496,74.9 %,1947,20.5%
Cotchery,22,GEN,T. Subbiah,All India Anna Dravida Munnetra Kazhagam,10221,8141,79.6 %,1367,16.8%
Karaikal,23,GEN,K. Kandhi,Independent,14897,9416,63.2 %,1955,20.8%
Karaikal South,24,GEN,S. Ramassamy,All India Anna Dravida Munnetra Kazhagam,10159,7304,71.9 %,726,9.9%
Neravy-Grand Aldee,25,GEN,V.M.C. Varadhapillai,Janta Party,11595,9110,78.6 %,180,2.0%
Tirunallar,26,GEN,N.V. Ramalingam,Dravida Munetra Kazhagam,9883,7865,79.6 %,278,3.5%
Neduncadu,27,SC,P. Selvaraj,All India Anna Dravida Munnetra Kazhagam,9353,7202,77.0 %,101,1.4%
Mahe,28,GEN,Raghavan K.V.,Independent,7337,5903,80.5 %,12,0.2%
Palloor,29,GEN,Chandrasekran T.K.,Independent,6586,5317,80.7 %,556,10.5%
Yanam,30,GEN,Kamichetty Sri Parassourama Varaprassada Rao Naidu,Janta Party,5036,4308,85.5 %,66,1.5%
