AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Fatehgarh,1,GEN,Santokh Singh,Indian National Congress (I),75796,55815,73.6 %,1960,3.5%
Batala,2,GEN,Gopal Krishan Chatrath,Indian National Congress (I),80752,53888,66.7 %,5616,10.4%
Qadian,3,GEN,Mohinder Singh,Shiromani Akali Dal,90402,62212,68.8 %,1612,2.6%
Srihargobindpur,4,GEN,Natha Singh,Shiromani Akali Dal,73449,51062,69.5 %,4844,9.5%
Kahnuwan,5,GEN,Ujagar Singh,Shiromani Akali Dal,76354,52272,68.5 %,388,0.7%
Dhariwal,6,GEN,Raj Kumar,Communist Party Of India,80151,50147,62.6 %,9106,18.2%
Gurdaspur,7,GEN,Rattan Lal,Indian National Congress (I),82283,50227,61.0 %,2517,5.0%
Dina Nagar,8,SC,Jai Muni,Indian National Congress (I),81266,46781,57.6 %,12724,27.2%
Narot Mehra,9,SC,Amar Nath,Indian National Congress (I),67834,42403,62.5 %,10512,24.8%
Pathankot,10,GEN,Ram Sarup,Indian National Congress (I),75242,46359,61.6 %,1767,3.8%
Sujanpur,11,GEN,Chaman Lal,Indian National Congress (I),63955,41669,65.2 %,9468,22.7%
Beas,12,GEN,Jiwan Singh Umranangal,Shiromani Akali Dal,92591,63441,68.5 %,1692,2.7%
Majitha,13,GEN,Parkash Singh,Shiromani Akali Dal,84004,58147,69.2 %,5194,8.9%
Verka,14,SC,Sohan Singh,Communist Party Of India,90115,51691,57.4 %,346,0.7%
Jandiala,15,SC,Tara Singh,Shiromani Akali Dal,87032,49077,56.4 %,137,0.3%
Amritsar North,16,GEN,Brij Bhushan Mehra,Indian National Congress (I),94509,49371,52.2 %,9120,18.5%
Amritsar West,17,GEN,Sewa Ram,Indian National Congress (I),105350,58723,55.7 %,3642,6.2%
Amritsar Central,18,GEN,Darbari Lal,Indian National Congress (I),75705,52351,69.2 %,8140,15.5%
Amritsar South,19,GEN,Pirthipal Singh,Indian National Congress (I),90945,54956,60.4 %,1761,3.2%
Ajnala,20,GEN,Harcharan Singh,Indian National Congress (I),84335,59926,71.1 %,3441,5.7%
Raja Sansi,21,GEN,Iqbal Singh,Indian National Congress (I),77006,51603,67.0 %,1228,2.4%
Attari,22,SC,Darshan Singh Chabal,Communist Party Of India (MARXIST),71189,39554,55.6 %,8563,21.6%
Tarn Taran,23,GEN,Prem Singh Lalpura,Shiromani Akali Dal,85200,57418,67.4 %,5816,10.1%
Khadoor Sahib,24,SC,Lakha Singh,Indian National Congress (I),81129,38545,47.5 %,2015,5.2%
Naushahra Panwan,25,GEN,Surinder Singh Kairon,Indian National Congress (I),77884,55304,71.0 %,241,0.4%
Patti,26,GEN,Naranjan Singh,Shiromani Akali Dal,90180,54647,60.6 %,9227,16.9%
Valtoha,27,GEN,Major Singh Uboke,Shiromani Akali Dal,82648,54565,66.0 %,3618,6.6%
