AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Fatehgarh,1,GEN,Lakhmir Singh,Indian National Congress,107453,9421,8.8 %,299.0,3.2%
Batala,2,GEN,Jagdish,Bharatiya Janta Party,116607,39833,34.2 %,3059.0,7.7%
Qadian,3,GEN,Tripat Rajinder Singh,Indian National Congress,120309,11930,9.9 %,8387.0,70.3%
Srihargobindpur,4,GEN,Gurnam Singh,Communist Party Of India,100327,8070,8.0 %,3885.0,48.1%
Kahnuwan,5,GEN,Pratap Singh,Indian National Congress,100053,14063,14.1 %,6634.0,47.2%
Dhariwal,6,GEN,Sushil Mahajan,Indian National Congress,105687,14258,13.5 %,4401.0,30.9%
Gurdaspur,7,GEN,Khushhal Bahi,Indian National Congress,113514,33232,29.3 %,9138.0,27.5%
Dina Nagar,8,SC,Krishna Kumar,Indian National Congress,112934,40027,35.4 %,14607.0,36.5%
Narot Mehra,9,SC,Krishan Chand,Indian National Congress,96919,54914,56.7 %,9271.0,16.9%
Pathankot,10,GEN,Raman Kumar,Indian National Congress,107882,60928,56.5 %,10535.0,17.3%
Sujanpur,11,GEN,Raghu Nath Sahai,Indian National Congress,98308,60981,62.0 %,2803.0,4.6%
Beas,12,GEN,Vir Pawan Kumar,Indian National Congress,114378,13626,11.9 %,529.0,3.9%
Majitha,13,GEN,Ranjit Singh,Independent,102801,24786,24.1 %,6816.0,27.5%
Verka,14,SC,Gurmej Singh,Indian National Congress,125519,9841,7.8 %,5830.0,59.2%
Jandiala,15,SC,Sardul Singh,Indian National Congress,116250,9707,8.4 %,3315.0,34.2%
Amritsar North,16,GEN,Faqur Chand,Indian National Congress,105081,37727,35.9 %,4463.0,11.8%
Amritsar West,17,GEN,Vimla Dang,Communist Party Of India,138532,40669,29.4 %,5328.0,13.1%
Amritsar Central,18,GEN,Laxmi Kanta,Bharatiya Janta Party,83444,42191,50.6 %,4098.0,9.7%
Amritsar South,19,GEN,Maninderjit Singh,Indian National Congress,111525,27671,24.8 %,11990.0,43.3%
Ajnala,20,GEN,Harcharn Singh,Indian National Congress,114139,12717,11.1 %,7432.0,58.4%
Raja Sansi,21,GEN,Parminder Singh,Indian National Congress,97659,6843,7.0 %,772.0,11.3%
Attari,22,SC,Sukhdev Singh Shehbazpuri,Indian National Congress,93913,5671,6.0 %,484.0,8.5%
Tarn Taran,23,GEN,Dilbag Singh (Uncontested),Indian National Congress,107254,RU,,,
Khadoor Sahib,24,SC,Ranjit Singh,Shiromani Akali Dal,104908,9673,9.2 %,298.0,3.1%
Naushahra Panwan,25,GEN,Jagir Singh,Indian National Congress,96807,4962,5.1 %,4080.0,82.2%
Patti,26,GEN,Sakhwinder Singh,Indian National Congress,114868,10506,9.1 %,3663.0,34.9%
Valtoha,27,GEN,Gurchet Singh,Indian National Congress,100975,23800,23.6 %,16845.0,70.8%
Adampur,28,GEN,Rajender Kumar,Bahujan Samaj Party,111030,18360,16.5 %,612.0,3.3%
Jullundur Cantonment,29,GEN,Beant Singh,Indian National Congress,107860,31922,29.6 %,10113.0,31.7%
Jullundur North,30,GEN,Avtar Henry,Indian National Congress,106039,49186,46.4 %,23095.0,47.0%
Jullundur Central,31,GEN,Jai Kishan Saini,Indian National Congress,102301,39588,38.7 %,8635.0,21.8%
Jullundur South,32,SC,Mohinder Singh Kaypee,Indian National Congress,104588,38988,37.3 %,9654.0,24.8%
Kartarpur,33,SC,Jagjit Singh,Indian National Congress,107131,19575,18.3 %,6113.0,31.2%
Lohian,34,GEN,Brij Bhupinder Singh,Indian National Congress,125293,27827,22.2 %,10970.0,39.4%
Nakodar,35,GEN,Umaro Singh,Indian National Congress,112582,26801,23.8 %,4025.0,15.0%
Nur Mahal,36,GEN,Gurbinder Singh Atwal,Indian National Congress,116307,39470,33.9 %,244.0,0.6%
Banga,37,SC,Satnam Singh Kainth,Bahujan Samaj Party,104692,36450,34.8 %,2230.0,6.1%
Nawan Shahr,38,GEN,Dilbagh Singh,Indian National Congress,133555,53908,40.4 %,7342.0,13.6%
Phillaur,39,SC,Santokh Singh Chaudhary,Indian National Congress,118184,28832,24.4 %,1454.0,5.0%
Bholath,40,GEN,Jagtar Singh,Indian National Congress,102656,4601,4.5 %,2216.0,48.2%
Kapurthala,41,GEN,Gulzar Singh,Indian National Congress,95308,25397,26.6 %,2058.0,8.1%
Sultanpur,42,GEN,Gurmail Singh,Indian National Congress,103143,39165,38.0 %,3529.0,9.0%
Phagwara,43,SC,Joginder Singh Mann,Indian National Congress,126856,41493,32.7 %,720.0,1.7%
Balachaur,44,GEN,Hargopal Singh,Bahujan Samaj Party,114643,50687,44.2 %,3228.0,6.4%
Garhshankar,45,GEN,Shangara Ram,Bahujan Samaj Party,101860,45532,44.7 %,6826.0,15.0%
Mahilpur,46,SC,Avtar Singh Karimpuri,Bahujan Samaj Party,90421,24518,27.1 %,5574.0,22.7%
Hoshiarpur,47,GEN,Naresh,Indian National Congress,113328,53986,47.6 %,627.0,1.2%
Sham Chaurasi,48,SC,Gurpal Chand,Bahujan Samaj Party,109849,26634,24.2 %,3719.0,14.0%
Tanda,49,GEN,Surjit Kaur,Indian National Congress,108438,22836,21.1 %,4303.0,18.8%
Garhdiwala,50,SC,Dharam Pal Sabharwal,Indian National Congress,108635,27191,25.0 %,2313.0,8.5%
Dasuya,51,GEN,Romesh Chander,Indian National Congress,111295,47055,42.3 %,12006.0,25.5%
Mukerian,52,GEN,Kewal Krishan,Indian National Congress,122321,63313,51.8 %,3316.0,5.2%
Jagraon,53,GEN,Darshan Singh,Indian National Congress,124528,13193,10.6 %,5541.0,42.0%
Raikot,54,GEN,Nirmal Singh,Indian National Congress,106815,7609,7.1 %,1503.0,19.8%
Dakha,55,SC,Malkiat Singh,Indian National Congress,154309,7151,4.6 %,3179.0,44.5%
Qila Raipur,56,GEN,Tarsem Lal,Communist Party Of India (MARXIST),111288,4272,3.8 %,771.0,18.0%
Ludhiana North,57,GEN,Rakesh Kumar Panday,Indian National Congress,125001,57809,46.2 %,11846.0,20.5%
Ludhiana West,58,GEN,Harnam Dass Johar,Indian National Congress,124432,34039,27.4 %,4486.0,13.2%
Ludhiana East,59,GEN,Satpaul Gosain,Bharatiya Janta Party,112814,35578,31.5 %,3816.0,10.7%
Ludhiana Rural,60,GEN,Malkit Singh Birmi,Indian National Congress,223364,29819,13.3 %,6566.0,22.0%
Payal,61,GEN,Harnek Singh,Indian National Congress,107969,17824,16.5 %,1309.0,7.3%
Kum Kalan,62,SC,Isher Singh,Indian National Congress,118482,8086,6.8 %,3693.0,45.7%
Samrala,63,GEN,Karam Singh,Indian National Congress,99759,14996,15.0 %,2874.0,19.2%
Khanna,64,SC,Shamsher Singh,Indian National Congress,113939,23210,20.4 %,13623.0,58.7%
Nangal,65,GEN,Madan Mohan,Bharatiya Janta Party,101935,48863,47.9 %,2126.0,4.4%
Anandpur Sahib-Ropar,66,GEN,Ramesh Dutt,Bharatiya Janta Party,108522,34573,31.9 %,3467.0,10.0%
Chamkaur Sahib,67,SC,Shamsher Singh,Indian National Congress,101931,7652,7.5 %,935.0,12.2%
Morinda,68,GEN,Jag Mohan Singh,Indian National Congress,116975,11828,10.1 %,6415.0,54.2%
Kharar,69,GEN,Harnek Singh,Indian National Congress,138642,9632,6.9 %,1508.0,15.7%
Banur,70,GEN,Mohinder Singh Gill,Indian National Congress,111069,43389,39.1 %,2614.0,6.0%
Rajpura,71,GEN,Raj Kumar Khurana,Indian National Congress,115973,31367,27.0 %,13934.0,44.4%
Ghanaur,72,GEN,Jasjit Singh,Indian National Congress,104264,26203,25.1 %,3550.0,13.5%
Dakala,73,GEN,Lal Singh,Indian National Congress,121698,25375,20.9 %,1502.0,5.9%
Shutrana,74,SC,Hamir Singh,Indian National Congress,115121,16985,14.8 %,3057.0,18.0%
Samana,75,GEN,Amarinder Singh (Uncontested),Shiromani Akali Dal,143983,RU,,,
Patiala Town,76,GEN,Brahm Mohinder,Indian National Congress,107060,37876,35.4 %,1472.0,3.9%
Nabha,77,GEN,Ramesh Kumar,Independent,121005,41484,34.3 %,2533.0,6.1%
Amloh,78,SC,Sadhu Singh,Indian National Congress,130524,13958,10.7 %,5461.0,39.1%
Sirhind,79,GEN,Harbans Lal,Bharatiya Janta Party,120771,16585,13.7 %,408.0,2.5%
Dhuri,80,GEN,Dhanwant Singh,Indian National Congress,114120,12581,11.0 %,1524.0,12.1%
Malerkotla,81,GEN,Abdul Ghaffar,Indian National Congress,124824,34327,27.5 %,6304.0,18.4%
Sherpur,82,SC,Raj Singh,Bahujan Samaj Party,101581,4193,4.1 %,520.0,12.4%
Barnala,83,GEN,Som Dutt,Indian National Congress,107892,9495,8.8 %,816.0,8.6%
