AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Sujanpur,1,GEN,Gurdaspur,Dinesh Singh,Bharatiya Janta Party,159004,124361,78.2 %,18701,15.0%
Bhoa,2,SC,Gurdaspur,Joginder Pal,Indian National Congress,174313,130637,74.9 %,27496,21.0%
Pathankot,3,GEN,Gurdaspur,Amit,Indian National Congress,145600,109946,75.5 %,11170,10.2%
Gurdaspur,4,GEN,Gurdaspur,Barindermeet Singh Pahra,Indian National Congress,155262,116797,75.2 %,28956,24.8%
Dina Nagar,5,SC,Gurdaspur,Aruna Chaudhary,Indian National Congress,181773,129294,71.1 %,31917,24.7%
Qadian,6,GEN,Gurdaspur,Fatehjang Singh Bajwa,Indian National Congress,176307,130876,74.2 %,11737,9.0%
Batala,7,GEN,Gurdaspur,Lakhbir Singh Lodhinangal,Shiromani Akali Dal,176724,122701,69.4 %,485,0.4%
Sri Hargobindpur,8,SC,Gurdaspur,Balwinder Singh,Indian National Congress,170469,123697,72.6 %,18065,14.6%
Fatehgarh Churian,9,GEN,Gurdaspur,Tript Rajinder Singh Bajwa,Indian National Congress,165312,123556,74.7 %,1999,1.6%
Dera Baba Nanak,10,GEN,Gurdaspur,Sukhjinder Singh Randhawa,Indian National Congress,183086,140035,76.5 %,1194,0.9%
Ajnala,11,GEN,Amritsar,Harpartap Singh,Indian National Congress,147469,120846,81.9 %,18713,15.5%
Raja Sansi,12,GEN,Amritsar,Sukhbinder Singh Sarkaria,Indian National Congress,167195,131091,78.4 %,5727,4.4%
Majitha,13,GEN,Amritsar,Bikram Singh Majithia,Shiromani Akali Dal,158947,121684,76.6 %,22884,18.8%
Jandiala,14,SC,Amritsar,Sukhwinder Singh Danny Bandala,Indian National Congress,169611,124808,73.6 %,18422,14.8%
Amritsar North,15,GEN,Amritsar,Sunil Dutti,Indian National Congress,175899,117112,66.6 %,14236,12.2%
Amritsar West,16,SC,Amritsar,Raj Kumar Verka,Indian National Congress,179761,106740,59.4 %,26847,25.2%
Amritsar Central,17,GEN,Amritsar,Om Parkash Soni,Indian National Congress,135947,89789,66.0 %,21116,23.5%
Amritsar East,18,GEN,Amritsar,Navjot Singh Sidhu,Indian National Congress,153629,99127,64.5 %,42809,43.2%
Amritsar South,19,GEN,Amritsar,Inderbir Singh Bolaria,Indian National Congress,148806,92638,62.3 %,22658,24.5%
Attari,20,SC,Amritsar,Tarsem Singh D.C.,Indian National Congress,173540,129218,74.5 %,10202,7.9%
Tarn Taran,21,GEN,Amritsar,Dr. Dharambir Agnihotri,Indian National Congress,183576,131735,71.8 %,14629,11.1%
Khem Karan,22,GEN,Amritsar,Sukhpal Singh Bhullar,Indian National Congress,199211,153020,76.8 %,19602,12.8%
Patti,23,GEN,Amritsar,Harminder Singh Gill,Indian National Congress,189846,142655,75.1 %,8363,5.9%
Khadoor Sahib,24,GEN,Amritsar,Ramanjeet Singh Sahota Sikki,Indian National Congress,194364,145542,74.9 %,17055,11.7%
Baba Bakala,25,SC,Amritsar,Santokh Singh,Indian National Congress,188177,129752,69.0 %,6587,5.1%
Bholath,26,GEN,Kapurthala,Sukhpal Singh Khaira,Aam Aadmi Party,130806,97561,74.6 %,8202,8.4%
Kapurthala,27,GEN,Kapurthala,Rana Gurjit Singh,Indian National Congress,141283,104886,74.2 %,28817,27.5%
Sultanpur Lodhi,28,GEN,Kapurthala,Navtej Singh Cheema,Indian National Congress,141009,107866,76.5 %,8162,7.6%
Phagwara,29,SC,Kapurthala,Som Parkash,Bharatiya Janta Party,178364,128755,72.2 %,2009,1.6%
Phillaur,30,SC,Jalandhar,Baldev Singh Khaira,Shiromani Akali Dal,193957,146031,75.3 %,3477,2.4%
Nakodar,31,GEN,Jalandhar,Gurpratap Singh Wadala,Shiromani Akali Dal,185069,142283,76.9 %,18407,12.9%
Shahkot,32,GEN,Jalandhar,Ajit Singh Kohar,Shiromani Akali Dal,172253,134507,78.1 %,4905,3.6%
Kartarpur,33,SC,Jalandhar,Chaudhary Surinder Singh,Indian National Congress,170850,125264,73.3 %,6020,4.8%
Jalandhar West,34,SC,Jalandhar,Sushil Kumar Rinku,Indian National Congress,151883,109439,72.1 %,17334,15.8%
Jalandhar Central,35,GEN,Jalandhar,Rajinder Beri,Indian National Congress,155901,105303,67.5 %,24078,22.9%
Jalandhar North,36,GEN,Jalandhar,Avtar Singh Junior,Indian National Congress,172430,123309,71.5 %,32291,26.2%
Jalandhar Cantt.,37,GEN,Jalandhar,Pargat Singh Powar,Indian National Congress,184478,125366,68.0 %,29124,23.2%
Adampur,38,SC,Jalandhar,Pawan Kumar Tinu,Shiromani Akali Dal,158381,115615,73.0 %,7699,6.7%
Mukerian,39,GEN,Hoshiarpur,Rajnish Kumar Babbi,Indian National Congress,192217,134883,70.2 %,23126,17.1%
Dasuya,40,GEN,Hoshiarpur,Arun Dogra,Indian National Congress,189480,129626,68.4 %,17638,13.6%
Urmar,41,GEN,Hoshiarpur,Sangat Singh Gilzian,Indian National Congress,176265,125236,71.0 %,14954,11.9%
Sham Chaurasi,42,SC,Hoshiarpur,Pawan Kumar Adia,Indian National Congress,166750,122991,73.8 %,3815,3.1%
Hoshiarpur,43,GEN,Hoshiarpur,Sunder Sham Arora,Indian National Congress,176163,122179,69.4 %,11233,9.2%
Chabbewal,44,SC,Hoshiarpur,Dr. Raj Kumar,Indian National Congress,156141,114976,73.6 %,29261,25.4%
Garhshankar,45,GEN,Hoshiarpur,Jai Krishan,Aam Aadmi Party,169607,124537,73.4 %,1650,1.3%
Banga,46,SC,Shahid Bhagat Singh Nagar,Sukhwinder Kumar,Shiromani Akali Dal,159001,121775,76.6 %,1893,1.6%
Nawanshahr,47,GEN,Shahid Bhagat Singh Nagar,Angad Singh,Indian National Congress,168158,127775,76.0 %,3323,2.6%
Balachaur,48,GEN,Shahid Bhagat Singh Nagar,Darshan Lal,Indian National Congress,148292,116545,78.6 %,19640,16.9%
Anandpur Sahib,49,GEN,Rupnagar,Kanwar Pal Singh,Indian National Congress,180219,134220,74.5 %,23881,17.8%
Rupnagar,50,GEN,Rupnagar,Amarjit Singh Sandoa,Aam Aadmi Party,169605,129167,76.2 %,23707,18.4%
