AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Bhadra,1,GEN,Lal Chand,Janata Dal,135812,92971,68.5 %,11941,12.8%
Nohar,2,GEN,Suchitra Arya,Janata Dal,148392,91767,61.8 %,9500,10.4%
Tibi,3,SC,Doongar Ram Panwar,Janata Dal,159980,89259,55.8 %,3324,3.7%
Hanumangarh,4,GEN,Vinod Kumar,Indian National Congress,149866,93146,62.2 %,13981,15.0%
Sangaria,5,GEN,Het Ram Beniwal,Communist Party Of India (MARXIST),163907,101022,61.6 %,8548,8.5%
Ganganagar,6,GEN,Kedar,Janata Dal,129687,75703,58.4 %,4162,5.5%
Kesrisinghpur,7,SC,Hira Lal Indora,Indian National Congress,108589,63337,58.3 %,3695,5.8%
Karanpur,8,GEN,Kundan Lal,Bharatiya Janta Party,107365,72184,67.2 %,5050,7.0%
Raisinghnagar,9,SC,Ram Swroop,Janata Dal,140696,80861,57.5 %,16657,20.6%
Pilibanga,10,GEN,Ram Pratap Kasniya,Independent,150368,92568,61.6 %,8788,9.5%
Suratgarh,11,GEN,Sunil Kumar,Indian National Congress,266017,139427,52.4 %,12852,9.2%
Lunkaransar,12,GEN,Mani Ram,Janata Dal,220738,118988,53.9 %,6321,5.3%
Bikaner,13,GEN,Bulaki Das Kalla,Indian National Congress,148959,91287,61.3 %,7027,7.7%
Kolayat,14,GEN,Devi Singh Bhati,Janata Dal,220218,120839,54.9 %,22176,18.4%
Nokha,15,SC,Chunni Lal Indalia,Janata Dal,163244,77936,47.7 %,10851,13.9%
Dungargarh,16,GEN,Kishana Ram,Bharatiya Janta Party,144138,89498,62.1 %,8123,9.1%
Sujangarh,17,SC,Bhanwar Lal,Indian National Congress,140908,78864,56.0 %,13571,17.2%
Ratangarh,18,GEN,Hari Shankar,Bharatiya Janta Party,119247,72398,60.7 %,2637,3.6%
Sardarshahar,19,GEN,Bhanwar Lal Sharma,Janata Dal,144248,91825,63.7 %,7477,8.1%
Churu,20,GEN,Rajender Rathod,Janata Dal,126548,81746,64.6 %,24383,29.8%
Taranagar,21,GEN,Chandra Mal Baid,Indian National Congress,124342,79621,64.0 %,12200,15.3%
Sadulpur,22,GEN,Inder Singh Poonia,Indian National Congress,126818,83477,65.8 %,5777,6.9%
Pilani,23,GEN,Sumitra Singh,Janata Dal,143275,103209,72.0 %,23901,23.2%
Surajgarh,24,SC,Babu Lal,Janata Dal,144934,92439,63.8 %,19651,21.3%
Khetri,25,GEN,Hajari Lal,Independent,129719,78234,60.3 %,619,0.8%
Gudha,26,GEN,Madan Lal Sani,Bharatiya Janta Party,135971,88280,64.9 %,1279,1.4%
Nawalgarh,27,GEN,Bharwar Singh,Independent,151581,101586,67.0 %,873,0.9%
Jhunjhunu,28,GEN,Mohd. Mahir Azad,Janata Dal,152340,102505,67.3 %,11630,11.3%
Mandawa,29,GEN,Chandra Bhan,Janata Dal,141635,89222,63.0 %,29454,33.0%
Fatehpur,30,GEN,Dilsukhrai,Janata Dal,139253,98210,70.5 %,9098,9.3%
Lachhmangarh,31,SC,Parasram,Indian National Congress,150203,103206,68.7 %,5472,5.3%
Sikar,32,GEN,Rajendra Kumar,Indian National Congress,157640,101686,64.5 %,8538,8.4%
Dhod,33,GEN,Ram Dev Singh,Indian National Congress,139428,95598,68.6 %,2292,2.4%
Danta - Ramgarh,34,GEN,Ajey Singh,Janata Dal,145332,93502,64.3 %,6163,6.6%
Srimadhopur,35,GEN,Har Lal Singh Kharra,Bharatiya Janta Party,141678,84219,59.4 %,20615,24.5%
Khandela,36,GEN,Gopal Singh,Janata Dal,135420,86126,63.6 %,13767,16.0%
Neem-Ka-Thana,37,GEN,Phool Chand / Bhagtwar,Bharatiya Janta Party,144174,86753,60.2 %,6722,7.7%
Chomu,38,GEN,Rameshwar Dayal,Janata Dal,141015,85989,61.0 %,4276,5.0%
Amber,39,GEN,Gopi Ram,Bharatiya Janta Party,153983,82924,53.9 %,25125,30.3%
Jaipur Rural,40,GEN,Ujla Arora,Bharatiya Janta Party,145408,59742,41.1 %,15221,25.5%
Hawamahal,41,GEN,Bhanwar Lal,Bharatiya Janta Party,110087,55085,50.0 %,24398,44.3%
Johribazar,42,GEN,Kali Charan Saraph,Bharatiya Janta Party,230452,105317,45.7 %,24875,23.6%
Kishanpole,43,GEN,Rameshwar Bhardwaj,Bharatiya Janta Party,223969,91947,41.1 %,35906,39.1%
Bani Park,44,GEN,Rajpal Singh Shekhawat,Bharatiya Janta Party,250150,103676,41.4 %,20844,20.1%
Phulera,45,GEN,Hari Singh,Indian National Congress,146430,93855,64.1 %,3189,3.4%
Dudu,46,SC,Ganpatrai Gade Ganwalia,Janata Dal,128943,64798,50.3 %,14207,21.9%
Sanganer,47,GEN,Vidhya Pathak,Bharatiya Janta Party,140907,72440,51.4 %,11862,16.4%
Phagi,48,SC,Parkash Chand Bairwa,Indian National Congress,122138,59134,48.4 %,256,0.4%
Lalsot,49,ST,Parsadi,Indian National Congress,118719,74663,62.9 %,5952,8.0%
Sikrai,50,ST,Ram Kishore Meena,Bharatiya Janta Party,120035,64035,53.3 %,5460,8.5%
Bandikui,51,GEN,Ram Kishor Saini,Bharatiya Janta Party,131684,78389,59.5 %,4629,5.9%
Dausa,52,SC,Jia Lal Banshiwal,Bharatiya Janta Party,121838,57033,46.8 %,20226,35.5%
Bassi,53,GEN,Kanhiya Lal,Independent,125502,78001,62.2 %,656,0.8%
Jamwa Ramgarh,54,GEN,Rameshwar,Bharatiya Janta Party,114697,64980,56.7 %,5104,7.9%
Bairath,55,GEN,Om Parkash Gupta,Bharatiya Janta Party,134051,80714,60.2 %,14716,18.2%
Kotputli,56,GEN,Ram Karan Singh,Independent,148434,93351,62.9 %,783,0.8%
Bansur,57,GEN,Jagat Singh Dayma,Janata Dal,128265,79735,62.2 %,12097,15.2%
Behror,58,GEN,Mahi Pal Yadava,Janata Dal,125484,75924,60.5 %,29093,38.3%
Mandawar,59,GEN,Ghasi Ram,Indian National Congress,102301,69560,68.0 %,555,0.8%
Tizara,60,GEN,Jagmal Singh Yadav,Janata Dal,127948,83895,65.6 %,12461,14.9%
Khairthal,61,SC,Sampat Ram,Janata Dal,110343,58731,53.2 %,22913,39.0%
Ramgarh,62,GEN,Zubair Khan,Indian National Congress,108872,72965,67.0 %,14561,20.0%
Alwar,63,GEN,Jeet Mal Jain,Bharatiya Janta Party,139100,75204,54.1 %,17581,23.4%
Thanagazi,64,GEN,Rama Kant,Bharatiya Janta Party,105729,57281,54.2 %,13996,24.4%
Rajgarh,65,ST,Ram Meena,Indian National Congress,119404,75885,63.6 %,1263,1.7%
Kathumar,67,SC,Jagan Nath Pahadia,Indian National Congress,118523,68314,57.6 %,9693,14.2%
Kaman,68,GEN,Madan Mohan Singhal,Independent,98836,66013,66.8 %,7606,11.5%
Nagar,69,GEN,Sampat Singh,Janata Dal,101423,64429,63.5 %,2561,4.0%
Deeg,70,GEN,Krishanandra Kaur (Deepa),Janata Dal,97005,65961,68.0 %,25166,38.2%
Kumher,71,GEN,Nathi Singh,Janata Dal,106466,58421,54.9 %,11581,19.8%
Bharatpur,72,GEN,Ram Kishan,Janata Dal,148885,69290,46.5 %,5378,7.8%
Rupbas,73,SC,Nirbhaya Lal Jatav,Janata Dal,99724,49768,49.9 %,22035,44.3%
Nadbai,74,GEN,Yadunath Singh,Janata Dal,104719,62449,59.6 %,10846,17.4%
Weir,75,SC,Ram Prasad,Indian National Congress,107849,52389,48.6 %,3308,6.3%
Bayana,76,GEN,Salig Ram Neta,Indian National Congress,125763,70534,56.1 %,423,0.6%
Rajakhera,77,GEN,Pradyuman Singh,Indian National Congress,121755,81877,67.2 %,2277,2.8%
Dholpur,78,GEN,Bhairo Singh,Bharatiya Janta Party,134587,89928,66.8 %,13592,15.1%
Bari,79,GEN,Daljeet Singh,Indian National Congress,127661,84509,66.2 %,23989,28.4%
Karauli,80,GEN,Janardan Singh,Indian National Congress,121447,86138,70.9 %,4825,5.6%
Sapotra,81,ST,Parbhu Lal,Indian National Congress,120199,63689,53.0 %,5141,8.1%
Khandar,82,SC,Chunni Lal,Bharatiya Janta Party,129594,63141,48.7 %,16579,26.3%
