AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Yoksam,1,GEN,Ashok Kumar Subba,Independent,6868,5693,82.9 %,145,2.5%
Tashiding,2,ST,Thutop Bhutia,Sikkim Sangram Parishad,5658,4642,82.0 %,132,2.8%
Geyzing,3,GEN,Dal Bahadur Gurung,Sikkim Democratic Front,7008,5786,82.6 %,1481,25.6%
Dentam,4,GEN,Chakra Bahadur Subba,Sikkim Democratic Front,6393,5468,85.5 %,349,6.4%
Barmiok,5,GEN,Tulshi Pd. Pradhan,Sikkim Democratic Front,5619,4714,83.9 %,455,9.7%
Rinchenpong,6,ST,Phur Tsh. Lepcha,Sikkim Democratic Front,6859,5385,78.5 %,1725,32.0%
Chakung,7,GEN,Prem Singh Tamang,Sikkim Democratic Front,6881,5807,84.4 %,1606,27.7%
Soreong,8,GEN,Nar Bahadur Bhandari,Sikkim Sangram Parishad,7792,6481,83.2 %,405,6.2%
Daramdin,9,GEN,Ran Bahadur Subba,Sikkim Democratic Front,7448,6278,84.3 %,1810,28.8%
Jorthang-Nayabazar,10,GEN,Bhoj Raj Rai,Sikkim Democratic Front,8619,7223,83.8 %,1641,22.7%
Ralong,11,ST,Dorjee Dazom Bhutia,Sikkim Democratic Front,5237,4500,85.9 %,882,19.6%
Wak,12,GEN,Kedar Nath Rai,Sikkim Democratic Front,5369,4450,82.9 %,832,18.7%
Damthang,13,GEN,Pawan Kumar Chamling,Sikkim Democratic Front,7054,5662,80.3 %,2441,43.1%
Melli,14,GEN,Girish Chandra Rai,Sikkim Democratic Front,7120,6061,85.1 %,955,15.8%
Rateypani - West Pendam,15,SC,Aita Singh Kami,Sikkim Democratic Front,7658,6287,82.1 %,1223,19.5%
Temi-Tarku,16,GEN,Garjaman Gurung,Sikkim Democratic Front,7580,5856,77.3 %,1125,19.2%
Central Pendam-East Pendam,17,GEN,Dilli Pd. Kharel,Sikkim Democratic Front,9593,7870,82.0 %,182,2.3%
Rhenock,18,GEN,Khara Nanda Upreti,Sikkim Sangram Parishad,6140,5145,83.8 %,691,13.4%
Regu,19,GEN,Karna Bdr. Chamling,Sikkim Democratic Front,6442,5439,84.4 %,184,3.4%
Pathing,20,ST,Ram Lepcha,Sikkim Sangram Parishad,7432,6212,83.6 %,777,12.5%
Loosing Pachekhani,21,GEN,Dil Bdr. Thapa,Sikkim Democratic Front,5880,4901,83.4 %,12,0.2%
Khamdong,22,SC,Gopal Lamichaney,Sikkim Democratic Front,7860,6431,81.8 %,1096,17.0%
Djongu,23,ST,Sonam Ghyoda Lepcha,Indian National Congress,4761,3956,83.1 %,47,1.2%
Lachen Mangshila,24,ST,Hishey Lachungpa,Sikkim Democratic Front,6424,5239,81.6 %,896,17.1%
Kabi Tingda,25,ST,Thenlay Tsering Bhutia,Sikkim Democratic Front,5330,4340,81.4 %,55,1.3%
Rakdong Tentek,26,ST,Mingma Tsh. Sherpa,Sikkim Sangram Parishad,6556,5372,81.9 %,1955,36.4%
Martam,27,ST,Dorjee Tsh. Lepcha,Sikkim Sangram Parishad,7273,6035,83.0 %,1308,21.7%
Rumtek,28,ST,Menlom Lepcha,Sikkim Sangram Parishad,8511,6837,80.3 %,965,14.1%
Assam-Lingjey,29,ST,Tseten Tashi,Sikkim Sangram Parishad,5992,5079,84.8 %,186,3.7%
Ranka,30,ST,Rinzing Ongmu,Sikkim Sangram Parishad,7340,5982,81.5 %,18,0.3%
Gangtok,31,GEN,Narendra Kr. Pradhan,Sikkim Sangram Parishad,9960,7225,72.5 %,728,10.1%
Sangha,32,GEN,Namkhagyaltsen Lama,Indian National Congress,3086,1667,54.0 %,124,7.4%
