AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Yoksam-Tashiding,1,BL,West,Sangay Lepcha,Sikkim Krantikari Morcha,14151,11588,81.9 %,79,0.7%
Yangthang,2,GEN,West,Bhim Hang Limboo,Sikkim Krantikari Morcha,13191,10622,80.5 %,47,0.4%
Maneybung-Dentam,3,GEN,West,Narendra Kumar Subba,Sikkim Democratic Front,15174,12764,84.1 %,1504,11.8%
Gyalshing-Barnyak,4,GEN,West,Lok Nath Sharma,Sikkim Krantikari Morcha,12406,10200,82.2 %,1814,17.8%
Rinchenpong,5,BL,West,Karma Sonam Lepcha,Sikkim Democratic Front,14845,12490,84.1 %,1069,8.6%
Daramdin,6,BL,West,Mingma Norbu Sherpa,Sikkim Krantikari Morcha,15325,12594,82.2 %,336,2.7%
Soreng-Chakung,7,GEN,West,Aditya Golay (TAMANG),Sikkim Krantikari Morcha,15607,12952,83.0 %,208,1.6%
Salghari-Zoom,8,SC,West,Sunita Gajmer,Sikkim Krantikari Morcha,10942,8860,81.0 %,93,1.0%
Barfung,9,BL,South,Tashi Thendup Bhutia,Sikkim Democratic Front,15021,11944,79.5 %,97,0.8%
Poklok-Kamrang,10,GEN,South,Pawan Chamling,Sikkim Democratic Front,15599,12975,83.2 %,2899,22.3%
Namchi-Singhithang,11,GEN,South,Pawan Chamling,Sikkim Democratic Front,12765,9971,78.1 %,377,3.8%
Melli,12,GEN,South,Farwanti Tamang,Sikkim Democratic Front,15500,12479,80.5 %,865,6.9%
Namthang-Rateypani,13,GEN,South,Sanjeet Kharel,Sikkim Krantikari Morcha,15521,12690,81.8 %,1305,10.3%
Temi-Namphing,14,GEN,South,Bedu Singh Panth,Sikkim Krantikari Morcha,14255,11686,82.0 %,770,6.6%
Rangang-Yangang,15,GEN,South,Raj Kumari Thapa,Sikkim Democratic Front,13984,11425,81.7 %,1525,13.3%
Tumen-Lingi,16,BL,South,Ugen T. Gyatso Bhutia,Sikkim Democratic Front,16086,13144,81.7 %,320,2.4%
Khamdong-Singtam,17,GEN,East,Mani Kumar Sharma,Sikkim Krantikari Morcha,13165,10549,80.1 %,873,8.3%
West Pendam,18,SC,East,L .B Das,Sikkim Krantikari Morcha,14984,11600,77.4 %,898,7.7%
Rhenock,19,GEN,East,Bishnu Kumar Sharma,Sikkim Krantikari Morcha,17411,14102,81.0 %,3086,21.9%
Chujachen,20,GEN,East,Krishna Bahadur Rai,Sikkim Democratic Front,17806,14116,79.3 %,1327,9.4%
Gnathang-Machong,21,BL,East,Dorjee Tshering Lepcha,Sikkim Democratic Front,12216,10046,82.2 %,2920,29.1%
Namcheybung,22,GEN,East,Em Prasad Sharma,Sikkim Democratic Front,15176,12310,81.1 %,971,7.9%
Shyari,23,BL,East,Kunga Nima Lepcha,Sikkim Krantikari Morcha,15843,12090,76.3 %,1356,11.2%
Martam-Rumtek,24,BL,East,Dorjee Tshering Lepcha,Sikkim Democratic Front,17208,13635,79.2 %,73,0.5%
Upper Tadong,25,GEN,East,Gay Tshering Dhungel,Sikkim Democratic Front,10334,7480,72.4 %,416,5.6%
Arithang,26,GEN,East,Arun Kumar Upreti,Sikkim Krantikari Morcha,11408,7806,68.4 %,474,6.1%
Gangtok,27,BL,East,Kunga Nima Lepcha,Sikkim Krantikari Morcha,11649,7389,63.4 %,888,12.0%
Upper Burtuk,28,GEN,East,Dilli Ram Thapa,Sikkim Democratic Front,15231,11703,76.8 %,757,6.5%
Kabi Lungchuk,29,BL,North,Karma Loday Bhutia,Sikkim Krantikari Morcha,13430,10263,76.4 %,1437,14.0%
Djongu,30,BL,North,Pintso Namgyal Lepcha,Sikkim Democratic Front,9823,8432,85.8 %,3001,35.6%
Lachen Mangan,31,BL,North,Samdup Lepcha,Sikkim Krantikari Morcha,8072,6646,82.3 %,584,8.8%
Sangha,32,GEN,North,Sonam Lama,Sikkim Krantikari Morcha,2904,2363,81.4 %,630,26.7%
