AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Gummidipoondi,1,GEN,Thiruvallur,Sekar C H,Desiya Murpokku Dravida Kazhagam,215430,178276,82.8 %,29101,16.3%
Ponneri,2,SC,Thiruvallur,Pon. Raja,All India Anna Dravida Munnetra Kazhagam,202421,163088,80.6 %,31073,19.1%
Tiruttani,3,GEN,Thiruvallur,Arunsubramanian. M,Desiya Murpokku Dravida Kazhagam,236718,191237,80.8 %,23930,12.5%
Thiruvallur,4,GEN,Thiruvallur,Ramana B.V,All India Anna Dravida Munnetra Kazhagam,207922,170115,81.8 %,23648,13.9%
Poonmallae,5,SC,Thiruvallur,Manimaran R,All India Anna Dravida Munnetra Kazhagam,229436,181531,79.1 %,41419,22.8%
Avadi,6,GEN,Thiruvallur,Abdul Rahim.S,All India Anna Dravida Munnetra Kazhagam,277856,199538,71.8 %,43238,21.7%
Maduravoyal,7,GEN,Thiruvallur,Beem Rao. G,Communist Party Of India (MARXIST),269487,185925,69.0 %,24011,12.9%
Ambattur,8,GEN,Thiruvallur,Vedhachalam. S,All India Anna Dravida Munnetra Kazhagam,264960,186347,70.3 %,22717,12.2%
Madavaram,9,GEN,Thiruvallur,Moorthy V,All India Anna Dravida Munnetra Kazhagam,275590,207325,75.2 %,34765,16.8%
Thiruvottiyur,10,GEN,Thiruvallur,"Kuppan, K.",All India Anna Dravida Munnetra Kazhagam,221456,164716,74.4 %,27291,16.6%
Dr.Radhakrishnan Nagar,11,GEN,Chennai,Vetriivel P,All India Anna Dravida Munnetra Kazhagam,195146,141942,72.7 %,31255,22.0%
Perambur,12,GEN,Chennai,Soundararajan A,Communist Party Of India (MARXIST),232333,162026,69.7 %,17423,10.8%
Kolathur,13,GEN,Chennai,Stalin M.K.,Dravida Munetra Kazhagam,207990,141989,68.3 %,2819,2.0%
