AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Simna,1,ST,Abhiram Deb Barma,Communist Party Of India (MARXIST),15303,12851,84.0 %,4061,31.6%
Mohanpur,2,GEN,Radharaman Deb Nath,Communist Party Of India (MARXIST),15764,12885,81.7 %,1802,14.0%
Bamutia,3,SC,Hari Charan Sarkar,Communist Party Of India (MARXIST),15194,12690,83.5 %,919,7.2%
Barjala,4,GEN,Gouri Bhattacharjee,Communist Party Of India (MARXIST),17239,14154,82.1 %,4861,34.3%
Khayerpur,5,GEN,Akhil Debnath,Communist Party Of India (MARXIST),16693,13176,78.9 %,3665,27.8%
Agartala,6,GEN,Ajoy Biswas,Independent,20375,15921,78.1 %,8661,54.4%
Ramnagar,7,GEN,Biren Datta,Communist Party Of India (MARXIST),17132,13486,78.7 %,5867,43.5%
Town Bordowali,8,GEN,Braja Gopal Roy,All India Forward Bloc,16201,12625,77.9 %,5766,45.7%
Banamalipur,9,GEN,Bibekanand Bhowmik,Independent,13380,10572,79.0 %,4989,47.2%
Majlishpur,10,GEN,Khagen Das,Communist Party Of India (MARXIST),14385,12180,84.7 %,2012,16.5%
Mandaibazar,11,ST,Rashiram Deb Barma,Communist Party Of India (MARXIST),17735,13875,78.2 %,3309,23.8%
Takarjala,12,ST,Sudhanwa Deb Barma,Communist Party Of India (MARXIST),17309,13217,76.4 %,1283,9.7%
Pratapgarh,13,SC,Anil Sarkar,Communist Party Of India (MARXIST),20292,16695,82.3 %,7472,44.8%
Badharghat,14,GEN,Jadab Majumdar,Communist Party Of India (MARXIST),18391,14723,80.1 %,8972,60.9%
Kamalasagar,15,GEN,Matilal Sarkar,Communist Party Of India (MARXIST),15416,12332,80.0 %,4590,37.2%
Bishalgarh,16,GEN,Gautam Prasad Dutta,Communist Party Of India (MARXIST),14663,12008,81.9 %,1838,15.3%
Golaghati,17,ST,Naranjan Debbarma,Communist Party Of India (MARXIST),16852,13636,80.9 %,1083,7.9%
Charilam,18,GEN,Hari Nath Debbarma,Tripura Upajiti Juba Samiti,16436,13112,79.8 %,1028,7.8%
Boxanagar,19,GEN,Arabar Rahaman,Communist Party Of India (MARXIST),13434,11393,84.8 %,1141,10.0%
Nalchar,20,SC,Sumanta Kumar Das,Communist Party Of India (MARXIST),14977,12486,83.4 %,3488,27.9%
Sonamura,21,GEN,Subal Rudra,Communist Party Of India (MARXIST),14584,12250,84.0 %,2080,17.0%
Dhanpur,22,GEN,Samar Choudhury,Communist Party Of India (MARXIST),15713,13054,83.1 %,3144,24.1%
Ramchandraghat,23,ST,Dasaratha Deb,Communist Party Of India (MARXIST),13303,11869,89.2 %,8419,70.9%
Khowai,24,GEN,Swaraijam Kamini Thakur Singha,Communist Party Of India (MARXIST),13363,11313,84.7 %,2500,22.1%
Asharambari,25,ST,Bidya Chandra Deb Barma,Communist Party Of India (MARXIST),14989,12432,82.9 %,8381,67.4%
Pramodnagar,26,ST,Nripen Chakrabarty,Communist Party Of India (MARXIST),18874,15534,82.3 %,6221,40.0%
