AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Simna,1,ST,West Tripura,Brishaketu Debbarma,Indigenous People's Front Of Tripura,35881,32648,91.0 %,1963,6.0%
Mohanpur,2,GEN,West Tripura,Ratan Lal Nath,Bharatiya Janta Party,43454,40545,93.3 %,5176,12.8%
Bamutia,3,SC,West Tripura,Krishnadhan Das,Bharatiya Janta Party,42374,39923,94.2 %,972,2.4%
Barjala,4,SC,West Tripura,Dilip Kumar Das,Bharatiya Janta Party,41951,39005,93.0 %,6227,16.0%
Khayerpur,5,GEN,West Tripura,Ratan Chakraborty,Bharatiya Janta Party,47401,44675,94.2 %,7039,15.8%
Agartala,6,GEN,West Tripura,Sudip Roy Barman,Bharatiya Janta Party,48906,44249,90.5 %,7382,16.7%
Ramnagar,7,GEN,West Tripura,Surajit Datta,Bharatiya Janta Party,43444,38251,88.0 %,4855,12.7%
Town Bordowali,8,GEN,West Tripura,Asish Kumar Saha,Bharatiya Janta Party,45500,38913,85.5 %,11178,28.7%
Banamalipur,9,GEN,West Tripura,Biplab Kumar Deb,Bharatiya Janta Party,40248,35163,87.4 %,9549,27.2%
Majlishpur,10,GEN,West Tripura,Sushanta Chowdhury,Bharatiya Janta Party,45555,43117,94.6 %,3890,9.0%
Mandaibazar,11,ST,West Tripura,Dhirendra Debbarma,Indigenous People's Front Of Tripura,44272,40075,90.5 %,5864,14.6%
Takarjala,12,ST,West Tripura,Narendra Chandra Debbarma,Indigenous People's Front Of Tripura,40150,34814,86.7 %,12652,36.3%
Pratapgarh,13,SC,West Tripura,Rebati Mohan Das,Bharatiya Janta Party,52697,49760,94.4 %,3148,6.3%
Badharghat,14,SC,West Tripura,Dilip Sarkar,Bharatiya Janta Party,57394,52566,91.6 %,5448,10.4%
Kamalasagar,15,GEN,West Tripura,Narayan Chandra Chowdhuri,Communist Party Of India (Marxist),39814,36815,92.5 %,1879,5.1%
Bishalgarh,16,GEN,West Tripura,Bhanulal Saha,Communist Party Of India (Marxist),45530,42796,94.0 %,766,1.8%
Golaghati,17,ST,West Tripura,Birendra Kishore Debbarma,Bharatiya Janta Party,38810,35856,92.4 %,3498,9.8%
Suryamaninagar,18,GEN,West Tripura,Ram Prasad Paul,Bharatiya Janta Party,49015,46238,94.3 %,4567,9.9%
Boxanagar,20,GEN,West Tripura,Sahid Choudhuri,Communist Party Of India (Marxist),37703,33934,90.0 %,8015,23.6%
Nalchar,21,SC,West Tripura,Subhash Chandra Das,Bharatiya Janta Party,41474,38895,93.8 %,451,1.2%
Sonamura,22,GEN,West Tripura,Shyamal Chakraborty,Communist Party Of India (Marxist),40332,36453,90.4 %,3432,9.4%
Dhanpur,23,GEN,West Tripura,Manik Sarkar,Communist Party Of India (Marxist),43728,40135,91.8 %,5441,13.6%
Ramchandraghat,24,ST,West Tripura,Prasanta Debbarma,Indigenous People's Front Of Tripura,39067,35644,91.2 %,4235,11.9%
Khowai,25,GEN,West Tripura,Nirmal Biswas,Communist Party Of India (Marxist),40911,39061,95.5 %,2736,7.0%
Asharambari,26,ST,West Tripura,Mevar Kr Jamatia,Indigenous People's Front Of Tripura,36369,32897,90.5 %,6987,21.2%
Kalyanpur-Pramodenagar,27,GEN,West Tripura,Pinaki Das Chowdhury,Bharatiya Janta Party,41973,38306,91.3 %,3141,8.2%
Teliamura,28,GEN,West Tripura,Kalyani Roy,Bharatiya Janta Party,42444,38173,89.9 %,7179,18.8%
Krishnapur,29,ST,West Tripura,Atul Debbarma,Bharatiya Janta Party,35000,32073,91.6 %,1995,6.2%
Bagma,30,ST,South Tripura,Ram Pada Jamatia,Bharatiya Janta Party,51158,46409,90.7 %,2833,6.1%
Radhakishorepur,31,GEN,South Tripura,Pranajit Singha Roy,Bharatiya Janta Party,45443,41248,90.8 %,4846,11.7%
Matarbari,32,GEN,South Tripura,Biplab Kumar Ghosh,Bharatiya Janta Party,50413,45992,91.2 %,1569,3.4%
Kakraban-Salgarah,33,SC,South Tripura,Ratan Kumar Bhowmik,Communist Party Of India (Marxist),50221,45903,91.4 %,3767,8.2%
Rajnagar,34,SC,South Tripura,Sudhan Das,Communist Party Of India (Marxist),43615,39316,90.1 %,5713,14.5%
Belonia,35,GEN,South Tripura,Arun Chandra Bhaumik,Bharatiya Janta Party,41613,38864,93.4 %,753,1.9%
Santirbazar,36,ST,South Tripura,Pramod Reang,Bharatiya Janta Party,45465,41812,92.0 %,2349,5.6%
Hrishyamukh,37,GEN,South Tripura,Badal Choudhury,Communist Party Of India (Marxist),43131,39869,92.4 %,6330,15.9%
Jolaibari,38,ST,South Tripura,Jashabir Tripura,Communist Party Of India (Marxist),44797,41866,93.5 %,1568,3.7%
Manu,39,ST,South Tripura,Pravat Chowdhury,Communist Party Of India (Marxist),42785,39973,93.4 %,193,0.5%
Sabroom,40,GEN,South Tripura,Sankar Roy,Bharatiya Janta Party,43813,40759,93.0 %,2182,5.4%
Ampinagar,41,ST,South Tripura,Sindhu Chandra Jamatia,Indigenous People's Front Of Tripura,37520,33432,89.1 %,4947,14.8%
Amarpur,42,GEN,South Tripura,Ranjit Das,Bharatiya Janta Party,40466,37847,93.5 %,1016,2.7%
Karbook,43,ST,South Tripura,Burba Mohan Tripura,Bharatiya Janta Party,34699,31514,90.8 %,797,2.5%
Raima Valley,44,ST,Dhalai,Dhananjoy Tripura,Indigenous People's Front Of Tripura,43415,38932,89.7 %,1922,4.9%
Kamalpur,45,GEN,Dhalai,Manoj Kanti Deb,Bharatiya Janta Party,43115,38418,89.1 %,2959,7.7%
Surma,46,SC,Dhalai,Ashis Das,Bharatiya Janta Party,44462,39751,89.4 %,2710,6.8%
Ambassa,47,ST,Dhalai,Parimal Debbarma,Bharatiya Janta Party,45644,41227,90.3 %,3585,8.7%
Karmachara,48,ST,Dhalai,Diba Chandra Hrangkhawl,Bharatiya Janta Party,39097,34527,88.3 %,7336,21.2%
Chawamanu,49,ST,Dhalai,Sambhu Lal Chakma,Bharatiya Janta Party,39319,34509,87.8 %,3755,10.9%
Pabiachhara,50,SC,North Tripura,Bhagaban Das,Bharatiya Janta Party,45318,41022,90.5 %,5827,14.2%
Fatikroy,51,SC,North Tripura,Sudhangshu Das,Bharatiya Janta Party,41847,37325,89.2 %,2829,7.6%
Chandipur,52,GEN,North Tripura,Tapan Chakraborti,Communist Party Of India (Marxist),42889,38305,89.3 %,402,1.0%
Kailashahar,53,GEN,North Tripura,Moboshar Ali,Communist Party Of India (Marxist),46054,39357,85.5 %,4834,12.3%
Kadamtala-Kurti,54,GEN,North Tripura,Islam Uddin,Communist Party Of India (Marxist),41394,36137,87.3 %,6882,19.0%
Bagbassa,55,GEN,North Tripura,Bijita Nath,Communist Party Of India (Marxist),42738,36925,86.4 %,270,0.7%
Dharmanagar,56,GEN,North Tripura,Biswabandhu Sen,Bharatiya Janta Party,41492,36444,87.8 %,7287,20.0%
Jubarajnagar,57,GEN,North Tripura,Ramendra Chandra Debnath,Communist Party Of India (Marxist),40858,36851,90.2 %,649,1.8%
Panisagar,58,GEN,North Tripura,Binay Bhushan Das,Bharatiya Janta Party,36104,32189,89.2 %,561,1.7%
Pencharthal,59,ST,North Tripura,Santana Chakma,Bharatiya Janta Party,40171,35376,88.1 %,1373,3.9%
Kanchanpur,60,ST,North Tripura,Prem Kumar Reang,Indigenous People's Front Of Tripura,41970,36679,87.4 %,4131,11.3%
